	注释：白读-，文读=
∅	[1]婴缨英鹰因莺樱鹦音阴[2]盈寅淫[3]颖[5]映应{答～}印荫
ɦ	[2]仁人=[3]影=引饮=[6]任刃仍壬
#uŋ	
p	[1]分-奔[3]本[5]畚笨[6]饭-
β	[2]文闻纹=[9]盆浑[3]纹-刎吻[5]范{姓}
m	[2]门[6]问闷
t	[1]敦墩[5]顿断缎[6]盾钝饨
tʰ	[1]村[5]寸
h	[1]吞[5]褪{脱}
n	[6]嫩
l	[3]囤[6]论
ts	[1]遵蹲[6]钻
s	[1]孙酸[3]损[5]逊卵-
k	[3]滚[5]棍艮
kʰ	[1]昆[3]綑捆垦恳[5]困
x	[1]分=芬纷晕荤昏婚[2]焚魂[3]粉[5]忟忿奋份馄混
∅	[1]醖[5]稳
