繁体	简体	声母	韵母	声调	拼音無調	拼音	IPA	备注
芥	芥	g	aai	6	gaai	gaai6	kai²²	
疥	疥	g	aai	6	gaai	gaai6	kai²²	
尬	尬	g	aai	6	gaai	gaai6	kai²²	
界	界	g	aai	6	gaai	gaai6	kai²²	
戒	戒	g	aai	6	gaai	gaai6	kai²²	
揩	揩	k	aai	1	kaai	kaai1	kʰai⁵⁵	
楷	楷	k	aai	1	kaai	kaai1	kʰai⁵⁵	
涯	涯	ng	aai	2	ngaai	ngaai2	ŋai²¹	
崖	崖	ng	aai	2	ngaai	ngaai2	ŋai²¹	
押	押	ng	aai	2	ngaai	ngaai2	ŋai²¹	
隘	隘	ng	aai	5	ngaai	ngaai5	ŋai⁴⁴	
孩	孩	h	aai	2	haai	haai2	hai²¹	
鞋	鞋	h	aai	2	haai	haai2	hai²¹	
諧	谐	h	aai	2	haai	haai2	hai²¹	
械	械	h	aai	6	haai	haai6	hai²²	
懈	懈	h	aai	6	haai	haai6	hai²²	
威	威	w	aai	1	waai	waai1	wai⁵⁵	
歪	歪	w	aai	1	waai	waai1	wai⁵⁵	
為	为	w	aai	2	waai	waai2	wai²¹	
維	维	w	aai	2	waai	waai2	wai²¹	
唯	唯	w	aai	2	waai	waai2	wai²¹	
惟	惟	w	aai	2	waai	waai2	wai²¹	
遺	遗	w	aai	2	waai	waai2	wai²¹	
違	违	w	aai	2	waai	waai2	wai²¹	
圍	围	w	aai	2	waai	waai2	wai²¹	
毀	毁	w	aai	3	waai	waai3	wai³⁵	
萎	萎	w	aai	3	waai	waai3	wai³⁵	
偉	伟	w	aai	4	waai	waai4	wai³³	
緯	纬	w	aai	4	waai	waai4	wai³³	
諱	讳	w	aai	5	waai	waai5	wai⁴⁴	
畏	畏	w	aai	5	waai	waai5	wai⁴⁴	
喂	喂	w	aai	5	waai	waai5	wai⁴⁴	
尉	尉	w	aai	5	waai	waai5	wai⁴⁴	
慰	慰	w	aai	5	waai	waai5	wai⁴⁴	
位	位	w	aai	6	waai	waai6	wai²²	
胃	胃	w	aai	6	waai	waai6	wai²²	
謂	谓	w	aai	6	waai	waai6	wai²²	
渭	渭	w	aai	6	waai	waai6	wai²²	
煨	煨	w	aai	6	waai	waai6	wai²²	
衛	卫	w	aai	6	waai	waai6	wai²²	
埃	埃	x	aai	1	aai	aai1	ai⁵⁵	
挨	挨	x	aai	1	aai	aai1	ai⁵⁵	
矮	矮	x	aai	3	aai	aai3	ai³⁵	
蓖	蓖	b	ai	1	bai	bai1	pɐi⁵⁵	
畀	畀	b	ai	3	bai	bai3	pɐi³⁵	
閉	闭	b	ai	5	bai	bai5	pɐi⁴⁴	
蔽	蔽	b	ai	5	bai	bai5	pɐi⁴⁴	
弊	弊	b	ai	6	bai	bai6	pɐi²²	
斃	毙	b	ai	6	bai	bai6	pɐi²²	
幣	币	b	ai	6	bai	bai6	pɐi²²	
陛	陛	b	ai	6	bai	bai6	pɐi²²	
敝	敝	b	ai	6	bai	bai6	pɐi²²	
箅	箅	b	ai	6	bai	bai6	pɐi²²	
批	批	p	ai	1	pai	pai1	pʰɐi⁵⁵	
迷	迷	m	ai	2	mai	mai2	mɐi²¹	
謎	谜	m	ai	2	mai	mai2	mɐi²¹	
米	米	m	ai	3	mai	mai3	mɐi³⁵	
未	未	m	ai	5	mai	mai5	mɐi⁴⁴	
味	味	m	ai	5	mai	mai5	mɐi⁴⁴	
飛	飞	f	ai	1	fai	fai1	fɐi⁵⁵	
非	非	f	ai	1	fai	fai1	fɐi⁵⁵	
揮	挥	f	ai	2	fai	fai2	fɐi²¹	
輝	辉	f	ai	2	fai	fai2	fɐi²¹	
徽	徽	f	ai	2	fai	fai2	fɐi²¹	
麾	麾	f	ai	2	fai	fai2	fɐi²¹	
肺	肺	f	ai	5	fai	fai5	fɐi⁴⁴	
廢	废	f	ai	5	fai	fai5	fɐi⁴⁴	
低	低	d	ai	1	dai	dai1	tɐi⁵⁵	
抵	抵	d	ai	3	dai	dai3	tɐi³⁵	
弟	弟	d	ai	3	dai	dai3	tɐi³⁵	
遞	递	d	ai	4	dai	dai4	tɐi³³	
第	第	d	ai	4	dai	dai4	tɐi³³	
隸	隶	d	ai	4	dai	dai4	tɐi³³	
帝	帝	d	ai	5	dai	dai5	tɐi⁴⁴	
梯	梯	t	ai	1	tai	tai1	tʰɐi⁵⁵	
題	题	t	ai	2	tai	tai2	tʰɐi²¹	
堤	堤	t	ai	2	tai	tai2	tʰɐi²¹	
提	提	t	ai	2	tai	tai2	tʰɐi²¹	
蹄	蹄	t	ai	2	tai	tai2	tʰɐi²¹	
蹄	蹄	t	ai	2	tai	tai2	tʰɐi²¹	
體	体	t	ai	3	tai	tai3	tʰɐi³⁵	
睇	睇	t	ai	3	tai	tai3	tʰɐi³⁵	
替	替	t	ai	5	tai	tai5	tʰɐi⁴⁴	
涕	涕	t	ai	5	tai	tai5	tʰɐi⁴⁴	
剃	剃	t	ai	5	tai	tai5	tʰɐi⁴⁴	
屜	屉	t	ai	6	tai	tai6	tʰɐi²²	
泥	泥	n	ai	2	nai	nai2	nɐi²¹	
犁	犁	l	ai	2	lai	lai2	lɐi²¹	
黎	黎	l	ai	2	lai	lai2	lɐi²¹	
禮	礼	l	ai	4	lai	lai4	lɐi³³	
厲	厉	l	ai	5	lai	lai5	lɐi⁴⁴	
勵	励	l	ai	5	lai	lai5	lɐi⁴⁴	
例	例	l	ai	5	lai	lai5	lɐi⁴⁴	
麗	丽	l	ai	5	lai	lai5	lɐi⁴⁴	
荔	荔	l	ai	5	lai	lai5	lɐi⁴⁴	
擠	挤	z	ai	3	zai	zai3	tsɐi³⁵	
劑	剂	z	ai	3	zai	zai3	tsɐi³⁵	
祭	祭	z	ai	5	zai	zai5	tsɐi⁴⁴	
際	际	z	ai	5	zai	zai5	tsɐi⁴⁴	
制	制	z	ai	5	zai	zai5	tsɐi⁴⁴	
濟	济	z	ai	5	zai	zai5	tsɐi⁴⁴	
滯	滞	z	ai	6	zai	zai6	tsɐi²²	
妻	妻	c	ai	1	cai	cai1	tsʰɐi⁵⁵	
棲	栖	c	ai	1	cai	cai1	tsʰɐi⁵⁵	
齊	齐	c	ai	2	cai	cai2	tsʰɐi²¹	
砌	砌	c	ai	6	cai	cai6	tsʰɐi²²	
西	西	s	ai	1	sai	sai1	sɐi⁵⁵	
洗	洗	s	ai	3	sai	sai3	sɐi³⁵	
駛	驶	s	ai	3	sai	sai3	sɐi³⁵	
徙	徙	s	ai	4	sai	sai4	sɐi³³	
世	世	s	ai	4	sai	sai4	sɐi³³	
勢	势	s	ai	5	sai	sai5	sɐi⁴⁴	
細	细	s	ai	5	sai	sai5	sɐi⁴⁴	
婿	婿	s	ai	5	sai	sai5	sɐi⁴⁴	
逝	逝	s	ai	5	sai	sai5	sɐi⁴⁴	
誓	誓	s	ai	6	sai	sai6	sɐi²²	
雞	鸡	g	ai	1	gai	gai1	kɐi⁵⁵	
計	计	g	ai	5	gai	gai5	kɐi⁴⁴	
繼	继	g	ai	5	gai	gai5	kɐi⁴⁴	
髻	髻	g	ai	5	gai	gai5	kɐi⁴⁴	
