繁体	简体	声母	韵母	声调	拼音無調	拼音	IPA	备注
烏	乌	w	u	1	wu	wu1	wu⁵⁵	
汙	污	w	u	1	wu	wu1	wu⁵⁵	
惡	恶	w	u	6	wu	wu6	wu²²	
朱	朱	z	yu	1	zyu	zyu1	tsy⁵⁵	
株	株	z	yu	1	zyu	zyu1	tsy⁵⁵	
珠	珠	z	yu	1	zyu	zyu1	tsy⁵⁵	
誅	诛	z	yu	1	zyu	zyu1	tsy⁵⁵	
諸	诸	z	yu	1	zyu	zyu1	tsy⁵⁵	
豬	猪	z	yu	1	zyu	zyu1	tsy⁵⁵	
主	主	z	yu	3	zyu	zyu3	tsy³⁵	
煮	煮	z	yu	3	zyu	zyu3	tsy³⁵	
注	注	z	yu	5	zyu	zyu5	tsy⁴⁴	
蛀	蛀	z	yu	5	zyu	zyu5	tsy⁴⁴	
鑄	铸	z	yu	5	zyu	zyu5	tsy⁴⁴	
著	著	z	yu	5	zyu	zyu5	tsy⁴⁴	
住	住	z	yu	6	zyu	zyu6	tsy²²	
駐	驻	z	yu	6	zyu	zyu6	tsy²²	
柱	柱	c	yu	1	cyu	cyu1	tsʰy⁵⁵	
拄	拄	c	yu	1	cyu	cyu1	tsʰy⁵⁵	
儲	储	c	yu	1	cyu	cyu1	tsʰy⁵⁵	
署	署	c	yu	1	cyu	cyu1	tsʰy⁵⁵	
除	除	c	yu	2	cyu	cyu2	tsʰy²¹	
廚	厨	c	yu	3	cyu	cyu3	tsʰy³⁵	
徐	徐	c	yu	5	cyu	cyu5	tsʰy⁴⁴	
緒	绪	c	yu	5	cyu	cyu5	tsʰy⁴⁴	
取	取	c	yu	5	cyu	cyu5	tsʰy⁴⁴	
娶	娶	c	yu	5	cyu	cyu5	tsʰy⁴⁴	
處	处	c	yu	5	cyu	cyu5	tsʰy⁴⁴	
趣	趣	c	yu	1	cyu	cyu1	tsʰy⁵⁵	
書	书	s	yu	1	syu	syu1	sy⁵⁵	
輸	输	s	yu	1	syu	syu1	sy⁵⁵	
舒	舒	s	yu	1	syu	syu1	sy⁵⁵	
抒	抒	s	yu	1	syu	syu1	sy⁵⁵	
薯	薯	s	yu	2	syu	syu2	sy²¹	
暑	暑	s	yu	3	syu	syu3	sy³⁵	
