#参考资料	《怀宁石牌方言语音系统》
#符号	“□”表示写不出来的字
#调值	[1]阴平31[2]阳平44[3]上声42[5]阴去35[6]阳去33
#ɿ	
tʰ	[1]偷凸突秃[2]头投图徒涂途屠[3]吐土[5]透兔[6]豆痘读窦毒独渎渎杜妒度渡镀吐
n	[2]奴[3]努弩[6]怒
l	[1]搂[2]娄喽髅庐卢芦{～花}炉泸颅[3]搂篓卤掳鲁虏[5]绿六鹿[6]陋镂漏露路陆录赂禄鹭
x	[1]瘊[2]猴侯喉篌[3]吼[6]后厚候逅
ts	[1]周州舟粥洲租[3]肘走组祖诅阻[5]皱妯轴咒纣宙昼骤足族卒奏揍
tsʰ	[1]抽粗[2]仇绸畴酬稠筹踌[3]丑[5]臭促凑[6]猝醋卒簇蹴
s	[1]收搜馊嗖飕艘苏酥稣[2]俗[3]手守首叟擞[5]瘦速诉嗽宿肃塑[6]寿受兽授售狩素
z	[2]揉柔蹂[5]肉
#an	
p	[1]班扳般斑[3]板阪版[5]绊跘
pʰ	[6]办
m	[2]蛮[6]慢漫
f	[1]翻帆番藩[2]凡矾烦樊璠繁[3]反返[5]泛畈[6]犯饭范贩梵
t	[1]丹担单眈耽殚郸[3]胆疸掸[5]担
tʰ	[1]摊坍滩[2]谈弹琴谭檀潭[3]坦忐毯袒[5]叹炭碳[6]但旦诞淡惮弹蛋氮
n	[2]难腩[6]难{苦～}
l	[2]兰岚拦栏婪蓝澜褛篮斓[3]览揽缆榄懒[6]烂滥
k	[1]间[3]敢感橄[5]干
kʰ	[1]刊堪铅[3]槛砍侃
x	[1]憨酣[2]邯韩寒咸[3]罕喊[6]汉焊憾撼
ŋ	[1]鹌鞍庵淹[3]眼[5]案按[6]黯岸暗
ts	[1]簪[3]攒
tsʰ	[1]餐参[2]残惭[3]惨[5]灿璨[6]暂赞攢
s	[1]三[3]伞馓散[5]散
#ən	
p	[1]奔[3]本畚[5]奔{投～}
pʰ	[1]喷[2]盆[5]喷[6]笨
