#ɿ			
l	[1]啰□{屁股}[2]羅鑼籮蘿{菠～，～蔔}騾螺邏腡[4]裸[5]旯		
s	[1]蓑梭唆[3]鎖瑣所		
tʃ	[2]助[3]左佐阻		
tʃʰ	[1]搓初[2]鋤[3]楚礎[4]坐座[5]挫銼錯{寫～，交～}		
ʃ	[1]梳疏蔬[2]傻[3]嗩		
k	[1]歌哥鍋戈[3]果裹[5]旮個過{記～}		
ŋ	[2]蛾鵝俄餓臥娥峨[4]我		
h	[2]荷{薄～，～花}河何賀□{～呐}[3]可[5]坷		
∅	[1]阿{～膠}屙		
#uɔ			
∅	[1]窩渦萵涴蝸撾哦[2]和{～氣，～泥，～聲}禾[4]禍		
ai			
p	[1]掰[2]稗敗[3]擺[5]拜湃		
pʰ	[2]排牌篺徘[5]派		
m	[2]埋賣邁[4]買		
f	[5]塊{一～（石頭）}快筷		
t	[1]呆{書～子}歹[2]大{老～，～夫}[5]戴帶		
tʰ	[1]呔{領帶}[5]態太泰貸汰肽		
n	[4]乃奶氖迺{人名用字}		
s	[1]嘥{浪費}㩄[4]徙[5]賽曬		
l	[1]拉孻{最小的}[2]賴攋瀨籟癩		
tʃ	[1]齋[2]寨[5]債		
tʃʰ	[1]猜釵差{出～}[2]豺柴[4]踩		
ȵ	[3]踩		
k	[1]皆階佳街楷[3]解{～放，姓～，了～，押～}[5]介界芥尬疥屆戒誡		
ŋ	[1]挨{～近}[2]艾涯崖挨{～打}		
h	[1]揩嗨[2]孩諧鞋[4]械懈蟹骸		
∅	[1]埃		
#iai			
∅	[5]□{嚼}		
#uai			
k	[1]乖[3]拐傀[5]怪		
∅	[1]歪[2]懷槐淮壞		
#ɐi			
p	[1]跛[2]弊幣斃陛[5]蔽敝閉		
pʰ	[1]批		
m	[1]□{削東西}[2]迷謎{猜～}[4]米靡美		
t	[1]低[2]逮第遞弟隸[3]底抵{～押}詆邸砥[5]帝蒂諦締		
tʰ	[1]梯銻[2]堤題提蹄啼[3]體睇[5]嚏替涕剃		
l	[2]泥{水～，（糊牆）～子}		
s	[1]西犀荽[4]洗[5]細婿		
l	[2]例厲勵犁黎麗荔[4]禮		
tʃ	[1]擠劑[2]滯[3]崽仔[5]制製祭際濟掣		
tʃ	[1]妻淒棲萋[2]齊臍[5]砌		
ʃ	[1]篩[2]誓逝使{大～}[3]使{好～}駛[5]世勢		
k	[1]雞[5]計繼髻		
k	[1]稽溪奚[3]啟[5]契楔		
n	[2]藝桅危偽魏霓毅巍[4]蟻		
h	[1]閪{女性生殖器}[3]喺[2]系繫係		
∅	[3]矮		
#uɐi			
f	[1]魁		
k	[1]圭閨龜歸矽[2]跪櫃[3]詭軌鬼傀[5]鱖桂季貴瑰		
kʰ	[1]盔虧窺規[2]奎攜癸逵葵馗[5]潰{崩～，～爛}愧饋		
∅	[1]揮輝徽威[2]衛彗惠慧為{行～，～了}位惟遺唯諱圍違謂韋葦維帷蝟渭薈[3]毀萎委[4]偉緯胃瑋煒痿[5]喂慰畏猥蔚尉偎		
#ɔi			
t	[2]待怠殆代袋黛玳岱		
tʰ	[1]胎[2]台{天～山}臺{舞～}苔{舌～，青～}抬才臺		
n	[2]耐奈內		
s	[1]腮鰓		
l	[2]來睞崍萊		
tʃ	[1]災栽哉[3]宰[5]載{車～，～重}再		
tʃ	[2]才材財裁[3]彩采睬[4]在[5]菜蔡		
ʃ	[1]賽		
k	[1]該[3]改[5]蓋		
k	[5]概溉丐慨{感～，憤～}鈣[3]凱		
ŋ	[2]礙外		
h	[1]開[2]害[3]海[4]亥駭		
∅	[1]哀[3]藹皚[5]愛		
#ui			
p	[1]杯[2]背{～書}[5]貝輩背{～書包，後～}狽唄		
pʰ	[1]胚坯丕[2]培陪賠裴焙蓓[4]倍[5]沛配佩霈		
m	[2]梅枚玫媒煤麻莓妹黴酶[4]每		
f	[1]魁恢灰詼[3]悔賄誨[5]晦		
t	[1]堆[2]隊[5]對碓兌		
tʰ	[1]推[2]頹[3]腿[5]退蛻褪		
s	[1]雖[2]瑞髓綏遂隧穗[5]碎歲		
l	[1]壘磊[2]蕾雷擂{～鼓，打～臺}累{勞～}淚潦繚[4]累{積～}類屢[5]累{連～}儡		
tʃ	[1]追錐椎[2]罪贅墜聚敘[3]嘴[5]最醉		
tʃʰ	[1]催崔吹炊摧[2]隨垂槌錘捶陲隋[5]脆翠粹淬萃啐悴		
ȵ	[4]乳		
ʃ	[1]衰[2]稅睡誰帥[3]水		
k	[5]□{憔悴}		
kʰ	[4]藠[5]檜劊繪		
h	[2]蛔		
∅	[1]煨[2]回茴匯會{～計，開～}彙[4]會{學～}		
#iui			
∅	[2]睿[4]銳蕊		
#au			
p	[1]包胞苞鮑[5]豹		
pʰ	[1]拋雹泡[2]刨{足～地}庖[3]跑[5]泡{松～，浸～}炮		
m	[1]□{發黴}[2]矛茅貌		
n	[2]鬧□{罵人}		
l	[1]撈澇[3]佬		
tʃ	[2]皂[3]棗找[5]罩		
tʃʰ	[1]抄鈔[3]炒吵		
ʃ	[1]梢[5]潲哨□{齙牙}		
k	[3]絞狡鉸搞[5]教較		
kʰ	[5]靠		
h	[1]烤拷敲酵[2]效校{學～，～對}[3]考巧[5]孝		
∅	[5]坳		
#iau			
m	[5]廟		
k	[1]交膠郊跤鮫蛟		
ȵ	[5]爪		
#ɐu			
p	[1]褒煲[2]瀑暴爆曝報[3]寶堡保		
pʰ	[2]袍[3]菢[4]抱剖		
m	[1]痞踎[2]謬毛冒帽茂貿謀髦[4]卯某畝牡		
f	[2]埠浮[3]否		
t	[1]刀叨兜蔸篼搊[2]稻盜導悼豆痘道[3]島倒{～塌，～掛}搗鬥{北～}抖陡[5]到鬥{爭～}逗竇		
tʰ	[1]偷滔掏濤[2]頭投糙桃逃淘陶萄[3]討禱[5]透套		
n	[1]鰍□{生氣}皺[4]紐扭鈕腦惱㩆		
s	[1]騷臊搔筲艘羞修[3]叟嫂搜{～查，～集}[5]颼掃{～地，～把}捎潲秀繡鏽		
l	[1]簍嘮騮[2]樓漏陋流劉留榴硫琉餾勞{勤～，～軍}牢癆[4]摟{（用手）～錢，～抱}柳老姥		
tʃ	[1]鄒周舟州洲遭糟縐[2]就袖肘紂宙胄驟躁曹槽造嘈[3]走酒早藻爪糾遂糾{～察，～合}[5]奏晝咒灶燥		
tʃʰ	[1]秋鞦抽鰍操{～守，體～}[2]泅巢囚綢稠籌愁讎酬售仇[3]丑醜草[5]湊臭嗅		
ʃ	[1]收[2]受壽授[3]手首守[5]嗽瘦獸□{～牙（齙牙）}		
k	[1]溝鳩高膏{牙～，～車}篙羔糕[2]舊嚿{量詞，塊}[3]狗苟九久韭枸[5]垢夠構購灸救究柩告疚		
k	[1]摳瞘□{引誘}[2]求球裘[4]舅[5]叩扣寇蔻		
ŋ	[1]勾{～消，～當}鉤蒿[2]牛熬傲鼇獒[4]藕偶{配～，～然}		
h	[1]侯喉猴瘊後后候薅蒿睺[2]蠔豪壕毫號{～叫，編～}浩[3]口好[4]厚[5]耗好{愛好}		
∅	[1]歐甌鷗毆區{姓}[3]嘔[5]漚慪謳澳懊奧襖		
#iɐu			
∅	[1]休優憂悠幽丘邱[2]釉尤郵又右佑由油遊猶柚柔揉酉[3]朽[4]有友誘[5]幼		
#ɛu			
p	[1]包[3]飽[5]齙		
pʰ	[1]飄漂{～亮}[2]瓢嫖鰾刨{～皮，～刀}[5]票		
m	[1]貓		
l	[1]鷯溜		
ȵ	[3]撓{阻～}		
k	[1]跤[3]攪餃趼[5]臼覺{睡～}		
kʰ	[5]竅		
ŋ	[3]咬		
h	[2]姣		
#iu			
p	[1]煮漉鏢飆彪膘標表{手～}[3]裱表{外～}[5]漂{～浮，～白}		
m	[2]苗描[4]藐渺秒[5]妙		
t	[1]刁貂雕丟碉凋[2]掉調{～查}[4]鳥屌[5]釣吊		
tʰ	[1]挑肩{～挑，～戰}[2]條調{協～}[5]跳		
n	[2]尿{撒～}[4]鳥{禽～}		
s	[1]梢消宵霄硝銷逍蕭簫屑[3]小		
l	[1]溜[2]燎療聊遼撩僚嘹瞭料廖鐐獠[4]了		
tʃ	[1]焦蕉椒朝{今～}昭招詔[5]趙照召{號～，～集}		
tʃʰ	[1]超蹻悄[2]嘲樵瞧朝{清～}潮憔[5]鞘{鞭～，刀～}俏峭		
ȵ	[4]淆饒擾繞{圍～，～圈}堯		
ʃ	[1]燒[2]肇韶紹邵晁[3]稍少{多～}[5]兆少{年～}笑		
k	[1]驕嬌澆矯[3]繳剿[5]叫		
kʰ	[2]喬僑橋蕎翹轎		
h	[1]囂[3]曉僥		
∅	[1]妖邀腰要{～求}吆[2]肴搖謠窯姚遙耀鷂[4]舀杳[5]要{想～}		
#am			
t	[1]耽擔{承～}[2]啖[3]膽疸[5]擔{重～}		
tʰ	[1]貪[2]潭譚談痰曇[4]淡[5]探		
n	[2]男南楠喃腩[5]□{跨過去}		
s	[1]三三		
l	[2]藍籃濫[4]覽攬欖纜艦		
tʃ	[1]簪[3]斬[5]站{罰～，車～}暫		
tʃʰ	[1]參{～加，～差}攙[2]蠶慚讒饞[3]慘[4]鏨[5]杉懺滲摻		
ʃ	[1]衫		
k	[1]監尷[5]鑒鑑		
