#符号说明：-白=文/书*俗?待考	
#调值	[1]¹¹² [2]⁵² [3]³²⁴ [4]⁵³ [5]³³⁴ [7a]⁵⁵ [7b]³ [8]³¹² [0]⁰
#ɿ	
ts	[1]猪支枝[3]煮鼠紫纸旨子籽止趾址[4]是[5]智至志痣□{~饭：盛饭}□{~瓦：旧式瓦}
tsʰ	[1]撕雌痴[2]池迟[4]苎雉痔[5]箸刺治
s	[1]梳筛{筛子}施私师狮蛳司丝诗尿[2]锄薯脐匙糍慈祠时□{~杷：枇杷}□{饭~：木制饭勺}[3]死[4]荠{~~菜：荠菜}仕柿市[5]自四肆示视嗜字伺饲事始试侍[7a]□{家~：器具}
#i	
p	[1]篦鞭编边[2]匾□{鞋~：竹制针线筐}[3]毙比扁[5]闭变遍{一~}[7a]屄鳖
pʰ	[1]批披偏[2]皮肥{洋~皂：肥皂}便{~宜}[3]便{副词}别{~农：别人}[4]被{名词}辫[5]避屁骗便{便宜}片[7a]鐾篇{一~}撇匹劈□{量词，层}
m	[2]眉棉眠[3]灭篾搣{捻}□2{那}□{tsʰəɯ¹¹²~：梁}[4]米尾{~巴}[5]面{脸}麵□{~瓦：砚台}[7a]弥{阿~陀佛}□{夜~：傍晚}
f	[1]飞□{用油炸}[2]肥{~料}[3]榧[5]肺痱费
t	[1]低癫[3]底抵点典[5]帝蒂店
tʰ	[1]添天[2]提蹄甜钱{一~}田钿填[3]舔[4]弟簟□{填使平}[5]替涕剃第递地掭殿垫
l	[2]驴1{~狗子：驴}犁黎离篱璃梨狸镰帘连联莲□{红~树：香椿树}[4]礼李里{一~路}裹理鲤[5]滤厉荔泪练楝[7a]厘{量词}蜊曆{官~：历书}
tɕ	[1]鸡笄飢基箕纪{年~}机饑尖奸{~臣}煎肩[3]挤姊几{茶}幾{~个}剪笕[5]祭穄计繫髻寄记{动词}醉佔剑箭建见牮□{楔子}[7a]接劫挟{~菜}折{九~}羯{阉}茧趼结{~果}
tɕʰ	[1]妻溪欺籤签件{一~}千牵□{火~：火铲子}[2]奇骑棋期旗钳缠□{什么}[3]企起浅[5]砌契气汽欠
ȵ	[1]黏[2]泥腻阎{~老王：阎王}严年研[3]业热孽[4]染碾[5]意{只只~：故意}念□{~槽：抽屉}
ɕ	[1]西嬉仙鲜{新~}先苫{稿~：房子上用的稿荐}□{脚骨~头：膝盖}□{~矮：很矮}□{傻~~：傻乎乎}[2]齐随前[3]社洗喜蟢癣折{~本}绝□{~低：很低}[4]鳝蟮[5]絮荠{地荸~：荸荠}细{粗~}婿世岁戏袖{衫~头：袖子}贱线闪扇现{~宝：炫耀}旋{为上的}鏾{~鸡：阉鸡}[7a]泄髓歇雪
k	[3]□2{这}
Ø	[1]医衣依萁{莨~：蕨}焰烟[2]宜移姨盐{名词}檐嫌弦[3]椅叶页翼厣{鳞}□{痂}[5]意厌盐{腌}现{~成}[7a]靥
#ʊ	
p	[1]包{~萝：玉米}□{口~：嘴}[3]补谱[5]布{~鞋}荸□{铺设}
pʰ	[1]铺{动词}潽{沸}[2]蒲葡菩[4]簿[5]铺{名词}步埠伏特{孵}□{~日头：晒太阳取暖}[7a]部{量词}
f	[1]麸[2]敷符芙附浮妇{细新~：童养媳}[3]府斧[4]妇{新~：媳妇}[5]付傅赴负{欺~}富副
t	[1]多都{首~}[3]朵躲都{~是}堵赌肚{猪~}
tʰ	[2]驼驮{抱}陀徒涂图[3]土吐{~痰}吐{呕~}[4]舵肚{~皮：肚子}[5]大{~细：大小}妥椭兔渡
n	[5]糯
l	[2]罗锣箩骡螺脶炉芦驴2[4]卤□{大范围地砍}[5]路露□{搞~sɤ5：玩儿}
ts	[1]租[3]祖阻[5]做
tsʰ	[1]搓粗初[3]楚[5]锉醋错
s	[1]蓑梭唆稣鬚□{翼~：翅膀}[3]锁[4]坐座[5]素诉塑助数{名词}漱□{模子}□{塌陷}
k	[1]歌哥{~弟}姑孤咕{像声词}[2]咕{卒卒~：卒子}咕{像声词}[3]果裹馃粿古估牯股鼓[5]过故固雇顾
kʰ	[1]科窠箍[3]苦[5]课库裤
ŋ	[2]蛾鹅俄娥吴[5]饿
x	[1]呼乎{傻~~}[2]河何荷{~花}荷{薄~}和{~气}禾[3]火伙{~食}虎[5]贺货戽
Ø	[1]桠乌□{~髻：髻}□{气逼哈~：气喘吁吁}[2]梧胡{姓}壶葫鬍狐[3]坞武舞□{丢失}[4]祸[5]和{暖~}涴{屎}糊{~泥：黄色黏土}雾话□{煮}[7a]□{三十夜~：除夕}
#y	
tɕ	[1]诸居车{~马炮}朱殊珠拘驹[3]举主矩□{看守}[5]注蚌铸句指{动词}□{~家：回去}□{担~：帮助挑担用的棍子}
tɕʰ	[2]徐除[3]取[4]柱
ȵ	[2]蜈鱼渔[3]女{男~}
ɕ	[1]书舒输{~赢}[3]数{动词}[4]聚竖[5]树
Ø	[2]如余{姓}馀围{~裙}[4]雨[5]芋佑
#ɑ	
p	[3]把{介词}摆[5]簸{动词}拜[7a]爸{阿~：爸爸}[0]罢{了}
pʰ	[2]排牌簰[5]破派败
m	[2]埋[4]买[5]卖没{无~：没有}[7a]妈
