IPA	調值	字		
tan	33	擔(-~)旦		
tʰan	55	貪坍灘攤□(~冷:涼涼)		
tʰan	213	譚潭談痰檀壇彈(~琴)		
tʰan	51	毯淡1坦		
tʰan	33	探碳歎		
tʰan	324	淡2誕但彈(子~)蛋(皮~)		
nan	213	男南難(困~)		
nan	324	難(患~)		
lan	55	□(口~:口水)		
lan	213	藍蘭欄擱		
lan	51	覽攬欖纜懶		
lan	324	濫爛		
lan	24	□(雞~嘚:未成年的母雞)		
tsan	51	鏨斬		
tsan	33	蘸贊灒		
tsan	324	站(車~)		
tsʰan	55	參(~加)餐		
tsʰan	213	蠶慚饞攙殘纏蟬		
tsʰan	51	惨鏟產		
tsʰan	33	燦		
tsʰan	324	暫賺□(~日:昨天)		
san	55	三衫珊山刪		
san	51	傘散(~開)		
san	33	散(分~)		
kan	55	監(~視)尴間(時~)奸肩		
kan	51	減堿簡柬揀街(~□nɔŋ55:街上)		
kan	33	監(~緊:看守住)間(~開)諫		
kan	324	□(~□nɔŋ55:這樣)		
kʰan	51	砍		
kʰan	33	嵌		
han	213	鹹銜閑		
han	33	喊		
han	324	限		
han	24	莧(~藥)		
ŋan	213	涯(天~海角)崖2岩顏		
ŋan	33	晏(晚)□(~腳:四凸不平的硬物把腳咯得難受)諳(~算:估量)		
ŋan	51	眼□(~下:小睡)		
pian	55	鞭編邊蝙		
pian	51	辮(~嘚:辮子)貶扁匾		
pian	33	變遍		
pʰian	55	篇偏		
pʰian	213	便(~宜)		
pʰian	51	□(傳染)		
pʰian	33	騙片		
pʰian	324	辩汴便(方~)		
mian	213	棉綿眠		
mian	51	勉娩免		
mian	33	面(臉)		
mian	324	緬麵(~粉)		
tian	55	掂(~東西:用手尖夾東西)顛		
tian	213	鐮		
tian	51	點典連(龍~鳳:龍和風)□(~緊老弟:照顧好弟弟)		
tian	33	店		
tian	24	鰱(~嘚:鰱魚)		
tʰian	55	添天		
tʰian	213	甜田		
tʰian	51	舔		
tʰian	324	簟(~:竹子做的席子·用來曬東西的工具)電奠殿佃塾		
nian	55	蔫□(~柴:抱柴火)		
nian	213	粘言年硏		
nian	51	碾□(~腦:點頭)		
nian	33	□(回答、答應)		
nian	324	驗念硯		
lian	213	廉簾連(~隊)聯(~繋)憐蓮		
lian	51	斂殮臉		
lian	324	練楝鏈戀		
ʨian	55	尖殲兼煎箋堅櫼(木楔)□(~腳:用腳踢一脚)		
ʨian	51	繭檢剪		
ʨian	33	艦劍濺建鍵薦見		
ʨʰian	55	簽謙遷千牽		
ʨʰian	213	鉗錢乾(~隆)前撏(拔)		
ʨʰian	51	潛淺遣		
ʨʰian	33	欠歉		
ʨʰian	324	漸儉賤踐餞件健腱		
ɕian	55	仙鮮先		
ɕian	213	嫌腎玄(河~邊:河邊)		
ɕian	51	險顯筅(~帚:竹子做的掃把)		
ɕian	33	羡憲獻現(~呀~:在別人面前炫耀自己的東西)		
ɕian	324	陷餡現		
ɕian	24	䘆(~嘚:蚯蚓)		
kian	55	跟根更(五~)庚(老~:同歲的人)耕		
kian	51	哽耿□(~緊:噎住)□(~緊蓋嘚:盖住蓋子)		
kian	33	更(~加)		
kʰian	51	墾肯(~定)啃		
ŋian	55	恩		
ian	55	淹煙燕(~京)		
ian	213	炎鹽閻嚴延筵		
ian	51	掩演		
ian	33	厭雁堰燕(~子)宴□(~飯:就飯吃、下飯)		
ian	324	豔焰諺□(~東西:灑粉未狀的東西)		
puan	55	班斑頒扳般搬		
puan	51	板版		
puan	33	扮半□(~緊:禁緊)		
pʰuan	55	攀潘		
pʰuan	213	盤		
pʰuan	51	瓣拌(涼~)		
pʰuan	33	盼判		
pʰuan	324	辦絆件叛拌(攪~)		
muan	213	攀瞞饅		
muan	51	滿		
muan	324	慢漫幔蔓		
muan	24	晚(~頭:晚上)		
fuan	55	歡藩番翻		
fuan	213	凡帆完1桓環(~境)煩繁還(~原)		
fuan	51	反緩		
fuan	33	販喚焕		
fuan	324	換(調~∶調整)飯泛範犯幻患宦		
tuan	55	端		
tuan	51	短		
tuan	33	鍛		
tʰuan	213	團□(~近:附近)		
tʰuan	51	斷(~開)		
tʰuan	324	斷(~絕)段緞椴		
nuan	51	暖		
luan	213	鸞		
luan	51	卵(男陰)		
luan	324	亂		
tsuan	55	磚專		
tsuan	51	轉(~車)		
tsuan	33	鑽轉(~圈)		
tsʰuan	55	川穿汆(~湯:水燒開後放入湯料的一种快速做湯的方法)		
tsʰuan	213	傳(~達)椽		
tsʰuan	51	喘		
tsʰuan	33	串篡		
tsʰuan	324	篆撰傳(~記)		
suan	55	酸門拴		
suan	213	船		
suan	33	算蒜		
kuan	55	甘柑干(若~)乾(~濕)肝官棺觀冠(雞~)鰥關		
kuan	51	感敢橄趕杆管館		
kuan	33	幹(新~:縣名)貫灌冠(~軍)慣		
kʰuan	55	堪龕勘刊看(~守)寬		
kʰuan	51	坎款		
kʰuan	33	看(~到)		
huan	55	憨酣鼾		
huan	213	含函寒韓		
huan	51	罕		
huan	33	漢		
huan	324	撼憾旱汗翰		
ŋuan	55	庵安鞍		
ŋuan	51	□(碾)		
ŋuan	33	暗岸按案		
uan	55	豌彎灣環(耳~)		
uan	213	完₂玩頑還(~錢)		
uan	51	挽皖碗腕		
uan	324	萬換(~鞋)		
tyan	213	聯(~衣服:縫衣服)		
nyan	51	軟阮		
ʨyan	55	捐絹		
ʨyan	51	捲		
ʨyan	33	娟卷眷劵(國庫~)		
ʨʰyan	55	圈		
ʨʰyan	213	全泉拳權颧		
ʨʰyan	51	犬		
ʨʰyan	33	勸		
ʨʰyan	324	倦□(到處~:到處遊玩)		
ɕyan	55	軒掀宣喧		
ɕyan	213	旋弦玄懸		
ɕyan	51	選癬		
ɕyan	324	縣眩旋(~吃~做:現吃現做)		
yan	55	院(書~:學校)淵冤		
yan	213	圓員緣沿(~樹:爬樹)鉛(~筆)元原源袁轅園援丸(~子:藥丸)恒瑞(~:人名)		
yan	51	遠		
yan	33	怨		
yan	324	院(~長)願		
pɛn	55	奔		
pɛn	51	本		
pʰɛn	55	噴烹□(~出:溢出)		
pʰɛn	213	盆		
pʰɛn	324	笨(~蛋)		
mɛn	213	門		
mɛn	324	悶		
mɛn	24	蚊		
fɛn	55	分芬粉		
fɛn	213	焚墳横(~江:鎮名)		
fɛn	51	粉		
fɛn	33	糞		
fɛn	324	奮憤忿份		
tɛn	55	登燈		
tɛn	51	等		
tɛn	33	凳□(~起腳來:踮起腳來)□(~醬油:蘸醬油)		
tʰɛn	213	藤滕□(唔~:不管)		
tʰɛn	51	□(~被:踢被子)		
tʰɛn	33	□2(~屍:挨時間)		
tʰɛn	324	鄧□(~緊:拉緊)		
lɛn	51	染		
lɛn	324	□(滴·漏)		
tsɛn	55	瞻占(~卜)簪曾(姓)增笋□(~緊:看守住)		
tsɛn	51	盞展□(~緊:壓緊)		
tsɛn	33	佔戰顫甑		
tsʰɛn	213	岑曾(~經)層		
tsʰɛn	51	□(煮~嘚:煮得熟透了)		
tsʰɛn	33	蹭		
tsʰɛn	324	襯(~衣)贈		
sɛn	55	生(~氣)森參(西洋~)僧鱔(黃~:鱔魚)		
sɛn	51	陝閃沈審嬸省(~長)		
sɛn	33	扇□(~乾:瀝乾)		
sɛn	324	渗善單(姓)禪		
hɛn	55	亨哼(~句:出聲)□(用力打)□(評批、責備)		
hɛn	213	痕恒衡		
hɛn	51	很肯(不~)		
hɛn	33	□(~緊:含警·不吞下去)		
hɛn	324	恨杏		
uɛn	213	文紋聞		
uɛn	51	吻刎		
uɛn	324	問		
nin	213	人銀凝寧		
nin	51	忍		
nin	33	□(~三~四:猶豫)		
nin	324	認韌毅(~力)		
ʨin	55	今金巾斤筋莖京荆精(~神)驚(~喜)鯨經		
ʨin	51	錦緊謹景境警(~察)		
ʨin	33	禁勁敬竟		
ʨʰin	55	欽卿		
ʨʰin	213	琴禽擒芹勤		
ʨʰin	51	噤(打~:打顫)		
ʨʰin	33	慶		
ʨʰin	324	僅近競		
ʨʰin	24	□雞(~嘚:雞胗)		
ɕin	55	欣興(~旺)		
ɕin	213	行(~爲)形型刑		
ɕin	51	興(~煞:很高)		
ɕin	324	興高(~幸)		
in	55	音陰蔭因姻殷應1(~當)鷹蠅鶯鸚櫻英嬰纓		
in	213	吟寅迎盈營		
in	51	飲引隱影(電~)		
in	33	印應2(~當)映洇(~濕紙:液體在紙上向四周擴散)		
fun	55	昏婚		
fun	213	魂餛渾		
fun	33	睏(睡)		
fun	324	混		
tun	55	敦墩蹲驐(~豬:閹割豬)		
tun	51	□(~緊:攔住)		
tun	33	頓		
tʰun	55	吞		
tʰun	213	屯豚臀飩		
tʰun	51	□(~鞋:脫鞋子)		
tʰun	324	沌遁鈍		
nun	324	嫩		
lun	213	侖倫淪輪		
lun	33	□(打滾)		
lun	324	論潤閨		
tsun	55	遵尊		
tsun	51	准		
tsun	33	圳(小的溝渠)		
tsʰun	55	村春		
tsʰun	213	存		
tsʰun	51	蠢		
tsʰun	33	寸		
sun	55	孫遜		
sun	213	唇旬荀循巡純醇尋(~人)		
sun	51	損筍榫		
sun	324	殉順舜		
kun	51	滚		
kun	33	棍		
kʰun	55	昆葷(~菜:肉菜)		
kʰun	51	捆		
kʰun	33	困		
un	55	溫瘟		
un	213	□(久燉)		
un	51	穩		
ʨyn	55	均鈞軍君		
ʨyn	51	菌		
ʨʰyn	55	傾		
ʨʰyn	213	群裙瓊		
ʨʰyn	324	郡		
ɕyn	55	薰熏勳兄1		
ɕyn	33	訓		
yn	55	暈		
yn	213	匀雲穎		
yn	51	允尹永泳		
yn	324	熨韻運孕		
paŋ	55	□(爭奪、拉扯)		
paŋ	213	□(~硬:很硬)		
paŋ	33	□(藏)		
pʰaŋ	55	蚌(夾~嘚:河蚌)		
pʰaŋ	213	彭膨棚		
pʰaŋ	51	□(~門:摔門)		
pʰaŋ	324	□(大甕)		
maŋ	55	牤(牛~)□(~緊:蒙住)		
faŋ	55	□(~錢:揮霍錢)		
laŋ	51	冷		
tsaŋ	55	爭(~發嘚:差點兒)睜		
tsaŋ	51	正(~月)整(~病:治病)		
tsaŋ	33	正(~來:剛來)		
tsʰaŋ	55	撐		
tsʰaŋ	51	□(~風:生氣)		
tsʰaŋ	33	撐2□(~嘴:反駁、頂嘴)		
tsʰaŋ	324	鄭(姓)		
saŋ	55	生(陌~)牲甥聲(~氣:聲音)		
saŋ	213	生(有~:活的)		
saŋ	51	省(節~)		
kaŋ	51	□(打擾)		
kaŋ	33	□(~飯~菜:給小孩餵飯餵菜)		
kʰaŋ	55	坑		
haŋ	213	行[學~:學走路]		
haŋ	324	□(我)		
ŋaŋ	55	□(不機靈)		
ŋaŋ	324	硬		
piaŋ	51	餅		
pʰiaŋ	213	平(~整)		
pʰiaŋ	324	病		
pʰiaŋ	24	坪		
miaŋ	213	明(~日:明天)名(~聲:名氣)		
miaŋ	324	命(~不好:命運不好)		
tiaŋ	55	丁釘叮訂□1(魚~:魚鳞)		
tiaŋ	213	零(~食)□2(魚~:魚鱗)		
tiaŋ	51	嶺(山)領(~緊人:看管好小孩)		
tiaŋ	33	□(扔)		
tʰiaŋ	55	聽汀		
tʰiaŋ	213	□(沉澱)		
tʰiaŋ	324	定(講~:講好)		
liaŋ	213	靈霁2(~位數)鈴		
liaŋ	51	領(衣~)		
ʨiaŋ	55	驚(~怕:霅怕·擔心)精(~肉:瘦肉)		
ʨiaŋ	51	井頸警(~覺:覺察·關注)		
ʨiaŋ	33	鏡		
ʨʰiaŋ	55	清輕青(~色)		
ʨʰiaŋ	213	擎(~傘)晴		
ʨʰiaŋ	51	請		
ʨʰiaŋ	324	淨靜□(~緊:小心)		
ɕiaŋ	55	星(~光)腥兄2		
ɕiaŋ	51	醒		
ɕiaŋ	33	姓		
iaŋ	213	赢		
iaŋ	51	影(冇~:毫無根據)		
iaŋ	24	□(~嘚:院子)		
#	51	梗uan		
kuaŋ	51	梗		
uaŋ	213	横(~直)		
uaŋ	324	横(蠻~:很不講道理)		
pɔŋ	55	幫邦		
pɔŋ	51	榜		
pɔŋ	33	謗		
pʰɔŋ	213	旁		
pʰɔŋ	51	□(顛簸)		
pʰɔŋ	324	傍		
mɔŋ	213	忙芒茫盲		
mɔŋ	51	莽蟒網		
fɔŋ	55	荒慌方芳		
fɔŋ	213	蝗肪妨房防黃(~河)		
fɔŋ	51	謊仿紡訪		
fɔŋ	33	放		
fɔŋ	324	晃		
tɔŋ	55	當(~時)		
tɔŋ	51	黨		
tɔŋ	33	當(~真)		
tʰɔŋ	55	淌(~水:從水中踩過去)湯□(~風:吹風)		
tʰɔŋ	213	堂唐糖塘螳棠		
tʰɔŋ	51	躺□(~碗~筷:用水快速清洗一下碗筷)		
tʰɔŋ	33	燙		
tʰɔŋ	324	蕩□(迷路)□(~藥:抹藥)		
nɔŋ	33	襄瓤□(~煞:很油腻)		
nɔŋ	24	□(~裡:上面)□(半夜時~嘚:半夜的樣子)		
lɔŋ	55	□(排列稀疏)		
lɔŋ	213	郎廊狼螂		
lɔŋ	51	朗壤嚷攘		
lɔŋ	33	浪1㫰(~衣服:晾衣服)		
lɔŋ	324	浪₂讓		
tsɔŋ	55	髒張(姓)莊樁章樟		
tsɔŋ	51	漲(~價)掌(手~)		
tsɔŋ	33	掌(巴~)葬仗帳賬壯(肥眫)障瘴		
tsʰɔŋ	55	倉蒼瘡昌菖窗尙(和~)		
tsʰɔŋ	213	藏長(~短)腸		
tsʰɔŋ	51	場闖廠		
tsʰɔŋ	33	暢創唱倡		
tsʰɔŋ	324	藏(西~)丈(-~)杖狀撞		
sɔŋ	55	桑喪(婚~)霜孀商傷雙		
sɔŋ	213	床常嘗裳償		
sɔŋ	51	嗓爽賞上(~富田:去富田·並且富田是處在出發地的南面)		
sɔŋ	33	尙(高~)喪(~失)		
sɔŋ	324	上(~司)		
kɔŋ	55	岡崗剛綱鋼缸江扛		
kɔŋ	51	講港豇(~豆嘚:豇豆)		
kɔŋ	33	降虹(一條~)鋼(刀鈍了，鋼鋼)		
kʰɔŋ	55	康(~健:健康)		
kʰɔŋ	51	慷		
kʰɔŋ	33	抗炕		
hɔŋ	55	糠夯		
hɔŋ	213	行(一~)航杭		
hɔŋ	33	巷(~路嘚:巷子)		
hɔŋ	324	項|		
hɔŋ	24	□(~嘚:小甕)		
ŋɔŋ	51	□(~一眼:快速地看一眼)		
tiɔŋ	55	張(~飯:盛飯)□(~手~腳:阻礙)		
tiɔŋ	213	量(~長短)		
tiɔŋ	51	漲(~水)長(~大)		
tiɔŋ	33	脹(~膿:化膿)丈(~地下:丈量士地)		
tiɔŋ	324	兩(一~)		
niɔŋ	213	娘		
niɔŋ	51	仰(~起腦殻:抬起頭)□(肢體抖動)□(~煞:很得意)		
niɔŋ	324	釀		
liɔŋ	213	良涼梁梁		
liɔŋ	51	兩(~斤)輛		
liɔŋ	324	亮諒量(數~)		
ʨiɔŋ	55	将(~來)漿疆僵韁薑		
ʨiɔŋ	51	蒋獎槳		
ʨiɔŋ	33	醬將(~帥)		
ʨʰiɔŋ	55	槍羌匡(姓)腔		
ʨʰiɔŋ	213	強		
ʨʰiɔŋ	51	搶		
ʨʰiɔŋ	33	□(斜·歪·不正)		
ʨʰiɔŋ	324	□(脈絡不通)		
ɕiɔŋ	55	相(~信)箱廂湘鑲襄匠香		
ɕiɔŋ	213	牆詳祥		
ɕiɔŋ	51	想享響		
ɕiɔŋ	33	相(~緊黑板:看著黑板)相(~貌)餉向		
ɕiɔŋ	324	象像橡		
iɔŋ	55	央秧殃		
iɔŋ	213	羊洋楊揚瘍		
iɔŋ	51	養		
iɔŋ	324	癢樣		
kuɔŋ	55	光		
kuɔŋ	51	廣		
kuɔŋ	33	逛		
kʰuɔŋ	55	筐眶		
kʰuɔŋ	213	狂		
kʰuɔŋ	33	況礦		
uɔŋ	55	汪		
uɔŋ	213	黄(~色)皇王枉亡		
uɔŋ	51	往		
uɔŋ	324	旺忘妄望		
puŋ	55	崩		
puŋ	33	□(斜靠在支撐物上)		
puŋ	51	捧(~緊:抱住)		
pʰuŋ	213	朋蓬		
pʰuŋ	324	碰		
muŋ	55	蒙		
muŋ	213	萌盟蒙2		
muŋ	51	猛孟懵□(~去:趕快去)		
muŋ	324	夢		
fuŋ	55	烘風楓瘋豐封峰鋒		
fuŋ	213	弘紅洪鸿虹(彩~)馮逢縫(~衣服)		
fuŋ	51	哄諷		
fuŋ	324	鳳奉俸縫(一條~)		
tuŋ	55	東冬□(~緊面:包裹住臉)		
tuŋ	51	董		
tuŋ	33	凍棟□(嶺~:山頂)		
tʰuŋ	55	通		
tʰuŋ	213	同銅桐童瞳		
tʰuŋ	51	桶捅筒統		
tʰuŋ	33	痛		
tʰuŋ	324	動洞		
nuŋ	213	農膿		
nuŋ	324	弄□(~打~:皺皺巴巴的)		
luŋ	55	聾		
luŋ	213	籠榮龍(一條~)隆絨茸蓉镕容		
luŋ	51	隴攏戎冗		
tsuŋ	55	棕鬃宗中(~間)忠終鐘盅□(~緊:揪住)		
tsuŋ	51	總眾種(有~)		
tsuŋ	33	粽中(~獎)仲縦(放~)種(~菜)		
tsʰuŋ	55	聰蔥匆充沖		
tsʰuŋ	213	從1叢蟲崇重(~複)		
tsʰuŋ	51	搡(推)		
tsʰuŋ	33	銃		
tsʰuŋ	324	重(~量)		
suŋ	55	松(~開)嵩		
suŋ	33	送宋誦頌訟		
kuŋ	55	公蚣工功攻弓(~箭)躬(鞠~)宮恭供(~應)		
kuŋ	51	拱鞏		
kuŋ	33	貢		
kʰuŋ	55	空(~虛)		
kʰuŋ	51	孔恐		
kʰuŋ	33	控空(冇~:沒空)		
kʰuŋ	324	共(~同)		
uŋ	55	翁		
uŋ	33	蕹(~菜:空心菜)		
tyŋ	55	□(~緊:堵得慌)		
tyŋ	51	壠(一~菜:一行菜)		
nyŋ	213	濃		
lyŋ	213	龍(~子:人名)		
ʨyŋ	55	弓(一把~)躬(~背:背不直)蹤(~影:痕跡)恭(~~敬敬:恭敬)供(~一家人:養一家人)		
ʨʰyŋ	213	窮從2		
ʨʰyŋ	324	共(~歸~去:一起回一起去)		
ɕyŋ	55	松(~油)胸兇		
ɕyŋ	213	熊雄		
yŋ	55	雍擁庸		
yŋ	213	融		
yŋ	51	勇湧甬		
yŋ	324	用		
m	55	姆(~媽・媽媽)		
ŋ	55	唔(表示否定)		
ŋ	213	蜈		
ŋ	51	五伍(姓)		
ŋ	24	魚(~嘚:魚)		
