来源：	《介休（张兰镇）方言音系研究》王树苗著  Vinchi录入增补
Ø	[1]渔於｛~此｝淤余馀愚虞娱吁迂于盂芋榆=逾偷围-｛~葱｝茔｛老～；～地｝[3] 语=与｛及：给~｝雨宇禹羽[5]御誉｛荣~ ｝预豫遇寓愈｛～好；病～｝喻裕喂-｛～饭｝郁育=玉欲=浴峪
#ɐr	
Ø	[1]儿而[3]尔耳饵[5]二贰｛~心｝
#ʮ	
ts	[1]猪除-｛~非｝诸诛蛛厨-｛~房；～子｝朱珠句｛年～下｝[3]阻煮杵拄｛~拐｝主帚｛笤～｝ [5]著｛显~｝助驻注柱住注蛀铸 
tsʰ	[1]除=储｛~蓄｝初锄=厨=｛~师｝触｛~电｝[3] 楚础｛柱下石｝处｛相～｝雏[5]处｛~所 ｝
nᶻ	[3]女
s	[1]锄｛~地：~转｝梳｛～头｝疏｛～远；注~｝书舒输殊淑-[3]蔬暑鼠黍署｛专~｝薯｛白~｝数｛动词｝蜀[5]庶恕数｛名词｝戍竖树粟术=
z	[1]如榆-｛~钱钱:榆钱树叶子｝[3]汝儒乳
#ɑ	
p	[1]巴芭疤爬-钯｛耧柴～～｝[3]把｛~ 握；～守；量词｝ [5]霸罢坝｛堤；～堰｝爸耙｛犁~；~地｝棒｛~~糖｝
pʰ	[1]爬=琶｛琵~｝杷｛枇~｝乓｛乒~球｝[5]怕帕 
m	[1]馍-｛~~｝麻痲蟆｛蝦~｝妈=[3]马码 [5]骂
t	[3]打[5]大=｛~~：姐姐 ｝
tʰ	[1]他
n	[1]哪=拿[3]那-｛村名：～村｝[5]那 =
l	[1]哪-｛~个｝了｛后缀：苹果熟～；句末语气词:吃了饭~｝拉垃｛~圾｝[3]□｛~（hu53）, 形容人直率，大大咧咧｝
ts	[1]渣咱｛～们｝[3]楂｛山~｝诈炸｛～弹｝乍榨｛~油｝臜｛腌~｝栅｛～栏｝
tsʰ	[1]茶叉｛～～:叉子｝杈｛枝~｝茬=查｛调～｝[3] 衩｛裤~～｝叉｛一～长：大拇指和食指之间所能撑开的长度,常用于度量｝[5]差｛～不多｝岔｛三～路｝叉｛～开：用手把塑料袋撑开｝
nᶻ	[5]□｛泥沾脚：刚刚下雨了，路上有点～｝□｛把肉剁成沫状：～成沫沫｝
s	[1]茬-沙纱萨□｛第一次做某事：～做｝ [3]洒撒｛～盐｝□｛大的容器：～碗：～子：洗衣服用的大盆｝[5]沙｛把小米里的沙 子～一～｝厦｛歇~｝□｛稀～：稀罕｝ 
tʂ	[1]争-睁-[3]这｛在~这：表示“这里” ｝
tʂʰ	[1]□｛~架：想要尝试做某事｝ [3]叉｛分开成叉形：～开腿：劈～｝
ɳ	[1]□｛“人家”的合音 ｝
ʂ	[1]生-甥｛外～子｝□｛色子：丢～｝[3]傻 
k	[5]尬｛尴～｝
ŋ	[1]腌｛~臜｝[3]卬｛~家；～们｝哑-
x	[1]哈｛～下腰｝蛤=｛~蟆｝罅｛已经裂开：～下缝缝｝ [5]吓-｛～一跳｝下-｛底~；～课｝夏-｛～天｝
Ø	[1]阿{～哥}
#iɑ	
p	[1]棚=｛~~｝□｛用针线缝合：把这个口口～住｝[5]迸｛～开了：迸裂｝壁｛村名：木～村｝
pʰ	[1]□｛~眉瞪眼：形容人厉害，含贬义｝[3]猛｛~不防｝[5]孟-｛姓｝
l	[3]冷-
tɕ	[1]茄｛东村说法｝家｛~长｝加痂嘉傢｛~具｝遐-｛村名:～壁村｝耕｛~地｝枷｛上～｝□｛手擀面条; 擀～｝[3]假｛真～｝贾｛姓｝[5]假｛放~｝架驾嫁稼价佳胛□｛“张家”的合音：～庄｝
tɕʰ	[5]洽掐｛用虎口连同拇指和别的指头按住或扣住：～死了｝
ȵ	[1]家｛人～｝牙芽衙｛～狗：公狗｝ [5]砑｛~平｝亚-｛不~于｝轧｛被车～；～棉花｝娘-｛~：祖母｝硬-｛～柴｝押-｛～金 ｝
ɕ	[1]虾｛鱼~｝霞瑕遐=暇狭=峡匣辖｛管~｝瞎= 行-｛~不~｝[5]吓=｛～一跳｝下=｛底～；～ 降｝夏｛姓｝厦=｛～门｝夏=｛春～秋冬｝杏-｛～：～核 ｝
Ø	[1]鸦涯｛天～｝崖=｛山~｝押=[3]雅哑=□｛同 一：～门道（当地一处窑洞是三眼，相通，可从一个正门进出。左右两边住的人家被称为 “～门道家”）｝[5]压=亚=｛～洲｝
#ə	
ʂ	[1]奢
k	[1]歌=戈[5]哥=个｛~人摊子：～体户｝
kʰ	[1]科=棵=颗=[3]可=｛~以｝[5]课=
ŋ	[1]蛾=鹅俄讹=额[3]我-[5]饿=
x	[1]荷=｛薄~：～花｝河=何和=｛~气｝禾[5]贺吓｛恐～｝
Ø	[1]阿｛~胶｝鄂
#uə	
p	[1]波菠玻=钵播[3]跛
pʰ	[1]坡=颇婆=｛~～妈妈｝[3]破｛～烂｝魄泊｛湖~｝
m	[1]魔=｛~术｝磨=｛~合｝摩=｛~托｝馍=摹忙-膜 [5]模=｛~特儿｝莫寞默陌
t	[1]多=当-｛～中:～家｝裆-｛裤～｝[3]朵=｛花～｝躲=[5]舵惰
tʰ	[1]拖=｛～鞋｝驼=汤-｛～水｝[3]妥椭[5]烫-｛~猪毛｝
n	[1]挪[5]诺
l	[1]罗=锣=萝=｛菠~｝螺｛~蛳｝啰裸狼-凉-量-｛~ 长短｝粮-｛~食｝梁-汆[3]两-｛~个：几～几钱｝ [5]骆=亮-｛~色:颜色鲜艳｝量-｛分～不够｝良-｛村名：张～村 ｝
ts	[1]抓□｛~：腊八节吃的一种由软小米或糯米蒸成的米饭}[3]昨左=爪[5]佐坐=座=□｛红卫庄的俗 称：~庄｝
tsʰ	[1]搓=｛～澡巾｝[3]欻{兀水~~地往下流}[5]措错=｛～误｝错｛~杂 ｝囱
s	[1]梭=唆｛啰~｝[3]锁=琐｛~碎｝所=｛新派｝索=｛~要｝[5]叔｛我~ ｝耍
	[1]锅=光-｛～头｝□｛～儿：老鼠｝[3]果=裹 =[5]过=
k	[1]锅=光-｛~头｝□｛~儿：老鼠｝瓜谷{~~：指高粱；种~}[3]果=裹=寡剐□{量词：一~车}[5]过=挂卦
kʰ	[1]科-｛~学｝夸[3]课-炕-｛~头起：炕头｝阔侉垮[5]跨窟{船~头}
x	[1]和-｛～气｝黄-方-｛四～～的：正方形的｝房-妨-｛~害｝防｛猛不~｝蝗｛子~：蝗虫坊油~｝花华{中~}铧桦{~树}划[3]化华{~山；姓}画话猾={狡~}划{~船}火=伙=纺-｛～车｝[5]货=祸=晃-｛~人：晃眼｝放-巷-｛~~：巷子｝惶｛牺～人：可怜｝行-｛—~~字 ｝
nᶻ	[1]□ {抓：～药}
Ø	[1]倭窝=｛蜂～煤｝蜗芒-｛麦~儿｝王-[3]我=网-枉-｛～说不道｝[1]蛙洼｛～地｝挖哇｛黑老～｝娃杌=｛~~ ｝[3]瓦｛名词｝兀｛在~兀：表示“那里”｝[5]忘-望-｛指~｝旺-｛～火｝沃卧｛~室｝瓦｛动词｝洼｛～进去了｝凹
#yə	
tɕ	[1]藏-｛圪～猫｝角饺-[3]墙-张-｛地名:～兰；～壁 张壁古堡｝长-｛~xuxu的:长条形｝肠-场-｛村名:～场｝庄-｛～稼｝装-｛～书｝缰｛～绳｝强-｛~盗；要～：霸道｝豇｛~豆｝[3]长｛~大了｝涨-｛河～；～价｝ 掌-｛鞋～子~｝抢-｛刮掉或擦掉物体表面的一 层：～锅圪刷｝□{硬，不软和}[5]匠-｛铜~｝丈-｛～人:丈母｝杖-｛擀～：擀面杖｝虹-｛起了~了｝□{张家庄“张家”的合音}
tɕʰ	[1]仓｛炭～；填～：每年正月二十、正月二 十五，当地人会蒸糕点灯以求丰衣足食｝枪-｛土~｝双-｛量词:～生生｝[3]抢-｛～东西｝搓-｛~ 脊背｝[5]错-｛～了｝呛 ｛~人｝
ȵ	[1]娘-｛~~腔｝[3]攘｛推：不要～我；止： 你先～住，我再去扼根圪缆（杆）｝
ɕ	[1]桑-｛~树；村名：～柳树村｝厢-｛这下~： 这边的厢房｝疮-｛口～；漏～：痔疮｝床-｛~～：小 板凳；尿～｝尝-｛~~｝裳｛衣~｝香-窗-｛～圪台；~ 帘子｝相-｛~亲｝横-{~~走}[3]所-｛看守～｝想-晌-｛～午：中午｝响-[5]善｛村名：洪～村｝像-｛他两个相相~～得；～了人家爸了｝上-｛～山｝尚-｛和～｝上-｛~头｝绱｛～鞋｝向-｛～着某人｝
Ø	[1]瓤｛~~｝羊-｛放~子｝杨｛~树｝扬-｛～土；（xuʌʔ[3]）~：洒｝[3]哕｛干圪~｝养-｛~活｝[5]样- □｛~母：母女俩｝
#ei	
p	[1]杯=碑卑悲[5]贝
m	[3]美[5]媚
t	[1]低蹄-｛臭毛～：对小孩子脚丫子的爱称｝丁-钉-｛铁～～｝[3]底抵顶｛~针｝[5]帝弟第递地靪钉｛～住｝定-｛～明：明天｝
tʰ	[1]梯题提-｛~名｝蹄=听-｛~见：~话｝囱[3] 体[5]替涕｛鼻~｝剃剔
