来源：	《介休（张兰镇）方言音系研究》王树苗著  Vinchi录入增补
tɕ	[1]交郊胶教｛～书：～他去｝焦蕉椒=骄娇桥-｛村名：南～头；荞-～面｝浇[3]绞狡铰搅较剿矫｛~诈｝缴｛上～｝侥｛~幸｝饺=[5] 教｛~育｝校｛~对｝酵窖觉｛睡~｝瞧｛牛倒~｝轿叫燥-｛干：天气～得很｝
tɕʰ	[1]敲锹悄｛静~~｝樵瞧乔侨桥=[3]巧雀｛麻~｝[5]俏鞘｛刀~｝窍跷｛高~｝ 
ȵ	[1]淆[3]咬鸟[5]尿
ɕ	[1]消宵霄硝销嚣萧箫屑｛木~｝[3] 小晓[5]酵孝效校｛学~：上~｝笑
Ø	[1]肴妖邀腰摇谣窑姚尧么｛～二三｝吆｛～二喝三；～喝｝跃=□｛~～：背心｝[3] 舀｛~水｝[5]袜靿｛~~｝要耀
#æn	
p	[1]班斑颁扳般搬盘-｛~～碗碗｝帮=｛～手｝邦□｛～～：女士戒指｝[3]板版扁-｛~担｝榜绑膀=｛～子：肩膀｝婆-｛～～：外祖母，当地写作“板”｝□｛～转睡：侧躺着睡｝[5]扮瓣办半绊伴拌谤旁｛~边｝傍棒=｛你真～｝ 
pʰ	[1]攀潘盘=｛转~：～头发｝藩滂｛～沱｝旁=庞｛姓｝螃｛～蟹｝[5]盼襻｛纽~｝判叛胖
m	[1]蛮瞒馒｛~头｝忙=芒=茫盲氓｛流～｝ [3]满莽蟒[5]妈-｛~：面称；卬～：背称｝慢漫蔓｛芋～菁｝
t	[1]耽担｛~任｝丹单｛～独｝弹-｛~琴｝当=｛应～；～下：～作｝裆=[3]胆掸｛鸡毛～子｝党挡｛阻~｝档[5]担｛挑～｝淡且诞但弹｛子~｝蛋当｛典～｝荡｛放~｝宕｛延~｝铛｛烙饼用具；铃～｝□｛跨，～门限子｝
tʰ	[1]贪潭谭坍｛~塌｝谈痰滩摊檀坛弹=汤=堂棠螳｛~螂｝唐糖塘瘫｛~痪｝[3]毯坦倘｛~使｝躺=[5]探｛试~；侦～｝炭叹烫=趟｛=~｝
n	[1]南男难｛~易｝[3]囊[5]难｛患~ ｝
l	[1]蓝篮览兰拦栏郎廊狼=螂[3]揽 榄｛橄~｝缆懒朗□｛圪~:棍子｝[5]滥烂浪 
ts	[1]簪蚕-｛~沙｝赃脏=[3]斩盏攒｛积～｝[5]暂錾｛~花｝站｛立；车～｝蘸｛～酱油｝赞栈葬藏｛西～｝□｛稍微有裂开的痕迹:手(或碗) 上迸下～~了｝ 
tsʰ	[1]参｛~加｝蚕=｛养~｝惭搀餐残仓=苍=藏=｛隐~｝[3]惨铲产□｛只，仅；～吃菜不吃面｝[5]灿
nᶻ	[1]□｛嚼：嘴里～的泡泡糖；喃，嘟囔：你在兀兀（Øuʌʔ［3］）~甚？｝
s	[1]三杉衫珊山删桑=[3]散｛鞋带～了｝伞嗓[5]散｛分～｝丧｛婚~；～失｝
tʂ	[1]沾毡张=｛姓｝章樟蟑[3]展长=｛生~ ｝涨=掌=｛~柜｝[5]瞻占绽｛破～｝缠-｛裏～｝战帐账胀丈=仗杖=障｛保~｝瘴｛~气｝
tʂʰ	[1]谗蟾｛~酥｝缠=蝉禅｛～宗｝长=｛~短｝肠=昌倡｛提～｝常=尝=偿[3]=场厂裳｛裙裙～～穿多少：形容穿戴累赘，不精干｝[5]颤畅唱 
ɳ	[1]黏｛有点～｝粘｛~住；饭～子：粘在衣帽器物上的饭渣｝[3]碾-
ʂ	[1]膻扇｛动词｝商伤偿-｛赔~｝[3]陕｛~西｝闪赏晌=[5]扇｛名词｝善=膳单｛姓｝禅上=｛~山｝尚=上=｛~面｝
ʐ	[1]然[3]染冉燃壤｛土~｝嚷[3]让
k	[1]甘柑泔｛~水｝尴｛~尬｝肝竿｛竹~｝干｛~ 湿｝冈岗刚纲钢缸杠港｛~口｝肛[3]感敢橄｛～榄｝杆秆｛稻~｝擀赶[5]干｛~活｝
kʰ	[1]堪龛勘｛~误：～探｝刊康糠[3]坎砍慷｛~慨｝扛□｛扔：不要把这~了｝[5]看抗炕=
ŋ	[1]庵安鞍昂鹤｛~鹑｝[3]揞｛手覆:～住｝[5]暗岸按案
x	[1]含函憨｛痴｝酣咸-｛一~菜；有点～｝鼾｛打～睡｝寒韩涎｛~水；～水布袋子；爱流～水的人｝还｛~有｝行=｛～列；银～｝航杭夯｛打~｝□｛项～～：管用｝[3]喊罕[5]撼憾汉旱汗焊｛～铁壶｝翰
#iɛn	
p	[1]鞭编边[3]贬蝙扁匾[5]变辨辩汴便-｛方～：～宜饭｝遍辫
pʰ	[1]偏便=｛~宜｝[3]篇[5]骗欺片
m	[1]绵棉眠[3]免勉娩｛分~｝缅 [5] 面
t	[1]掂｛～掇｝甜-颠田-｛村名：～堡｝佃填-｛~空空｝癲｛~痫｝[3]点典[5]店电殿奠垫｛~钱｝
tʰ	[1]添甜=天田=填=□｛～（lɔo[1]）：羞明｝ [3]舔｛以舌取物｝腆｛~肚子｝
l	[1]廉镰帘敛连联=怜莲良=涼=量=｛～长短｝粮=梁=粱[3]脸两=｛~个｝[5]殓练炼恋亮=谅辆量=｛数～｝
tɕ	[1]监｛～察；～视；～牢｝尖歼｛~灭｝钳兼艰间奸煎迁｛~就｝钱-犍｛~子：～牛｝前-肩坚将｛~来｝疆僵姜强=｛村名：～南村｝江痫｛癲~｝[3]减碱检俭简柬拣剪笺茧 蒋奖桨讲□｛~爷：姥爷，当地写作“简” ｝[1]鉴监｛国子~｝舰渐剑谏涧锏｛车~｝箭溅｛~—身水｝践贱饯｛~行｝件建键健腱荐见浆桨酱将｛大~｝匠降｛下～｝□｛~草：凤 仙花；～指甲；涂指甲｝ 
tɕʰ	[1]鸽｛鸟啄物｝签潜锨｛锹属｝谦迁钱=乾｛~坤｝虔犍｛~为县｝千前=牵铅枪=墙=羌强=｛~弱： 要～｝腔[3]浅遣抢=□｛圪~圪～：等等｝ [5]嵌欠歉
ȵ	[1]岩-严-鲇｛～鱼｝拈｛～起来｝颜-言-年研娘｛~~：伯母｝[3]眼辇捻｛以指～碎｝撵仰-｛~尘：天花板｝[5]酽｛～茶｝念碾=砚燕-酿 
ɕ	[1]咸=嫌=闲仙鲜｛新~｝涎=掀先贤相=箱厢=湘襄详祥香=乡[3]险鲜｛～少｝癣显想=饷享响=[5]陷馅限线羡宪献现县镶相｛～貌｝象像=橡｛~树｝向=｛方~｝降｛投~｝项巷=腺□｛不～敢：不要紧｝
Ø	[1]岩=淹阉炎盐阎檐盐腌=严=俨｛～然｝腌颜=焉｛心不在～｝延言=蔫｛花萎｝烟沿央秧殃羊=洋杨=｛~树｝阳扬=疡｛溃~｝芫｛~荽：香菜｝[3]掩魇靥｛笑~～｝演兖仰=养=[5]验厌艳焰雁谚筵堰燕=咽宴原-｛村名：张～村｝样
#uæn	
t	[1]端锻｛~炼｝团-｛圪蹉成=~～｝[3]短 [5]断段缎 
tʰ	[1]团=｛~结｝
n	[3]暖
l	[1]鸾[3]卵[5]乱
ts	[1]钻｛动词｝掾-专砖膞｛鸡～｝藏-｛圪～｝庄=装=桩妆□｛骂｝[3]转｛～眼；～送｝[5]赚纂｛编～｝钻｛木工用具｝撰转｛～螺 丝；～圈圈｝篆传｛~记｝壮状撞
tsʰ	[1]汆｛~丸子｝传｛~达｝椽=川穿船=疮=床=窗= [3]篡喘=闯[5]窜串创 
s	[1]酸闩拴船｛村名：～窟村｝霜孀双=[3] 喘-｛~；气~｝爽[5]算蒜涮｛洗～：人洗漱｝ 
z	[3]软阮
k	[1]官棺观｛参～｝冠｛衣～｝鳏｛～寡｝关光=[3]管馆广[5]贯灌罐观｛寺~｝冠｛~军｝惯逛 
kʰ	[1]宽匡筐狂[3]款[5]旷眶｛眼~｝况矿 
x	[1]凡帆欢桓还｛~原｝环翻番｛儿~｝烦藩矾繁荒慌黄=簧｛锁～｝皇蝗=惶=｛~恐｝方=肪｛脂～｝芳妨=｛~害｝房=｛～产证｝防=隍｛城～庙｝ [3]缓反谎晃=仿｛～效｝纺仿｛相似｝仿｛~佛｝访[5]泛范犯唤焕换幻患宦贩饭放=痪｛瘫～｝□｛受～：累｝
Ø	[1]玩｛古～：游～｝完丸｛肉～：弹～｝豌｛～豆｝剜顽｛~皮；～固｝弯湾汪=｛—～水｝亡王=[3] 皖｛安徽｝碗晚挽宛汪=｛村名:～沟村｝网=枉=往｛来~｝[5]腕万蔓｛瓜~子｝忘=妄望=旺=｛兴~｝
#yɛn	
l	[1]联-[3]□｛用拇指和另一个手指头捏 着胳膊或腿上的肉朝相反方向使劲｝
tɕ	[1]泉-｛村名：~～｝捐鹃[3]卷[5]眷绢圈｛猪~｝倦券 
tɕʰ	[1]全泉=圈｛圆~｝拳权颧｛~骨｝[3]圈｛动词：～起来｝犬[5]劝
ɕ	[1]轩弦宣旋喧玄悬揎｛推：不敢～我，快跌倒了｝[3]选[5]镟｛～～：卷笔刀｝楦｛鞋~｝眩 
Ø	[1]圆员缘元原=源冤袁辕园援｛~救｝渊[3]远[5]院愿怨
#əŋ	
p	[1]奔镑盆-崩敷-｛？ 面～：擀面时防黏连撒在面上的面粉｝[3]本[5]奔笨蚌磅｛过称：～—下｝ 
pʰ	[1]喷｛～水｝盆=朋烹彭膨｛~胀｝棚=篷蜂-｛马~｝[3]捧[5]喷｛~香：~嚏｝逢-｛～见｝ 
m	[1]门虻｛牛～｝萌盟蒙懵｛～懂｝[3]猛=[5]闷孟=梦 
t	[1]登灯镫｛鞍~｝腾-｛~倒；倒~｝眷誊[3]等[5]凳邓澄｛水浑：～—～｝瞪｛～眼｝
tʰ	[1]吞腾=藤疼=[3]□｛反应迟钝，不机灵｝
n	[1]能农-｛～民｝脓｛～侈：化～｝[5]嫩=
l	[1]楞[3]冷=[5]愣
ts	[1]曾｛姓｝增争=睁=[3]憎赠锃筝挣 
tsʰ	[1]参｛~差｝曾｛~经｝层撑[3]□｛用刀或铲铲除、擦除：～不起来｝[5]衬蹭｛磨~｝
nᶻ	[1]□｛（nᶻei[[3]）~:哭闹｝□｛缠,绕:用铁丝(或细的线）~住｝ 
s	[1]森参｛人～｝僧生=牲笙[3]省｛~ 长；节~｝糁｛含～：含杂质，不稀罕｝[5]渗 
tʂ	[1]针斟珍尘-榛真征蒸贞侦正｛~月｝征[3]诊疹拯｛~救｝整枕｛动词｝□｛傻：~子｝[5]枕｛~头｝镇阵振震证症郑正=政 
tʂʰ	[1]沉陈尘=辰晨=臣澄｛～清｝橙称｛~ 呼;～重量｝乘承=丞铛｛烙饼用具｝橙｛~子｝呈程｛姓；一～子,一段时间｝成=城=诚盛=[3] 惩逞｛~能｝[5]趁慎-｛谨~｝称｛相~｝秤=
ʂ	[1]嫌-｛怪罪｝深神身申伸娠晨-｛早~｝升=声= [3]沈审婶申[5]葚=甚肾慎=剩=胜｛~任：～败｝圣盛｛兴～｝
ʐ	[1]壬任｛姓｝人仁仍[3]忍扔[5] 任｛责～｝纫｛缝~｝刃认韧
k	[1]跟根更｛~换｝羹耕[3]庚哽｛骨~ 在喉｝埂｛田~｝梗｛～子：茎耿｝[5]更｛～加｝ 
kʰ	[1]坑=[3]恳垦啃=｛老鼠~｝肯 
ŋ	[1]恩
x	[1]痕恒亨衡橫=[3]很[5]恨
#iŋ	
p	[1]彬宾槟｛~榔｝殡冰兵[3]禀丙秉 柄饼=[5]鬓病=并｛合~｝
pʰ	[1]贫频｛~繁｝凭平坪评姘｛~头｝拼瓶屏｛围~｝萍苹｛~果｝乒[3]品[5]聘 
m	[1]民鸣明=名=铭[3]悯敏抿皿[5]命= 
t	[1]丁钉｛图~｝[3]顶=｛~明囟：头项｝鼎 [5]订锭定= 
tʰ	[1]听｛~力；～任｝厅享停廷庭蜒｛蜻~｝[3]挺艇 
l	[1]林淋｛~漓：～湿｝临邻鳞磷陵凌=菱灵零=铃=伶拎龄[3]领=｛~袖｝岭=[5]赁｛租~｝吝｛～啬｝令=另=
tɕ	[1]今金襟津巾斤筋勤-｛~谨｝芹｛胡～; 西～｝更｛五～｝茎京荆惊鲸精=晶睛=｛眼~ ｝经｛~纬:～线｝□｛~鞋带带｝[3]锦紧仅谨景警井=颈□｛（lei［3］）～：沙果｝[5]禁｛~不住；～止｝妗｛～～：舅母｝尽进晋尽劲近境敬竟镜=竞静靖净=径 
tɕʰ	[1]侵钦｛~差｝琴禽擒亲秦勤=卿擎清=情晴轻｛~重；年~｝青=蜻｛～蜓｝倾[3]寝请[5]浸亲｛～家｝庆磬｛钟~｝顷 
ȵ	[1]银凝迎-｛村名：～远堡村｝宁｛安～；沪～｝[3]您[5]硬宁｛~可｝佞 
ɕ	[1]心寻-｛找：～不见了｝辛新薪欣兴=｛～旺｝行｛~为：品～｝星=腥=｛鱼～味｝馨形型刑荥｛~阳｝[3]省=｛反~｝醒[5]葚-｛桑~｝信衅｛挑~｝兴｛高~｝杏幸性姓□｛~（xu［3］）：猫头鹰｝囟｛~门｝
Ø	[1]吟音阴淫因姻洇寅殷匀-｛不~｝鹰应｛～当；~用｝蝇=｛苍~｝莺鹦｛~鹉:~哥｝樱｛~桃｝迎=英婴缨盈贏=营萤[3]饮｛～酒｝引隐尹影=颖[5]荫｛屋子很~｝窨｛地~子｝饮｛~马｝印应=｛~对；响~｝映=
#uəŋ	
t	[1]敦｛~厚｝墩屯-｛村名：韩～｝蹲东同-｛~岁的｝铜-冬□｛拖地：用～布～地｝□｛用缝纫机缝合｝[3]沌董懂[5]顿饨｛馄~｝盾｛矛~:赵～｝钝冻栋动洞囤｛~子｝□｛~脚：跺脚｝
tʰ	[1]吞屯=｛~粮｝豚臀通熥｛把包子～～｝同=铜=桐童瞳[3]桶捅｛~破了｝筒统[5] 痛□｛挪动：～过的：圪～圪～｝
n	[1]农=脓=浓[5]嫩-弄=
l	[1]仑伦沦轮笼聋隆龙咙｛喉~｝[3] 拢陇拢[5]论弄-｛（tuʌʔ[1]）～:捣鼓｝ 
ts	[1]尊遵纯-｛～白面干粮｝棕鬃｛马～；猪~｝宗中｛当~｝忠虫-｛牛牛圪～～：虫类的统称｝终踪综重-｛～茬的：用过的碗筷｝钟盅[3] 准总冢种｛～类｝肿[5]粽=中｛射~｝仲众纵重｛轻~｝种｛～树｝
tsʰ	[1]村存皴｛脸~｝椿=｛香～！臭~｝春唇=纯=醇｛酒味～｝聪匆葱丛虫=崇充从重=｛~复｝冲舂｛~米｝鹑｛鹌~｝[3]忖｛掌握.控制：~不住｝蠢宠[5]寸铳｛放~｝
s	[1]孙松[3]损笋榫｛~头｝怂｛~恿｝[5] 唇-｛嘴~子：豁~子｝顺舜送宋嵩诵颂讼 
z	[1]荣=戎绒茸｛参~｝容=蓉=｛芙~｝熔[3]冗｛拨~；~长｝氄｛～毛毛｝[5]润闰 
k	[1]公蚣｛蜈～｝工功攻弓躬宫恭供｛~不起｝[3]滚汞拱｛~手｝巩｛~固｝磙｛石~:石制滚压农具｝[5]棍贡供｛上~｝共 
kʰ	[1]昆坤空｛～虚｝[3]捆孔恐啃-｛~骨头｝[5]困控空｛～缺｝ 
x	[1]昏婚魂馄｛~饨｝浑｛～浊｝分芬纷焚坟荤弘轰｛~出的｝宏烘｛~干｝红洪鸿虹=｛彩～｝风枫疯丰冯封峰蜂=｛~蜜｝锋逢=｛相~｝缝 ｛～衣服｝吩｛~咐｝[3]粉哄｛～骗｝讽[5]混｛相~；~了｝粪奋愤忿份｛~数｝哄｛起~; 相~｝凤奉俸缝｛一条～～｝ 
Ø	[1]温瘟文纹蚊闻翁[3]稳吻刎 [5]问璺｛裂~｝瓮 
#yŋ	
tɕ	[1]均钧君军裙-｛~子｝穷-｛~人；～日子｝ [3]窘菌迥｛~然不同｝[5]俊郡粽-□｛肉饭的汤水遇冷凝结｝
tɕʰ	[1]群裙=琼穷=
ɕ	[1]寻=荀循巡殉勋薰兄=熊雄胸凶 [3]□｛凑在一起凑热闹：没事就别～在这儿｝[5]讯逊迅旬熏训 
Ø	[1]云匀=｛均~｝晕荣融雍拥容｛~貌｝蓉-｛芙～花｝熔-庸[3]允永泳咏勇涌蛹□｛~~手：拢着手｝[5]熨韵运孕用佣
#ʌʔ	
p	[7]杯-八拨不剥北-[8]薄把｛介词：～桌子搬开｝鼻-｛～涕｝拔钹勃=｛~～生机｝博泊｛~车｝驳帛卜-｛胡萝～｝脖｛~子｝脖雹｛~ 人：手碰到冰凉物时的感觉｝ 
pʰ	[7]泼勃-｛朝气蓬～｝朴迫=扑｛猫~人｝醭｛白~ ｝瀑破｛~布｝庞｛~大｝□｛量词：一～白菜/树｝ 
m	[7]抹｛~布｝末沫没｛沉～；~了｝墨=木目穆摩｛～娑：抚摸｝
t	[7]答｛~应｝搭得德的｛后缀：红～｝ [8]答｛回~｝达
tʰ	[7]踏拓｛~本｝沓｛—～纸｝塔榻塌榻｛汗~湿了｝托特
n	[8]纳捺｛撇~｝
l	[8]腊蜡辣落｛太阳～山｝骆｛姓｝洛络乐｛快~｝肋勒
ts	[7]扎｛用针～｝眨札扎贼｛~害｝[8] 杂闸炸｛用油~｝铡｛~刀｝凿｛~井队｝则泽择｛选~｝责
tsʰ	[7]搽-｛～破了｝错｛~算了｝娶-｛~媳妇妇；～ 过了｝厕｛~所；茅~｝插擦察侧测策册礤｛~ 子；~圪头：一种面食｝
s	[7]死涩撒杀瑟索-｛利~｝相｛～跟；～像｝塞绳｛~子｝色啬｛吝~｝□｛薄～：揉｝ 
z	[7]子｛后缀，桌～｝
tʂ	[7]蔗指｛~头｝摺｛~叠｝褶｛~子：皱纹｝蛰｛惊~｝执汁哲蜇｛蝎子～人｝辙折｛～断｝浙秩质值｛~班｝织职殖植窄摘只｛量词: =~｝[8]侄直值｛～当的;不~当的｝择｛～菜｝这-｛～些｝濯｛存疑 洗~：洗衣服；也指第二遍的淘洗：洗完了再～一遍｝ 
tʂʰ	[7]彻撤绰｛~~有余｝拆｛开｝赤=斥尺吃 
ɳ	[8]镊-｛~子｝□｛玩闹：不敢在炕上～｝□｛压，叠：～了个褶褶｝ 
ʂ	[7]赦尸-｛骨~｝摄湿设虱失识式饰赤-｛光着:～（pʰiʌʔ[1]）脚｝适释[8]佘｛姓｝涉十拾｛~起来｝舌折｛弄~了｝实室食蚀石
ʐ	[8]热日若弱
k	[7]鸽合-｛羊杂～:～锅锅｝割葛各阁搁格革隔=□｛~纸：纸媒｝[8]胳｛～膊｝蛤｛～蟆；～抱抱：蛤蜊｝核｛～桃｝
kʰ	[7]可｛~惜｝咳｛~嗽｝磕渴壳刻｛时~；用刀~｝克客=□｛从…到…；~这兀｝ 
ŋ	[7]恶｛~人：不好惹的人，含贬义；脏 ～水：～寨：垃圾｝扼｛拿：～住｝ 
x	[7]喝瞎-郝-｛姓｝黑赫[8]合=盒｛烟~ ｝鹤核｛审~｝
#iʌʔ	
p	[7]鳖别｛离~｝憋笔毕必弼｛𡋯~尘土｝北=｛~京｝逼百柏伯掰｛用手~开｝碧璧壁[8]鼻=｛~子｝别｛区～｝白｛～布：～事 ｝
pʰ	[7]蝙-｛夜～虎：蝙蝠｝撇｛~捺，～开｝匹｛~ 布:—~马｝迫-拍僻辟劈=□｛着凉,冷感冒：～ 着（tsʰuʌʔ）了：汗在受冷后蒸发掉了；～回的 了｝
m	[7]秘泌灭密蜜墨-麦脉觅□｛傻子:看兀个～｝□｛～瘙：痱子｝ 
t	[7]跌的｛目~｝滴嫡[8]叠碟蝶谍 笛敌狄提｛~溜｝
tʰ	[7]帖｛碑~；请~｝贴铁踢□｛（Øyʌʔ［1］）～: 义同“舒服” ｝
l	[7]掠猎立笠粒列烈裂劣栗略力历□｛拧：这些衣服～了水就搭出吧｝
tɕ	[7]夹｛~袄：~~｝接捷劫挟｛~菜｝缉｛通～｝集｛~中｝辑｛编~｝急给｛供~｝揭节结洁疾吉即隔-｛~壁壁｝积迹脊籍藉｛狼～｝绩击激圾｛垃~｝鲫｛~鱼｝[8]甲集｛赶~｝级 及杰截极 
tɕʰ	[7]□｛~鞋垫垫：做鞋垫｝恰掐｛～花花: 摘花；～算｝妾怯｛畏~｝钦｛村名：～屯村｝㬤｛~ 干了｝切｛~开｝七漆乞雀鹊-｛夜~子｝却客-｛~ 人｝戚｛亲~｝泣-葺{~理：修理}
ȵ	[7]鸭押=压-｛用书～住｝[8]拟聂｛姓｝镊=｛~子｝蹑｛~脚走｝业孽捏匿逆溺
ɕ	[7]谢｛~顶｝狭-袭｛~人：漂亮；～气：宠爱｝吸薛歇鞋楔｛~子；~橛子｝悉膝息熄｛~灯；灯~起来了，点着火了｝媳惜锡析[8]胁协习袭｛~击｝学席-俗-□｛~梯子；~车子｝
Ø	[7]腌｛~咸菜；汗液、眼泪等浸渍皮肤使感到痛或痒｝噎｛~住了｝一叔｛～～，老派｝ [8]缢椅-｛~~；~子｝叶页乙药-｛山～蛋： 土豆｝乐-｛音~｝益译疫役□｛~鹊子：喜鹊｝
#uʌʔ	
t	[7]掇｛拾～；掂～｝｛~弄：捣鼓｝[8]夺独读牍犊｛牛~子｝督毒涂｛糊～｝
tʰ	[7]脱突秃凸
l	[8]捋｛~袖｝律率｛速~｝鹿禄六｛～指指｝陆绿录
ts	[7]撮｛—~头发｝着｛受到，感到：～了暖了｝酌桌卓琢啄浊捉镯｛~子｝竹筑逐祝足烛嘱触｛接~｝[8]做卒｛~~: 兵卒｝作｛～的：工作族｝ 
tsʰ	[7]矬｛矮:～脖子；圪～：不积极｝处｛后缀：高～｝猝｛仓～｝黢｛黑～～的｝出戳畜｛~牲：戾词，用于人，动物是说牲口｝促撮｛把聚拢的东西用簸箕等物铲起：～恶塞｝[8]着｛睡～了：打～了｝ [8]着｛睡～了：打～了｝
nᶻ	[8]擩｛塞：塞~ ｝
s	[7]塑｛~料｝涮｛～洗：清洗器具｝刷说｛～话｝述镯-｛手~子｝朔速肃-宿-｛~舍｝缩叔｛~~， 新派｝束□｛整～：收拾｝[8]续｛姓｝术-勺｛~ 子｝熟｛煮～：～悉｝淑=俗-赎属 
z	[8]入辱褥
k	[7]刮骨｛筋~；~头｝郭国谷｛五~｝掴｛巴掌：挨～｝□｛~（lei[5]）：山羊｝[8]葫-｛~芦｝喉｛～咙｝ 
kʰ	[7]括｛包~｝窟｛~窿｝廓扩｛~充｝哭□｛地面上积成的水滩：水～～｝[8]核-｛~~：果核｝
x	[7]法｛方~；~子｝豁｛～嘴：~～｝发忽霍藿｛～香｝劐｛用刀~开｝或福覆｛反~｝[8] 复乏活滑猾-｛狡~｝伐筏罚佛｛~~｝惑获腹服伏糊 ｛~涂｝
Ø	[7]握杌-｛~子；~凳｝兀｛~些｝[8]五伍午｛端~｝袜物勿-｛往～过的走吧｝
#yʌʔ	
tɕ	[7]椒-｛麻～～｝厥掘=橘倔｛～强｝爵脚镢｛～头：大锄｝觉｛知～｝角｛三～形｝菊-□｛～猪：公猪｝噘｛～嘴｝[8]绝憠｛脾气～｝橛｛～子｝决诀嚼局□｛面食煮熟后粘结成一块：饭也～了｝
tɕʰ	[7]掘-瘸｛～腿｝取｛洋～灯｝缺屈鹊-｛喜～｝确菊=｛～花｝麴｛酒～｝曲｛～折：歌～｝
ȵ	[7]虐
ɕ	[7]-宿｛～舍｝雪血恤削肃=畜-｛～牧｝蓄｛储～｝[8]穴续=□｛找，寻：～便宜（找便宜货）；～（mʌʔ）：东看看西看看，试图挑上满意的物品｝
Ø	[7]悦阅曰粤约□｛拿：～住：～摸｝跃-域育-｛教～｝狱欲□｛～（tʰiʌʔ[1]）：有“心满意足”的意思｝[8]月越药=｛中～：山～｝钥｛～匙｝岳乐=｛音～｝
