	ipa	注释	
次	ʦʰɿ3		
糍	ʦɿ1		
私	sɿ1		
死	si3		
四	si3		
稚	ʦɿ3		
师	sɿ1		
指	ʧi3		
屎	ʃi3		
视	ʃi6		
二	ŋi6		
饥	kʰi1		
器	kʰi3		
弃	kʰi3		
姨	ʒi2		
你	hen2		
李	li3		
理	li3		
子	ʦɿ3		
慈	sɿ1		
字	ʦɿ6		
丝	sɿ1		
思	sɿ1		
词	ʦʰɿ2		
祀	sɿ6		
寺	si6		
饲	sɿ2 ʦʰɿ6		
痴	ʧʰi2		
痔	ʧʰi3		
治	ʧʰi6		
厕	ʦʰet7		
士	ʦʰɿ6		
柿	ʦʰɿ6		
事	sɿ6 ʃie6	文 白	
史	sɿ3		
之	ʧɿ1		
止	ʧi3		
趾	ʧi3		
志	ʧi3		
痣	ki3		
诗	ʃy1		
试	ʃi3		
时	ʃi2		
市	ʃi6		
耳	ŋi3		
记	ki3		
起	kʰi3		
棋	kʰi2		
忌	kʰi6		
疑	ŋi2		
喜	hi3		
医	ʒi1		
意	ʒi3		
异	ŋi6		
机	ki1		
几	ki3		
气	kʰi3		
希	hi1		
衣	ʒi1		
累	lui6		
嘴	ʧe3		
随	sui2		
吹	ʧʰe1		
炊	ʧʰe1	文 白	
睡	fe6		
亏	kʰui1		
跪	kʰui6		
委	vui3		
为	vui6		
类	lui6		
醉	ʦui3		
追	ʦui1 tui1	文 白	
槌	tui2		
帅	soi3		
水	fi3		
龟	kui1		
葵	kui3		
季	kʰui3		
葵	kʰui2		
柜	kʰui6		
位	vi6		
维	vui2		
飞	fui1 pui1	文 白	
痱	pui3		
肥	pʰui2		
费	fui3		
尾	mui1		
味	mui6		
鬼	kui3		
贵	kui3		
魏	ŋui6		
辉	fi1		
威	vui1		
慰	vui3		
围	vi2		
胃	vui6		
褒	po1		
保	po3		
宝	po3		
报	po3		
毛	hm1		
帽	hm6		
刀	to1		
倒	tʰo3		
到	to3		
讨	tʰo3		
桃	tʰo2		
道	tʰo6		
导	tʰo6		
脑	nau3		
恼	nau3		
劳	lo2		
老	lo3		
糟	ʦʰau1		
早	ʦo3		
蚤	ʦo3		
草	ʦʰo3		
糙	ʦʰo3		
曹	ʦʰo2		
槽	ʦʰo2		
造	ʦʰo6		
臊	so1		
嫂	so3		
高	ko1		
篙	ko1		
告	ko3		
考	kʰo3		
靠	kʰo3		
好	ho3		
好	hau6		
豪	ho2		
号	ho2		
懊	o3		
胞	pau1		
饱	pau3		
卯	mau3		
貌	mau6		
闹	nau6		
爪	ʦʰau3		
笊	ʦau3		
抄	ʦʰau1		
炒	ʦʰau3		
巢	ʦʰau2		
交	kau1		
教	kau1		
绞	kau3		
搞	kʰiau3		
校	kau3		
酵	hau3		
孝	hau3		
效	hau6		
校	hau6		
标	pʰieu1		
表	pieu3		
票	pʰieu3		
苗	mieu2		
猫	ŋiau1		
秒	meu3		
庙	meu6		
妙	meu6		
疗	lɛu2		
蕉	ʦieu1		
醮	ʦieu3		
樵	ʦʰieu2		
噍	ʦʰo3		
消	sieu1		
霄	sieu1		
小	sieu3		
笑	sieu3		
朝	ʧʰeu2		
超	tʰeu1		
朝	ʧʰeu2		
赵	ʧʰeu6		
召	ʧeu1		
招	ʧeu1		
照	ʧeu3		
诏	ʧeu3		
烧	ʃiau1		
少	ʃieu3		
韶	ʃiau2		
绍	ʃiau6		
饶	ŋiau2		
娇	kieu1		
桥	kʰieu2		
轿	kʰieu6		
邀	ʒeu1		
腰	ʒeu1		
要	ʒeu3		
谣	ʒeu2		
窑	ʒeu2		
舀	ʒeu3		
鹞	ʒeu6		
鸟	tɛu3		
钓	tɛu3		
跳	tʰɛu3		
粜	tiau6		
条	tʰɛu2		
调	tʰɛu6 tɛu6 tʰɛu2		
尿	nɛu6		
料	lɛu6		
萧	sieu1		
缴	kieu3		
叫	kiau3		
尧	ŋiau2		
晓	hieu3		
某	mieu3		
牡	mieu3		
茂	mieu6		
兜	teu1		
斗	teu3		
斗	teu3		
偷	tʰeu1		
敨	tʰeu3		
头	tʰeu2		
豆	tʰeu6		
楼	leu2		
搂	leu2		
漏	leu6		
走	ʦeu3	跑	
奏	ʦeu3		
沟	keu1		
狗	keu3		
构	keu6		
口	kʰeu3		
猴	heu2		
后	heu6		
候	heu6		
沤	eu3		
富	fu3		
浮	pʰo2 pʰeu2		
妇	fu6		
流	liu2		
刘	liu2		
柳	liu3		
廖	lɛu6		
酒	ʦiu3		
秋	ʦʰiu1		
修	siu1		
秀	siu3		
宿	ʦʰiu3		
泅	ʦʰiu2		
袖	ʧʰiu6		
昼	ʧiu3		
抽	ʧʰiu1		
丑	ʧʰiu3		
邹	ʦiu1		
愁	seu2		
搜	seu1		
馊	ʦʰeu1		
瘦	seu3		
周	ʧiu1		
丑	ʧʰiu3		
臭	ʧiu3		
收	ʃiu1		
手	ʃiu3		
守	ʃiu3		
仇	ʃiu2		
受	ʃiu6		
寿	ʃiu6		
阄	kʰɛu1		
九	kiu3		
救	kiu3		
求	kʰiu2		
臼	kʰiu1		
旧	kʰiu6		
牛	ŋiu2		
休	hĩũ1		
朽	hĩũ3		
忧	ʒiu1		
有	ʒiu1		
友	ʒiu3		
又	ʒiu6		
右	ʒiu6		
油	ʒiu2		
酉	ʒiu3		
