字	聲母	韻母	調類	解釋
雨	∅	y	3	
宇	∅	y	3	
禹	∅	y	3	
羽	∅	y	3	
芋	∅	y	3	
喂	∅	y	5	
餵	∅	y	5	
椅	∅	y	5	
喻	ɦ	y	6	
愉	ɦ	y	6	
諭	ɦ	y	6	
裕	ɦ	y	6	
緯	ɦ	y	6	
覦	ɦ	y	6	
籲	ɦ	y	6	
爸	p	a	1	
巴	p	a	1	
芭	p	a	1	
笆	p	a	1	
芭	p	a	1	
擺	p	a	3	
把	p	a	3	
捭	p	a	3	
拜	p	a	5	
派	pʰ	a	5	
怕	pʰ	a	5	
排	b	a	2	
俳	b	a	2	
牌	b	a	2	
爬	b	a	2	
罷	b	a	6	
敗	b	a	6	
唄	b	a	6	
稗	b	a	6	
埋	m	a	1	
媽	m	a	1	
埋	m	a	2	
薶	m	a	2	
霾	m	a	2	
買	m	a	6	
賣	m	a	6	
帶	t	a	5	
拖	tʰ	a	1	
太	tʰ	a	5	
泰	tʰ	a	5	
汰	tʰ	a	5	
酞	tʰ	a	5	
埭	d	a	6	
汏	d	a	6	
奶	n	a	3	
奶	n	a	6	
拉	l	a	1	
攋	l	a	3	
賴	l	a	6	
癩	l	a	6	
籟	l	a	6	
瀨	l	a	6	
垃	l	a	6	
抓	ts	a	1	
齋	ts	a	1	
差	tsʰ	a	1	
扯	tsʰ	a	5	
篩	s	a	1	
釃	s	a	1	
三	s	a	1	
傻	s	a	3	
啥	s	a	3	
灑	s	a	3	
柴	z	a	2	
丈	z	a	6	
惹	z	a	6	
家	k	a	1	
街	k	a	1	
嘉	k	a	1	
皆	k	a	1	
階	k	a	1	
佳	k	a	1	
葭	k	a	1	
笳	k	a	1	
痂	k	a	1	
枷	k	a	1	
袈	k	a	1	
迦	k	a	1	
珈	k	a	1	
瘕	k	a	1	
假	k	a	3	
解	k	a	3	
薢	k	a	3	
賈	k	a	3	
屆	k	a	5	
假	k	a	5	
架	k	a	5	
駕	k	a	5	
嫁	k	a	5	
稼	k	a	5	
戒	k	a	5	
誡	k	a	5	
尬	k	a	5	
疥	k	a	5	
芥	k	a	5	
價	k	a	5	
介	k	a	5	
界	k	a	5	
揩	kʰ	a	1	
楷	kʰ	a	5	
茄	g	a	2	
伽	g	a	2	
懷	g	a	2	
骱	g	a	6	
解	g	a	6	
懈	g	a	6	
邂	g	a	6	
褐	g	a	6	
牙	ŋ	a	2	
芽	ŋ	a	2	
衙	ŋ	a	2	
外	ŋ	a	6	
捱	ŋ	a	6	
崖	ŋ	a	6	
涯	ŋ	a	6	
哈	h	a	1	
蟹	h	a	3	
鞋	ɦ	a	2	
骸	ɦ	a	2	
也	ɦ	a	6	
挨	∅	a	1	
矮	∅	a	3	
爹	t	ia	1	
嗲	t	ia	3	
姐	ts	ia	3	
借	ts	ia	5	
且	tsʰ	ia	1	
笡	tsʰ	ia	5	
寫	s	ia	3	
奢	s	ia	3	
瀉	s	ia	5	
卸	s	ia	5	
斜	z	ia	2	
邪	z	ia	2	
謝	z	ia	6	
榭	z	ia	6	
家	tɕ	ia	1	
傢	tɕ	ia	1	
加	tɕ	ia	1	
嘉	tɕ	ia	1	
佳	tɕ	ia	1	
皆	tɕ	ia	1	
階	tɕ	ia	1	
偕	tɕ	ia	1	
假	tɕ	ia	3	
賈	tɕ	ia	3	
解	tɕ	ia	3	
假	tɕ	ia	5	
架	tɕ	ia	5	
駕	tɕ	ia	5	
嫁	tɕ	ia	5	
稼	tɕ	ia	5	
介	tɕ	ia	5	
價	tɕ	ia	5	
界	tɕ	ia	5	
屆	tɕ	ia	5	
鯰	ȵ	ia	2	
鮎	ȵ	ia	2	
廿	ȵ	ia	6	
下	ɕ	ia	5	
轄	ɕ	ia	5	
爺	ɦ	ia	2	
揶	ɦ	ia	2	
耶	ɦ	ia	2	
也	ɦ	ia	6	
野	ɦ	ia	6	
鴉	∅	ia	1	
丫	∅	ia	1	
啞	∅	ia	3	
雅	∅	ia	3	
亞	∅	ia	5	
婭	∅	ia	5	
夏	∅	ia	5	
廈	∅	ia	5	
夜	∅	ia	5	
鵺	∅	ia	5	
射	∅	ia	5	
乖	k	ua	1	
拐	k	ua	5	
柺	k	ua	5	
怪	k	ua	5	
快	kʰ	ua	5	
噲	kʰ	ua	5	
歪	h	ua	1	
娃	∅	ua	1	
槐	ɦ	ua	2	
淮	ɦ	ua	2	
壞	∅	ua	5	
包	p	ɔ	1	
胞	p	ɔ	1	
枹	p	ɔ	1	
勹	p	ɔ	1	
保	p	ɔ	3	
堡	p	ɔ	3	
寶	p	ɔ	3	
飽	p	ɔ	3	
褓	p	ɔ	3	
鴇	p	ɔ	3	
報	p	ɔ	5	
豹	p	ɔ	5	
趵	p	ɔ	5	
爆	p	ɔ	5	
拋	pʰ	ɔ	1	
脬	pʰ	ɔ	1	
炮	pʰ	ɔ	5	
泡	pʰ	ɔ	5	
跑	b	ɔ	2	
袍	b	ɔ	2	
狍	b	ɔ	2	
咆	b	ɔ	2	
炮	b	ɔ	2	
匏	b	ɔ	2	
抱	b	ɔ	6	
鮑	b	ɔ	6	
刨	b	ɔ	6	
暴	b	ɔ	6	
毛	m	ɔ	2	
茅	m	ɔ	2	
貓	m	ɔ	2	
錨	m	ɔ	2	
蝥	m	ɔ	2	
犛	m	ɔ	6	
帽	m	ɔ	6	
貌	m	ɔ	6	
卯	m	ɔ	6	
耄	m	ɔ	6	
瑁	m	ɔ	6	
刀	t	ɔ	1	
叨	t	ɔ	1	
忉	t	ɔ	1	
禱	t	ɔ	3	
擣	t	ɔ	3	
島	t	ɔ	3	
搗	t	ɔ	3	
倒	t	ɔ	3	
到	t	ɔ	5	
滔	tʰ	ɔ	1	
韜	tʰ	ɔ	1	
饕	tʰ	ɔ	1	
討	tʰ	ɔ	5	
套	tʰ	ɔ	5	
桃	d	ɔ	2	
逃	d	ɔ	2	
掏	d	ɔ	2	
陶	d	ɔ	2	
淘	d	ɔ	2	
綯	d	ɔ	2	
啕	d	ɔ	2	
濤	d	ɔ	2	
燾	d	ɔ	2	
檮	d	ɔ	2	
萄	d	ɔ	2	
道	d	ɔ	6	
稻	d	ɔ	6	
盜	d	ɔ	6	
導	d	ɔ	6	
蹈	d	ɔ	6	
悼	d	ɔ	6	
燾	d	ɔ	6	
幬	d	ɔ	6	
儔	d	ɔ	6	
翿	d	ɔ	6	
纛	d	ɔ	6	
鬧	n	ɔ	6	
腦	n	ɔ	6	
惱	n	ɔ	6	
瑙	n	ɔ	6	
淖	n	ɔ	6	
撈	l	ɔ	1	
牢	l	ɔ	2	
嫪	l	ɔ	2	
醪	l	ɔ	2	
勞	l	ɔ	2	
嘮	l	ɔ	2	
澇	l	ɔ	2	
𤎤	l	ɔ	2	
撈	l	ɔ	3	
佬	l	ɔ	6	
抓	ts	ɔ	1	
遭	ts	ɔ	1	
糟	ts	ɔ	1	
槽	ts	ɔ	1	
招	ts	ɔ	1	
昭	ts	ɔ	1	
沼	ts	ɔ	1	
朝	ts	ɔ	1	
釗	ts	ɔ	1	
早	ts	ɔ	3	
棗	ts	ɔ	3	
蚤	ts	ɔ	3	
澡	ts	ɔ	3	
藻	ts	ɔ	3	
繅	ts	ɔ	3	
找	ts	ɔ	3	
爪	ts	ɔ	3	
灶	ts	ɔ	5	
躁	ts	ɔ	5	
竈	ts	ɔ	5	
照	ts	ɔ	5	
詔	ts	ɔ	5	
笊	ts	ɔ	5	
抄	tsʰ	ɔ	1	
超	tsʰ	ɔ	1	
鍬	tsʰ	ɔ	1	
草	tsʰ	ɔ	5	
炒	tsʰ	ɔ	5	
吵	tsʰ	ɔ	5	
鈔	tsʰ	ɔ	5	
騷	s	ɔ	1	
搔	s	ɔ	1	
臊	s	ɔ	1	
繰	s	ɔ	1	
梢	s	ɔ	1	
捎	s	ɔ	1	
燒	s	ɔ	1	
掃	s	ɔ	3	
嫂	s	ɔ	3	
少	s	ɔ	3	
稍	s	ɔ	5	
少	s	ɔ	5	
曹	z	ɔ	2	
韶	z	ɔ	2	
潮	z	ɔ	2	
朝	z	ɔ	2	
𡮦	z	ɔ	2	
皂	z	ɔ	6	
皁	z	ɔ	6	
造	z	ɔ	6	
擾	z	ɔ	6	
紹	z	ɔ	6	
邵	z	ɔ	6	
召	z	ɔ	6	
趙	z	ɔ	6	
兆	z	ɔ	6	
高	k	ɔ	1	
青	k	ɔ	1	
羔	k	ɔ	1	
糕	k	ɔ	1	
膠	k	ɔ	1	
交	k	ɔ	1	
稿	k	ɔ	3	
酵	k	ɔ	3	
搞	k	ɔ	3	
絞	k	ɔ	3	
鉸	k	ɔ	3	
校	k	ɔ	5	
告	k	ɔ	5	
教	k	ɔ	5	
窖	k	ɔ	5	
攪	k	ɔ	5	
覺	k	ɔ	5	
敲	kʰ	ɔ	1	
考	kʰ	ɔ	5	
烤	kʰ	ɔ	5	
靠	kʰ	ɔ	5	
快	kʰ	ɔ	5	
攪	g	ɔ	6	
熬	ŋ	ɔ	2	
傲	ŋ	ɔ	2	
咬	ŋ	ɔ	6	
哮	h	ɔ	1	
好	h	ɔ	3	
孝	h	ɔ	5	
耗	h	ɔ	5	
凹	∅	ɔ	1	
扷	∅	ɔ	1	
毫	ɦ	ɔ	2	
豪	ɦ	ɔ	2	
浩	ɦ	ɔ	2	
襖	∅	ɔ	3	
懊	∅	ɔ	3	
澳	∅	ɔ	3	
號	ɦ	ɔ	6	
標	p	iɔ	1	
彪	p	iɔ	1	
表	p	iɔ	1	
錶	p	iɔ	1	
婊	p	iɔ	3	
裱	p	iɔ	3	
飄	pʰ	iɔ	1	
票	pʰ	iɔ	5	
漂	pʰ	iɔ	5	
嫖	b	iɔ	2	
瞄	m	iɔ	1	
苗	m	iɔ	2	
描	m	iɔ	2	
瞄	m	iɔ	2	
掃	m	iɔ	2	
描	m	iɔ	2	
妙	m	iɔ	3	
妙	m	iɔ	6	
秒	m	iɔ	6	
渺	m	iɔ	6	
謬	m	iɔ	6	
繆	m	iɔ	6	
藐	m	iɔ	6	
廟	m	iɔ	6	
覅	f	iɔ	5	
刁	t	iɔ	1	
貂	t	iɔ	1	
雕	t	iɔ	1	
鵰	t	iɔ	1	
𧜣	t	iɔ	3	
鳥	t	iɔ	3	
屌	t	iɔ	3	
釣	t	iɔ	5	
吊	t	iɔ	5	
弔	t	iɔ	5	
挑	tʰ	iɔ	1	
跳	tʰ	iɔ	5	
糶	tʰ	iɔ	5	
條	d	iɔ	2	
調	d	iɔ	2	
調	d	iɔ	6	
掉	d	iɔ	6	
撩	l	iɔ	1	
聊	l	iɔ	2	
遼	l	iɔ	2	
撩	l	iɔ	2	
寥	l	iɔ	2	
撩	l	iɔ	3	
料	l	iɔ	6	
了	l	iɔ	6	
廖	l	iɔ	6	
焦	ts	iɔ	1	
椒	ts	iɔ	1	
繰	tsʰ	iɔ	1	
悄	tsʰ	iɔ	5	
俏	tsʰ	iɔ	5	
翹	tsʰ	iɔ	5	
消	s	iɔ	1	
宵	s	iɔ	1	
硝	s	iɔ	1	
蕭	s	iɔ	1	
簫	s	iɔ	1	
小	s	iɔ	3	
笑	s	iɔ	5	
巢	z	iɔ	2	
交	tɕ	iɔ	1	
郊	tɕ	iɔ	1	
膠	tɕ	iɔ	1	
驕	tɕ	iɔ	1	
嬌	tɕ	iɔ	1	
澆	tɕ	iɔ	1	
繳	tɕ	iɔ	1	
絞	tɕ	iɔ	3	
狡	tɕ	iɔ	3	
教	tɕ	iɔ	5	
叫	tɕ	iɔ	5	
較	tɕ	iɔ	5	
校	tɕ	iɔ	5	
敲	tɕʰ	iɔ	1	
巧	tɕʰ	iɔ	5	
竅	tɕʰ	iɔ	5	
橋	dʑ	iɔ	2	
喬	dʑ	iɔ	2	
轎	dʑ	iɔ	6	
饒	ȵ	iɔ	2	
尿	ȵ	iɔ	3	
裊	ȵ	iɔ	3	
嫋	ȵ	iɔ	3	
繞	ȵ	iɔ	6	
曉	ɕ	iɔ	3	
𠏕	ɕ	iɔ	5	
酵	ɕ	iɔ	5	
孝	ɕ	iɔ	5	
妖	∅	iɔ	1	
邀	∅	iɔ	1	
腰	∅	iɔ	1	
夭	∅	iɔ	1	
麼	∅	iɔ	1	
闄	∅	iɔ	1	
謠	ɦ	iɔ	2	
搖	ɦ	iɔ	2	
姚	ɦ	iɔ	2	
窯	ɦ	iɔ	2	
舀	∅	iɔ	3	
要	∅	iɔ	5	
耀	ɦ	iɔ	6	
鷂	ɦ	iɔ	6	
效	ɦ	iɔ	6	
校	ɦ	iɔ	6	
杯	p	ᴇ	1	
盃	p	ᴇ	1	
碑	p	ᴇ	1	
卑	p	ᴇ	1	
悲	p	ᴇ	1	
班	p	ᴇ	1	
斑	p	ᴇ	1	
頒	p	ᴇ	1	
扳	p	ᴇ	1	
彼	p	ᴇ	3	
板	p	ᴇ	3	
闆	p	ᴇ	3	
版	p	ᴇ	3	
貝	p	ᴇ	5	
輩	p	ᴇ	5	
背	p	ᴇ	5	
褙	p	ᴇ	5	
扮	p	ᴇ	5	
𢲔	p	ᴇ	5	
胚	pʰ	ᴇ	1	
坯	pʰ	ᴇ	1	
呸	pʰ	ᴇ	1	
瓣	pʰ	ᴇ	1	
攀	pʰ	ᴇ	1	
沛	pʰ	ᴇ	5	
配	pʰ	ᴇ	5	
盼	pʰ	ᴇ	5	
襻	pʰ	ᴇ	5	
爿	b	ᴇ	5	
培	b	ᴇ	2	
陪	b	ᴇ	2	
賠	b	ᴇ	2	
裴	b	ᴇ	2	
𨂝	b	ᴇ	2	
焙	b	ᴇ	6	
辦	b	ᴇ	6	
倍	b	ᴇ	6	
痱	b	ᴇ	6	
佩	b	ᴇ	6	
備	b	ᴇ	6	
背	b	ᴇ	6	
蠻	m	ᴇ	1	
梅	m	ᴇ	2	
黴	m	ᴇ	2	
媒	m	ᴇ	2	
枚	m	ᴇ	2	
玫	m	ᴇ	2	
煤	m	ᴇ	2	
蠻	m	ᴇ	2	
每	m	ᴇ	3	
美	m	ᴇ	3	
妹	m	ᴇ	3	
邁	m	ᴇ	6	
謎	m	ᴇ	6	
昧	m	ᴇ	6	
媚	m	ᴇ	6	
寐	m	ᴇ	6	
慢	m	ᴇ	6	
妹	m	ᴇ	6	
萬	m	ᴇ	6	
晚	m	ᴇ	6	
灰	f	ᴇ	1	
輝	f	ᴇ	1	
徽	f	ᴇ	1	
翻	f	ᴇ	1	
藩	f	ᴇ	1	
番	f	ᴇ	1	
反	f	ᴇ	3	
賄	f	ᴇ	5	
晦	f	ᴇ	5	
悔	f	ᴇ	5	
泛	f	ᴇ	5	
氾	f	ᴇ	5	
販	f	ᴇ	5	
揮	f	ᴇ	5	
㽹	f	ᴇ	5	
回	v	ᴇ	2	
迴	v	ᴇ	2	
違	v	ᴇ	2	
圍	v	ᴇ	2	
偉	v	ᴇ	2	
葦	v	ᴇ	2	
緯	v	ᴇ	2	
還	v	ᴇ	2	
凡	v	ᴇ	2	
帆	v	ᴇ	2	
煩	v	ᴇ	2	
繁	v	ᴇ	2	
危	v	ᴇ	2	
爲	v	ᴇ	6	
為	v	ᴇ	6	
魏	v	ᴇ	6	
委	v	ᴇ	6	
位	v	ᴇ	6	
胃	v	ᴇ	6	
謂	v	ᴇ	6	
蝟	v	ᴇ	6	
範	v	ᴇ	6	
範	v	ᴇ	6	
犯	v	ᴇ	6	
萬	v	ᴇ	6	
飯	v	ᴇ	6	
匯	v	ᴇ	6	
彙	v	ᴇ	6	
會	v	ᴇ	6	
開	v	ᴇ	6	
會	v	ᴇ	6	
惠	v	ᴇ	6	
慧	v	ᴇ	6	
還	v	ᴇ	6	
呆	t	ᴇ	1	
堆	t	ᴇ	1	
耽	t	ᴇ	1	
擔	t	ᴇ	1	
丹	t	ᴇ	1	
單	t	ᴇ	1	
膽	t	ᴇ	3	
戴	t	ᴇ	5	
擔	t	ᴇ	5	
誕	t	ᴇ	5	
旦	t	ᴇ	5	
對	t	ᴇ	5	
苔	tʰ	ᴇ	1	
台	tʰ	ᴇ	1	
坍	tʰ	ᴇ	1	
灘	tʰ	ᴇ	1	
攤	tʰ	ᴇ	1	
推	tʰ	ᴇ	1	
態	tʰ	ᴇ	5	
腿	tʰ	ᴇ	5	
退	tʰ	ᴇ	5	
褪	tʰ	ᴇ	5	
毯	tʰ	ᴇ	5	
坦	tʰ	ᴇ	5	
炭	tʰ	ᴇ	5	
歎	tʰ	ᴇ	5	
嘆	tʰ	ᴇ	5	
頹	d	ᴇ	2	
苔	d	ᴇ	2	
抬	d	ᴇ	2	
擡	d	ᴇ	2	
臺	d	ᴇ	2	
檯	d	ᴇ	2	
颱	d	ᴇ	2	
談	d	ᴇ	2	
痰	d	ᴇ	2	
檀	d	ᴇ	2	
彈	d	ᴇ	2	
待	d	ᴇ	6	
代	d	ᴇ	6	
貸	d	ᴇ	6	
隊	d	ᴇ	6	
兌	d	ᴇ	6	
淡	d	ᴇ	6	
但	d	ᴇ	6	
蛋	d	ᴇ	6	
彈	d	ᴇ	6	
憚	d	ᴇ	6	
拿	n	ᴇ	1	
難	n	ᴇ	2	
乃	n	ᴇ	3	
奈	n	ᴇ	6	
耐	n	ᴇ	6	
內	n	ᴇ	6	
難	n	ᴇ	6	
雷	l	ᴇ	2	
來	l	ᴇ	2	
籃	l	ᴇ	2	
蘭	l	ᴇ	2	
藍	l	ᴇ	2	
欄	l	ᴇ	2	
攬	l	ᴇ	6	
覽	l	ᴇ	6	
欖	l	ᴇ	6	
濫	l	ᴇ	6	
懶	l	ᴇ	6	
爛	l	ᴇ	6	
災	ts	ᴇ	1	
栽	ts	ᴇ	1	
宰	ts	ᴇ	1	
追	ts	ᴇ	1	
錐	ts	ᴇ	1	
斬	ts	ᴇ	1	
劗	ts	ᴇ	1	
盞	ts	ᴇ	3	
最	ts	ᴇ	5	
載	ts	ᴇ	5	
再	ts	ᴇ	5	
綴	ts	ᴇ	5	
醉	ts	ᴇ	5	
贅	ts	ᴇ	5	
贊	ts	ᴇ	5	
讚	ts	ᴇ	5	
蘸	ts	ᴇ	5	
猜	tsʰ	ᴇ	1	
催	tsʰ	ᴇ	1	
崔	tsʰ	ᴇ	1	
吹	tsʰ	ᴇ	1	
炊	tsʰ	ᴇ	1	
攙	tsʰ	ᴇ	1	
摧	tsʰ	ᴇ	1	
菜	tsʰ	ᴇ	5	
彩	tsʰ	ᴇ	5	
綵	tsʰ	ᴇ	5	
采	tsʰ	ᴇ	5	
採	tsʰ	ᴇ	5	
脆	tsʰ	ᴇ	5	
翠	tsʰ	ᴇ	5	
產	tsʰ	ᴇ	5	
剷	tsʰ	ᴇ	5	
鏟	tsʰ	ᴇ	5	
燦	tsʰ	ᴇ	5	
懺	tsʰ	ᴇ	5	
啐	tsʰ	ᴇ	5	
雖	s	ᴇ	1	
綏	s	ᴇ	1	
衰	s	ᴇ	1	
三	s	ᴇ	1	
山	s	ᴇ	1	
衫	s	ᴇ	1	
杉	s	ᴇ	1	
刪	s	ᴇ	1	
珊	s	ᴇ	1	
鰓	s	ᴇ	1	
水	s	ᴇ	3	
傘	s	ᴇ	5	
散	s	ᴇ	5	
碎	s	ᴇ	5	
歲	s	ᴇ	5	
稅	s	ᴇ	5	
賽	s	ᴇ	5	
帥	s	ᴇ	5	
才	z	ᴇ	2	
纔	z	ᴇ	2	
財	z	ᴇ	2	
裁	z	ᴇ	2	
豺	z	ᴇ	2	
隨	z	ᴇ	2	
垂	z	ᴇ	2	
誰	z	ᴇ	2	
讒	z	ᴇ	2	
饞	z	ᴇ	2	
慚	z	ᴇ	2	
儕	z	ᴇ	2	
在	z	ᴇ	6	
罪	z	ᴇ	6	
睡	z	ᴇ	6	
瑞	z	ᴇ	6	
蕊	z	ᴇ	6	
遂	z	ᴇ	6	
隧	z	ᴇ	6	
穗	z	ᴇ	6	
粹	z	ᴇ	6	
站	z	ᴇ	6	
賺	z	ᴇ	6	
綻	z	ᴇ	6	
棧	z	ᴇ	6	
該	k	ᴇ	1	
間	k	ᴇ	1	
奸	k	ᴇ	1	
姦	k	ᴇ	1	
監	k	ᴇ	1	
尷	k	ᴇ	1	
賅	k	ᴇ	1	
改	k	ᴇ	3	
蓋	k	ᴇ	3	
丐	k	ᴇ	3	
減	k	ᴇ	3	
襇	k	ᴇ	3	
襉	k	ᴇ	3	
揀	k	ᴇ	3	
概	k	ᴇ	5	
寄	k	ᴇ	5	
鋸	k	ᴇ	5	
溉	k	ᴇ	5	
間	k	ᴇ	5	
開	kʰ	ᴇ	1	
鉛	kʰ	ᴇ	1	
嵌	kʰ	ᴇ	5	
凱	kʰ	ᴇ	5	
慨	kʰ	ᴇ	5	
檻	kʰ	ᴇ	5	
隑	g	ᴇ	6	
䬵	g	ᴇ	6	
癌	ŋ	ᴇ	2	
顏	ŋ	ᴇ	2	
呆	ŋ	ᴇ	2	
銜	ŋ	ᴇ	2	
艾	ŋ	ᴇ	6	
礙	ŋ	ᴇ	6	
眼	ŋ	ᴇ	6	
雁	ŋ	ᴇ	6	
許	h	ᴇ	1	
䫲	h	ᴇ	1	
海	h	ᴇ	3	
喊	h	ᴇ	5	
莧	h	ᴇ	5	
孩	ɦ	ᴇ	2	
鹹	ɦ	ᴇ	2	
咸	ɦ	ᴇ	2	
言	ɦ	ᴇ	2	
閒	ɦ	ᴇ	2	
銜	ɦ	ᴇ	2	
還	∅	ᴇ	3	
餡	∅	ᴇ	3	
晏	∅	ᴇ	5	
還	ɦ	ᴇ	6	
亥	ɦ	ᴇ	6	
限	ɦ	ᴇ	6	
陷	ɦ	ᴇ	6	
害	ɦ	ᴇ	6	
鞭	p	i	1	
編	p	i	1	
邊	p	i	1	
蝙	p	i	1	
扁	p	i	3	
匾	p	i	3	
變	p	i	5	
遍	p	i	5	
篇	pʰ	i	1	
偏	pʰ	i	1	
騙	pʰ	i	5	
片	pʰ	i	5	
辮	b	i	6	
辯	b	i	6	
辨	b	i	6	
汴	b	i	6	
便	b	i	6	
棉	m	i	2	
眠	m	i	2	
綿	m	i	2	
勉	m	i	6	
免	m	i	6	
娩	m	i	6	
緬	m	i	6	
面	m	i	6	
麪	m	i	6	
顛	t	i	1	
掂	t	i	1	
碘	t	i	3	
典	t	i	3	
點	t	i	3	
店	t	i	5	
天	tʰ	i	1	
添	tʰ	i	1	
舔	tʰ	i	5	
田	d	i	2	
甜	d	i	2	
填	d	i	2	
墊	d	i	6	
電	d	i	6	
佃	d	i	6	
奠	d	i	6	
簟	d	i	6	
廉	l	i	2	
鐮	l	i	2	
簾	l	i	2	
帘	l	i	2	
連	l	i	2	
聯	l	i	2	
蓮	l	i	2	
憐	l	i	2	
臉	l	i	6	
斂	l	i	6	
殮	l	i	6	
練	l	i	6	
煉	l	i	6	
鍊	l	i	6	
楝	l	i	6	
尖	ts	i	1	
煎	ts	i	1	
湔	ts	i	1	
剪	ts	i	3	
箭	ts	i	5	
薦	ts	i	5	
簽	ts	i	1	
籤	ts	i	1	
纖	ts	i	1	
千	ts	i	1	
韆	ts	i	1	
扡	ts	i	1	
插	ts	i	1	
且	ts	i	1	
淺	ts	i	5	
仙	s	i	1	
鮮	s	i	1	
先	s	i	1	
宣	s	i	1	
選	s	i	3	
癬	s	i	3	
線	s	i	5	
潛	z	i	2	
錢	z	i	2	
全	z	i	2	
泉	z	i	2	
漸	z	i	6	
羨	z	i	6	
旋	z	i	6	
賤	z	i	6	
踐	z	i	6	
監	tɕ	i	1	
兼	tɕ	i	1	
艱	tɕ	i	1	
間	tɕ	i	1	
奸	tɕ	i	1	
肩	tɕ	i	1	
堅	tɕ	i	1	
檢	tɕ	i	3	
簡	tɕ	i	3	
柬	tɕ	i	3	
繭	tɕ	i	3	
見	tɕ	i	5	
建	tɕ	i	5	
劍	tɕ	i	5	
謙	tɕʰ	i	1	
牽	tɕʰ	i	1	
欠	tɕʰ	i	5	
歉	tɕʰ	i	5	
鉗	dʑ	i	2	
鍵	dʑ	i	2	
健	dʑ	i	2	
揵	dʑ	i	2	
掮	dʑ	i	2	
儉	dʑ	i	6	
撚	ȵ	i	1	
研	ȵ	i	1	
碾	ȵ	i	1	
黏	ȵ	i	1	
嚴	ȵ	i	2	
仍	ȵ	i	2	
念	ȵ	i	6	
唸	ȵ	i	6	
硯	ȵ	i	6	
諺	ȵ	i	6	
染	ȵ	i	6	
驗	ȵ	i	6	
廿	ȵ	i	6	
罱	ȵ	i	6	
鑷	ȵ	i	6	
險	ɕ	i	3	
鏾	ɕ	i	5	
顯	ɕ	i	5	
獻	ɕ	i	5	
蜆	ɕ	i	5	
煙	∅	i	1	
菸	∅	i	1	
焉	∅	i	1	
嫌	∅	i	1	
鹽	ɦ	i	2	
炎	ɦ	i	2	
顏	ɦ	i	2	
簷	ɦ	i	2	
閑	ɦ	i	2	
閒	ɦ	i	2	
言	ɦ	i	2	
賢	ɦ	i	2	
弦	ɦ	i	2	
絃	ɦ	i	2	
沿	ɦ	i	2	
諧	ɦ	i	2	
爺	ɦ	i	2	
鹹	ɦ	i	2	
厴	∅	i	3	
厭	∅	i	5	
淹	∅	i	5	
醃	∅	i	5	
堰	∅	i	5	
雁	∅	i	5	
豔	∅	i	5	
冶	∅	i	5	
械	∅	i	5	
陷	∅	i	5	
現	ɦ	i	6	
限	ɦ	i	6	
規	k	uᴇ	1	
龜	k	uᴇ	1	
軌	k	uᴇ	1	
歸	k	uᴇ	1	
關	k	uᴇ	1	
鬼	k	uᴇ	3	
詭	k	uᴇ	3	
會	k	uᴇ	3	
瑰	k	uᴇ	5	
桂	k	uᴇ	5	
繪	k	uᴇ	5	
圭	k	uᴇ	5	
閨	k	uᴇ	5	
癸	k	uᴇ	5	
貴	k	uᴇ	5	
慣	k	uᴇ	5	
盔	kʰ	uᴇ	1	
魁	kʰ	uᴇ	1	
恢	kʰ	uᴇ	1	
奎	kʰ	uᴇ	1	
傲	kʰ	uᴇ	1	
慢	kʰ	uᴇ	1	
筷	kʰ	uᴇ	1	
虧	kʰ	uᴇ	1	
窺	kʰ	uᴇ	1	
塊	kʰ	uᴇ	5	
傀	kʰ	uᴇ	5	
愧	kʰ	uᴇ	5	
劊	kʰ	uᴇ	5	
葵	g	uᴇ	2	
逵	g	uᴇ	2	
環	g	uᴇ	2	
跪	g	uᴇ	6	
櫃	g	uᴇ	6	
摜	g	uᴇ	6	
危	ŋ	uᴇ	2	
威	ʋ	ᴇ	1	
煨	ʋ	ᴇ	1	
畏	ʋ	ᴇ	1	
灣	ʋ	ᴇ	1	
彎	ʋ	ᴇ	1	
危	ʋ	ᴇ	1	
喂	ʋ	ᴇ	5	
幻	ʋ	ᴇ	5	
慰	ʋ	ᴇ	5	
懷	ʋ	ᴇ	5	
會	ʋ	ᴇ	5	
謀	m	ɤ	2	
眸	m	ɤ	2	
矛	m	ɤ	2	
某	m	ɤ	6	
貿	m	ɤ	6	
茂	m	ɤ	6	
畝	m	ɤ	6	
否	f	ɤ	3	
浮	v	ɤ	2	
負	v	ɤ	6	
兜	t	ɤ	1	
斗	t	ɤ	3	
抖	t	ɤ	3	
陡	t	ɤ	3	
鬥	t	ɤ	5	
偷	tʰ	ɤ	1	
透	tʰ	ɤ	5	
敨	tʰ	ɤ	5	
頭	d	ɤ	2	
投	d	ɤ	2	
豆	d	ɤ	6	
倷	n	ɤ	6	
螻	l	ɤ	1	
樓	l	ɤ	2	
漏	l	ɤ	6	
陋	l	ɤ	6	
簍	l	ɤ	6	
晝	ts	ɤ	1	
周	ts	ɤ	1	
週	ts	ɤ	1	
舟	ts	ɤ	1	
洲	ts	ɤ	1	
州	ts	ɤ	1	
鄒	ts	ɤ	1	
走	ts	ɤ	3	
帚	ts	ɤ	3	
奏	ts	ɤ	5	
皺	ts	ɤ	5	
縐	ts	ɤ	5	
抽	tsʰ	ɤ	1	
湊	tsʰ	ɤ	5	
醜	tsʰ	ɤ	5	
