字	聲母	韻母	調類	解釋
鈚	pʰ	iᶽ	1	
披	pʰ	iᶽ	1	
𠜱	pʰ	iᶽ	1	
譬	pʰ	iᶽ	5	
屁	pʰ	iᶽ	5	
肥	b	iᶽ	2	
皮	b	iᶽ	2	
疲	b	iᶽ	2	
脾	b	iᶽ	2	
薇	b	iᶽ	2	
琵	b	iᶽ	2	
毗	b	iᶽ	2	
㮰	b	iᶽ	2	
芘	b	iᶽ	2	
貔	b	iᶽ	2	
鐾	b	iᶽ	6	
蔽	b	iᶽ	6	
弊	b	iᶽ	6	
幣	b	iᶽ	6	
斃	b	iᶽ	6	
避	b	iᶽ	6	
被	b	iᶽ	6	
鄙	b	iᶽ	6	
痹	b	iᶽ	6	
便	b	iᶽ	6	
瀰	m	iᶽ	1	
眯	m	iᶽ	1	
迷	m	iᶽ	2	
謎	m	iᶽ	2	
眉	m	iᶽ	2	
彌	m	iᶽ	2	
獼	m	iᶽ	2	
米	m	iᶽ	6	
尾	m	iᶽ	6	
味	m	iᶽ	6	
未	m	iᶽ	6	
非	f	iᶽ	1	
緋	f	iᶽ	1	
飛	f	iᶽ	1	
扉	f	iᶽ	1	
妃	f	iᶽ	1	
霏	f	iᶽ	1	
菲	f	iᶽ	1	
匪	f	iᶽ	1	
榧	f	iᶽ	1	
蜚	f	iᶽ	1	
費	f	iᶽ	5	
沸	f	iᶽ	5	
狒	f	iᶽ	5	
肺	f	iᶽ	5	
廢	f	iᶽ	5	
維	v	iᶽ	2	
惟	v	iᶽ	2	
唯	v	iᶽ	2	
肥	v	iᶽ	2	
微	v	iᶽ	2	
薇	v	iᶽ	2	
費	v	iᶽ	6	
尾	v	iᶽ	6	
味	v	iᶽ	6	
未	v	iᶽ	6	
低	t	iᶽ	1	
底	t	iᶽ	3	
抵	t	iᶽ	3	
邸	t	iᶽ	3	
詆	t	iᶽ	3	
牴	t	iᶽ	3	
帝	t	iᶽ	5	
渧	t	iᶽ	5	
諦	t	iᶽ	5	
蒂	t	iᶽ	5	
梯	tʰ	iᶽ	1	
替	tʰ	iᶽ	5	
涕	tʰ	iᶽ	5	
剃	tʰ	iᶽ	5	
屜	tʰ	iᶽ	5	
薙	tʰ	iᶽ	5	
體	tʰ	iᶽ	5	
堤	d	iᶽ	2	
提	d	iᶽ	2	
題	d	iᶽ	2	
啼	d	iᶽ	2	
蹄	d	iᶽ	2	
醍	d	iᶽ	2	
銻	d	iᶽ	2	
弟	d	iᶽ	6	
第	d	iᶽ	6	
娣	d	iᶽ	6	
悌	d	iᶽ	6	
締	d	iᶽ	6	
遞	d	iᶽ	6	
隸	d	iᶽ	6	
地	d	iᶽ	6	
離	l	iᶽ	2	
犁	l	iᶽ	2	
籬	l	iᶽ	2	
璃	l	iᶽ	2	
