#备注：《武鸣县城官话调查报告》 陆淼焱		调号	调类
#符号说明：-白		7a	高入
#调值	[1]³³ [2]²¹ [3]⁵⁵ [5]²⁴ [7a]⁵⁵ [7b]²¹ [9]³⁵	7b	低入
#ɿ		9	借入调
ɬ	[1]私师狮肄司丝思{【意思】同读此音}[2]嗣[5]似祀巳寺士仕事侍		
ts	[1]资姿咨兹滋辎[3]紫姊子梓滓[5]自字		
tsʰ	[1]疵差{参差}[2]雌瓷糍慈磁辞词祠饲[3]此[5]刺赐次伺		
s	[1]斯厮撕[3]死[5]四肆		

#i			
p	[2]毕必逼壁[3]彼鄙比{比较}[5]蔽敝弊币毙蓖闭箅陛臂婢避庇痹备篦弼碧璧辟		
pʰ	[1]批披[2]皮疲脾琵枇[5]屁僻		
m	[2]迷谜糜弥靡秘泌眉[3]米[5]觅		
t	[1]低[2]的{目的}嫡笛敌狄[3]底抵[5]帝弟第递地		
tʰ	[1]梯[2]堤题提蹄啼[3]体[5]替涕剃屉		
n	[2]泥倪尼[3]你拟[5]腻匿逆溺		
ɬ	[1]西[2]锡析[3]洗[5]细婿		
l	[2]犁黎离{离别；离开半寸}篱璃离梨厘狸立笠粒律率{速率}历[3]吕旅礼李里里理鲤[5]虑滤例厉励丽隶荔利痢吏		
tɕ	[1]知蜘支枝肢栀脂之芝[2]集辑{编辑}执侄质值职殖植积脊籍藉{浪藉}绩[3]挤纸只{只有}衹旨指止趾址只[5]际滞制制济剂{一剂药}智致雉{雉鸡}稚至置痔治志志痣秩迹掷炙寂		
tɕʰ	[1]妻痴嗤[2]齐脐池驰迟持七漆膝戚[3]侈耻齿始[5]砌赤斥		
ɕ	[1]施尸尸诗[2]徙匙时鲥习袭什{什物}拾{拾起来}悉失室息熄媳食蚀识式席适释[3]玺矢屎使史驶[5]世势誓逝是氏豉示视嗜柿试市恃饰		
k	[1]鸡稽肌几{茶几}基几{几乎}幾{幾乎}机讥饥[2]缉{缉鞋口}急级及疾吉橘即极击激局[3]举己纪{纪律、世纪}杞几[5]据巨拒距矩祭计继系{系鞋带}繫寄技妓冀记忌既季		
kʰ	[1]栖欺[2]渠奇骑岐祁鳍其棋期旗吸[3]启企起岂祈乞[5]契{契约}器弃气汽泣楔{楔子}		
ŋ	[2]疑[3]蚁		
x	[1]犀溪奚兮牺嬉熙希稀昔夕[2]姨[3]喜[5]系{系统}繫{聯繫}系{联系}係戏		
ʔ	[1]伊医衣依揖{作揖}[2]愚娱榆逾愉宜仪移夷饴沂遗入乙译液狱[3]徛倚椅矣已以[5]遇寓愈{病愈}喻裕艺刈缢谊义议易{难易}意异毅逸忆亿抑翼益亦易{交易}疫役玉		
Ǿ	[1]淤[2]如于{于此}[3]与{给予}[5]誉{荣誉}预豫		

#u			
p	[3]补捕[5]布佈怖部簿步菢		
pʰ	[1]铺{铺设}扑仆{倒}[2]蒲菩{菩萨}卜仆[3]谱普浦脯朴朴[5]铺{店铺}埠{商埠}瀑{瀑布}		
m	[2]目穆牧[3]母拇[5]暮慕墓募雾戊幕		
f	[1]夫肤敷孵麸覆{反复}[2]俘符扶芙浮复{复兴；复原}復{復興；復原}佛{仿佛}彿{彷彿}蝠复腹服伏袱[3]府腑俯甫斧抚釜腐辅[5]付赋傅赴讣父附富副妇负缚		
