#符号说明：-白=文/书*俗?待考	
#调值	[1]221 [3]53 [5]45 [7]2 [8]54
#ɿ	
ts ［1］知蜘支枝肢资姿瓷-{～的}迟-{～了}兹滋之芝智{～力}稚{幼～}脂{～油饼:猪油饼}磁-{～窑河，河名}蒸-{～馍馍}睁-{～开眼}程-{～村，村名}正-{～月}□{□suε■～:形容人善良}□{～畜:牲畜}［3］紫纸姊脂{～肪}旨指{六～～:六指儿}子{～女}止只{不～}址籽整-{～住:整理好}［5］制自致至滞{积～:积食}字置痔治志郑-{～村，交城村名}正-{～房}□{称(重量):～一～有多少斤}	
tsʰ ［1］雌驰慈磁={～性}辞={推～}痴{～眉瞪眼}持池={水～}瓷={～器}迟={～到}祠={宗～}弛词□{鸦ŋɒ■老～:老鹰}□{鸡□pəʔ■～:鸡肫}［3］此耻齿={牙～，～轮}［5］刺赐翅次伺{～候}□{层:一～土}	
s ［1］斯{～文}撕池{鹅～，村名}施匙{～～:调羹}私师狮司丝思祠-{～堂;晋～}饲{～料，～养员}诗时寺{～庙}视{近～}辞-{～职}成-{～家坪，村名，今写作陈家坪;～子村，村名}盛-{～饭}绳-{～～:绳子}生-{～儿:生日;～豆芽儿}声{响～}城-{黑～营，村名}升-{～子:旧时量米具}栅-{开～，文水地名}［3］斯{～大林}死屎使史驶始齿-{六～～钯儿:六齿钯}匙{钥～}甥-{外～子:外甥}［5］世势是氏四肆示视{电～}牸{～牛儿:母牛}似祀巳寺{少林～}嗣侍{陪～人}士柿事试市剩-{～碗:剩饭}	
#ɪi	
f ［1］非飞妃匪{土～}肥={～胖}［3］翡{～翠}［5］废肺费={～劲}	
#i	
p ［1］屄{女阴}鄙{～低}病-{害寒～:得伤寒}［3］彼鄙{～视}比{～他强}秕{～谷儿:秕谷}饼-{柿～儿:柿饼}□{可能是“箅儿”的合音:甑～子(箅子)}［5］蔽弊毙闭被{～打;～子}避备倂-{几股绳绳～得一搭嘞}柄-{杴～:锹把儿}	
pˣ ［1］批{～评}披皮疲坪-{陈家～，村名}砒{～□ɕiʌ̃ŋ■:砒霜}［3］比{～他强}脾{～气;肝～}琵枇□{～成:分成:你七我三，咱俩～成}［5］屁	
m ［1］迷{～路}谜{～语～子}弥{接续:这块袄儿袖子太短了，找块布儿～上些}每-{天～:每天}眉楣媚{武～娘}鸣-{叫～:打鸣}明-{天～了}名-{～字}［3］米［5］迷{～糊}谜{猜～}昧-{～起来:私藏(物品)}媚-{明～}寐-{圪～:小睡}命-{要～}□{～～:柳笛}□{将物体从缝隙或小孔中通过:～出手来}	
f ［1］非飞妃匪{土～}肥{～胖}［3］翡{～翠}［5］废肺费{～劲}	
