	說明：-白讀，=文讀
#a	
p	[1]巴芭笆疤爸[2]麥-白-□{（果）又麻又澀}[3]把=靶[5]霸壩[6]百=伯=柏=罷吧□{～臉：翻臉}
pʰ	[2]雹[5]怕拍=[6]拍-{打}
m	[1]媽[2]麻=盲-冥{夜晚}□{飯的總稱}[3]馬=碼=瑪螞=媽{祖母}嬤{祖母}嗎{～啡}□{稱不足}[5]罵□{病豬肉}□{有～：有錢}
t	[1]□{現在}[2]□{沉澱}[3]打[6]笮{壓}
tʰ	[1]它她他□{～lu24：玩耍}[2]宅-[6]澈{乾淨}
n	[1]□{阿～：這樣；那樣}[2]拿娜{人名}□{捏}[3]□{咱}哪{～吒}[6]□{捏，擠}
l	[1]拉={拖～}垃[2]拉{破開}[6]啦
ɬ	[1]沙=紗=痧娑砂=[3]灑=傻[6]□{漫（米）}
ts	[1]查=渣=[5]乍炸榨=[6]窄=仄績={～纃}
tsʰ	[1]差瘥{病輕}叉[2]茶=[6]冊-{書}
k	[1]加咖枷嘉家佳[2]牙=芽=崖=涯=□{撬}[3]賈{姓}價=[5]價=架=駕=嫁=稼[6]隔-
kʰ	[2]卡[6]咔客-
h	[1]哈[2]霞-暇瑕[6]下={～等}夏廈-
ŋ	[3]雅
∅	[1]阿丫鴉[3]啞{聾～}[5]亞[6]鴨={～綠江}
#ɒ	
p	[1]波玻坡菠褒=播{傳～}[2]爬耙琶耙{～草}麻-{～瘋}袍咆{呵～：咳嗽}貓{野～}[3]馬-碼-把-寶=保=堡=葆褓飽-[5]報=播=[6]冒帽{～山：地名}暴爆曝{～光}耙{農具名}薄={～荷}北{坑～：地名}
pʰ	[3]皮叵[5]破=帕{口袋}□{遮蓋}[6]泡
m	[1]哞□{“抓”藥、土等}[2]毛=摩磨={折～}蘑魔[5]罵=
t	[1]刀=多凋{乾}焦{乾}[2]茶逃陶濤燾駝踏-[3]島搗朵躲倒{打～}褥[5]榨{～油}[6]導道盜惰墮稻悼蹈舵戳{蓋“印”}搭-
