来源：	杨述祖 王艾录1984《祁县方言志》；Forward 27增补修订																
说明：	代表城关音系																
#符号说明：-白=文*俗?待考																	
tʰ	[1]推颓	[3]腿	[5]退蜕褪														
l	[1]雷擂蕾	[3]垒=磊儡屡		[5]累=泪=类													
ts	[1]追锥	[3]嘴=	[5]最罪醉=坠缀赘														
tsʰ	[1]崔催摧吹垂锤捶炊槌			[5]脆翠萃粹淬悴													
s	[1]随=遂=虽绥谁隋		[3]水	[5]岁=碎隧穗=髓=祟睡税说{游~}													
z	[5]瑞睿锐																
k	[1]归轨龟规圭硅闺		[3]鬼诡给	[5]柜贵瑰桂													
kʰ	[1]亏奎魁葵盔窥揆睽溃		[3]傀	[5]愧刽跪馈													
x	[1]灰茴晖回辉扉恢麾诙飞非妃菲肥=			[3]菲{~薄}翡斐匪绯诽毁悔晦			[5]费=废沸肺狒会徽惠汇慧绘荟挥卉烩贿秽讳喙										
Ø	[1]为微潍维惟帷唯薇巍威围危桅			[3]伟委尾=玮炜违纬伪韦萎苇猬猥			[5]位未味胃卫喂=魏畏谓蔚=慰尉渭遗外										
#ǝu																	
t	[1]头-	[3]斗抖兜陡		[5]逗斗{争~}痘窦豆													
tʰ	[1]头=投偷	[5]透															
n	[1]奴{:形容小孩可爱}		[3]女{~儿：姑娘}努		[5]怒												
l	[1]楼娄卢炉芦庐		[3]鲁卤虏橹搂篓陋		[5]路露漏赂												
ts	[1]邹周舟州洲稠-昼		[3]走肘	[5]皱咒宙胄揍奏绉													
tsʰ	[1]抽稠=筹酬愁=仇踌畴绸			[3]丑	[5]凑臭												
s	[1]愁-收搜艘馊嗽{咳~}售			[3]守手首擞叟		[5]寿受授痩兽漱绶											
ʐ	[1]柔揉糅蹂		[5]肉														
k	[1]沟钩勾佝购{~买}构		[3]狗苟	[5]够购{采~}垢{污～}诟{～病}													
kʰ	[1]抠	[3]口	[5]扣叩寇蔻														
ŋ	[1]欧呕殴{~打}鸥{海～}讴怄			[3]偶藕{~根}		[5]沤											
x	[1]猴喉侯		[3]吼	[5]后厚候逅													
#iǝu																	
t	[1]丢																
l	[1]刘馏留瘤硫{~黄}流榴{石~}				[3]柳	[5]遛溜											
tɕ	[1]究{~竟}纠厩{马~}揪赳鸠鹫			[3]九酒久灸韭		[5]救就究{讲~}舅旧臼蹴疚柩											
tɕʰ	[1]秋邱丘裘囚酋球求																
n	[1]牛	[3]扭纽忸	[5]拗														
ɕ	[1]修休羞宿{星~}		[3]朽		[5]秀绣锈嗅袖												
Ø	[1]由油游优尤悠忧邮犹幽莜			[3]有友酉莠		[5]又右幼佑柚釉祐诱											
#ɑ̃																	
p	[1]班斑颁扳邦帮		[3]板阪版榜膀绑=		[5]办瓣扮傍磅磅棒蚌												
pʰ	[1]攀旁庞滂		[5]盼胖袢														
m	[1]蛮忙芒茫盲		[3]莽蟒	[5]慢漫=幔=													
t	[1]担丹耽单弹-{反～}当=			[3]胆掸{～子}挡党		[5]担淡旦但蛋惮殚弹-{子~}当宕荡											
tʰ	[1]堂唐糖棠塘螳汤=贪谭覃潭坍谈痰摊滩瘫弹={~性}坛檀					[3]坦毯倘躺=		[5]探炭叹烫=趟									
n	[1]难男南楠囊		[5]难{苦~}														
l	[1]岚蓝篮拦栏兰阑婪狼郎廊螂			[3]懒览揽缆	[5]朗浪滥烂												
ts	[1]簪脏赃章嶂彰樟张=沾咱			[3]斩盏攒长=涨=掌=		[5]站暂赞蘸绽栈脏={心~}藏{西~}障丈=杖=仗=帐=账=胀=											
tsʰ	[1]参蚕餐残孱潺馋=搀谗仓苍藏长=肠=常=昌猖偿掺					[3]产铲惨场=厂=敞=		[5]怅惝倡唱=畅=									
s	[1]三衫杉珊姗山馋-桑丧商殇伤=裳=尝=				[3]散{分~}伞赏晌嗓=搡			[5]散{发~}删上=尚=丧=									
ʐ	[1]瓤=	[3]攘嚷	[5]让壤														
k	[1]尴缸=刚=纲纲=罡		[3]港肛岗冈	[5]杠													
kʰ	[1]刊侃扛=康慷=糠		[3]抗{~日}	[5]炕=亢													
ŋ	[1]淹=肮{~脏}		[3]昂俺														
x	[1]含函邯咸行=杭航		[3]喊	[5]憾													
#iɑ̃																	
l	[1]良凉=量=梁=粱=粮=		[3]两=俩=	[5]亮量{质~}谅辆=													
