	注释：-白读，=文读
s	[1]书舒输[2]殊垂箠谁睡[3]水髓[5]署庶恕墅署戍说{游～}税[6]竖树[7]瘁雪说叔淑[8]术述熟=蜀属
k	[5]鳜[7]决诀抉
kʰ	[1]开-[7]厥阙獗缺
ŋ	[8]月越
x	[5]岁[6]讳[7]血□{击}
h	[2]皮疲[5]被-{棉～}
j	[5]蕨[8]悦越阅
#ai	
p	[3]摆[5]拜湃[7]八[8]拔
m	[2]埋[3]买[6]卖迈
β	[2]牌排[3]发-{～嗝}[6]败
t	[1]獃[2]蹄[3]底-滓
tʰ	[1]猜钗差{出～}[7]切{勤劳}
n	[3]乃奶[6]耐奈
l	[2]台抬来=豺犁苔-[5]在怠殆[6]代贷袋=寨□{多}
ts	[1]栽=斋[5]债[7]节{过～}[8]截
s	[1]西犀腮筛=[3]洗玺[5]赛晒细[7]萨
k	[1]该街皆阶偕鸡[3]改解=[5]界介芥疥届丐戒盖=
kʰ	[1]溪[3]凯恺楷[5]概溉慨契
ŋ	[2]呆挨倪涯崖[6]碍艾=
x	[2]孩谐鞋=[3]骇□{东西}[6]械蟹懈[7]瞎
h	[1]胎苔{毛～}[5]态替箅[6]稗
∅	[1]唉埃羁-{拴住}[3]矮霭蔼噎[5]解-{会}[7]哎
#uai	
p	[5]簸-[7]泼{活～}
m	[2]磨-{～刀}[7]抹觅-[8]末袜
β	[1]过-{菜老}[8]钹跋
t	[5]带戴={爱～}㿃[6]大=
tʰ	[3]彩采[5]蔡
l	[2]才财裁[5]舵-待[6]赖大-[8]□{蟑螂}辣达
ts	[1]灾栽-[3]宰载{年～}[5]再载{～货}[8]坐-
s	[1]沙-[3]洒-[5]帅率[7]撒
k	[1]乖[3]拐[5]盖-[7]割刮括葛
kʰ	[1]开[5]块刽会-计[7]阔
ŋ	[3]我
x	[2]怀准槐[3]海[6]客亥坏[7]发=[8]活滑猾罚伐乏
h	[1]拖[5]太寨杮{木片}[7]獭挞
∅	[1]哀[5]爱={～人}
#yai	
ts	[3]纸
tsʰ	[7]察擦
s	[2]箩-[5]濑-{浅滩}[7]杀煞
k	[5]怪
kʰ	[5]快
ŋ	[2]鹅-[5]蚁-[6]艾-外[8]热-
x	[7]歇-
∅	[1]歪
j	[2]蛇-[3]曰[5]俺[6]□{～灰：撒灰}[8]舌-
#ei	
p	[1]卑碑裨俾[3]比彼匕[5]蔽痺袐泌庇[6]婢[7]必毕笔逼碧弼
pʰ	[1]丕
m	[2]迷糜弥尼-{～姑}[3]美[5]米[6]媚寐[8]密蜜
β	[2]维惟帷唯微薇[5]陛被={～动}琵脾[6]蹩敝弊备未=味=
t	[1]知[3]低抵底=[5]帝智置致[6]事{话～：说话}[7]敌滴的嫡
tʰ	[1]妻凄栖[7]七戚缉辑
n	[2]尼=呢[3]你[6]二饵溺[7]匿暱[8]入日
l	[2]厘离{～别}篱璃丽{高～}堤提齐池驰迟持[3]李里理裡履秩寂[5]隶梨鲤题弟第治雉稚滞[6]丽厉励蛎利痢吏地=寺寿恃字[8]立笠=力粒=狄集疾侄直值籍藉
ts	[1]挤[2]瓷[3]姊[5]祭际穄荠济[6]自=[7]即鲫积迹脊稷渍
s	[1]丝[3]死[5]四婿[7]悉息膝媳昔惜=[8]席习袭夕
h	[1]梯筛-[3]体疕鄙[6]鼻涕[7]匹疋癖僻霹辟剔
#ie	
p	[6]篦[7]北百
pʰ	[7]拍{～子}[8]瞥
m	[2]眉楣[6]沕{潜水}[7]觅=[8]陌墨默脉
β	[8]帛
t	[7]得德熟-[8]跌{～鼓：丢脸}
n	[6]腻
l	[2]来-[8]栗勒特宅泽择
ts	[1]栽-[7]则责栉
tsʰ	[2]脐[5]菜[7]测侧恻策漆厕[8]贼
s	[1]狮[7]瑟虱色啬锡[8]塞=笠-
k	[7]革格隔=
kʰ	[7]克刻客=咳□{翅膀}
x	[7]黑赫[8]核=劾
h	[7]迫泊魄踢
∅	[5]厄扼轭
#uɛ	
β	[2]枇{～杷}[6]未-味-
k	[3]粿[5]髻
x	[1]非飞妃[2]肥=[3]匪菲[5]费肺废
#au	
p	[1]包胞褒[3]宝饱[5]报豹[6]抱
m	[2]猫毛茅[5]卯[6]暴爆曝
β	[2]袍[3]保堡[5]鲍铇[6]暴爆曝
t	[1]刀叨[3]岛倒祷[5]到倒{～水}
tʰ	[1]抄操钞剿臊{鱼腥}[2]樵{柴火}[3]草吵炒[5]造躁
n	[3]脑恼[6]闹
l	[1]捞[2]劳唠牢逃涛陶淘巢[3]早老=[5]涝道皂[6]稻导盗
ts	[1]道糟=[2]曹[3]枣爪澡[5]罩笊
s	[1]骚[3]嫂稍潲
k	[1]高=篙羔糕膏=胶交郊[3]稿犒搞搅狡绞=[5]告诰教{～育}校{～场}
kʰ	[1]骹{脚}[3]考巧[5]烤靠敲
ŋ	[2]邀[6]熬傲
x	[1]教{～书}[2]豪蠔[3]好{～坏}[5]好{爱～}耗泡孝酵咬[6]号校{学～}效
h	[1]滔[2]桃[3]讨[5]套炮{～仗}[6]鳔炮{大～}
∅	[1]高-膏-坳[3]拗□{腹痛}绞-[5]奥澳懊
#iu	
p	[1]标彪[3]表錶婊
pʰ	[1]飘漂{～亮}[3]嫖漂{～白}
m	[2]苗描[3]秒渺藐杳[6]妙庙谬
t	[1]朝{今～}刁雕貂丢[2]条调{～和}绸稠[5]钓吊昼=[6]调{声～}掉住-
l	[1]焦{干}[2]疗燎缭辽聊撩调{～羹}流刘留榴硫琉溜潘朝{～代}潮[3]了柳[5]宙纣兆肇赵[6]召廖料诏嚼寥
ts	[1]焦椒礁招昭沼周州洲舟鸠[2]樵{～夫}[3]酒肘帚[5]醮照[6]就
tsʰ	[1]秋锹缲鬚烧[3]醜[5]消[6]树-
s	[1]修收萧霄宵消销硝[2]囚泅酬仇售[3]小少{多～}手首守[5]笑鞘少{～年}啸受授兽秀莠锈绣[6]袖寿岫
k	[1]骄娇[2]桥乔荞侨[3]矫缴饺九久炙纠[5]究救=[6]轿舅旧柩
kʰ	[1]丘邱蚯[5]窍跷[6]臼
ŋ	[2]饶尧牛[3]鸟纽扭[6]尿
x	[1]嚣休[3]晓朽韭[5]救-嗅{～觉}
h	[1]抽馊超[2]筹薸{浮萍}[3]丑[5]粜票跳[6]柱轴
∅	[1]腰妖夭邀要{～求}优优悠幽[2]摇窑谣遥姚肴淆餚尤由邮油游酋柔揉[3]扰[5]要幼蓲{孵}[6]鹞诱右祐柚釉
j	[2]求[3]舀友有[5]又球酉[6]桥
#ui	
p	[1]杯悲[2]赔[5]贝背=辈
m	[2]梅媒枚玫煤莓霉[3]每勿[6]昧[8]没
β	[3]唯[5]倍培陪裴背-{～书}[6]伪[8]物
t	[1]堆[3]短[5]对兑难
tʰ	[1]崔催[3]揣[5]碎脆粹[7]猝切-
n	[6].内芮
l	[2]雷=颓[3]累{～积}儡垒[5]罪[6]累{劳～}锐队袋-戴-{～帽}[8]捋律夺突
ts	[1]朘{男阴}[5]最[7]卒
s	[1]衰𤸬[2]雷-螺-脶[6]隧遂[7]刷蟀
k	[7]骨
kʰ	[1]魁盔[3]傀[5]绘[6]渍[7]窟
ŋ	[2]桅巍
x	[1]灰恢诙徽[3]回[3]火毁[5]晦悔[6]会{开～}汇[7]忽弗拂律[8]核-佛获
h	[1]推坯胚[3]腿[5]退沛配佩[7]脱
∅	[1]煨[2]未[3]委韦苇纬[5]爱-
#əu	
p	[2]肥-[3]斧-[5]痱埠
β	[2]瓢瓠[5]背-{～脊}妇-{媳～}[6]吠
t	[1]追蛛-[2]厨衣-[6]答[7]竹
tʰ	[1]趋[3]取[5]娶翠趣喙{～须：胡须}[7]捉促
n	[3]女[8]肉
l	[2]驴徐=[3]吕旅屡缕[5]厨{鸡～}徐-{姓}锄聚晬{周岁}醉悴[6]虑滤摅类泪彙摞[8]律率绿录六=逐轴
ts	[1]疽[3]嘴[7]足
s	[1]儒须虽绥胥[2]随隋[5]絮序绪[6]岁=[7]黍戍恤宿粟{稻谷}[8]续俗赎
k	[1]居车{～马}圭闺龟归渠{他}[3]举矩诡轨鬼晷[5]锯据距句桂季癸贵剧=瑰[6]柜[7]讫屹迄菊[8]崛掘
kʰ	[1]区驱枢奎[3]杵豨{猪}[5]去[7]屈曲麯
ŋ	[2]鱼渔愚虞隅危[3]语[6]遇寓御禦[8]玉狱
x	[1]虚墟嘘麾挥辉[3]许[6]慧惠彗穗卉雨-[7]煦旭
h	[1]麸[2]如茹儒孺榆盂遗余馀锤槌为逵葵[3]汝乳与雨=宇禹羽舆蕊殕{霉}浦-[5]渠巨拒距具俱与{参～}沸屁[6]誉预愈裕胃喻愉逾卫瞿豫惧脆[8]辱褥轴{长条布}浴欲
∅	[1]于於淤猥威□{他的}迂{～腐}[5]畏慰[6]芋[7]嗝育哕域郁
#iəu	
pʰ	[2]浮=[3]否剖
m	[3]某牡亩[6]贸茂
β	[2]浮-
t	[1]兜逗{～留}[3]斗抖陡[5]鬥[6]豆荳逗{～号}
l	[1]□{难过}[2]投搂楼[3]篓[5]愁[6]漏陋骤
ts	[1]邹糟-[3]蚤走[5]灶奏皱绉
tsʰ	[3]宿{鸡～：鸡窝}[5]臭凑
s	[1]搜[2]绍韶[3]叟[5]扫嗽[6]老-邵瘦
k	[1]拘驹沟钩[3]苟[5]枸够购媾
kʰ	[1]抠[3]口[5]扣寇蔻
ŋ	[2]□{根}[3]偶藕绕
x	[2]侯喉=猴=[6]后候厚={忠～}
h	[1]偷[2]头[3]敨{～气}[5]透
∅	[1]殴呕[3]吼{叫}
j	[5]厚-猴-
#aŋ	
p	[1]邦[3]柄-棒[6]病
pʰ	[1]攀=[2]膨=
m	[2]明-{～朝}冥-{夜晚}
β	[2]棚膨-
t	[1]担{名词}[3]胆[5]店
tʰ	[1]参青[2]蚕[3]惨[5]忏
l	[1]耽担{动词}[2]蓝篮=谭谈痰弹{～跳}惭谗[3]览揽榄缆[5]澹淡伶{～俐：干净}甜前-{～暝：昨天}暂渐[6]滥舰栈
ts	[1]脏{肮～}[2]晴[3]斩井-[6]錾
s	[1]三衫[2]篮-{菜～}[3]闪[5]疝
k	[1]搛监更{五～}羹[3]减茧讲-[5]监{～督}鉴降{下～}
kʰ	[1]堪勘坑[3]坎
ŋ	[2]岩
x	[2]含函咸衔降{投～}[3]航[5]撼颔[6]蚶陷杏
h	[1]贪攀[2]彭[3]毯[5]探
∅	[1]肮{～脏}奄庵[3]谙
#iaŋ	
p	[2]平-坪[3]饼[5]摒併
pʰ	[1]拼姘
m	[2]名[6]命-
t	[6]郑
l	[2]铃[3]䭕{味淡}[5]领岭呈
ts	[1]正{～月}[5]正{～反}
tsʰ	[3]请
s	[3]省-[5]姓-
k	[1]经-{～线}
kʰ	[1]轻[2]钳
ŋ	[1]拈黏[2]迎-
h	[1]听[2]程
∅	[2]赢[6]艳
j	[2]城-行-{走}[6]焰{～刀：闪电}
#ɔŋ	
p	[1]帮[3]榜绑[5]棒谤
m	[2]忙芒茫[3]莽罔网
β	[1]缸[2]亡忘妄旁谤塝{田～：田埂}[5]行{银～}[6]望
t	[1]当装桩[2]肠[3]党挡[5]当{典～}盪{涮洗}
tʰ	[1]仓苍疮昌倡娼窗[2]床[3]厂撞[5]创闩
n	[2]囊=瓤
l	[2]堂螳狼郎=廊螂唐藏[3]朗[5]长{～短}塘[6]浪荡藏{西～}脏{内～}笐{竹竿}状
ts	[1]章樟庄赃臧装=[5]壮障葬
s	[1]桑商伤霜孀[2]郎-{婿～}[3]嗓爽磢{～面}[5]丧囊-[6]两-
k	[1]刚纲扛肛江光[3]感敢港讲=广[5]钢冈岗虹-
kʰ	[1]康糠[2]狂=[3]慷[5]抗囥{藏}炕旷况矿
ŋ	[2]昂=[3]昂-
x	[1]方坊荒慌[2]狂-抗航房防楻皇蝗[3]妨纺仿访肪恍谎[5]放[6]项
h	[1]汤[2]糖[3]倘躺[5]烫蚌胖
∅	[1]汪庵[2]黄癀[3]枉[5]暗谙
#yɔŋ	
p	[1]风-
t	[1]张[3]长{～官}[5]胀帐涨仗怅账[6]丈仗=
l	[2]良粮凉量梁粱祥详辆[3]两=[5]养场[6]量{度～}亮谅
ts	[1]将浆[2]墙裳-[3]桨奖蒋掌[5]将{大～}酱[6]匠上{日～：白天}
tsʰ	[1]枪[3]抢[5]唱
s	[1]相箱厢襄镶[2]常裳=尝[3]想赏偿[5]相{～貌}像[6]象尚上=
k	[1]姜薑僵疆
kʰ	[1]匡筐腔
ŋ	[2]娘[3]嚷壤仰[6]让攘酿
x	[1]香乡[3]饷享响[5]向
h	[6]畅仗-{炮～}
∅	[1]央秧殃[2]羊洋扬疡阳王[3]养影-{人～}往[5]映[6]样恙旺
j	[2]强{～大}[3]强{勉～}[5]上-{～头}
#əŋ	
p	[3]捧[5]畚放-
pʰ	[2]篷蓬庞[5]喷
m	[2]蒙[3]蠓懵[6]梦
β	[2]浑盆
t	[1]东冬中忠[2]筒[3]董懂冢[5]中{打～}
tʰ	[1]春椿葱忽囱充冲[3]蠢[5]铳
n	[2]农脓浓
l	[2]伦轮仑沦龙笼童瞳同桐隆垅陇从重{～复}聋=松-[3]拢[5]重{轻～}铜动[6]仲
ts	[1]宗棕踪鬃终纵钟铺盅[2]丛[3]准凖总怂种{～子}[5]晋俊骏竣圳粽众纵种{～植}[6]颂{穿}
s	[1]嵩春鬆双[2]荀旬询巡循谆唇纯醇聋-松=殉[3]笋损瞬[5]舜送宋[6]颂讼诵顺
k	[1]均钧军君公工功供恭弓宫躬[2]裙穷-拳[3]仅谨汞拱迥[5]贡供{～神}攻
kʰ	[1]空控[3]孔顷倾[5]空{～缺}
ŋ	[2]银
x	[1]封风=疯讽峰锋蜂魟烘轰凶胸兄熏勋薰[2]红=洪鸿虹雄熊逢缝弘宏[5]训[6]巷奉俸凤
h	[1]通[2]云匀萤容戎绒荣茸庸营=群勤琼穷=[3]疼桶捅统宠[5]红-近-[6]运晕韵泳咏用闰润缝共
∅	[1]翁雍殷痈[2]耘[3]隐允永勇甬涌拥[5]瓮壅{～肥}
#iŋ	
p	[1]鞭编边[3]匾贬[5]变[6]饭
pʰ	[1]偏篇[5]骗
m	[2]棉绵眠[3]免勉娩缅[6]面
β	[2]便、宜[3]扁蝙[5]范姓辩辨辫[6]便方-
t	[3]点玷典[6]蛰總滇
l	[2]连莲联廉镰簾潜脞[3]脸殓敛辇[5]佃僭[6]练炼电奠贱
ts	[1]真针斟蒸瞻毡歼尖煎櫼笺征=[2]钱[3]展枕诊疹震振拯整井=残[5]占佔箭溅战颤荐政证浸
tsʰ	[1]深琛称声千签迁纤[2]前=[3]浅[5]秤
s	[1]申伸升身先仙鲜[2]神辰晨臣承丞绳成城=诚寻{一～地}潺蝉禅蟾[3]审婶陕醒=暹癣[5]扇搧圣[6]甚葚肾慎乘剩盛胜善膳擅赡
k	[1]京鲸经=荆茎坚兼[3]紧锦景警捡检[5]剑禁见劲竟竞境敬径颈迳[6]妗
kʰ	[1]钦卿谦[3]遣遮[5]欠庆磬
ŋ	[2]严年疑迎[3]冉染[6]验念谚稔
x	[1]欣掀=兴馨[2]嫌贤形刑型[3]险显[6]现衅
h	[1]天添[3]筅{～帚：炊帚}[5]片{鼎～：锅盖}
∅	[1]音阴荫烟燕茵英婴缨鹦姻[2]盐檐焉然燃[3]颖饮演引影=淹掩[5]厌印应宴燕{～子}
j	[2]人仁寅炎淫延盈筵乾{～坤}虔禽擒琴芹[5]俭件盐{腌}腱赁[6]刃仍孕任壬
#eiŋ	
p	[1]宾滨槟彬兵斌[3]丙柄=禀[5]殡鬓
m	[2]民泯萌明=冥=暝铭螟[3]悯敏皿[6]闷命=
β	[2]贫频平=萍苹骈[5]并屏迸凭
t	[1]珍徴砧侦征-{～兵}[2]陈尘沉[3]鼎顶[5]镇
