#来源	由Pekkhak（啵啵）整理自《吴语处衢方言研究》
#符号说明	?待考
#调值	［1］³³［2］²⁴［3］⁴⁵［4］²²［5］⁵²［6］³¹［7］⁵［8］²³［0］⁰
#ɿ	
l	［1］里{□tsʰəʔ3～：哪里}［2］犁来{将～}里{□ɡɐʔ2～：这里}□{反手～：左撇子}［3］里{□tsʰəʔ3～：哪里}［4］□{无～：不相干}［5］里{乡～：乡下}□{胡～：络腮胡子}［6］累{疲劳}滤?
ts	［1］灾栽{～树}滓［3］宰崽□{鸡公～：鸡冠}［5］再载{～重}祭{吃，骂人话}磜{八～：地名。本字应是“漈”}
tsʰ	［3］彩采睬□{哪}□{打～：打喷嚏}［5］菜
s	［1］腮鳃西{底～：什么}琐?{小}［5］西{东～：物件}细{粗～}婿□{鸡～：鸡窝}
z	［2］才{～能}材财裁齐{做～：做完}［4］在{自～：安静}□{～□ɕi52：鼻涕}［6］在{～玉山}载?{一～雨：一阵雨}
k	［1］该饑{饿}［3］改幾{～时}虮［5］盖{～滗碗：盖碗}丐钙寄{～信}
kʰ	［1］开去{～年}［5］概溉慨
ɡ	［4］徛{站；住}
ŋ	［2］呆［6］碍
x	［3］海［5］□{睡}
ɦ	［4］亥［6］害骇
∅	［1］哀衣{～裳}［5］爱蔼
#uɐi	
t	［1］堆□{～走～讲：边走边说}［3］抵?{交换}［5］对碓
tʰ	［1］梯推［3］腿［5］退蜕
d	［2］颓?{阴茎}［6］队兑
n	［3］内
l	［2］雷□{动词，刺}［4］儡□{虫子咬成的疙瘩}［6］□{滚动}
tsʰ	［1］催
s	［3］碎［5］岁
z	［4］罪
k	［1］归{去～：进去}［3］鬼［5］刽桧绘
kʰ	［1］盔魁奎
x	［1］灰恢［5］悔晦
∅	［2］回茴［6］会{开～}烩{加热}汇
#ə	
tʰ	［1］□{～□xo52：大便拉在裤子里}
d	［4］苎{～麻}
l	［0］了{够～}
ts	［1］资姿咨兹滋辎□{～牲：畜牲}［3］紫子{瓜～}籽梓［5］子{后缀}
tsʰ	［1］雌［3］齿［5］此刺次
s	［1］斯私司丝思{心～}□{面～□kuə33：颊}［3］死［5］赐駟肆丝{天罗～：油条}思{意～}□{脑～：囟门}鹚{鸬～}
z	［2］徐脐糍瓷慈辞词祠□{目～：眼泪}［4］祀巳嗣自{～由}［6］似字寺饲莳
k	［5］锯［0］个{□tsʰɐi45～农：谁}
kʰ	［5］去
ɡ	［4］□{打～：打嗝}苣{莴～菜}
ŋ	［1］渠{他}［2］鱼［4］蜈{～蚣}□{～鳅：泥鳅}［6］腻
x	［1］墟［3］许{～愿}
#uə	
p	［3］补［5］布佈怖
pʰ	［1］铺{动词}［3］谱普浦捕甫脯辅阜{曲～}［5］铺{当～}埠{华～：地名}
b	［2］□{煨}匏{瓠子}［4］簿抱脯{～头：胸脯}葡{～萄}鹁{～鸪：一种鸟}□{～□tɕø52：蜻蜓}［6］部步伏{孵}□{测量}［0］蒲{菖～}
m	［2］模□{估计}［3］无{没有}［4］舞{～龙灯}□{～侬：戏弄人家}［6］暮慕墓募雾{起～}
f	［1］夫肤敷麸［3］府腑［5］付赋傅赴讣富副［0］咐{吩～}
v	［2］符扶巫诬戊浮［4］妇{～女}负斧{～头}无{～常鬼：一种鬼}抚{～州}腐{～烂}［6］务雾父
t	［1］都{首～}□{猪～儿：小猪}［3］赌肚{猪～}［5］堵妒
tʰ	［1］土讨{～饭侬：乞丐}［5］吐{呕吐}兔
d	［2］徒屠途涂图［4］杜［6］度渡镀毒?{毒害}
n	［4］□{～儿□mɐɯ33：男孩}［6］怒
l	［2］卢炉芦庐［4］鲁橹虏卤{掬}鸬{～鹚}［6］路赂露鹭
ts	［1］租［3］祖组蚤
tsʰ	［1］粗初［3］楚础草{单说}［5］醋措
s	［1］苏酥梳蔬扫漱{～口}［3］所［5］素诉塑数{～学}
z	［4］嫂［6］助
k	［1］姑孤菇鸪□{面□sə33～：颊}［3］古估牯股鼓□{车～：轮子}□{拳头～：拳头}［5］故固雇顾
kʰ	［1］枯箍［3］苦［4］傀{～儡}［6］库裤
ɡ	［2］糊{贴}［6］糊{面～：糨糊}
ŋ	［2］吴［4］五伍午梧{～桐树}忤{～逆}［6］误悟
x	［1］呼□{打巴掌}□{～田：耘田}［3］虎浒［5］戽
∅	［1］乌污父{师～}妇{新～：儿媳妇}［2］和{～罢：和了}胡{姓}湖狐壶乎{几～}［3］坞□{遗失}□{～酒：酿酒}［6］户互妇{弟～}鬍{～鬚}蝴{～蝶}［5］恶{可～}□{烧灰}［6］护腐{豆～}
#e	
p	［1］□{牛□sã33～：牛虻}□{～里：怀里}［5］闭
