临武城关片字表				备注
音标	声调	声调序号	例字	
pe	˧	1	白别[～人]	
pe	˩	5	伯	
pe	˥˧	7	北柏伯[梁山～与祝英台]百[～把斤，一百斤左右]不[～过]泊	
pʰe	˥˧	7	拍迫魄	有将pe读pie者
me	˧	1	默墨灭脉密不[～是]蜜麦[～市镇]	有将me读作mie者
me	˩˧	2	蛮[～好]	
fe	˧	1	佛	
fe	˩	5	□[快速转动产生的呼呼声]	
te	˥˧	7	德得	
tʰe	˧	1	特	
ne	˧	1	□[～～，幼儿对肉食的叫法]呢	
le	˧	1	勒	
tse	˥˧	7	摘[指～]谪褶者	有将tse读tɕie者
tsʰe	˥˧	7	策册测撤彻澈拆[文]坼斥	有将tsʰe读tɕʰie者
se	˥˧	7	色摄瑟设涉	有将se读ɕie者
ke	˧	1	□[这，～件]□[是～，是的]	
ke	˥˧	7	格革隔给	
kʰe	˥˧	7	克咳刻	
ŋe	˥˧	7	额[名～]轭扼[～计，刚刚好，精确]	
xe	˧	1	嘿核[又]	
xe	˥˧	7	黑赫褐核	
peŋ	˧	1	兵冰宾槟奔编[白]彬滨缤濒	
peŋ	˩˧	2	平坪评瓶盆贫凭频屏苹萍[文]	
peŋ	˥	3	本饼笨丙柄秉禀	
peŋ	˩	5	病并鬓	
pʰeŋ	˧	1	拼[组合]乒	
pʰeŋ	˥	3	品	
pʰeŋ	˩	5	聘拼[拼搏]	
meŋ	˧	1	们	
meŋ	˩˧	2	明名民门螟铭鸣蚊[白]	
meŋ	˥	3	敏悯闽皿	
meŋ	˩	5	命闷	
feŋ	˧	1	分[～开]吩芬纷	
feŋ	˩˧	2	坟焚	
feŋ	˥	3	粉	
feŋ	˩	5	喷[～水]份分[成～]汾[～市，当地地名]粪奋愤忿氛	
teŋ	˧	1	丁灯钉登疔蹬叮盯	
teŋ	˩˧	2	寻[存疑]停藤廷庭蜓[羊耳～～]亭腾誊	
teŋ	˥	3	等顶鼎[饭锅]	
teŋ	˩	5	邓凳[～头，凳子]定订钉锭瞪	
tʰeŋ	˧	1	厅	
tʰeŋ	˥	3	挺艇	
tʰeŋ	˩	5	听汀	
leŋ	˧	1	拎□[呆滞没活力]	
leŋ	˩˧	2	铃零邻迎灵银能临林宁吟淋伶陵凌菱磷棱楞琳鳞玲蛉翎龄柠狞凝	
leŋ	˥	3	冷岭[香花～，当地地名]领凛檩	
leŋ	˩	5	令吝赁躏泞	
tseŋ	˧	1	争筝津晶蒸真珍针侦精睛正[～月]征贞斟睁臻僧榛怔狰	
tseŋ	˥	3	枕诊整振震井[又]疹阱怎拯	
tseŋ	˩	5	证政症镇浸进正静[又]靖郑挣	
tsʰeŋ	˧	1	青清称亲侵蜻僧[又]	
tsʰeŋ	˩˧	2	陈乘[～法]成城诚程情尘沉承臣橙澄秦晴逞呈忱惩	
tsʰeŋ	˥	3	请寝尽□[看，瞧]	
tsʰeŋ	˩	5	阵衬净静称秤趁撑乘[～机]	
seŋ	˧	1	生牲甥星腥申新辛身深心声升参森伸薪笙呻绅芯锌猩	
seŋ	˩˧	2	辰神承[又]晨唇[白]什[～么]	
seŋ	˥	3	审升省婶沈	
seŋ	˩	5	剩圣甚信性姓盛胜锈慎肾渗衅	
keŋ	˧	1	跟根京惊[醒来]耕斤筋金今巾经更襟茎鲸庚羹荆兢	
keŋ	˥	3	颈紧景警锦耿谨梗仅	
keŋ	˩	5	镜境竞敬禁更劲径竟	
kʰeŋ	˧	1	轻钦卿坑氢吭	
kʰeŋ	˩˧	2	琴芹勤禽擒擎	
kʰeŋ	˥	3	近恳垦啃	
kʰeŋ	˩	5	庆	
ŋeŋ	˩	5	硬	
xeŋ	˧	1	兴欣馨哼	
xeŋ	˩˧	2	形刑衡行型痕恒邢横[文]	
xeŋ	˥	3	肯很狠	
xeŋ	˩	5	恨幸兴杏	
eŋ	˧	1	因姻恩英音阴荫婴樱缨鹦殷莺蝇茵鹰	
eŋ	˥	3	影	
eŋ	˩	5	映印任认应孕	
pa	˧	1	叭吧掰	
pa	˩˧	2	排牌徘	
pa	˥	3	摆	
pa	˩	5	拜败稗把[刀～子]湃	
pa	˥˧	7	八扒□[对奶奶辈的老年妇女的尊称]捌	
pʰa	˧	1	□[～开，两腿张开]	
pʰa	˥	3	□[用棍子的一头挑着东西的动作]	
pʰa	˩	5	□[邋～，不整洁]	
pʰa	˥˧	7	□[破裂]拔	
ma	˧	1	麦抹妈	
ma	˩˧	2	埋	
ma	˥	3	买晚[存疑]	
ma	˩	5	卖迈	
fa	˧	1	罚	
fa	˥˧	7	法发□[抽打的动作]乏阀筏伐	
ta	˧	1	□[跷跷板抬升和降落的动作]瘩	
ta	˩˧	2	台抬苔	
