聲調：陰平[44] 陽平[11] 陰上[35] 陽上陰去[13] 陽去[42] 陰入[5] 陽入[2] 高平變調[55]																																																	
1.i 2.u 3.y 4.a 5.ɛ 6.ɔ 7.œ 8.ə 9.ui 10.iu 11.ai 12.au 13.ɛi 14.iɛu 15.ɔi 16.əø 17.im 18.am  19.iɛm 20.in 21.un 22.an 23.iɛn 24.ɔn 25.yœn 26.aŋ 27.iaŋ 28.ɔŋ 29.yœŋ 30.əŋ 31.eŋ  32.ip 33.ap 34.iɛp 35.it 36.ut 37.at 38.iɛt 39.ɔt 40.yœt 41.ak 42.iak 43.ɔk 44.yœk 45.ək  46.ek 47.m																																																	
聲母：p pʰ m v t tʰ n l ʦ ʦʰ s ɬ k kʰ ŋ h j w ø																																																	
聲韻母	聲調																																																
j	[11]椰爺耶	[35]搲（抓、撓）	[13]野惹	[42]也夜																																													
w	[44]哇蛙窪	[11]華	[35]畫	[42]話																																													
ø	[44]鴉阿啊丫椏	[35]啞	[13]亞婭																																														
#ɛ																																																	
p	[44]啤（~酒）																																																
m	[44]咩孭（揹，負擔）	[35]孭																																															
v	[11]咈																																																
t	[44]爹	[35]嗲																																															
l	[44]咧語氣詞，相當於普通話的“吧”																																																
ʦ	ʦ [44]嗟	[35]姐	[13]借																																														
ʦʰ	[11]邪斜	[35]且跙（走開、離去）笡（陡、有坡度）	[42]謝																																														
ɬ	[44]些	[35]寫	[13]卸瀉																																														
k	[44]其助詞，相當於“的”																																																
kʰ	[11]騎茄																																																
j	[44]嘢（出糗）	[11]爺耶椰	[13]冶嘢（東西）																																														
#ɔ																																																	
p	[44]玻波播（名詞，主~）	[13]播（動詞，~放、~種）																																															
pʰ	[44]坡頗棵樖	[11]婆	[35]叵頗	[13]破																																													
m	[44]麼魔	[11]磨蘑摩魔模	[35]摸	[42]磨																																													
v	[44]科蝌	[35]火伙夥顆	[13]貨課																																														
t	[44]多	[35]朵躲	[13]剁																																														
tʰ	[44]拖	[11]陀駝馱	[35]妥橢	[42]惰墮																																													
n	[11]挪	[42]糯懦																																															
l	[44]囉（~嗦）	[11]羅邏鑼蘿螺騾	[35]裸																																														
ʦ	[35]左佐阻																																																
ʦʰ	[44]搓磋初雛	[11]銼鋤	[35]楚礎	[13]錯措挫坐座	[42]助坐座																																												
s	[44]梳蔬疏	[11]傻	[35]所																																														
ɬ	[44]梭唆嗦	[35]嗩瑣鎖																																															
k	[44]哥歌戈	[35]果裹粿	[13]個箇過																																														
kʰ	[44]科戈顆	[13]課																																															
ŋ	[11]俄蛾鵝峨訛	[35]我	[42]餓臥																																														
h	[44]呵苛	[11]河何（荷~花）	[35]可	[13]賀	[42]荷（負~）																																												
j	[44]窩蝸倭	[11]禾和	[13]禍	[42]禍																																													
ø	[44]阿（~膠）屙柯																																																
#œ																																																	
t	[35]朵																																																
l	[11]螺	[35]𦧲（舔）																																															
ʦ	[44]𥅲（緊盯，指責）																																																
ʦʰ	[35]欻（歎詞，表不屑、不滿）	[42]切（歎詞，表不屑）																																															
s	[35]唰（擬聲詞，表快速）																																																
kʰ	[11]瘸茄又																																																
ŋ	[35]㾓（酸痛，軟）																																																
h	[44]靴																																																
#ə																																																	
k	[13]個箇																																																
#ui																																																	
t	[44]堆	[35]㨃	[13]對																																														
tʰ	[44]推	[11]頹	[35]腿	[13]褪退	[42]隊																																												
n	[42]內																																																
l	[11]雷擂蕾	[13]累（~積）壘	[42]淚類累（連~）慮																																														
ʦ	[44]追錐	[35]嘴	[13]醉最贅綴																																														
ʦʰ	[44]催摧吹炊	[11]隨垂錘捶槌	[35]璀	[13]脆髓（又）翠	[42]罪墜																																												
s	[11]誰垂（又）	[35]水	[42]瑞																																														
ɬ	[44]雖	[13]髓粹碎	[42]遂隧穗																																														
k	[44]歸規又龜圭閨硅	[35]軌（又）鬼詭	[13]季桂貴																																														
kʰ	[44]虧窺規閨（又）盔	[11]葵馗逵奎攜	[35]潰軌	[13]愧	[42]跪櫃																																												
ŋ	[11]危桅	[42]僞魏																																															
h	[44]麾揮輝徽	[35]毀																																															
j	[13]蕊	[42]芮銳睿叡																																															
w	[11]維唯惟遺為(作~)違圍	[35]毀(又)	[13]韋偉瑋緯葦諱	[42]惠慧衛為(~何)胃謂猬位彙																																													
ø	[44]威	[35]委痿萎	[13]畏慰餵喂																																														
#iu																																																	
m	[42]謬繆																																																
t	[44]丟																																																
n	[35]鈕扭紐																																																
l	[44]遛	[11]流琉硫劉瀏留瑠榴餾	[13]柳																																														
ʦ	[44]揪州洲周週舟	[35]酒帚	[13]晝咒																																														
ʦʰ	[44]秋鞦抽	[11]囚綢稠籌酬	[35]丑醜	[13]臭	[42]就袖宙																																												
s	[44]收	[35]手首守狩	[13]獸	[42]壽授售																																													
ɬ	[44]修羞	[11]愁	[13]秀繡鏽																																														
k	[44]糾鳩鬮	[35]九久灸韭	[13]救究																																														
kʰ	[11]求球	[13]舅	[42]咎舊柩																																														
h	[44]丘蚯邱休	[35]朽																																															
j	[11]尤魷由油郵柔糅	[35]友又油	[13]有友酉	[42]右佑又幼誘																																													
ø	[44]憂優幽																																																
#ai																																																	
p	[44]掰	[35]擺擺	[13]拜湃																																														
pʰ	[11]牌排	[13]派	[42]敗																																														
m	[44]嘜(麥克風)	[11]埋	[13]買	[42]賣邁																																													
v	[13]筷快塊																																																
t	[44]獃	[35]傣	[13]戴帶																																														
tʰ	[44]呔（領帶；輪胎）	[13]貸態太泰舵	[42]大																																														
n	[13]奶乃																																																
l	[44]拉孻	[13]瀨	[42]賴癩																																														
ʦ	[44]齋	[13]債																																															
ʦʰ	[44]猜釵差	[11]柴豺	[35]踩	[42]寨蔡																																													
s	[44]嘥（浪費）	[11]嘥（牙~~：嬉皮笑臉）	[35]舐璽	[13]曬	[42]賽																																												
ɬ	[35]徙璽	[13]賽																																															
k	[44]佳街皆階乖	[35]解（~開）	[13]介界芥尬屆戒怪拐																																														
kʰ	[44]荷（荷物）	[35]楷																																															
ŋ	[11]厓涯捱	[42]艾																																															
h	[11]孩骸鞋諧	[13]蟹	[42]械懈																																														
j	[35]踩踹																																																
w	[44]歪	[35]崴(借自普通話)	[11]懷槐淮	[42]壞																																													
ø	[44]挨	[35]矮																																															
#au																																																	
p	[44]褒煲包胞鮑	[35]保堡寶鴇飽	[13]報爆																																														
pʰ	[44]拋	[11]袍刨	[35]跑	[13]抱炮砲泡豹	[42]暴																																												
m	[44]貓踎	[11]毛髦矛茅	[13]卯冇牡	[42]冒帽瑁貌貿茂	[55]帽又髦																																												
v																																																	
t	[44]刀叨	[35]島搗倒(顛~)	[13]到倒~(置)																																														
tʰ	[44]掏滔韜	[11]桃逃淘陶萄濤	[35]討禱導	[13]套	[42]道導稻蹈盜																																												
n	[44]嬲(生氣，惱怒)孬	[35]腦瑙惱	[42]鬧																																														
l	[44]撈嘮	[11]勞撈牢	[35]老佬	[42]澇酪烙																																													
ʦ	[44]遭糟	[35]早棗蚤澡爪找	[13]灶																																														
ʦʰ	[44]操糙抄鈔	[11]曹槽嘈巢	[35]草炒吵	[13]躁燥	[42]皂造																																												
s	[44]捎	[35]稍	[13]哨潲																																														
ɬ	[44]騷臊艘搜蒐	[35]掃(打~)嫂	[13]掃(~把)																																														
k	[44]高膏睪羔糕交郊膠教(~人)	[35]稿搞攪狡絞鉸餃校(學~)	[13]告窖教校(~對)較覺(瞓~)																																														
kʰ	[44]敲	[35]考烤	[13]靠犒銬																																														
ŋ	[11]熬	[13]咬	[42]傲																																														
h	[44]蒿敲酵	[11]豪蠔壕毫姣	[35]好(~壞)考又巧	[13]好(喜~)耗孝	[42]浩皓顥灝號孝又效校(學~)																																												
ø	[44]坳凹	[35]襖拗(~斷)	[13]奧澳拗(~交)																																														
#ɛi																																																	
p	[44]跛	[13]閉蔽斃																																															
pʰ	[44]批砒錍	[42]幣弊陛稗																																															
m	[44]嘜	[11]迷謎麋	35]米	[42]袂																																													
v	[13]費沸肺廢	[42]吠																																															
t	[44]低堤	[35]底抵邸	[13]帝蒂遞（又）隸																																														
tʰ	[44]梯銻	[11]啼蹄題提堤	[35]謠千插	[13]替涕剃屜	[42]弟第遞隸																																												
n	[11]泥	[35]哪（哪裡，怎麼）	[42]那（什麼）	[55]尼（量詞，些、點兒）																																													
l	[11]黎犁	[13]禮	[42]例厲勵荔麗隸																																														
ʦ	[44]躋	[35]仔崽	[13]制製掣際祭濟劑																																														
ʦʰ	[44]妻淒	[11]齊	[13]砌	[42]滯薺劑																																													
s	[44]篩師獅	[35]史使駛	[13]世勢	[42]誓逝事士仕侍噬																																													
ɬ	[44]西犀	[35]洗	[13]細婿																																														
