%	又音
？	存疑
！	俗字或音大乖
+	書
，	外
□	暫不錄或未識其字
。	非本字正字
	音偏新
m̩1	□（歎字 應諾用之）
m̩2	毋□（歎字 不以為然用之）
m̩3	母□（歎字 相然用之）
m̩5	□（歎字 詫異反對用之）
ŋ1	然
tsɿ1	氐𢎮（氐）祇（章移切）胝秪疷知（陟离切）𢇻（知）𥎿（知）蜘䣽䝷鼅䵹呲鴜䳄嫢鮆媊惢𨚖㠿姕㰣鄑齊䖪貲鈭髭𦺱頾頿𪕊訾厜纗㭰觜鶿鷀仔（子之切）孖孜茲𦱳（茲）茊（茲）𢆶（茲）兹嗞嵫孳𡥝（孳）滋𣳯（滋）𦱳（滋）稵鼒鎡鰦𪑿𩆂蒫齎次（津私切 次且）咨姿𣳩粢資諮澬𩄚齍𪗉𧞓𪗋茬甾菑𠙹（菑）𠙾（菑）𠚀（菑）䊷䣎淄葘椔湽䎩𦸜緇輜輺錙𥀜鍿鯔鶅甾齜眵䡋氏（月氏）支𠦙（支）𢺶（支）只（章移切 專辭）𠮡（只）卮巵汥枝㲍肢栀胑㽻衼衹㩼𥾣梔𨈛䧴禔馶榰𧌔㯄鳷𪂅𩍲疻觶𧣄（觶）砥栺祗祬（祗）脂（旨夷切）䓜㴯𥁼鴲鮨䱈（鮨）汦疻之㞢芝臸膱䐈諸（限 氏也）𢒕（諸）指（限 戒~子）𢫾（指）事？𠁣斯？□（~ka2 轉軸音）
tsɿ2	吱？子
tsɿ3	𧩼徵𢾷（徵）𢽠（徵）𡈼（徵）𢽡（徵）㨖夂黹𢾫㨖𧛢㨖茈跐訿㧗呰啙紫𣸆訾仔子（津矣反）𢀈（子）𢀉（子）𡐫（子）𣕓（子）㜽杍秄耔虸籽梓姊𡛷秭跐㧗𠂔胏笫䔂滓厎砥祁（職雉切）旨𠮛（旨）𤮻（旨）𣅌（旨）𠩊（旨）茋指𢫾（指）脂（軫視切）恉䛗酯𧿲厎止阯址芷沚洔茝趾畤坻砥恀只（+諸氏切）𠮡坁扺帋汦抧𣲵枳咫抵紙觝軹䅩䳅祇（！用作止）
tsɿ5	知（知義切）𢇻（知）𥎿（知）智𥏼（智）𣉻潪𢐂置𦌤（置）𦋽（置）𦋲（置）𦌃（置）褫踶陊徥䊓褆杝阤豸？傂廌𢊁䚦秲洔庤歭畤㣥痔跱雉𨿘（雉）𪁩（雉）滍薙遟謘治（直利切 又俗直之切）乿（治）𠊷稚𢴧稺緻𦃘𩋩𦥐𩹈値值植治乿（治）㨁𠍜積㰣𦎸𧂐恣𣣌次（楡次）骴髊㧘眥胔漬𣿙洓（漬）㱴𦎸嫉自𦣹（自）孖孳𡥝（孳）芓字𡥜（字）𥤪（字）茡牸事叓（事）𠭏（事）椔鶅剚倳胾𤿙𧙁伎伿𢻈㩼忮䚳寘塡支（支義切 ~註）𠦙（支）𢺶（支）𡽆觶𧣄（觶）識（職吏切）𧨺（識）𧬣織𥿮（織）綕（織）𦁓（織）𦁋（織）志𢗍（志）䓌娡痣誌鴲至𦤳（至）𦤴（至）𦤵（至）𡊏（至）𢄢𡠗摯𩊞𩊝懥贄䥍（𨬝之譌）質（陟利切）礩鷙䲀熾𧹹（熾）𤎷（熾）㿃銐蹛璏𦭮彘？滯𩻼迣䀸𢝃晢淛𠛐制𠜔（制）𠝦（制）𠝁（制）狾㝂𦜗𥍭䇽䎺製䭁䩢𤴟䱥子（才四切 愛也）㜽（子）𢀈（子）𢀉（子）𡐫（子）𣕓（子）𣱐𨎌𦤶致㨖輊疐駤䞃懥𢷐懫𡒐（懫）𡏸（懫）騺𨆫𨇈躓
tsʰɿ1	笞痴癡齝抬瓻𥭘絺訵郗脪辴摛𡴥㷰螭魑𩳩（魑）彲黐誺離离𨌅𡰾趀𧠵𧾒𡳠蠀郪趑𦍧雌䧳（雌）䳄姕鈭𦙼胔差𢀩（差）縒𪙉嵯颸輜妛蚩𦐉嗤媸𥉍𣍆𨒬𨾦鴟𩶅鵄𧪡胵眵䌳斯□（~ pʰoŋ2礤子）
