#参考资料	《东至县志》																																		
#调值	[1]¹¹ [2]²⁴ [3]³⁵ [5]⁴¹ [7]⁵⁵																																		
#ɿ																																			
ts	[1]资态咨孜滋龇兹[3]子紫滓姊紫籽梓[5]渍																																		
tsʰ	[1]疵刺眙[2]词慈瓷辞磁祠雌兹饲[3]此[5]次刺伺赐饲[1]字柿自																																		
s	[1]司丝思斯撕私嘶厮师狮狮厕{茅厕}[3]死使驶始史[5]巳四肆[1]事寺似士																																		
#ɿ																																			
ts	[1]脂只支之枝知汁织芝吱蜘梔臟{食用油变质}[3]纸只{只有}指止址旨趾[5]致至志治智制挚痔窒滞痣稚置峙[1]掷[7]汁侄质秩帜																																		
tsʰ	[1]痴□{~倒:滑倒}嗤[2]持池迟驰弛匙治{~鱼}[3]齿耻[5]翅[1]直值殖职[7]尺赤斥																																		
s	[1]诗尸施[2]时识[3]矢始屎[5]市试世视势逝轼誓式嗜示拭[1]十是实[7]室适释饰																																		
z	[7]日																																		
#i																																			
p	[1]屄[3]比彼鄙[5]蔽弊蓖避敝毙闭[7]笔碧必逼毕壁辟匕滗璧																																		
pʰ	[1]批披砒劈霹坯[2]皮批疲啤琵脾[3]痞否{否极泰来}[5]屁僻辟{开辟}[1]鼻																																		
m	[1]眯咪[2]迷弥猕糜靡[3]米[7]密秘蜜觅泌幂																																		
t	[1]低提{提防}堤[3]底抵[1][7]的滴敌																																		
tʰ	[1]梯[2]提题啼蹄[3]体[5]替惕剃涕屉调嚏[1]地递第弟帝递谛笛迪[7]踢剔																																		
ȵ	[2]尼泥霓昵倪[3]拟[5]腻[7]溺逆匿																																		
l	[2]厘狸离梨犁黎璃篱[3]礼李里理鲤[1]利厉丽励吏例莉粒笠[7]律立隶力栗沥历																																		
tɕ	[1]击饥机基肌叽鸡积畸激稽羁[3]几己挤[5]计记妓纪伎系季剂际荞济既祭继寄忌冀骥[1]寂[7]及级即急集疾辑籍藉脊极迹																																		
tɕʰ	[1]妻期欺戚沏凄嘁蹊栖[2]齐奇祁其脐骑崎旗棋麒[3]祈乞企启起歧岂取[5]气迄讫弃汽去[1]技[7]七沏漆泣砌吃																																		
ɕ	[1]西稀溪嘻熙希牺兮嘶{大声喊叫}皙茜硒嬉[3]洗喜禧[5]戏细隙[1]系{院系}席[7]夕惜熄习袭媳																																		
