#符号说明：-白=文/书*俗?待考			
#调值	[1]⁴⁴⁵ [2]⁵⁴ [3]³³ [5]³⁵ [6]³¹ [7]⁵¹		
#ɿ			
ts	[1]兹滋资姿咨孜撕{~哩粉碎}支枝肢之芝知栀{~子}花蜘{~蛛}[3]紫姊子籽梓滓仔纸旨脂{~肪}止趾址指齿-{牙~}[5]智至致志痣翅-{鸡~膀}制{~造}製[6]自字治痔{~疮}直={~线}值={~日}植={种~}殖[7]置{布~}炙挚{诚~}质{人~}滞{停~}掷{投~}稚{幼~}执汁职只{~管}衹秩{~序}		
tsʰ	[1]差{参~}痴嗤[2]辞慈词祠雌瓷糍{~粑}磁{~铁}池驰迟匙{汤~儿}持焌{在热锅里放少许水使食物受热均匀或不致粘锅：对锅里~点儿水}[3]此耻齿={唇亡~寒}侈[5]赐次刺伺{~候}翅={鱼~}叱{~咤风云}赤{~脚}[6]侄{~儿}直-{~接}值-{~钱}植-{~物}[7]饬斥{排~}尺		
s	[1]斯嘶厮私师狮司丝思尸诗施{~行}[2]时匙{钥~}[3]死始屎矢{~量}[5]四肆世试{考~}势{有权有~}誓{发~}式{方程~}[6]饲{猪~料}事似士寺俟嗣{子~}祀{祭~}巳氏{姓~}是嗜仕柿实食蚀石逝{~世}十什{~锦}市示拾{~起来}视豉{豆~}[7]释饰失湿识{~别}适{合~}室{教~}		

#i			
p	[1]杯卑悲屄[3]比彼鄙[5]闭辈贝背{动词：~书包；名词：驼~儿}蔽{遮~}臂{手~}[6]毙备币{人民~}背{~诵}惫倍箅弊{作~}被{~窝；~迫}篦{~儿}陛{~下}婢{~女}避庇{包~}痹{麻~}[7]笔毕必弼逼碧壁璧滗{~米汤儿}		
pʰ	[1]批坯{毛~}披胚{~胎}霹{~雳舞}[2]皮培陪赔疲脾裴{姓}琵{~琶}枇{~杷}[3]痞否{~极泰来}匹{~夫}[5]屁配佩沛[6]鼻[7]匹{一~布}劈{雷~}辟{开~}僻{偏~}		
m	[1]咪眯[2]迷梅枚玫酶霉媒煤楣糜{烂~}靡{奢~}谜眉猕{~猴桃}弥{~补}[3]米每美镁[5]□{形容眼睛小：~眼儿}[6]媚妹昧袂魅寐[7]秘密蜜觅幂泌{分~}		
f	[1]飞非啡霏蜚菲妃[2]谁肥淝[3]诽翡{~翠}匪{土~}菲{妄自~薄}[5]税肺吠狒沸痱{~儿}废{半途而~}费睡[6]瑞-{~昌}		
t	[1]低堆[3]底抵诋[5]蒂对碓队兑帝{~王}[6]弟第递缔地笛-{~儿}迪翟敌-{~人}狄的{~确}[7]滴嫡		
tʰ	[1]梯推锑堤[2]提题蹄啼[3]体腿[5]剔惕退蜕{~皮}替剃[6]涕{鼻~}笛2{~儿}敌2{~人}[7]踢		
n	[6]内{~科}		
