ID	声	韵	调	字	注释	声母序	韵母序	带注释的字	韵母
110	z	ɿ	4	似		16	1	似	#ɿ
111	z	ɿ	4	痔		16	1	痔	#ɿ
112	z	ɿ	4	恃		16	1	恃	#ɿ
113	z	ɿ	4	在	白	16	1	在{白}	#ɿ
114	z	ɿ	4	士		16	1	士	#ɿ
115	z	ɿ	4	市		16	1	市	#ɿ
116	z	ɿ	6	自		16	1	自	#ɿ
117	z	ɿ	6	示		16	1	示	#ɿ
118	z	ɿ	6	视		16	1	视	#ɿ
119	z	ɿ	6	字		16	1	字	#ɿ
120	z	ɿ	6	事		16	1	事	#ɿ
121	z	ɿ	6	寺		16	1	寺	#ɿ
122	z	ɿ	6	饲		16	1	饲	#ɿ
123	z	ɿ	6	嗣		16	1	嗣	#ɿ
124	z	ɿ	6	饵		16	1	饵	#ɿ
125	z	ɿ	6	侍		16	1	侍	#ɿ
126	z	ɿ	6	伺		16	1	伺	#ɿ
127	z	ɿ	6	嗜		16	1	嗜	#ɿ
128	z	ɿ	6	豉		16	1	豉	#ɿ
129	z	ɿ	6	氏		16	1	氏	#ɿ
130	p	i	1	蓖		1	2	蓖	#i
131	p	i	1	屄		1	2	屄	#i
132	p	i	3	比		1	2	比	#i
133	p	i	3	彼		1	2	彼	#i
134	p	i	5	敝		1	2	敝	#i
135	p	i	5	箅		1	2	箅	#i
136	p	i	5	蔽		1	2	蔽	#i
137	p	i	5	弊		1	2	弊	#i
138	p	i	5	毙		1	2	毙	#i
139	p	i	5	闭		1	2	闭	#i
140	p	i	5	鄙		1	2	鄙	#i
141	p	i	5	庇		1	2	庇	#i
142	p	i	5	痹		1	2	痹	#i
143	p	i	7	秘		1	2	秘	#i
144	p	i	7	笔		1	2	笔	#i
145	p	i	7	毕		1	2	毕	#i
146	p	i	7	滗		1	2	滗	#i
147	p	i	7	逼		1	2	逼	#i
148	p	i	7	碧		1	2	碧	#i
149	p	i	7	壁		1	2	壁	#i
150	p	i	7	璧		1	2	璧	#i
151	p	i	7	臂		1	2	臂	#i
152	pʰ	i	1	批		2	2	批	#i
153	pʰ	i	1	披		2	2	披	#i
154	pʰ	i	1	丕		2	2	丕	#i
155	pʰ	i	1	劈		2	2	劈	#i
156	pʰ	i	1	屄	女阴	2	2	屄{女阴}	#i
157	pʰ	i	1	𠜱	削	2	2	𠜱{削}	#i
158	pʰ	i	1	胚		2	2	胚	#i
159	pʰ	i	3	比		2	2	比	#i
160	pʰ	i	3	彼		2	2	彼	#i
161	pʰ	i	3	毙		2	2	毙	#i
162	pʰ	i	3	瞥		2	2	瞥	#i
163	pʰ	i	5	蔽		2	2	蔽	#i
164	pʰ	i	5	闭		2	2	闭	#i
165	pʰ	i	5	泌		2	2	泌	#i
166	pʰ	i	5	庇		2	2	庇	#i
167	pʰ	i	5	痹		2	2	痹	#i
168	pʰ	i	5	鄙		2	2	鄙	#i
169	pʰ	i	5	屁		2	2	屁	#i
170	pʰ	i	5	譬		2	2	譬	#i
171	pʰ	i	7	臂		2	2	臂	#i
172	pʰ	i	7	笔		2	2	笔	#i
173	pʰ	i	7	碧		2	2	碧	#i
174	pʰ	i	7	壁		2	2	壁	#i
175	pʰ	i	7	璧		2	2	璧	#i
176	pʰ	i	7	必		2	2	必	#i
177	pʰ	i	7	逼		2	2	逼	#i
178	pʰ	i	7	毕		2	2	毕	#i
179	pʰ	i	7	滗		2	2	滗	#i
180	pʰ	i	7	匹		2	2	匹	#i
181	pʰ	i	7	僻		2	2	僻	#i
183	pʰ	i	7	辟		2	2	辟	#i
184	pʰ	i	7	劈		2	2	劈	#i
4595	pʰ	i	7	□	液体喷射出来	2	2	□{液体喷射出来}	#i
185	b	i	2	皮		3	2	皮	#i
186	b	i	2	疲		3	2	疲	#i
187	b	i	2	脾		3	2	脾	#i
188	b	i	2	琵		3	2	琵	#i
189	b	i	2	枇		3	2	枇	#i
191	b	i	2	肥	白	3	2	肥{白}	#i
4596	b	i	2	□	层	3	2	□{层}	#i
192	b	i	4	被		3	2	被	#i
193	b	i	4	婢		3	2	婢	#i
194	b	i	4	陛		3	2	陛	#i
195	b	i	4	俾		3	2	俾	#i
196	b	i	6	币		3	2	币	#i
197	b	i	6	备		3	2	备	#i
198	b	i	6	避		3	2	避	#i
199	b	i	6	弊		3	2	弊	#i
200	b	i	6	篦		3	2	篦	#i
