来源	《安徽巢湖方言同音字汇》，“胖丁”整理修改
方言点	安徽省巢湖市区
方言归属	江淮官话洪巢片巢湖小片
说明	音系排列，先以韵母为序，在同韵的字里按声母的顺序排列，声母相同的按声调排列。
符号说明	“□”表示写不出来的字
调值	①阴平42 ②阳平35 ③上声211 ⑤去声554 ⑤入声5
	#ɿ
p	①屄｛俗字丨女陰｝③彼比㗗｛~斷｝⑤篦｛又音｝幣蔽秘弊泌幣｛文讀｝匕{文讀}閉{文讀}避{文讀}
pʰ	①批胚｛肧｝坯｛又音｝披｛又音｝纰砒②皮疲痹｛又音｝脾啤｛啤酒｝痹琵③痞㱟｛~肉丨以刀片肉也｝庇鄙⑤庇｛又音｝痺媲屁毙譬
m	①眯咪②迷｛文讀｝謎縻泥彌獼眉｛畫~｝③米麋⑤埿{~墙}
ȵd	②犁泥｛文讀｝黎倪尼梨璃灕罹釐霓③礼李里理裏拟醴鲤⑤厉励荔离例腻利隸麗吏詈痢莉
t	①低③底砥邸⑤地蒂帝娣偙諦弟第
tʰ	①梯｛文讀：電~｝睇｛視也丨~不到｝②題提堤蹄啼③體⑤屜｛屧俗字｝涕替剃｛文讀：~刀｝嚏
ts	①滋鸡稽讥肌基机姬咨孜奇｛~數｝羈箕輜訾畸資姿几{茶~}③挤紫姊幾｛~箇｝己紀滓子籽仔{~鸡}⑤际剂计继技妓寄自祭{~祖}濟字记忌紀既季屉繫騎｛一~｝
tsʰ	①溪妻凄欺期②齐瓷糍奇｛~怪｝騎｛~馬｝歧蹊祁畸｛又音｝其棋旗慈臍磁辞祠词③启此起岂⑤砌契刺赐次器弃伺候气汽企
s	①西奚斯撕僖熙嘶些私师狮蛳曦羲蛳{螺~}司丝思厕{茅~}嬉希稀犀③洗死使史釃｛~酒丨或篩｝徙驶喜篩｛~酒｝⑤谢细系泗戏嗣四肆似巳寺兕饲士仕柿事恃廁｛又音｝侍｛~衛｝駟
z	①衣依伊漪猗旖禕翳醫②宜仪移谊姨疑③椅已以⑤藝義議易勚｛損也｝意异毅忆｛舒化｝亿艾｛懲~｝羿肄懿
	#ʅ
tʂ	①知芝肢之支梔枝脂③指枳咫旨止沚紙趾址芷⑤治｛~理｝雉峙痔智至致痣翅置制製彘志識｛標~｝
tʂʰ	①痴跐{滑}魑黐螭嗤②池驰豉匙{汤~}遲治｛~魚｝持③齒侈始恥⑤滞啻稚
ʂ	①□｛不穩貌｝詩屍尸施②時鰣③始｛又音｝矢屎⑤是示式｛~樣｝氏舐視市恃嗜試逝誓噬世勢弒
ɻ	①□｛離行也｝
	#i
ȵd	③里你
tɕ	③姐⑤借
tɕʰ	③且
ɕ	②携邪斜｛又音｝③写⑤谢卸婿｛女~｝
s	③写｛又音｝
t	①爹
kʰ	⑤去
