#符号说明	-白=文*俗?待考
#调值	［1］¹³［2］⁴⁴［3］³⁵［5］¹¹
#a	
p	［1］巴{～肚：怀孕}芭疤粑䯲{髻～～脑仔：发髻}八爸伯□{～烟：吸烟。南昌读阴入}□{叼：老鼠～嘎哩}［3］把{～门：守门；～他：给他}靶叭{喇～}巴{尾～}［5］罢霸把{～柄}坝{陂～}笆{篱～}
pʰ	［1］拍魄□{（衣服）洗一～水：过一次水}□{形容词前缀：～齐}［2］爬耙扒琶杷［5］怕稗拔白□{～塞：（鼻子）不通气}
m	［1］妈陌{～生}擘{～开脚：分开腿}马{～～虎虎}［2］麻蟆{虾～}［3］马码玛蚂{～蚁}［5］骂麦{花～}
f	［1］花法髮{头～}發{出～}［2］华划{～船}□{～眼：斜眼儿}［5］化罚画阀伐话{名词，讲～}划{计～}
t	［1］答搭耷瘩{疙～（麻烦）：该只事蛮疙～}［3］打
tʰ	［1］塔塌他{其～}䍝{锅～：锅盖}趿{～到鞋子}［5］沓{一～纸}达踏
l	［1］搦{抓，握（南昌读入声）}拉腊蜡捺瘌罅?{凹缝}［2］拿{～打，一种点穴功夫}［5］纳辣喇
ts	［1］楂{山～}渣眨扎摘抓窄笮{压，迫：～宝；～馓鸡：关起来以催肥}啄?{～木鸟}［2］扎{一～纸；～鸡豆腐：素鸡}［5］榨{油～：榨油的工具}炸{～弹}咋{～个：什么}诈
tsʰ	［1］叉差{～别}插擦拆坼{开～}㿭{嘴巴皮开～}［2］察茶搽□{鱼蚣～：蜈蚣}［5］杂煠{大火煮熟：～粽子}岔{打～}□{打～～：拍手（儿语）}秺?{～扫把：竹制大扫把}
s	［1］沙纱杀裟痧杉萨杀煞［3］耍
ʈʂ	［1］遮隻{一～鸡}炙{～火：烤火}［3］者［5］蔗□{依照：～这史做}
ʈʂʰ	［1］车{～子}赤{～脚}尺［3］扯［5］□{溜达：冇得事到处～}
ʂ	［1］奢{～华}赊佘{旧读，～太君}［2］蛇佘{新读}□{形容词前缀：～苦，～辣}［3］捨{～不得}［5］射麝社赦石舍{宿～}
k	［1］佳{～人}家加傢痂{～子}夹袈枷{馋～围嘴}甲胛隔{～开}［3］假{真～，放～}家{自～：自己}胛{翼～：翅膀（上栗话仍读入声）}□{～～：禽蛋}［5］架驾嫁价□{～～：禽蛋}
kʰ	［1］恰客掐［3］卡［5］胯{～裆}
ŋ	［1］丫{～环}□{～开口：张开嘴}鸦鸭押轭{颈～，牛轭}额{面～骨：额骨}啮{咬：～一口}［2］牙芽伢衙［3］雅哑瓦{砖～}［5］砑{～平，～烂来}亚压䰲{黄～咕：䱀䰲}□{～禾：早稻收获前套种的晚稻}
h	［1］虾{～子}吓瞎狭哈{～燕：呵欠}［2］虾{～蟆}霞［3］下{动词：～去}厦{～门}［5］下{方位：底～}夏峡{～山口：地名}
#ia	
p	［1］壁□{煤矸石}
pʰ	［1］劈□{打耳光：～你只巴子}
t	［1］爹［3］嗲{发～：撒娇}
tʰ	［1］□{捆：拿绳子～紧（南昌读阴入）}踢［2］提{拎}［5］笛
l	［2］□{作弄：～生客}［3］栎{～子树}栗{～塘：地名}
ts	［1］迹脊绩{～苎麻}□{冇一～味：没一点味道}［3］姐［5］借
tsʰ	［1］戚{～叔～伯：女婿之兄弟}［3］且［5］藉{～口}籍{～贯，书～}
s	［1］锡［2］邪斜［3］写［5］卸谢席{～子}
tɕ	［1］□{疑为合音，～晡：今天}
tɕʰ	［1］喫［2］茄
ȵ	［1］额{～壳}［2］□{靠近：不要～到我}［3］惹［5］腻?{喫～哩}
∅︀	［1］亦［2］耶{～酥教}爷{～～：父亲}［3］野也［5］夜易{姓}
#ua	
k	［1］瓜刮□{～瘦：很瘦}［3］寡剐［5］挂卦褂□{形容词前缀：～绿}
kʰ	［1］夸跨括{～弧}［3］垮□{～仔：枝丫}
∅︀	［1］蛙袜［2］娃{洋～～}［3］瓦{～斯}搲［5］话{动词，说}滑猾
#ɔ	
p	［1］波菠玻{～璃}钵拨博驳剥膊［3］□{～起屁股}□{～～：禽蛋}［5］簸播□{～～：禽蛋}
pʰ	［1］坡泼朴{～素}扑瀑鄱{～阳}□{形容词前缀：～平～齐}［2］婆［3］颇［5］破薄{厚～，～荷}
m	［1］末沫抹莫木{～鱼}［2］魔摩{观～}磨馍□{～器：傻子}［3］摸［5］磨{～子，～米}
f	［1］忽霍藿{～香}和{哄：～伢妹仔}［2］和{～气}［3］火伙［5］祸货和{～三合土}护活获缚{简单～到一下}
t	［1］多掇{端：～条凳子}［3］朵躲［5］剁
tʰ	［1］拖脱托拓{～蓝纸：复写纸}［2］驼驮跎坨{灰面～古：小面团}陀{骆～：陀螺}［3］妥椭{～圆}［5］惰舵夺堕垛{～起来}大{～栗：板栗}庹
l	［1］啰{～嗦}骆烙络洛乐{快～}□{～陀：陀螺，一种玩具}［2］罗锣箩骡螺脶捼{搓：～下仔，～绳子}傩{跳～神：驱鬼祈福的一种巫舞，也带有娱乐性质}［3］卵{～石}［5］糯捋落□{毒：～药，～死老鼠}
ts	［1］撮{～药}作桌琢捉［3］左
tsʰ	［1］戳{交合}错［5］坐座锉凿昨浊镯锉{～刀：刀}戳{～古眼：穿个洞}
s	［1］蓑梭唆索{～子：粗绳}速缩嗦{啰～}塑刷蟀{蟋～}□{屑～：碎末}嗍{吸：～鼻念}［3］锁琐所唢{～呐}
ʈʂ	［1］着{穿着}酌斫{砍：～柴}
ʈʂʰ	［1］撮{～箕}焯{把豇豆～熟一下}龊{龌～}［3］着{睏～哩，点～哩}
ʂ	［1］□{吸，吮：～一口烟}［2］□{差，次}［5］勺{～子}
k	［1］哥歌合{～伙}鸽割葛各阁觉{知～}角合{十分之一升}［5］个箇{这：～里}
kʰ	［1］科窠磕渴确毃{～你一下}壳扩阔{～气，嘴巴～}苛柯{姓}［3］可
ŋ	［1］恶岳{～飞}嶽{南～}乐{音～}鄂鳄罯{捂：～火}［2］蛾鹅俄娥峨［5］饿我卧
h	［1］喝呵{～气}［2］河荷{～花；薄～}何［5］贺合盒学鹤
#iɔ	
l	［1］略掠
ts	［1］爵
tsʰ	［5］嚼{～不烂}雀鹊
s	［1］削
tɕ	［1］脚钁{～头：大锄}角{一～钱}
tɕʰ	［1］却
ȵ	［1］弱虐疟狱
∅︀	［1］若约欲［5］药
#uɔ	
k	［1］戈郭国［3］果馃{～子：各种点心、零食的统称}［5］过{新读}
kʰ	［1］括{包～}［3］棵颗［5］课
∅︀	［1］锅{或为“镬”}镬{或为“锅”}窝蜗屙握龌{～龊}［2］禾和-{～尚}［5］和-{加上：～到他一起三个人}
#ɛ	
p	［1］北百柏伯{～～：新派称伯父}迫［5］□{拽：扯扯～～，形容牵扯不清}脖{～子眼：肚脐}
pʰ	［1］泊{梁山～}［5］白={明～}帛
m	［1］默脉妈{姆～：妈妈}暝?{～暗：很暗}［5］麦{小～}墨
f	［1］血靴{～子：皮鞋}说［5］佛活{有生气：几～仔}穴{～垱：～位}术{算～，白～}述
t	［1］得德
tʰ	［1］突［5］特
l	［1］𠢠{荆棘，棘刺}［5］肋勒劣
ts	［1］则侧鲫责卒
tsʰ	［1］测册策厕{～所}［5］泽择宅贼
s	［1］涩虱塞色□{肋～：肋骨}息{气～：气味}［5］□{～劬：疲甚}
ʈʂ	［1］折褶浙哲䇽{倒～:当天花板用的粗竹席}［3］□{开玩笑，胡诌：乱～}［5］□{重三倒四地说：一场事～得几到}
ʈʂʰ	［1］赤={～色}□{哄骗}赤?{～光：精光}［5］秩彻撤
ʂ	［1］涉设饰适释失□{形容词前缀：～软，～薄}［2］□{～耷：耷拉}［3］舐［5］舌蚀?{遗失}折{～本}
k	［1］格革隔{～壁}□{～子：簸箕，畚箕}疙{～瘩}［3］嗝{打～多：打嗝儿}［5］锯□{形容词前缀：～浓}
kʰ	［1］咳刻克客{～气：漂亮}［5］□{形容词前缀：～粗}
ŋ	［1］额{定～}扼［2］鱼
h	［1］黑［3］□{～里～气：懵里懵懂}［5］核{～桃}
∅︀	［2］儿而［5］二
#iɛ	
p	［1］□{女阴}［3］□{～～里筒：灰溜溜的}瘪{扁}［5］□{排泄（粪便），多用于詈语：鸡屙屎样，乱～：胡说八道}
pʰ	［1］撇僻［3］痞{～子；打～：耍赖，耍流氓}［5］别
m	［1］灭㩢?{掰}糜?{～烂：很破，很酥烂}［5］篾
t	［1］跌滴［3］嗲{发～}
