	ipa	注释	
领	liaŋ3 liaŋ1	文 白	
岭	liaŋ1		
令	lin6		
精	ʦin1 ʦiaŋ1	文 白	
井	ʦiaŋ3		
积	ʦit7		
迹	ʦiak7		
脊	ʦiak7		
清	ʦʰin1 ʦʰiaŋ1		
请	ʦʰiaŋ3		
情	ʦʰin2		
晴	ʦʰiaŋ2		
静	ʦʰin6		
净	ʦʰiaŋ6		
籍	ʦia6		
姓	siaŋ3		
惜	siak7		
席	siak8		
程	ʧʰin2		
郑	ʧʰaŋ6		
正	ʧaŋ1		
整	ʧin3 ʧaŋ3	文 白	
政	ʧin3		
只	ʧak7		
炙	ʧak7		
赤	ʧʰak7		
尺	ʧʰak7		
声	ʃaŋ1		
适	ʃit7		
成	ʃin2 ʃaŋ2	文 白	
城	ʃaŋ2		
盛	ʃin6		
石	ʃak8		
颈	kiaŋ3		
轻	kʰin1 kʰiaŋ1	文 白	
益	ʒit7		
赢	ʒiaŋ2		
易	ʒit8		
壁	piak7		
铭	men2		
丁	ten1		
钉	ten1		
顶	ten3		
鼎	ten3		
的	tit7		
听	tʰen1		
厅	tʰen1		
踢	tʰet7		
停	tʰen2		
庭	tʰen2		
挺	tʰen3		
定	tʰen6		
䨀	tʰet7 tʰak8		
宁	len2		
灵	len2		
历	let8		
绩	ʦit7		
青	ʦʰiaŋ1		
戚	ʦʰit7		
星	sen1		
腥	ʦʰiaŋ1 sen1		
醒	ʦʰiaŋ1		
锡	siak7		
析	sit7		
经	ken1		
激	ket7		
形	hin2		
矿	kʰoŋ3		
横	vaŋ2		
轰	fuŋ1		
宏	fuŋ2		
兄	fin1 hiaŋ1	文 白	
荣	vin2		
永	vin3		
营	ʒiaŋ2		
疫	ʒit8		
仆	pʰuk7		
篷	pʰuŋ2		
蒙	moŋ2	雾	
木	muk7		
东	tuŋ1		
懂	tuŋ3		
栋	tuŋ3		
通	tʰuŋ1		
桶	tʰuŋ3		
痛	tʰuŋ3		
铜	tʰuŋ2		
童	tʰuŋ2		
动	tʰuŋ6 tʰuŋ1	文 白	
洞	tʰuŋ6		
独	tʰuk8		
读	tʰuk8		
牍	tʰuk8		
笼	luŋ1		
聋	luŋ1		
鹿	luk8		
禄	luk7		
总	ʦuŋ3		
葱	ʦʰuŋ1		
族	ʦʰuk8		
送	suŋ3		
速	sok7		
公	kuŋ1 koŋ2		
谷	kuk7		
空	kʰuk7 kʰuŋ1		
孔	kʰuŋ3		
红	fuŋ2		
鸿	fuŋ2		
瓮	vuŋ3		
屋	vuk7		
冬	tuŋ1		
笃	tuk7		
统	tʰuŋ3		
毒	tʰuk8		
农	loŋ2		
宗	ʦuŋ1		
松	suŋ1		
风	fuŋ1		
枫	pʰuŋ1		
福	fuk7		
腹	fuk7 puk7 pu6	文 白 白	
覆	fuk8 pʰuk8	文 白	
冯	puŋ2		
服	fuk8		
梦	moŋ6		
目	muk7		
牧	muk7		
隆	luŋ2		
六	liu6		
陆	liu6		
宿	siu6		
中	ʧuŋ1		
竹	ʧuk7		
畜	hiũ6		
虫	ʧuŋ2		
缩	siu6 sok7		
众	ʧuŋ3		
祝	ʧuk7		
粥	ʧuk7		
叔	ʃiuk7		
熟	ʃiuk8		
绒	ʒiuŋ2		
肉	ŋiu6		
弓	kiuŋ1		
宫	kiuŋ1		
菊	kʰiu6		
曲	kʰiu6		
穷	kʰiuŋ2		
畜	hiũ6		
熊	him2		
融	ʒiuŋ2		
育	ʒiuk8		
封	fuŋ1		
蜂	pʰuŋ1		
缝	fuŋ2 pʰuŋ6	文 白	
奉	fuŋ6		
龙	liuŋ2		
垅	lem3		
绿	liu6		
录	liu6		
踪	ʦiuŋ1		
足	ʦiu6		
从	ʦʰiuŋ2		
促	ʦʰuk7		
粟	siu6		
松	ʦʰiuŋ2		
诵	siuŋ6		
俗	siu6		
重	ʧʰuŋ1 ʧʰuŋ6		
钟	ʧuŋ1		
种	ʧuŋ3		
烛	ʧuk7		
触	ʧʰuk7		
舂	ʧuŋ1		
束	sok7		
属	ʃuk7		
茸	ʒiuŋ2		
辱	ʒiuk8		
供	kiuŋ1		
拱	kiuŋ3		
曲	kʰiu6		
共	kʰiuŋ6 kʰuŋ6	文 白	
局	kʰiu6		
玉	ŋiu6		
胸	hiuŋ1		
雍	ʒiuŋ1		
㙲	ʒiuŋ3		
容	ʒiuŋ2		
勇	ʒiuŋ3		
用	ʒiuŋ6		
浴	ʒiuk8		
融	ʒiuŋ2		
虹	kʰiuŋ2		
涿	tuk7	~雨：淋雨	
逃	tʰo2	~雨：避雨	
屙	o1		
颱	tʰai1	风~：台风	
陂	pi1	小水坝	
坎	kʰam3	田坎	
崠	tuŋ3	山顶	
壩	pa3		
番	fan1		
煤	moi2		
圳	ʦun3		
昨	ʦʰa2		
个	ke1 kai3		
久	kiu3		
傍	poŋ1		
立	lip8		
芒	moŋ2		
露	lu6	寒~	
阳	ʒioŋ2		
初	ʦʰu1		
至	ʧi3		
莳	ʃi2		
沃	vuk7	浇	
䁐	ŋiaŋ3		
翕	him3	闷	
滁	ʦʰu1	尿粪合称	
畚	pun6		
砻	luŋ2		
碓	toi3		
箩	lo2		
笪	tat7		
拌	pʰan1	甩打	
泛	pʰaŋ3		
洋	ʒioŋ2		
涵	ham2		
镰	liam2		
耙	pʰa2		
橱	tʰeu2	猪~：猪圈	
斛	fuk8		
耒	lui3	虾~：虾笼	
嫲	ma2		
锯	kɤ3		
刨	pʰau2		
鍟	saŋ1	生铁	
桍	va1	树枝	
斫	ʧok7		
苈	let7	刺	
荷	ho2 kʰai1	文 白	
匏	pʰu2		
纃	ʦe3		
拖	tʰo1 tʰai1	tʰai1藤：攀藤	
薸	pʰeu2	浮萍	
葫	fu2	~蒜	
椒	ʦeu1		
芫	ʒiam1		
荽	sui6		
芽	ŋa2		
榕	ʒiuŋ2		
芦	lu2		
荟	fui6		
菅	kon1		
抹	mat7		
羞	siu1		
桐	tʰuŋ2		
椑	pi6	柿	
柚	ʒiu6		
荔	li6		
蕹	vuŋ6		
韭	kiu3		
蕨	kiet7		
茼	taŋ2		
蒿	õ6		
菇	ku1		
莲	lien2		
藕	ŋieu3		
檨	suaĩ1	芒果	
桔	kit7		
柑	kam1		
榴	liu2		
僆	lon6		
□	luŋ2	小母猪	
鳖	piet7		
鲢	lien2		
鲤	li1		
䘆	fien3		
蜞	kʰi2		
蚻	ʦʰat8		
蚔	ʧʰi2	鸡上长的小虫	
髻	ki3		
胗	kʰin1		
髀	pi3		
趁	tʰan3		
血	fiet7		
肾	ʃin3		
叼	tɛu1	叮	
鸽	kap7		
揲	ʒiak8	挥	
鲫	ʦit7		
鱿	ʒiu2		
鳞	len2		
糠	kʰoŋ1		
鳅	ʦʰiu1		
鳝	ʃen3		
鹭	lo6		
鸶	si1		
蜢	maŋ3		
蜗	vo1		
结	kiet7	砌	
灶	ʦo3		
寮	lɛu2		
栏	lan2		
埕	ʧʰaŋ2		
瓯	eu1	杯	
扫	so3		
把	pa3		
抾	kʰia3	~ʦʰe2：竹扫把	
桄	kuaŋ1	桌子的横撑	
罂	aŋ1		
楔	siap7		
匙	ʃi2		
箸	ʧʰy6		
羹	kaŋ1		
蜡	lap8		
噙	kʰem2	罩鸡的盖子	
帕	pʰa3		
棕	ʦuŋ1		
垃	li3		
圾	sap7		
梳	sɿ1		
砧	tɛm1		
凳	ten3		
禁	kim3		
□	kʰiau3	单身汉	
佬	lo3		
㜷	me1 mi1		
哀	oi1	母亲背称	
爸	pa1	父亲面称	
婿	se3		
晚	man1	排行最小	
货	fo3		
尼	ni2		
颅	na2	头~：头部	
膏	ko1		
颊	kap7		
眉	mi2		
澜	lan1	口水	
颔	ŋam1		
颏	koi1		
墩	tun1	颈骨~：脖子	
箕	ki1	指纹	
奶	nen1		
踭	ʦaŋ1	脚跟	
腟	ʧi1	女阴	
朘	ʦoi1	男阴	
探	tʰam1	~头：抬头	
眨	ŋiap7	眨眼	
眨	ʃiap7	闭眼	
敨	tʰeu3		
啡	pʰui6	~痰：吐痰	
号	vo3	哭	
唊	kiap8	~嘴：多嘴	
咬	ŋau1		
啮	ŋat7	啃	
吊	tɛu3	~颈：上吊	
舔	lep7	训	
伸	ʧʰun		
揢	kʰak8	紧握	
蹬	ten3		
跨	kʰiam6	训	
脱	lut7	训	
㿸	man6		
痹	pi6		
枵	ʒiau1	饿	
捏	nɛt7	酒~：酒窝	
背	pe3	~手：左手	
绷	paŋ1	~毛：挽脸	
龈	ŋien2		
咙	lien2		
蒂	ti6		
喷	pʰon1	呕吐	
盲	miaŋ1	青~：眼瞎	
跛	pai1		
涝	lau2	屙~屎：拉肚子	
痧	sa1	发~：中暑	
晕	ŋoŋ2	训	
粉	fun3		
儆	kʰiaŋ3		
胮	pʰoŋ2		
疕	pʰi3	痂	
疮	ʦʰoŋ1		
遰	ʦʰe3	传染	
癌	ŋam2		
痈	ʒiuŋ2		
累	tʰiam3	训	
钩	keu1		
箝	kʰiam2	手~：手镯	
粄	pan3		
熬	ŋau2 ŋo2	ŋo2酒：酿酒	
炆	vun2		
傍	poŋ3	~饭：配饭	
胛	kap7		
脢	moi2	里脊肉	
粕	pʰo6		
豉	ʃi6		
乳	ʒiu1		
粽	ʦuŋ3		
溜	liu1	粄~：米筛目	
酸	son1		
畏	vui3	腻	
殕	pʰu3	臭~：霉臭味	
菇	ku1	霉	
斟	tʰen2	训	
筊	kau1		
圣	ʃin3		
卜	puk7		
斋	ʦai1		
笮	ʦak7		
司	sɿ1		
堵	tu3		
寡	kua3		
棺	kon1		
躺	lim3	训	
喷	pʰun6	吹	
滚	kun3		
碾	tɛn3	~米	
□	kien6	~针：穿针	
联	lien2	缝	
晾	laŋ2		
擎	kʰia2		
纽	neu3		
糶	tʰiau6		
零	len2		
了	lɛu3		
焦	ʦau1	干燥	
所	su3		
同	tʰuŋ2		
猜	ʦʰai1		
批	pʰe1	信	
戏	hi3		
赏	soŋ3	玩	
嫽	lɛu6	玩	
□	pʰin3	横~：笛子	
鎈	ʦʰem3		
锣	lo2		
肋	let8	双手抱	
搀	ʦʰam3	双手抱	
揽	lam3	双手抱	
凝	kʰien1	训	
捼	nu2	搓	
献	hĩ2	甩	
撩	lɛu2	逗弄	
罯	ep7	以土覆盖	
垫	tʰɛp7		
兜	teu1	端	
绑	tʰak7	训	
掇	tot7	捧	
摞	lui2		
揞	em1	遮盖	
搲	via3	用手抓取	
撮	ʦep7	用手抓取	
摝	luk7	搅	
绞	kau3		
腾	tʰen2	跟在后面	
献	fit7	丢	
熝	luk8	烫	
翘	kʰau1		
搂	leu3	掏；挖	
砍	kʰam3	靠表面压	
搉	kʰok7	敲	
凭	pʰen6	靠	
披	tuŋ2	训	
拨	poi1	训	
摸	mia1		
猋	peu1	高跳	
徛	kʰi1	站	
踩	naŋ6	训	
轮	lin2	回（次数）	
拗	au7		
盖	kʰiep7	训	
喊	hɛm1		
逼	pet7	用火烧烤	
掺	ʦʰam1		
撚	nun3	用两指搓	
搧	ʃen3		
聚	ʦʰiu1		
逗	leu6	呼叫禽畜	
羁	ke1	系	
刻	kiet7		
□	let8	直剖树干	
擤	sem3		
刺	ʦʰia6	织衣	
攀	pʰan1	~水：把水舀出	
萦	ʒiaŋ1		
竖	tun3	训	
□	vut7	拗弯	
□	lon1	~毛：拔鸡毛	
上	ʃoŋ3	装	
下	ha3	卸	
伏	pʰuk8		
押	ap7	强迫	
膨	pʰaŋ1	分摊	
毒	tʰeu6	毒，动作	
煠	sap8	汆烫	
熻	hip7	闷	
刷	ʦʰat7	~番薯	
踞	kʰu6	蹲	
掖	ve6	撒	
狮	sai1		
反	pɛn3	翻找	
删	sien1	选择性的摘除	
芟	sien1	选择性的摘除	
啬	sep7		
添	ten1	~放：忘记	
漦	siau2	插~：理睬	
丝	se1	一点	
差	ʦuak7	训	
庆	kʰiaŋ3	能干	
瘾	ŋien3	训	
趖	so1	慢~：慢吞吞	
裡	le3	边	
底	tuk7	训	
畲	sa2	训，人	
那	ka3		
自	ʦɿ3		
你	hen2		
咱	en1 ŋon2		
恁	an3		
稠	kʰiet8	训	
脓	neu2	训	
稀	ʒieu1	训	
鲜	sien1	淡	
秾	nuŋ2	浓密	
笨	pʰun1	厚	
緪	an2	紧	
软	ʒieu1	训	
畅	tʰioŋ3	高兴	
竳	ten2	陡	
凸	tʰɛt8	裸露	
顿	tun3	颠簸	
娆	iaũ3	女子行为不端庄	
驯	sun2	性格温和	
着	ʧʰok8	对	
剩	ʦʰun6	训	
忒	tʰet7	太	
吂	maŋ2	尚未	
无	m2	不	
正	ʧaŋ6	才	
再	ko3	训	
定	tʰen6	而已	
辄	ʦʰiap8	~~：时常	
恰	ka6	训	
拢	luŋ3	~总：总共	
撇	pʰet7	表完成	
淼	mau3	~~滚：沸腾貌	
愈	nem2	越来	
朴	pʰu2	一~牛粪	
丘	kʰiu1	一~田	
梗	kuaŋ3		
列	liet8	排	
栈	ʦan6	层	
瓣	lɛm3	训	
