繁	簡	IPA	IPA無調	拼音	調值	解釋																																											
資	资	tsɿ⁴⁴	tsɿ	tsy1	44																																												
姿	姿	tsɿ⁴⁴	tsɿ	tsy1	44																																												
諮	谘	tsɿ⁴⁴	tsɿ	tsy1	44																																												
咨	咨	tsɿ⁴⁴	tsɿ	tsy1	44																																												
祗	祗	tsɿ⁴⁴	tsɿ	tsy1	44	~候，書面語																																											
髭	髭	tsɿ⁴⁴	tsɿ	tsy1	44																																												
茲	兹	tsɿ⁴⁴	tsɿ	tsy1	44																																												
滋	滋	tsɿ⁴⁴	tsɿ	tsy1	44																																												
孳	孳	tsɿ⁴⁴	tsɿ	tsy1	44																																												
淄	淄	tsɿ⁴⁴	tsɿ	tsy1	44																																												
緇	缁	tsɿ⁴⁴	tsɿ	tsy1	44																																												
錙	锱	tsɿ⁴⁴	tsɿ	tsy1	44																																												
輜	辎	tsɿ⁴⁴	tsɿ	tsy1	44																																												
鯔	鲻	tsɿ⁴⁴	tsɿ	tsy1	44	~魚																																											
齜	龇	tsɿ⁴⁴	tsɿ	tsy1	44	露，~牙齒																																											
孜	孜	tsɿ⁴⁴	tsɿ	tsy1	44																																												
吱	吱	tsɿ⁴⁴	tsɿ	tsy1	44																																												
支	支	tsɿ⁴⁴	tsɿ	tsy1	44																																												
肢	肢	tsɿ⁴⁴	tsɿ	tsy1	44																																												
枝	枝	tsɿ⁴⁴	tsɿ	tsy1	44																																												
知	知	tsɿ⁴⁴	tsɿ	tsy1	44																																												
甾	甾	tsɿ⁴⁴	tsɿ	tsy1	44																																												
蜘	蜘	tsɿ⁴⁴	tsɿ	tsy1	44																																												
䵹	蜘	tsɿ⁴⁴	tsɿ	tsy1	44																																												
脂	脂	tsɿ⁴⁴	tsɿ	tsy1	44	~油																																											
之	之	tsɿ⁴⁴	tsɿ	tsy1	44																																												
芝	芝	tsɿ⁴⁴	tsɿ	tsy1	44																																												
栀	栀	tsɿ⁴⁴	tsɿ	tsy1	44	~子花																																											
卮	卮	tsɿ⁴⁴	tsɿ	tsy1	44																																												
疻	疻	tsɿ⁴⁴	tsɿ	tsy1	44	~水																																											
只	只	tsɿ⁵¹	tsɿ	tsy3	51	詩經「母也天~」，書面語																																											
紫	紫	tsɿ⁵¹	tsɿ	tsy3	51																																												
子	子	tsɿ⁵¹	tsɿ	tsy3	51																																												
梓	梓	tsɿ⁵¹	tsɿ	tsy3	51																																												
滓	滓	tsɿ⁵¹	tsɿ	tsy3	51	渣~																																											
籽	籽	tsɿ⁵¹	tsɿ	tsy3	51																																												
紙	纸	tsɿ⁵¹	tsɿ	tsy3	51																																												
旨	旨	tsɿ⁵¹	tsɿ	tsy3	51																																												
指	指	tsɿ⁵¹	tsɿ	tsy3	51																																												
止	止	tsɿ⁵¹	tsɿ	tsy3	51																																												
趾	趾	tsɿ⁵¹	tsɿ	tsy3	51	腳~頭																																											
址	址	tsɿ⁵¹	tsɿ	tsy3	51																																												
仔	仔	tsɿ⁵¹	tsɿ	tsy3	51	~細																																											
咫	咫	tsɿ⁵¹	tsɿ	tsy3	51																																												
秭	秭	tsɿ⁵¹	tsɿ	tsy3	51	~歸：縣名，在今湖北																																											
徵	徵	tsɿ⁵¹	tsɿ	tsy3	51	古代五音之一																																											
枳	枳	tsɿ⁵¹	tsɿ	tsy3	51																																												
酯	酯	tsɿ⁵¹	tsɿ	tsy3	51																																												
仔	仔	tsɿ	tsɿ	tsy0	輕聲	語助，相當於了1																																											
姊	姊	tsɿ⁵¹	tsɿ	tsy3	51																																												
姊	姊	tsɿ³²⁴	tsɿ	tsy5	324	~妹																																											
䆅	䆅	tsɿ³²⁴	tsɿ	tsy5	324																																												
制	制	tsɿ³²⁴	tsɿ	tsy5	324	~度																																											
輊	轾	tsɿ³²⁴	tsɿ	tsy5	324																																												
製	制	tsɿ³²⁴	tsɿ	tsy5	324	~造																																											
智	智	tsɿ³²⁴	tsɿ	tsy5	324																																												
識	识	tsɿ³²⁴	tsɿ	tsy5	324	標~																																											
衹	只	tsɿ³²⁴	tsɿ	tsy5	324	~有,又音																																											
誌	𰵧	tsɿ³²⁴	tsɿ	tsy5	324																																												
至	至	tsɿ³²⁴	tsɿ	tsy5	324																																												
致	致	tsɿ³²⁴	tsɿ	tsy5	324																																												
置	置	tsɿ³²⁴	tsɿ	tsy5	324																																												
志	志	tsɿ³²⁴	tsɿ	tsy5	324																																												
痣	痣	tsɿ³²⁴	tsɿ	tsy5	324																																												
幟	帜	tsɿ³²⁴	tsɿ	tsy5	324																																												
熾	炽	tsɿ³²⁴	tsɿ	tsy5	324																																												
摯	挚	tsɿ³²⁴	tsɿ	tsy5	324																																												
緻	致	tsɿ³²⁴	tsɿ	tsy5	324	精~，標~，細~																																											
質	质	tsɿ³²⁴	tsɿ	tsy5	324	人~																																											
翅	翅	tsɿ³²⁴	tsɿ	tsy5	324	~膀																																											
□		tsɿ³²⁴	tsɿ	tsy5	324	引誘：伲~我上當																																											
雌	雌	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
差	差	tsʰɿ⁴⁴	tsʰɿ	tshy1	44	參~不齊																																											
差	差	tʃʰyo⁴⁴	tʃʰyo	chiuo1	44	~不多																																											
眵	眵	tsʰɿ⁴⁴	tsʰɿ	tshy1	44	眼~																																											
郗	郗	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
眙	眙	tsʰɿ⁴⁴	tsʰɿ	tshy1	44	貼近看：~好仔看																																											
癡	痴	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
蚩	蚩	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
嗤	嗤	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
㿳	㿳	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
跐	跐	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
螭	螭	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
魑	魑	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
离	离	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
㷰	㷰	tsʰɿ⁴⁴	tsʰɿ	tshy1	44	火~																																											
黐	黐	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
鴟	鸱	tsʰɿ⁴⁴	tsʰɿ	tshy1	44																																												
伺	伺	tsʰɿ⁴⁴	tsʰɿ	tshy1	44	~候																																											
粢	粢	tsʰɿ⁴⁴	tsʰɿ	tshy1	44	~飯，借音																																											
此	此	tsʰɿ⁵¹	tsʰɿ	tshy3	51																																												
侈	侈	tsʰɿ⁵¹	tsʰɿ	tshy3	51																																												
恥	耻	tsʰɿ⁵¹	tsʰɿ	tshy3	51																																												
齒	齿	tsʰɿ⁵¹	tsʰɿ	tshy3	51																																												
褫	褫	tsʰɿ⁵¹	tsʰɿ	tshy3	51																																												
刺	刺	tsʰɿ³²⁴	tsʰɿ	tshy5	324																																												
朿	朿	tsʰɿ³²⁴	tsʰɿ	tshy5	324																																												
熾	炽	tsʰɿ³²⁴	tsʰɿ	tshy5	324	新																																											
賜	赐	tsʰɿ³²⁴	tsʰɿ	tshy5	324																																												
次	次	tsʰɿ³²⁴	tsʰɿ	tshy5	324																																												
啻	啻	tsʰɿ³²⁴	tsʰɿ	tshy5	324																																												
疵	疵	tsʰɿ³²⁴	tsʰɿ	tshy5	324	吹毛求~																																											
伺	伺	tsʰɿ³²⁴	tsʰɿ	tshy5	324	~候																																											
慈	慈	dzɿ¹¹³	dzɿ	dzy2A	113																																												
磁	磁	dzɿ¹¹³	dzɿ	dzy2A	113																																												
礠	磁	dzɿ¹¹³	dzɿ	dzy2A	113																																												
池	池	dzɿ¹¹³	dzɿ	dzy2A	113																																												
馳	驰	dzɿ¹¹³	dzɿ	dzy2A	113																																												
遲	迟	dzɿ¹¹³	dzɿ	dzy2A	113																																												
踟	踟	dzɿ²¹³	dzɿ	dzy6	213																																												
豸	豸	dzɿ¹¹³	dzɿ	dzy2A	113																																												
遟	迟	dzɿ¹¹³	dzɿ	dzy2A	113																																												
瓷	瓷	dzɿ¹¹³	dzɿ	dzy2A	113	又音																																											
弛	弛	dzɿ¹¹³	dzɿ	dzy2A	113																																												
墀	墀	dzɿ¹¹³	dzɿ	dzy2A	113	人名用字																																											
遲	迟	zɿ¹¹³	zɿ	zy2A	113	又音																																											
持	持	dzɿ¹¹³	dzɿ	dzy2A	113																																												
治	治	dzɿ¹¹³	dzɿ	dzy2A	113	剖（魚）																																											
滯	滞	dzɿ²¹³	dzɿ	dzy6	213	~銷																																											
治	治	dzɿ²¹³	dzɿ	dzy6	213																																												
雉	雉	dzɿ²¹³	dzɿ	dzy6	213																																												
痔	痔	dzɿ²¹³	dzɿ	dzy6	213																																												
彘	彘	dzɿ²¹³	dzɿ	dzy6	213																																												
緻	致	dzɿ²¹³	dzɿ	dzy6	213																																												
峙	峙	dzɿ²³¹	dzɿ	dzy4	231	對~																																											
斯	斯	sɿ⁴⁴	sɿ	sy1	44																																												
司	司	sɿ⁴⁴	sɿ	sy1	44																																												
撕	撕	sɿ⁴⁴	sɿ	sy1	44																																												
廝	厮	sɿ⁴⁴	sɿ	sy1	44																																												
嘶	嘶	sɿ⁴⁴	sɿ	sy1	44																																												
䲉	䲉	sɿ⁴⁴	sɿ	sy1	44	䱀~，黃顙魚																																											
私	私	sɿ⁴⁴	sɿ	sy1	44																																												
厶	私	sɿ⁴⁴	sɿ	sy1	44																																												
絲	丝	sɿ⁴⁴	sɿ	sy1	44																																												
噝	咝	sɿ⁴⁴	sɿ	sy1	44																																												
鷥	鸶	sɿ⁴⁴	sɿ	sy1	44																																												
思	思	sɿ⁴⁴	sɿ	sy1	44																																												
鍶	锶	sɿ⁴⁴	sɿ	sy1	44																																												
偲	偲	sɿ⁴⁴	sɿ	sy1	44	人名用字																																											
螄	蛳	sɿ⁴⁴	sɿ	sy1	44	螺~																																											
鰤	𫚕	sɿ⁴⁴	sɿ	sy1	44																																												
施	施	sɿ⁴⁴	sɿ	sy1	44																																												
師	师	sɿ⁴⁴	sɿ	sy1	44																																												
獅	狮	sɿ⁴⁴	sɿ	sy1	44	~子																																											
屍	尸	sɿ⁴⁴	sɿ	sy1	44	~體																																											
尸	尸	sɿ⁴⁴	sɿ	sy1	44	~位素餐																																											
詩	诗	sɿ⁴⁴	sɿ	sy1	44																																												
廁	厕	sɿ⁴⁴	sɿ	sy1	44	茅~																																											
舒	舒	sɿ⁴⁴	sɿ	sy1	44	白，~泰																																											
史	史	sɿ⁴⁴	sɿ	sy1	44	姓氏																																											
駛	驶	sɿ⁴⁴	sɿ	sy1	44	駕~																																											
水	水	sɿ⁵¹	sɿ	sy3	51	酒~																																											
豕	豕	sɿ⁵¹	sɿ	sy3	51																																												
死	死	sɿ⁵¹	sɿ	sy3	51																																												
屎	屎	sɿ⁵¹	sɿ	sy3	51																																												
矢	矢	sɿ⁵¹	sɿ	sy3	51																																												
始	始	sɿ⁵¹	sɿ	sy3	51																																												
齒	齿	sɿ⁵¹	sɿ	sy3	51	馬~莧																																											
使	使	sɿ⁵¹	sɿ	sy3	51	~出插																																											
四	四	sɿ³²⁴	sɿ	sy5	324																																												
泗	泗	sɿ³²⁴	sɿ	sy5	324																																												
肆	肆	sɿ³²⁴	sɿ	sy5	324																																												
駟	驷	sɿ³²⁴	sɿ	sy5	324																																												
牭	牭	sɿ³²⁴	sɿ	sy5	324																																												
亖	四	sɿ³²⁴	sɿ	sy5	324																																												
水	水	sɿ³²⁴	sɿ	sy5	324	~門汀，上海話借音																																											
思	思	sɿ³²⁴	sɿ	sy5	324	意~																																											
世	世	sɿ³²⁴	sɿ	sy5	324																																												
卋	世	sɿ³²⁴	sɿ	sy5	324																																												
弒	弑	sɿ³²⁴	sɿ	sy5	324																																												
伺	伺	sɿ³²⁴	sɿ	sy5	324	~機，又																																											
勢	势	sɿ³²⁴	sɿ	sy5	324																																												
試	试	sɿ³²⁴	sɿ	sy5	324																																												
使	使	sɿ³²⁴	sɿ	sy5	324	白																																											
瓷	瓷	zɿ¹¹³	zɿ	zy2A	113																																												
