ID	繁體	简体	聲韻	声母	韵母	聲調	注釋		声调：	
131	堂	堂	duɔ	d	uɔ	阳平				
132	堤	堤	dei	d	ei	阳平				
133	塗	涂	døy	d	øy	阳平				
134	塘	塘	duɔ	d	uɔ	阳平				
135	填	填	di	d	i	阳平				
136	婷	婷	deŋ	d	eŋ	阳平				
137	屠	屠	døy	d	øy	阳平				
138	屯	屯	dø	d	ø	阳平				
139	岧	岧	diɛ	d	iɛ	阳平				
140	峒	峒	doŋ	d	oŋ	阳平				
141	庭	庭	deŋ	d	eŋ	阳平				
142	廷	廷	deŋ	d	eŋ	阳平				
143	彈	弹	da	d	a	阳平	～琴			
144	彤	彤	doŋ	d	oŋ	阳平				
145	徒	徒	døy	d	øy	阳平	～弟			
146	徒	徒	dɤu	d	ɤu	阳平				
147	恬	恬	di	d	i	阳平				
148	投	投	dau	d	au	阳平				
149	抬	抬	de	d	e	阳平				
150	掏	掏	dɜ	d	ɜ	阳平				
151	提	提	dei	d	ei	阳平				
152	搪	搪	duɔ	d	uɔ	阳平				
153	摶	抟	dø	d	ø	阳平				
154	曇	昙	dø	d	ø	阳平				
155	桃	桃	dɜ	d	ɜ	阳平				
156	桐	桐	doŋ	d	oŋ	阳平				
157	條	条	diɛ	d	iɛ	阳平				
158	樘	樘	duɔ	d	uɔ	阳平				
159	檀	檀	da	d	a	阳平				
160	汏	汏	da	d	a	阳平	水中晃蕩洗滌			
161	沌	沌	dø	d	ø	阳平				
162	沱	沱	dɤu	d	ɤu	阳平				
163	淘	淘	dɜ	d	ɜ	阳平				
164	溏	溏	duɔ	d	uɔ	阳平				
165	滇	滇	di	d	i	阳平				
166	滕	滕	daŋ	d	aŋ	阳平				
167	漙	漙	dø	d	ø	阳平				
168	潭	潭	dø	d	ø	阳平				
169	濤	涛	dɜ	d	ɜ	阳平				
170	炱	炱	de	d	e	阳平				
171	燾	焘	dɜ	d	ɜ	阳平				
172	瑭	瑭	duɔ	d	uɔ	阳平				
173	甜	甜	di	d	i	阳平				
174	田	田	di	d	i	阳平				
175	畋	畋	di	d	i	阳平				
176	疼	疼	daŋ	d	aŋ	阳平				
177	痰	痰	da	d	a	阳平				
178	瞳	瞳	doŋ	d	oŋ	阳平				
179	童	童	doŋ	d	oŋ	阳平				
180	筒	筒	doŋ	d	oŋ	阳平				
181	糖	糖	duɔ	d	uɔ	阳平				
182	膛	膛	duɔ	d	uɔ	阳平				
183	臀	臀	dø	d	ø	阳平				
184	苕	苕	diɛ	d	iɛ	阳平				
185	荑	荑	dei	d	ei	阳平				
186	荼	荼	dɤu	d	ɤu	阳平				
187	菟	菟	døy	d	øy	阳平				
188	萄	萄	dɜ	d	ɜ	阳平				
189	薹	薹	de	d	e	阳平				
190	藤	藤	daŋ	d	aŋ	阳平				
191	蜓	蜓	daŋ	d	aŋ	阳平	蜻～			
192	蜓	蜓	deŋ	d	eŋ	阳平				
193	蜩	蜩	diɛ	d	iɛ	阳平				
194	螗	螗	duɔ	d	uɔ	阳平				
195	螳	螳	duɔ	d	uɔ	阳平				
196	覃	覃	dø	d	ø	阳平				
197	調	调	diɛ	d	iɛ	阳平	～解			
198	談	谈	da	d	a	阳平				
199	謄	誊	daŋ	d	aŋ	阳平				
200	譚	谭	da	d	a	阳平				
201	豚	豚	dø	d	ø	阳平				
202	贉	贉	dø	d	ø	阳平	～堆，論堆買賣			
203	赯	赯	duɔ	d	uɔ	阳平				
204	跎	跎	dɤu	d	ɤu	阳平				
205	跳	跳	diɛ	d	iɛ	阳平	走			
206	蹄	蹄	dei	d	ei	阳平				
207	迢	迢	diɛ	d	iɛ	阳平				
208	逃	逃	dɜ	d	ɜ	阳平				
209	途	途	døy	d	øy	阳平				
210	郯	郯	da	d	a	阳平				
211	鄌	鄌	duɔ	d	uɔ	阳平				
212	醄	醄	dɜ	d	ɜ	阳平				
213	銅	铜	doŋ	d	oŋ	阳平				
214	錢	钱	di	d	i	阳平	白			
215	鏜	镗	duɔ	d	uɔ	阳平				
216	闐	阗	di	d	i	阳平				
217	陀	陀	dɤu	d	ɤu	阳平				
218	陶	陶	dɜ	d	ɜ	阳平				
219	隤	隤	dai	d	ai	阳平				
220	霆	霆	deŋ	d	eŋ	阳平				
221	鞀	鼗	dɜ	d	ɜ	阳平				
222	頭	头	dɤu	d	ɤu	阳平				
223	頹	颓	dai	d	ai	阳平				
224	題	题	dei	d	ei	阳平				
225	飩	饨	daŋ	d	aŋ	阳平				
226	馱	驮	dɤu	d	ɤu	阳平				
227	駘	骀	de	d	e	阳平				
228	駝	驼	dɤu	d	ɤu	阳平				
229	騰	腾	daŋ	d	aŋ	阳平				
230	髫	髫	diɛ	d	iɛ	阳平				
231	魨	鲀	dø	d	ø	阳平				
232	鰷	鲦	diɛ	d	iɛ	阳平				
233	齠	龆	diɛ	d	iɛ	阳平				
234	□	□	gaŋ	g	aŋ	阳平	<匚@汵>下覆			
235	何	何	ga	g	a	阳平	～樣，什麼			
236	含	含	gaŋ	g	aŋ	阳平				
237	銜	衔	ga	g	a	阳平				
238	懷	怀	ga	g	a	阳平	～底，懷裡			
239	摳	抠	gau	g	au	阳平	重刮			
240	曠	旷	guɔ	g	uɔ	阳平				
241	枷	枷	go	g	o	阳平	飯鑊～兒，箅子			
242	渠	渠	giɛ	g	iɛ	阳平	阿～，「渠唉合音」，對平輩人匿稱			
243	渠	渠	gi	g	i	阳平	第三人稱			
244	萑	萑	gaŋ	g	aŋ	阳平	竹萑：貓頭鷹			
245	跔	跔	gau	g	au	阳平	蜷縮			
246	跔	跔	gu	g	u	阳平	踞縮			
247	銜	衔	ga	g	a	阳平				
248	□	□	vu	v	u	阳平	<巾監>～，不修邊幅			
249	乎	乎	vu	v	u	阳平				
250	何	何	vu	v	u	阳平				
251	俞	俞	vu	v	u	阳平				
252	偉	伟	vu	v	u	阳平				
253	凡	凡	va	v	a	阳平				
254	和	和	vu	v	u	阳平				
255	唯	唯	vu	v	u	阳平				
256	圍	围	vu	v	u	阳平				
257	圜	圜	va	v	a	阳平				
258	圩	圩	vu	v	u	阳平				
259	墳	坟	vaŋ	v	aŋ	阳平				
260	壺	壶	vu	v	u	阳平				
261	夫	夫	vu	v	u	阳平	助詞			
262	妤	妤	vu	v	u	阳平				
263	寰	寰	va	v	a	阳平				
264	嵬	嵬	vai	v	ai	阳平				
265	巍	巍	vai	v	ai	阳平				
266	巫	巫	vu	v	u	阳平				
267	帆	帆	va	v	a	阳平				
268	帷	帷	vu	v	u	阳平				
269	幃	帏	vu	v	u	阳平				
270	弧	弧	vu	v	u	阳平				
271	徊	徊	vai	v	ai	阳平				
272	微	微	vei	v	ei	阳平				
273	惟	惟	vu	v	u	阳平				
274	愉	愉	vu	v	u	阳平				
275	懷	怀	va	v	a	阳平				
276	扶	扶	vu	v	u	阳平				
277	扶	扶	vøy	v	øy	阳平				
278	揄	揄	vu	v	u	阳平				
279	攜	携	vu	v	u	阳平				
280	文	文	vaŋ	v	aŋ	阳平				
281	於	于	vu	v	u	阳平				
282	桅	桅	vai	v	ai	阳平				
283	梧	梧	vu	v	u	阳平				
284	梵	梵	va	v	a	阳平				
285	榆	榆	vu	v	u	阳平				
286	槐	槐	va	v	a	阳平				
287	橫	横	viɛ	v	iɛ	阳平				
288	歟	欤	vu	v	u	阳平				
289	毋	毋	vu	v	u	阳平				
290	河	河	vu	v	u	阳平				
291	洄	洄	vai	v	ai	阳平				
292	浮	浮	vøy	v	øy	阳平				
293	浮	浮	vɜ	v	ɜ	阳平				
294	涪	涪	vɜ	v	ɜ	阳平	～江			
295	淮	淮	va	v	a	阳平				
296	渝	渝	vu	v	u	阳平				
297	湖	湖	vu	v	u	阳平				
298	澴	澴	va	v	a	阳平				
299	濰	潍	vu	v	u	阳平				
300	為	为	vu	v	u	阳平	作～			
301	焚	焚	vaŋ	v	aŋ	阳平				
302	無	无	vu	v	u	阳平				
303	煩	烦	va	v	a	阳平				
304	燔	燔	va	v	a	阳平				
305	狐	狐	vu	v	u	阳平				
306	狳	狳	vu	v	u	阳平				
307	猢	猢	vu	v	u	阳平				
308	瑚	瑚	vu	v	u	阳平				
309	瑜	瑜	vu	v	u	阳平				
310	璠	璠	va	v	a	阳平				
311	環	环	va	v	a	阳平				
312	盂	盂	vu	v	u	阳平				
313	盉	盉	vu	v	u	阳平				
314	礬	矾	va	v	a	阳平				
315	禾	禾	vu	v	u	阳平				
316	竽	竽	vu	v	u	阳平				
317	符	符	vøy	v	øy	阳平				
318	糊	糊	vu	v	u	阳平				
319	紋	纹	vaŋ	v	aŋ	阳平				
320	維	维	vu	v	u	阳平				
321	繁	繁	va	v	a	阳平				
322	繯	缳	va	v	a	阳平				
323	罘	罘	vɜ	v	ɜ	阳平				
324	聞	闻	vaŋ	v	aŋ	阳平				
325	肥	肥	vei	v	ei	阳平	文			
326	腴	腴	vu	v	u	阳平				
327	膰	膰	va	v	a	阳平				
328	臾	臾	vu	v	u	阳平				
329	舁	舁	vu	v	u	阳平				
330	芙	芙	vøy	v	øy	阳平				
331	芣	芣	vɜ	v	ɜ	阳平				
332	茴	茴	vai	v	ai	阳平				
333	荷	荷	vu	v	u	阳平				
334	萸	萸	vu	v	u	阳平				
335	葦	苇	vu	v	u	阳平				
336	葫	葫	vu	v	u	阳平				
337	蕃	蕃	va	v	a	阳平				
338	蕪	芜	vu	v	u	阳平				
339	薇	薇	vei	v	ei	阳平				
340	藩	藩	va	v	a	阳平				
341	蘩	蘩	va	v	a	阳平				
342	蚊	蚊	vaŋ	v	aŋ	阳平				
343	蛔	蛔	vai	v	ai	阳平				
344	蜉	蜉	vɜ	v	ɜ	阳平				
345	蝴	蝴	vu	v	u	阳平				
346	覦	觎	vu	v	u	阳平				
347	誣	诬	vu	v	u	阳平				
348	諛	谀	vu	v	u	阳平				
349	蹯	蹯	va	v	a	阳平				
350	輿	舆	vu	v	u	阳平				
351	逾	逾	vu	v	u	阳平				
352	違	违	vu	v	u	阳平				
353	遺	遗	vu	v	u	阳平				
354	還	还	va	v	a	阳平				
355	郇	郇	va	v	a	阳平				
356	醐	醐	vu	v	u	阳平				
357	釩	钒	va	v	a	阳平				
358	鍰	锾	va	v	a	阳平				
359	闈	闱	vu	v	u	阳平				
360	雩	雩	vu	v	u	阳平				
361	雯	雯	vaŋ	v	aŋ	阳平				
362	韋	韦	vu	v	u	阳平				
363	頑	顽	va	v	a	阳平				
364	餛	馄	vaŋ	v	aŋ	阳平				
365	餬	餬	vu	v	u	阳平				
366	鬟	鬟	va	v	a	阳平				
367	鶘	鹕	vu	v	u	阳平				
368	伽	伽	dzɿ	dz	ɿ	阳平	～藍			
369	儲	储	dzɿ	dz	ɿ	阳平				
370	其	其	dzɿ	dz	ɿ	阳平				
371	呈	呈	dzeŋ	dz	eŋ	阳平				
372	呈	呈	dzeŋ	dz	eŋ	阳平	酒罈			
373	坻	坻	dzei	dz	ei	阳平				
374	垂	垂	dzɿ	dz	ɿ	阳平				
375	塵	尘	dzaŋ	dz	aŋ	阳平				
376	墀	墀	dzei	dz	ei	阳平				
377	奇	奇	dzɿ	dz	ɿ	阳平	～怪			
378	岐	岐	dzɿ	dz	ɿ	阳平				
379	巉	巉	dza	dz	a	阳平				
