ID	繁體	简体	聲韻	声母	韵母	聲調	注釋		声调：	
1815	葺	葺	tsʰai	tsʰ	ai	阴入				
1816	赤	赤	tsʰei	tsʰ	ei	阴入				
1817	赤	赤	tsʰɿ	tsʰ	ɿ	阴入	～膊大裸：赤裸			
1818	蹙	蹙	tsʰɤu	tsʰ	ɤu	阴入				
1819	蹴	蹴	tsʰɤu	tsʰ	ɤu	阴入				
1820	輯	辑	tsʰai	tsʰ	ai	阴入				
1821	錯	错	tsʰo	tsʰ	o	阴入				
1822	鍤	锸	tsʰa	tsʰ	a	阴入				
1823	鑔	镲	tsʰa	tsʰ	a	阴入				
1824	顣	顣	tsʰɤu	tsʰ	ɤu	阴入				
1825	飭	饬	tsʰei	tsʰ	ei	阴入				
1826	□	□	sa	s	a	阴入	<屍@臿>插塞			
1827	刷	刷	sø	s	ø	阴入				
1828	剎	剎	sa	s	a	阴入				
1829	卅	卅	sa	s	a	阴入				
1830	唼	唼	sa	s	a	阴入				
1831	嗇	啬	se	s	e	阴入				
1832	噻	噻	se	s	e	阴入				
1833	塞	塞	se	s	e	阴入	塞住			
1834	失	失	sai	s	ai	阴入				
1835	媳	媳	sei	s	ei	阴入				
1836	室	室	sai	s	ai	阴入				
1837	式	式	sei	s	ei	阴入				
1838	息	息	sei	s	ei	阴入				
1839	悉	悉	sei	s	ei	阴入				
1840	惜	惜	sei	s	ei	阴入				
1841	懾	慑	sei	s	ei	阴入				
1842	拭	拭	sei	s	ei	阴入				
1843	摔	摔	sai	s	ai	阴入				
1844	撒	撒	sa	s	a	阴入	～種			
1845	攝	摄	sei	s	ei	阴入				
1846	昔	昔	sei	s	ei	阴入				
1847	晰	晰	sei	s	ei	阴入				
1848	析	析	sei	s	ei	阴入				
1849	柵	栅	sa	s	a	阴入				
1850	歃	歃	sa	s	a	阴入				
1851	殺	杀	sa	s	a	阴入				
1852	泄	泄	sei	s	ei	阴入				
1853	淅	淅	sei	s	ei	阴入				
1854	澀	涩	se	s	e	阴入				
1855	濕	湿	sai	s	ai	阴入				
1856	煞	煞	sa	s	a	阴入				
1857	熄	熄	sei	s	ei	阴入				
1858	爕	爕	sei	s	ei	阴入				
1859	獅	狮	sai	s	ai	阴入	～子			
1860	率	率	sai	s	ai	阴入				
1861	瑟	瑟	sai	s	ai	阴入				
1862	穡	穑	se	s	e	阴入				
1863	糝	糁	sø	s	ø	阴入	飯～，飯屑			
1864	索	索	so	s	o	阴入				
1865	膝	膝	sai	s	ai	阴入				
1866	色	色	se	s	e	阴入				
1867	葉	叶	sei	s	ei	阴入	～公，姓			
1868	薛	薛	sei	s	ei	阴入				
1869	薩	萨	sa	s	a	阴入				
1870	虱	虱	sai	s	ai	阴入				
1871	蜥	蜥	sei	s	ei	阴入				
1872	螫	螫	sei	s	ei	阴入				
1873	蟀	蟀	sai	s	ai	阴入				
1874	褻	亵	sei	s	ei	阴入				
1875	設	设	sei	s	ei	阴入				
1876	識	识	sei	s	ei	阴入				
1877	軾	轼	sei	s	ei	阴入				
1878	速	速	sɤu	s	ɤu	阴入				
1879	釋	释	sei	s	ei	阴入				
1880	銫	铯	se	s	e	阴入	元素名			
1881	錫	锡	sei	s	ei	阴入				
1882	鎩	铩	sa	s	a	阴入				
1883	霎	霎	sa	s	a	阴入				
1884	颯	飒	sa	s	a	阴入				
1885	飾	饰	sei	s	ei	阴入				
1886	侄	侄	dzai	dz	ai	阳入				
1887	值	值	dzei	dz	ei	阳入				
1888	偈	偈	dzɿ	dz	ɿ	阳入				
1889	宅	宅	dza	dz	a	阳入				
1890	帙	帙	dzai	dz	ai	阳入				
1891	擇	择	dza	dz	a	阳入				
1892	擲	掷	dzei	dz	ei	阳入	擲骰子			
1893	植	植	dzei	dz	ei	阳入				
1894	極	极	dzɿ	dz	ɿ	阳入	苦極			
1895	殖	殖	dzei	dz	ei	阳入				
1896	湜	湜	dzei	dz	ei	阳入				
1897	澤	泽	dza	dz	a	阳入				
1898	煠	煠	dza	dz	a	阳入	油煠			
1899	直	直	dzei	dz	ei	阳入				
1900	秩	秩	dzai	dz	ai	阳入				
1901	笮	笮	dzo	dz	o	阳入	～橋，竹索橋			
1902	翟	翟	dza	dz	a	阳入				
1903	著	着	dza	dz	a	阳入	～色			
1904	蟄	蛰	dzei	dz	ei	阳入				
1905	□	□	zo	z	o	阳入	罵			
1906	什	什	zai	z	ai	阳入				
1907	入	入	zai	z	ai	阳入				
1908	十	十	zai	z	ai	阳入				
1909	喋	喋	za	z	a	阳入	唼～			
1910	夕	夕	zei	z	ei	阳入				
1911	嫉	嫉	zai	z	ai	阳入				
1912	寂	寂	zei	z	ei	阳入				
1913	實	实	zai	z	ai	阳入				
1914	射	射	zei	z	ei	阳入				
1915	席	席	zei	z	ei	阳入				
1916	拾	拾	zai	z	ai	阳入				
1917	日	日	zai	z	ai	阳入				
1918	汐	汐	zei	z	ei	阳入				
1919	煠	煠	za	z	a	阳入	水煠			
1920	疾	疾	zai	z	ai	阳入				
1921	石	石	zei	z	ei	阳入				
1922	碩	硕	zei	z	ei	阳入				
1923	穸	穸	zei	z	ei	阳入				
1924	籍	籍	zei	z	ei	阳入				
1925	習	习	zai	z	ai	阳入				
1926	蒺	蒺	zai	z	ai	阳入				
1927	藉	藉	zei	z	ei	阳入				
1928	蚻	蚻	za	z	a	阳入	膠～，蟑螂			
1929	蝕	蚀	zei	z	ei	阳入				
1930	襲	袭	zai	z	ai	阳入				
1931	賊	贼	ze	z	e	阳入				
1932	輯	辑	zai	z	ai	阳入				
1933	鍘	铡	za	z	a	阳入				
1934	鑿	凿	zø	z	ø	阳入				
1935	閘	闸	za	z	a	阳入				
1936	隰	隰	zai	z	ai	阳入	濕地			
1937	集	集	zai	z	ai	阳入				
1938	雜	杂	zø	z	ø	阳入				
1939	食	食	zei	z	ei	阳入				
1940	馹	驲	zai	z	ai	阳入				
1941	鰂	鲗	ze	z	e	阳入				
1942	亟	亟	tɕai	tɕ	ai	阴入				
1943	伋	伋	tɕai	tɕ	ai	阴入				
1944	佶	佶	tɕai	tɕ	ai	阴入				
1945	倬	倬	tɕo	tɕ	o	阴入				
1946	劚	劚	tɕo	tɕ	o	阴入				
1947	劫	劫	tɕi	tɕ	i	阴入				
1948	卓	卓	tɕo	tɕ	o	阴入				
1949	即	即	tɕi	tɕ	i	阴入				
1950	卻	却	tɕa	tɕ	a	阴入				
1951	厥	厥	tɕy	tɕ	y	阴入				
1952	吉	吉	tɕai	tɕ	ai	阴入				
1953	哲	哲	tɕi	tɕ	i	阴入				
1954	啄	啄	tɕo	tɕ	o	阴入				
1955	啜	啜	tɕy	tɕ	y	阴入				
1956	噘	噘	tɕy	tɕ	y	阴入				
1957	囑	嘱	tɕo	tɕ	o	阴入				
1958	妁	妁	tɕa	tɕ	a	阴入				
1959	孑	孑	tɕi	tɕ	i	阴入				
1960	孓	孓	tɕy	tɕ	y	阴入				
1961	屩	屩	tɕa	tɕ	a	阴入	草鞋			
1962	屬	属	tɕo	tɕ	o	阴入	～文；～意			
1963	急	急	tɕai	tɕ	ai	阴入				
1964	怯	怯	tɕa	tɕ	a	阴入				
1965	惙	惙	tɕy	tɕ	y	阴入				
1966	戟	戟	tɕai	tɕ	ai	阴入				
1967	抉	抉	tɕy	tɕ	y	阴入				
1968	拙	拙	tɕy	tɕ	y	阴入				
1969	拮	拮	tɕi	tɕ	i	阴入				
1970	捉	捉	tɕo	tɕ	o	阴入				
1971	接	接	tɕi	tɕ	i	阴入				
1972	掬	掬	tɕɤu	tɕ	ɤu	阴入				
1973	揭	揭	tɕi	tɕ	i	阴入				
1974	撅	撅	tɕy	tɕ	y	阴入				
1975	擊	击	tɕai	tɕ	ai	阴入				
1976	斫	斫	tɕa	tɕ	a	阴入				
1977	斮	斮	tɕo	tɕ	o	阴入				
1978	斲	斲	tɕo	tɕ	o	阴入				
1979	桌	桌	tɕo	tɕ	o	阴入				
1980	桔	桔	tɕai	tɕ	ai	阴入				
1981	棘	棘	tɕai	tɕ	ai	阴入				
1982	楫	楫	tɕi	tɕ	i	阴入				
1983	橘	橘	tɕai	tɕ	ai	阴入				
1984	櫛	栉	tɕi	tɕ	i	阴入				
1985	殛	殛	tɕai	tɕ	ai	阴入				
1986	汲	汲	tɕai	tɕ	ai	阴入				
1987	決	决	tɕy	tɕ	y	阴入				
1988	潔	洁	tɕi	tɕ	i	阴入				
1989	激	激	tɕai	tɕ	ai	阴入				
1990	灼	灼	tɕa	tɕ	a	阴入				
1991	焯	焯	tɕa	tɕ	a	阴入	焯菜，炒菜			
1992	焯	焯	tɕo	tɕ	o	阴入				
1993	燭	烛	tɕo	tɕ	o	阴入				
1994	爝	爝	tɕa	tɕ	a	阴入				
1995	爵	爵	tɕa	tɕ	a	阴入				
1996	玦	玦	tɕy	tɕ	y	阴入				
1997	琢	琢	tɕo	tɕ	o	阴入				
1998	瘃	瘃	tɕo	tɕ	o	阴入				
1999	癤	疖	tɕi	tɕ	i	阴入				
2000	矚	瞩	tɕo	tɕ	o	阴入				
2001	祝	祝	tɕɤu	tɕ	ɤu	阴入				
2002	竹	竹	tɕɤu	tɕ	ɤu	阴入				
2003	笈	笈	tɕai	tɕ	ai	阴入				
2004	節	节	tɕi	tɕ	i	阴入				
2005	粥	粥	tɕɤu	tɕ	ɤu	阴入				
2006	級	级	tɕai	tɕ	ai	阴入				
2007	絀	绌	tɕy	tɕ	y	阴入				
2008	結	结	tɕi	tɕ	i	阴入				
2009	給	给	tɕai	tɕ	ai	阴入				
2010	綴	缀	tɕy	tɕ	y	阴入				
2011	綽	绰	tɕa	tɕ	a	阴入				
2012	腳	脚	tɕa	tɕ	a	阴入				
2013	茁	茁	tɕy	tɕ	y	阴入				
2014	菊	菊	tɕɤu	tɕ	ɤu	阴入				
2015	著	着	tɕa	tɕ	a	阴入	著衣裳			
2016	蕨	蕨	tɕy	tɕ	y	阴入				
2017	訣	诀	tɕy	tɕ	y	阴入				
2018	詰	诘	tɕai	tɕ	ai	阴入				
2019	詰	诘	tɕi	tɕ	i	阴入				
2020	諑	诼	tɕo	tɕ	o	阴入				
2021	譎	谲	tɕy	tɕ	y	阴入				
2022	足	足	tɕo	tɕ	o	阴入				
2023	蹶	蹶	tɕy	tɕ	y	阴入				
2024	輒	辄	tɕi	tɕ	i	阴入				
2025	輟	辍	tɕy	tɕ	y	阴入				
2026	郤	郄	tɕa	tɕ	a	阴入	姓			
2027	酌	酌	tɕa	tɕ	a	阴入				
2028	醊	醊	tɕy	tɕ	y	阴入				
2029	鍥	锲	tɕi	tɕ	i	阴入	割稻鐮刀			
2030	隙	隙	tɕa	tɕ	a	阴入				
2031	雀	雀	tɕa	tɕ	a	阴入				
2032	革	革	tɕai	tɕ	ai	阴入	病～：病危			
2033	鞠	鞠	tɕɤu	tɕ	ɤu	阴入				
2034	駃	駃	tɕy	tɕ	y	阴入				
2035	鴂	鴂	tɕy	tɕ	y	阴入				
2036	鵲	鹊	tɕa	tɕ	a	阴入				
2037	乞	乞	tɕʰai	tɕʰ	ai	阴入				
2038	亍	亍	tɕʰo	tɕʰ	o	阴入				
2039	出	出	tɕʰy	tɕʰ	y	阴入				
2040	切	切	tɕʰi	tɕʰ	i	阴入				
2041	吃	吃	tɕʰai	tɕʰ	ai	阴入	口～			
2042	妾	妾	tɕʰi	tɕʰ	i	阴入				
2043	屈	屈	tɕʰy	tɕʰ	y	阴入				
2044	怯	怯	tɕʰi	tɕʰ	i	阴入				
2045	愜	惬	tɕʰi	tɕʰ	i	阴入				
2046	戳	戳	tɕʰo	tɕʰ	o	阴入				
2047	挈	挈	tɕʰi	tɕʰ	i	阴入				
2048	斶	斶	tɕʰo	tɕʰ	o	阴入				
2049	歜	歜	tɕʰo	tɕʰ	o	阴入				
2050	泣	泣	tɕʰai	tɕʰ	ai	阴入				
2051	炔	炔	tɕʰy	tɕʰ	y	阴入				
2052	焌	焌	tɕʰy	tɕʰ	y	阴入				
2053	畜	畜	tɕʰɤu	tɕʰ	ɤu	阴入	～生			
2054	矗	矗	tɕʰo	tɕʰ	o	阴入				
2055	缺	缺	tɕʰy	tɕʰ	y	阴入				
2056	蛐	蛐	tɕʰo	tɕʰ	o	阴入				
2057	觸	触	tɕʰo	tɕʰ	o	阴入				
2058	訖	讫	tɕʰai	tɕʰ	ai	阴入				
2059	迄	迄	tɕʰai	tɕʰ	ai	阴入				
2060	闋	阕	tɕʰy	tɕʰ	y	阴入				
2061	闕	阙	tɕʰy	tɕʰ	y	阴入				
2062	隙	隙	tɕʰai	tɕʰ	ai	阴入				
2063	黜	黜	tɕʰy	tɕʰ	y	阴入				
2064	黢	黢	tɕʰy	tɕʰ	y	阴入				
2065	□	□	ɕai	ɕ	ai	阴入	<扌穴>擲			
2066	僳	僳	ɕo	ɕ	o	阴入				
2067	削	削	ɕa	ɕ	a	阴入				
2068	叔	叔	ɕɤu	ɕ	ɤu	阴入				
2069	吸	吸	ɕai	ɕ	ai	阴入				
2070	夙	夙	ɕɤu	ɕ	ɤu	阴入				
2071	宿	宿	ɕɤu	ɕ	ɤu	阴入				
2072	屑	屑	ɕa	ɕ	a	阴入				
2073	屑	屑	ɕi	ɕ	i	阴入				
2074	忽	忽	ɕy	ɕ	y	阴入				
2075	惚	惚	ɕy	ɕ	y	阴入				
2076	戌	戌	ɕy	ɕ	y	阴入				
2077	搠	搠	ɕo	ɕ	o	阴入				
2078	數	数	ɕo	ɕ	o	阴入	密			
2079	朔	朔	ɕo	ɕ	o	阴入				
2080	束	束	ɕo	ɕ	o	阴入				
2081	槊	槊	ɕo	ɕ	o	阴入				
2082	歇	歇	ɕi	ɕ	i	阴入				
2083	歙	歙	ɕai	ɕ	ai	阴入				
2084	洫	洫	ɕy	ɕ	y	阴入				
2085	爍	烁	ɕa	ɕ	a	阴入				
2086	畜	畜	ɕɤu	ɕ	ɤu	阴入	畜牧			
2087	笏	笏	ɕy	ɕ	y	阴入				
2088	粟	粟	ɕo	ɕ	o	阴入				
2089	縮	缩	ɕo	ɕ	o	阴入				
2090	翕	翕	ɕai	ɕ	ai	阴入				
2091	肅	肃	ɕɤu	ɕ	ɤu	阴入				
2092	脅	胁	ɕi	ɕ	i	阴入				
2093	蒴	蒴	ɕo	ɕ	o	阴入				
2094	蓄	蓄	ɕɤu	ɕ	ɤu	阴入				
2095	蓿	蓿	ɕɤu	ɕ	ɤu	阴入				
2096	蠍	蝎	ɕi	ɕ	i	阴入				
2097	血	血	ɕy	ɕ	y	阴入				
2098	說	说	ɕy	ɕ	y	阴入				
2099	閃	闪	ɕa	ɕ	a	阴入	～電			
2100	雪	雪	ɕy	ɕ	y	阴入				
2101	倔	倔	dʑy	dʑ	y	阳入				
2102	劇	剧	dʑai	dʑ	ai	阳入				
2103	及	及	dʑai	dʑ	ai	阳入				
2104	噱	噱	dʑa	dʑ	a	阳入	～頭			
2105	圾	圾	dʑai	dʑ	ai	阳入				
2106	屐	屐	dʑai	dʑ	ai	阳入				
2107	屬	属	dʑo	dʑ	o	阳入				
2108	崛	崛	dʑy	dʑ	y	阳入				
2109	徹	彻	dʑi	dʑ	i	阳入				
2110	怵	怵	dʑy	dʑ	y	阳入				
2111	拙	拙	dʑy	dʑ	y	阳入				
2112	掘	掘	dʑai	dʑ	ai	阳入	白			
2113	掘	掘	dʑy	dʑ	y	阳入				
2114	搩	搩	dʑi	dʑ	i	阳入	抱			
2115	撤	撤	dʑi	dʑ	i	阳入				
2116	擢	擢	dʑo	dʑ	o	阳入				
2117	擲	掷	dʑi	dʑ	i	阳入	～鐵餅			
2118	桀	桀	dʑi	dʑ	i	阳入				
2119	極	极	dʑai	dʑ	ai	阳入				
2120	橛	橛	dʑy	dʑ	y	阳入				
2121	濁	浊	dʑo	dʑ	o	阳入				
2122	濯	濯	dʑo	dʑ	o	阳入				
2123	瘚	瘚	dʑy	dʑ	y	阳入				
2124	碣	碣	dʑi	dʑ	i	阳入				
2125	竭	竭	dʑi	dʑ	i	阳入				
2126	舳	舳	dʑɤu	dʑ	ɤu	阳入				
2127	芨	芨	dʑai	dʑ	ai	阳入				
2128	若	若	dʑa	dʑ	a	阳入	～是，假使～			
2129	著	着	dʑa	dʑ	a	阳入	～重			
2130	蜀	蜀	dʑo	dʑ	o	阳入				
2131	蠋	蠋	dʑo	dʑ	o	阳入				
2132	躅	躅	dʑo	dʑ	o	阳入				
2133	軸	轴	dʑɤu	dʑ	ɤu	阳入				
2134	轍	辙	dʑi	dʑ	i	阳入				
2135	逐	逐	dʑɤu	dʑ	ɤu	阳入				
2136	鐯	鐯	dʑa	dʑ	a	阳入	剪			
2137	鐲	镯	dʑo	dʑ	o	阳入				
2138	□	□	ha	h	a	阴入	撒謊			
2139	□	□	ha	h	a	阴入	凹進			
2140	劐	劐	ho	h	o	阴入				
2141	呷	呷	ha	h	a	阴入	～水			
2142	哈	哈	ha	h	a	阴入	～爾蟆；～腰；～巴狗			
2143	哈	哈	hø	h	ø	阴入	～氣			
2144	喝	喝	hø	h	ø	阴入				
2145	嚇	吓	ha	h	a	阴入	恐～			
2146	嚇	吓	ho	h	o	阴入				
2147	壑	壑	ho	h	o	阴入				
2148	攉	攉	ho	h	o	阴入				
2149	法	法	ho	h	o	阴入				
2150	琺	珐	ho	h	o	阴入				
2151	瞎	瞎	ha	h	a	阴入				
2152	矐	矐	ho	h	o	阴入				
2153	砝	砝	ho	h	o	阴入				
2154	翯	翯	ho	h	o	阴入				
2155	藿	藿	ho	h	o	阴入				
2156	蠚	蠚	ho	h	o	阴入				
2157	豁	豁	ho	h	o	阴入	～然			
2158	赫	赫	ha	h	a	阴入				
2159	郝	郝	ha	h	a	阴入				
2160	霍	霍	ho	h	o	阴入				
2161	黑	黑	he	h	e	阴入				
2162	乏	乏	ɦo	ɦ	o	阳入				
2163	也	也	ɦa	ɦ	a	阳入	副詞			
2164	亦	亦	ɦiai	ɦ	iai	阳入				
2165	伐	伐	ɦo	ɦ	o	阳入				
2166	佚	佚	ɦiai	ɦ	iai	阳入				
2167	佾	佾	ɦiai	ɦ	iai	阳入				
2168	俗	俗	ɦio	ɦ	io	阳入				
2169	俠	侠	ɦi	ɦ	i	阳入				
2170	劾	劾	ɦø	ɦ	ø	阳入				
2171	勺	勺	ɦia	ɦ	ia	阳入				
2172	匣	匣	ɦa	ɦ	a	阳入				
2173	協	协	ɦi	ɦ	i	阳入				
2174	合	合	ɦø	ɦ	ø	阳入				
2175	嗑	嗑	ɦø	ɦ	ø	阳入				
2176	嚼	嚼	ɦia	ɦ	ia	阳入				
2177	垡	垡	ɦo	ɦ	o	阳入				
2178	域	域	ɦy	ɦ	y	阳入				
2179	埸	埸	ɦiai	ɦ	iai	阳入				
2180	塾	塾	ɦiɤu	ɦ	iɤu	阳入				
2181	奕	奕	ɦiai	ɦ	iai	阳入				
2182	孰	孰	ɦiɤu	ɦ	iɤu	阳入				
2183	學	学	ɦo	ɦ	o	阳入				
2184	就	就	ɦiɤu	ɦ	iɤu	阳入				
2185	峪	峪	ɦio	ɦ	io	阳入				
2186	嶨	峃	ɦo	ɦ	o	阳入				
2187	弋	弋	ɦiai	ɦ	iai	阳入				
2188	弱	弱	ɦia	ɦ	ia	阳入				
2189	役	役	ɦy	ɦ	y	阳入				
2190	悅	悦	ɦy	ɦ	y	阳入				
2191	懌	怿	ɦiai	ɦ	iai	阳入				
2192	截	截	ɦi	ɦ	i	阳入				
2193	挾	挟	ɦi	ɦ	i	阳入				
2194	捷	捷	ɦi	ɦ	i	阳入				
2195	掖	掖	ɦiai	ɦ	iai	阳入				
2196	族	族	ɦiɤu	ɦ	iɤu	阳入				
2197	易	易	ɦiai	ɦ	iai	阳入				
2198	昳	昳	ɦiai	ɦ	iai	阳入				
2199	柙	柙	ɦa	ɦ	a	阳入				
2200	樾	樾	ɦy	ɦ	y	阳入				
2201	欲	欲	ɦio	ɦ	io	阳入				
2202	泆	泆	ɦiai	ɦ	iai	阳入				
2203	活	活	ɦo	ɦ	o	阳入				
2204	洽	洽	ɦa	ɦ	a	阳入				
2205	浴	浴	ɦio	ɦ	io	阳入				
2206	涉	涉	ɦi	ɦ	i	阳入				
2207	液	液	ɦiai	ɦ	iai	阳入				
2208	涸	涸	ɦo	ɦ	o	阳入				
2209	淑	淑	ɦiɤu	ɦ	iɤu	阳入				
2210	溘	溘	ɦø	ɦ	ø	阳入				
2211	滑	滑	ɦo	ɦ	o	阳入				
2212	瀹	瀹	ɦia	ɦ	ia	阳入				
2213	熟	熟	ɦiɤu	ɦ	iɤu	阳入				
2214	爚	爚	ɦia	ɦ	ia	阳入				
2215	狎	狎	ɦa	ɦ	a	阳入				
2216	狹	狭	ɦa	ɦ	a	阳入				
2217	猾	猾	ɦo	ɦ	o	阳入				
2218	疫	疫	ɦy	ɦ	y	阳入				
2219	盍	盍	ɦø	ɦ	ø	阳入				
2220	盒	盒	ɦø	ɦ	ø	阳入				
2221	硤	硖	ɦa	ɦ	a	阳入	～石，地名			
2222	礿	礿	ɦia	ɦ	ia	阳入				
2223	秫	秫	ɦy	ɦ	y	阳入				
2224	穴	穴	ɦy	ɦ	y	阳入				
2225	筏	筏	ɦo	ɦ	o	阳入				
2226	鑰	钥	ɦia	ɦ	ia	阳入				
2227	粵	粤	ɦy	ɦ	y	阳入				
2228	紇	纥	ɦø	ɦ	ø	阳入				
2229	絕	绝	ɦy	ɦ	y	阳入				
2230	縛	缚	ɦo	ɦ	o	阳入				
2231	縟	缛	ɦiɤu	ɦ	iɤu	阳入				
2232	繹	绎	ɦiai	ɦ	iai	阳入				
2233	續	续	ɦio	ɦ	io	阳入				
2234	罰	罚	ɦo	ɦ	o	阳入				
2235	翊	翊	ɦiai	ɦ	iai	阳入				
2236	翌	翌	ɦiai	ɦ	iai	阳入				
2237	翮	翮	ɦa	ɦ	a	阳入				
2238	翼	翼	ɦiai	ɦ	iai	阳入				
2239	腋	腋	ɦiai	ɦ	iai	阳入				
2240	舌	舌	ɦi	ɦ	i	阳入				
2241	艧	艧	ɦo	ɦ	o	阳入				
2242	芍	芍	ɦia	ɦ	ia	阳入				
2243	若	若	ɦia	ɦ	ia	阳入				
2244	菽	菽	ɦiɤu	ɦ	iɤu	阳入				
2245	葉	叶	ɦi	ɦ	i	阳入				
2246	蒻	蒻	ɦia	ɦ	ia	阳入				
2247	蓐	蓐	ɦiɤu	ɦ	iɤu	阳入				
2248	蜮	蜮	ɦy	ɦ	y	阳入				
2249	蜴	蜴	ɦiai	ɦ	iai	阳入				
2250	蠖	蠖	ɦo	ɦ	o	阳入				
2251	褥	褥	ɦiɤu	ɦ	iɤu	阳入				
2252	譯	译	ɦiai	ɦ	iai	阳入				
2253	貉	貉	ɦo	ɦ	o	阳入				
2254	贖	赎	ɦio	ɦ	io	阳入				
2255	越	越	ɦy	ɦ	y	阳入				
2256	躍	跃	ɦia	ɦ	ia	阳入				
2257	軼	轶	ɦiai	ɦ	iai	阳入				
2258	轄	辖	ɦa	ɦ	a	阳入				
2259	辱	辱	ɦiɤu	ɦ	iɤu	阳入				
2260	述	述	ɦy	ɦ	y	阳入				
2261	逸	逸	ɦiai	ɦ	iai	阳入				
2262	鉞	钺	ɦy	ɦ	y	阳入				
2263	鑊	镬	ɦo	ɦ	o	阳入				
2264	鑰	钥	ɦia	ɦ	ia	阳入				
2265	閥	阀	ɦo	ɦ	o	阳入				
2266	閱	阅	ɦy	ɦ	y	阳入				
2267	闔	阖	ɦø	ɦ	ø	阳入				
2268	頜	颌	ɦø	ɦ	ø	阳入				
2269	驛	驿	ɦiai	ɦ	iai	阳入				
2270	鵒	鹆	ɦio	ɦ	io	阳入				
2271	鷽	鷽	ɦo	ɦ	o	阳入				
2272	黠	黠	ɦa	ɦ	a	阳入				
2273	龠	龠	ɦia	ɦ	ia	阳入				
2274	冪	幂	mi	m	i	阳入				
2275	埋	埋	ma	m	a	阳入				
2276	墨	墨	mai	m	ai	阳入				
2277	妺	妺	mø	m	ø	阳入	～喜，古人名			
2278	密	密	mi	m	i	阳入				
2279	寞	寞	mo	m	o	阳入				
2280	抹	抹	mø	m	ø	阳入				
2281	搣	搣	mi	m	i	阳入	～螺絲			
2282	摸	摸	mo	m	o	阳入				
2283	木	木	mo	m	o	阳入				
2284	木	木	mu	m	u	阳入				
2285	末	末	mø	m	ø	阳入				
2286	歿	殁	mø	m	ø	阳入				
2287	汨	汨	mi	m	i	阳入				
2288	沐	沐	mo	m	o	阳入				
2289	沐	沐	mu	m	u	阳入				
2290	沒	没	mø	m	ø	阳入				
2291	沫	沫	mø	m	ø	阳入				
2292	泌	泌	mi	m	i	阳入				
2293	滅	灭	mi	m	i	阳入				
2294	漠	漠	mo	m	o	阳入	～不關心			
2295	漠	漠	mu	m	u	阳入	～不關心			
2296	牧	牧	mo	m	o	阳入				
2297	牧	牧	mu	m	u	阳入				
2298	物	物	mai	m	ai	阳入	原～，原貌			
2299	瘼	瘼	mo	m	o	阳入				
2300	瘼	瘼	mu	m	u	阳入				
2301	目	目	mo	m	o	阳入				
2302	目	目	mu	m	u	阳入				
2303	睦	睦	mo	m	o	阳入				
2304	睦	睦	mu	m	u	阳入				
2305	瞙	瞙	mo	m	o	阳入	～瞊，瞎			
2306	秘	秘	mi	m	i	阳入				
2307	秣	秣	mø	m	ø	阳入				
2308	穆	穆	mo	m	o	阳入				
2309	穆	穆	mu	m	u	阳入				
2310	篾	篾	mi	m	i	阳入				
2311	脈	脉	ma	m	a	阳入				
2312	苜	苜	mo	m	o	阳入				
2313	苜	苜	mu	m	u	阳入				
2314	茉	茉	mø	m	ø	阳入				
2315	莫	莫	mo	m	o	阳入				
2316	莫	莫	mu	m	u	阳入				
2317	蜜	蜜	mi	m	i	阳入				
2318	襪	袜	mo	m	o	阳入				
2319	覓	觅	mi	m	i	阳入				
2320	貉	貉	ma	m	a	阳入				
2321	鉬	钼	mo	m	o	阳入				
2322	鉬	钼	mu	m	u	阳入				
2323	陌	陌	ma	m	a	阳入				
2324	陌	陌	mo	m	o	阳入				
2325	麥	麦	ma	m	a	阳入				
2326	默	默	mai	m	ai	阳入				
2327	□	□	nø	n	ø	阳入	女人萬福			
2328	呐	呐	na	n	a	阳入	～喊			
2329	喏	喏	no	n	o	阳入				
2330	拿	拿	na	n	a	阳入				
2331	挐	挐	na	n	a	阳入				
2332	捺	捺	na	n	a	阳入				
2333	搙	搙	no	n	o	阳入	扭傷			
2334	日	日	ne	n	e	阳入	日子			
2335	納	纳	nø	n	ø	阳入				
2336	肭	肭	nø	n	ø	阳入	膃～獸			
2337	衲	衲	nø	n	ø	阳入				
2338	訥	讷	nø	n	ø	阳入				
2339	諾	诺	no	n	o	阳入				
2340	鈉	钠	nø	n	ø	阳入				
2341	鍩	锘	no	n	o	阳入	元素名			
2342	□	□	ȵau	ȵ	au	阳入	「若屋」合音：哪裡			
2343	刖	刖	ȵy	ȵ	y	阳入				
2344	匿	匿	ȵai	ȵ	ai	阳入				
2345	孽	孽	ȵi	ȵ	i	阳入				
2346	捏	捏	ȵa	ȵ	a	阳入				
2347	撚	捻	ȵa	ȵ	a	阳入	拿，持			
2348	日	日	ȵai	ȵ	ai	阳入	生日			
2349	日	日	ȵi	ȵ	i	阳入	～頭			
2350	昵	昵	ȵi	ȵ	i	阳入				
2351	月	月	ȵy	ȵ	y	阳入				
2352	業	业	ȵi	ȵ	i	阳入				
2353	溺	溺	ȵai	ȵ	ai	阳入				
2354	溺	溺	ȵa	ȵ	a	阳入				
2355	熱	热	ȵi	ȵ	i	阳入				
2356	獄	狱	ȵo	ȵ	o	阳入				
2357	玉	玉	ȵo	ȵ	o	阳入				
2358	瘧	疟	ȵa	ȵ	a	阳入				
2359	箬	箬	ȵa	ȵ	a	阳入				
2360	聶	聂	ȵi	ȵ	i	阳入				
