字頭	聲紐	呼	等	韻部	聲調	組	攝	聲母	韻母	聲調	備註	
八	幫	開	二	山	入	幫	山	bb	ot	8		1
八	幫	開	二	山	入	幫	山	bb	et	8	又讀	1
巴	幫	開	二	麻	平	幫	假	bb	o	1		1
巴	幫	開	二	麻	平	幫	假	b	o	4	下~	1
芭	幫	開	二	麻	平	幫	假	bb	o	1		1
疤	幫	開	二	麻	平	幫	假	bb	o	1		1
捌	幫	開	二	山	入	幫	山	bb	ot	8		1
笆	幫	開	二	麻	平	幫	假	bb	o	1		1
把	幫	開	二	麻	上	幫	假	bb	o	2		1
把								bb	ot	8	量詞	
霸	幫	開	二	麻	去	幫	假	bb	o	3		1
壩	幫	開	二	麻	去	幫	假	bb	o	3		1
昌	昌	開	三	陽	平	章	宕	c	aa	1		
百	幫	開	二	庚	入	幫	梗	bb	ik	7	又讀	1
猖	昌	開	三	陽	平	章	宕	c	aa	1		
擺	幫	開	二	佳	上	幫	蟹	bb	oi	2		1
襬	幫	開	三	支B	平	幫	止	bb	oi	2		1
拜	幫	開	二	皆	去	幫	蟹	bb	oi	3		1
班	幫	開	二	刪	平	幫	山	bb	on	1		1
斑	幫	開	二	刪	平	幫	山	bb	on	1		1
搬	幫	合	一	桓	平	幫	山	bb	un	1		1
頒	幫	開	二	刪	平	幫	山	bb	on	1		1
阪	幫	合	三	元	上	幫	山	bb	on	2		1
板	幫	開	二	刪	上	幫	山	bb	on	2		1
版	幫	開	二	刪	上	幫	山	bb	on	2		1
半	幫	開	一	寒	去	幫	山	bb	un	3		1
扮	幫	開	二	山	去	幫	山	bb	on	3	打~	1
扮	並	開	二	山	上	幫	山	b	on	6	假裝，假扮：~窮|~豬喫老虎	1
邦	幫	開	二	江	平	幫	江	bb	ang	1	白讀	1
邦	幫	開	二	江	平	幫	江	bb	ong	1	文讀	1
幫	幫	開	一	唐	平	幫	宕	bb	ong	1		1
綁	幫	開	二	江	上	幫	江	bb	ang	2	白讀	1
綁	幫	開	二	江	上	幫	江	bb	ong	2	文讀	1
包	幫	開	二	肴	平	幫	效	bb	ou	1		1
苞	幫	開	二	肴	平	幫	效	bb	ou	1		1
胞	幫	開	二	肴	平	幫	效	bb	ou	1		1
褒	幫	開	一	豪	平	幫	效	bb	eou	1		1
保	幫	開	一	豪	上	幫	效	bb	eou	2		1
葆	幫	開	一	豪	上	幫	效	bb	eou	2		
堡	幫	開	一	豪	上	幫	效	bb	eou	2		
飽	幫	開	二	肴	上	幫	效	bb	ou	2		1
寶	幫	開	一	豪	上	幫	效	bb	eou	2		1
豹	幫	開	二	肴	去	幫	效	bb	ou	3		1
報	幫	開	一	豪	去	幫	效	bb	eou	3		1
爆	幫	開	二	肴	去	幫	效	bb	ou	3	~裂	1
推	透	合	一	灰	平	章	端	t	ui	1		1
翌	以	開	三	蒸	入	以	曾	j	i	3		
杯	幫	合	一	灰	平	幫	蟹	bb	ui	1		1
嘀	知	開	二	耕	入	知	梗	dd	i	1		
食	邪	開	三	之	去	精	精	d	i	6	飼	
北	幫	開	一	登	入	幫	曾	bb	ak	7		1
盃	幫	合	一	灰	平	幫	蟹	bb	ui	1		1
貝	幫	開	一	泰	去	幫	蟹	bb	ui	3		1
背	幫	合	一	灰	去	幫	蟹	bb	ui	3	名詞	1
狽	幫	開	一	泰	去	幫	蟹	bb	ui	3		
奔	幫	合	一	魂	平	幫	臻	bb	an	1		1
本	幫	合	一	魂	上	幫	臻	bb	un	2		1
崩	幫	開	一	登	平	幫	曾	bb	ang	1		1
逼	幫	開	三	蒸	入	幫	曾	bb	ik	7		1
廢	幫	合	三	廢	去	幫	蟹	f	i	3		
蔽	幫	開	三	祭A	去	幫	蟹	b	i	6		
啡	滂	合	一	灰	上	幫	蟹	f	i	1		
筆	幫	開	三	真B	入	幫	臻	bb	at	7		1
必	幫	開	三	真A	入	幫	臻	bb	it	7		1
肺	滂	合	三	廢	去	幫	蟹	f	i	3		
畢	幫	開	三	真A	入	幫	臻	bb	at	7		1
閉	幫	開	四	齊	去	幫	蟹	bb	ai	3		1
媲	滂	開	四	齊	去	幫	蟹	p	i	3		
碧	幫	開	三	清B	入	幫	梗	bb	ik	7		1
壁	幫	開	四	青	入	幫	梗	bb	ik	7		1
吠	並	合	三	廢	去	幫	蟹	f	i	6		
璧	幫	開	三	清A	入	幫	梗	bb	ik	7		1
鞭	幫	開	三	仙A	平	幫	山	bb	in	1		1
邊	幫	開	四	先	平	幫	山	bb	in	1		1
扁	幫	開	四	先	上	幫	山	bb	en	2	口語	1
扁	幫	開	四	先	上	幫	山	bb	in	2		1
匾	幫	開	四	先	上	幫	山	bb	en	2	口語	1
匾	幫	開	四	先	上	幫	山	bb	in	2		1
貶	幫	開	三	鹽B	上	幫	咸	bb	en	2		1
貶	幫	開	三	鹽B	上	幫	咸	bb	in	2		1
變	幫	開	三	仙B	去	幫	山	bb	in	3		1
彪	幫	開	三	幽	平	幫	流	bb	iu	1		1
標	幫	開	三	宵A	平	幫	效	bb	iu	1		1
飆	幫	開	三	宵A	平	幫	效	bb	iu	1		1
鑣	幫	開	三	宵B	平	幫	效	bb	iu	1		
表	幫	開	三	宵B	上	幫	效	bb	iu	2		1
彬	幫	開	三	真B	平	幫	臻	bb	an	1		1
賓	幫	開	三	真A	平	幫	臻	bb	an	1		1
濱	幫	開	三	真A	平	幫	臻	bb	an	1		1
檳	幫	開	三	真A	平	幫	臻	bb	an	1		1
瀕	幫	開	三	真A	平	幫	臻	bb	an	1		1
鬢	幫	開	三	真A	去	幫	臻	bb	an	3		1
冰	幫	開	三	蒸	平	幫	曾	bb	ing	1		1
兵	幫	開	三	庚	平	幫	梗	bb	ing	1		1
丙	幫	開	三	庚	上	幫	梗	bb	ing	2		1
秉	幫	開	三	庚	上	幫	梗	bb	ing	2		
柄	幫	開	三	庚	去	幫	梗	bb	ing	3		0
炳	幫	開	三	庚	上	幫	梗	bb	ing	2		
稟	幫	開	三	侵B	上	幫	深	bb	an	2		
餅	幫	開	三	清A	上	幫	梗	bb	ing	2		1
并	幫	開	三	清A	平	幫	梗	bb	ing	3		1
併	幫	開	三	清A	上	幫	梗	bb	ing	3		1
摒	幫	開	三	清A	去	幫	梗	bb	ing	3		
波	幫	開	一	歌	平	幫	果	bb	eo	1		1
缽	幫	合	一	桓	入	幫	山	bb	ut	7		1
播	幫	開	一	歌	去	幫	果	bb	eo	3		1
撥	幫	開	一	寒	入	幫	山	bb	ut	7		1
魄	透	開	一	唐	入	端	宕	p	aa	2		
博	幫	開	一	唐	入	幫	宕	bb	ok	8		1
搏	幫	合	三	虞	去	幫	遇	bb	ok	8		1
駁	幫	開	二	江	入	幫	江	bb	ok	8		
跛	幫	開	一	歌	上	幫	果	bb	ai	1		
跛	幫	開	二	歌	上	幫	果	bb	eo	2		
簸	幫	開	一	歌	上	幫	果	bb	eo	3		
卜	幫	開	一	東	入	幫	通	bb	uk	7		
幕	明	開	一	唐	入	幫	宕	m	u	6	見《玉林市志》	
不	幫	合	三	尤	平	幫	流	bb	at	7		
不								f	au	2	同「否」	
富	幫	合	三	尤	去	幫	流	f	u	3		
憊	並	開	二	皆	去	幫	蟹	b	i	6		
陛	並	開	四	齊	上	幫	蟹	b	i	5		
迫	幫	開	二	庚	入	幫	梗	bb	ik	7		
發	幫	合	三	元	入	幫	山	f	ot	8		
敝	並	開	三	祭A	去	幫	蟹	b	i	6		
法	幫	合	三	凡	入	幫	咸	f	ot	8		
髮	幫	合	三	元	入	幫	山	f	ot	8		
反	幫	合	三	元	上	幫	山	f	on	2		
返	幫	合	三	元	上	幫	山	f	on	1	口語	
返	幫	合	三	元	上	幫	山	f	on	2		
販	幫	合	三	元	去	幫	山	f	on	3		
販								m	en	1	販子：菜~|果~|牛~	
放	幫	合	三	陽	上	幫	宕	f	ong	3		
弊	並	開	三	祭A	去	幫	蟹	b	i	6		
幣	並	開	三	祭A	去	幫	蟹	b	i	6		
斃	並	開	三	祭A	去	幫	蟹	b	i	6		
莉	來	開	四	齊	平	來	蟹	l	i	6		
撕	心	開	四	齊	平	精	蟹	sl	i	1		
誓	常	開	三	祭A	去	章	蟹	s	i	6		
費								bb	ai	3	枉費：~我買咁多	
分	幫	合	三	文	平	幫	臻	f	an	1	~開	
吩	幫	合	三	文	平	幫	臻	f	an	1		
粉	幫	合	三	文	上	幫	臻	f	an	2		
份	並	合	三	問	去	幫	臻	f	an	6		1
奮	幫	合	三	文	去	幫	臻	f	an	6		0
糞	幫	合	三	文	去	幫	臻	f	an	3		
封	幫	合	三	鍾	平	幫	通	f	ung	1		
風	幫	合	三	東	平	幫	通	f	ung	1		
楓	幫	合	三	東	平	幫	通	f	ung	1		
瘋	幫	開	三	東	平	幫	通	f	ung	1		
諷	幫	合	三	東	去	幫	通	f	ung	2		
俸	幫	開	一	東	上	幫	通	f	ung	2	《玉林话研究》讀阳去	
副	滂	合	三	尤	去	幫	流	f	u	3		
弗	幫	合	三	文	入	幫	臻	f	at	9		
幅	幫	合	三	東	入	幫	通	f	uk	7		
福	幫	合	三	東	入	幫	通	f	uk	7		
蝠	幫	合	三	東	入	幫	通	f	uk	7		
輻	幫	合	三	尤	去	幫	流	f	uk	7		
浮	並	合	三	尤	平	幫	流	f	u	4	白讀	
負	並	合	三	尤	上	幫	流	f	u	6		
婦	並	合	三	尤	上	幫	流	f	u	5		
牟	明	合	三	尤	平	幫	流	m	u	6		
母	明	開	一	侯	上	幫	流	m	u	5		1
拇	明	開	一	侯	上	幫	流	m	u	2		
畝	明	開	一	侯	上	幫	流	m	u	2		1
戊	明	開	一	侯	去	幫	流	m	u	6		
姆	明	開	一	侯	去	幫	流	m	u	5		
腹	幫	合	三	東	入	幫	通	f	uk	7		
剝	幫	開	二	江	入	幫	江	m	ok	8	文讀：~削	1
剝	幫	開	二	江	入	幫	江	m	uk	7	剝去，摘除，扒掉：~插頭|~衫|~去tang2-3皮	1
絆	幫	開	一	寒	去	幫	山	b	un	5		
薄	幫	開	一/三	歌戈	平	幫	果	b	eo	6	~荷	1
爆	幫	開	二	肴	去	幫	效	b	eou	6	~炸	1
世	書	開	三	祭A	去	章	蟹	s	i	3	文讀：~界	
扒	幫	開	二	皆	去	幫	蟹	b	o	4		1
笨	並	合	一	魂	上	幫	臻	b	an	6		1
頒	幫	開	二	刪	平	幫	山	p	on	3		
勢	書	開	三	祭A	去	章	蟹	s	ai	3	手~：手兿，技術；慣~：嬌慣，不管不頋，放任自流	
啟	溪	開	四	齊	上	見	蟹	h	i	2	見1959年字表，其標記爲文讀	
蝙	幫	開	四	先	平	幫	山	p	in	1		1
編	幫	開	四	先	平	幫	山	p	in	1		1
遍	幫	開	四	先	去	幫	山	p	in	3		1
漱	生	開	三	尤	去	莊	流	s	u	3		
輩	幫	合	一	灰	去	幫	蟹	bb	ui	3		1
拚	幫	合	三	文	去	幫	臻	p	un	3		1
拼	滂	開	四	青	平	幫	梗	p	ing	3		1
嗅	曉	開	三	尤	去	影	流	nj	u	3	動詞	
補	幫	開	一	模	上	幫	遇	bb	u	2		
布	幫	開	一	模	去	幫	遇	bb	u	3		
屏	並	開	四	青	平	幫	梗	b	ing	4		1
靶	幫	開	二	麻	去	幫	假	bb	o	3		
粄	幫	開	一	寒	上	幫	山	bb	on	2		
褓	幫	開	一	豪	上	幫	效	bb	on	2		
畚	幫	合	一	魂	上	幫	臻	bb	on	2		
良	來	開	三	陽	平	來	宕	l	aa	4		
涼	來	開	三	陽	平	來	宕	l	aa	4		
彆	幫	開	三	祭A	去	幫	蟹	bb	it	7		
啓	溪	開	四	齊	上	見	蟹	h	i	2	見1959年字表，其標記爲文讀	
芾								f	at	7	草木盛	
倪	疑	開	四	齊	平	見	蟹	nj	i	1		
佈	幫	開	一	模	去	幫	遇	bb	u	3		
霓	疑	開	四	齊	平	見	蟹	nj	i	1	見《玉林话研究》	
蹼	幫	開	一	東	入	幫	通	bb	uk	7		
叭	滂	開	二	山	入	幫	山	bb	o	1		
繽	滂	開	三	真A	平	幫	臻	bb	an	1		
玻	滂	開	一	歌	平	幫	果	bb	eo	1		
膊	滂	開	一	唐	入	幫	宕	bb	ok	8		
膚	幫	合	三	虞	平	幫	遇	f	u	1		
捧	滂	合	三	鍾	上	幫	通	bb	ung	2	白讀	
翻	滂	合	三	元	平	幫	山	f	on	1	文讀	
翻	滂	合	三	元	平	幫	山	f	en	1	翻開，翻動，翻找	
翻	滂	合	三	元	平	幫	山	p	en	1	翻開	
翻	滂	合	三	元	平	幫	山	m	en	1	翻開	
翻	滂	合	三	元	平	幫	山	f	en	2	外翻（如脣）；邊緣卷翹、外展	
翻	滂	合	三	元	平	幫	山	f	en	4	翻動，或是「繙」	
翻	滂	合	三	元	平	幫	山	b	en	4	翻動，或是「繙」	
泛	滂	合	三	凡	去	幫	咸	f	om	3		
芳	滂	合	三	陽	平	幫	宕	f	ong	1		
妨	滂	合	三	陽	平	幫	宕	f	ong	4		
仿	滂	合	三	陽	上	幫	宕	f	ong	2		
紡	滂	合	三	陽	上	幫	宕	f	ong	2		
訪	滂	合	三	陽	去	幫	宕	f	ong	2		
兮	匣	開	四	齊	平	影	蟹	h	i	1		1
裔	以	開	三	祭A	去	以	蟹	j	i	1		
卑	幫	開	三	支A	平	幫	止	bb	i	1		1
悲	幫	開	三	脂B	平	幫	止	bb	i	1		1
芬	滂	合	三	文	平	幫	臻	f	an	1		
紛	滂	合	三	文	平	幫	臻	f	an	1		
忿	滂	合	三	文	上	幫	臻	f	an	6		
丰	滂	合	三	鍾	平	幫	通	f	ung	1		
峰	滂	開	三	鍾	平	幫	通	f	ung	1		
烽	滂	合	三	鍾	平	幫	通	f	ung	1		
鋒	滂	合	三	鍾	平	幫	通	f	ung	1		
豐	滂	合	三	東	平	幫	通	f	ung	1		
斧	幫	合	三	虞	上	幫	遇	f	u	2		
府	幫	合	三	虞	上	幫	遇	f	u	2		
拂	滂	合	三	文	入	幫	臻	f	at	7	文讀	
彿	滂	合	三	文	入	幫	臻	f	at	7		
俯	幫	合	三	虞	上	幫	遇	f	u	2		
父	並	合	三	虞	上	幫	遇	f	u	6		1
付	幫	合	三	虞	去	幫	遇	f	u	3		
覆	滂	合	三	尤	去	幫	流	f	uk	7		
㭋	並	開	二	江	上	幫	江	b	ang	5	打	1
拔	並	合	三	元	入	幫	山	b	ot	10		
跋	並	開	一	寒	入	幫	山	b	ot	10		
魃	並	開	一	寒	入	幫	山	b	ot	10		
罷	並	開	二	佳	上	幫	蟹	b	o	6		
吧	滂	開	二	麻	平	幫	假	p	o	02		
吧								bb	o	1	酒~，網~	
拂	滂	合	三	文	入	幫	臻	p	at	7	白讀。輕輕掠過表面以除去髒物	
沛	滂	開	一	泰	去	幫	蟹	p	ui	3		1
怕	滂	開	二	麻	去	幫	假	p	o	3		
梁	來	開	三	陽	平	來	宕	l	aa	4		
拍	滂	開	二	庚	入	幫	梗	p	ek	8	又讀。拍打	
派	滂	開	二	佳	去	幫	蟹	p	oi	2		
派	滂	開	二	佳	去	幫	蟹	p	oi	3	又讀	
潘	滂	開	一	寒	平	幫	山	p	un	1		
攀	滂	開	二	刪	平	幫	山	p	on	1		
判	滂	開	一	寒	去	幫	山	p	un	3		
盼	滂	開	二	山	去	幫	山	p	on	3		
拋	滂	開	二	肴	平	幫	效	p	ou	1		
泡	滂	開	二	肴	平	幫	效	p	ou	1	名詞：燈~、水~	
泡	滂	開	二	肴	去	幫	效	p	ou	3	動詞：~茶	
炮	滂	開	二	肴	去	幫	效	p	ou	3		
皰	滂	開	二	肴	去	幫	效	p	ou	3		
坏	滂	合	一	灰	平	幫	蟹	p	ui	1	同「坯」，又見「壞」的簡體	
胚	滂	合	一	灰	平	幫	蟹	p	ui	1		
噴	滂	合	一	魂	去	幫	臻	p	an	3		
蜋	來	開	三	陽	平	來	宕	l	aa	4		
批	滂	開	四	齊	平	幫	蟹	p	ai	1		
碑	幫	開	三	支B	平	幫	止	bb	i	1		1
劈	滂	開	四	青	入	幫	梗	p	ik	7		
霹	滂	開	四	青	入	幫	梗	p	ik	7		
匹	滂	開	三	真A	入	幫	臻	p	at	7		
比	幫	開	四	脂A	上	幫	止	bb	i	2		1
僻	滂	開	三	清A	入	幫	梗	p	ik	7		
妣	幫	開	三	脂A	上	幫	止	bb	i	2		1
偏	滂	開	三	仙A	平	幫	山	p	in	1		
篇	滂	開	三	仙A	平	幫	山	p	in	1		
片	滂	開	四	先	去	幫	山	p	en	3	白讀。名量詞：藥~|一~豬肉；切成片：~芋頭	
片	滂	開	四	先	去	幫	山	p	in	3		
騙	滂	開	三	仙A	去	幫	山	p	in	3		
漂	滂	開	三	宵A	平	幫	效	p	iu	1	~泊	
漂	滂	開	三	宵A	去	幫	效	p	iu	3	~亮，~白	
票	滂	開	三	宵A	去	幫	效	p	iu	3		
瞥	滂	開	四	先	入	幫	山	p	it	7		
撇	滂	開	三	屑	入	幫	山	p	it	7		
品	滂	開	三	侵B	上	幫	深	p	an	2		
聘	滂	開	三	清A	去	幫	梗	p	ing	3		
娉	滂	開	三	清	去	幫	梗	p	ing	3		
坡	滂	開	一	歌	平	幫	果	p	eo	1		
粱	來	開	三	陽	平	來	宕	l	aa	4		
破	滂	開	一	歌	去	幫	果	p	eo	3		
頗	滂	開	一	歌	上	幫	果	p	eo	2		
剖	滂	開	一	侯	上	幫	流	p	au	2	見《玉林話研究》	
剖	滂	開	一	侯	上	幫	流	p	eou	2	見《玉林市志》	
撲	滂	開	一	東	入	幫	通	p	ok	8		
付	幫	合	三	虞	去	幫	遇	f	u	6	~款	
咐	幫	合	三	虞	去	幫	遇	f	u	3		
仆	滂	合	三	虞	去	幫	遇	p	uk	7		
傅	幫	合	三	虞	去	幫	遇	f	u	6		1
甫	幫	合	三	虞	上	幫	遇	p	u	2		1
樸	滂	開	二	覺	入	幫	江	p	ok	8		
彼	幫	開	三	支B	上	幫	止	bb	i	2		1
庇	幫	開	三	脂A	去	幫	止	bb	i	3		
脯	幫	合	三	虞	上	幫	遇	p	u	2	果~	
湃	滂	開	二	皆	去	幫	蟹	p	oi	3		
痺	幫	開	三	至	去	幫	止	bb	i	3		
翩	滂	開	三	仙A	平	幫	山	p	in	1		
瞟	滂	開	三	宵A	平	幫	效	p	iu	2		
粕	滂	開	一	唐	入	幫	宕	p	ok	8		
璞	滂	開	二	江	入	幫	江	p	ok	8		
爸	幫	開	二	禡	去	幫	麻	bb	o	1		1
般	幫	合	一	寒	平	幫	山	bb	un	1		1
榜	幫	開	一	唐	上	幫	宕	bb	ong	2		1
糧	來	開	三	陽	平	來	宕	l	aa	4		
棒	並	開	二	江	上	幫	江	bb	ung	2	棍~	1
雹	並	開	二	江	入	幫	江	bb	ak	7	白讀：~子	1
雹	並	開	二	江	入	幫	江	bb	ou	1	冰~	1
鮑	並	開	二	肴	上	幫	效	bb	ou	1		
配	滂	合	一	灰	去	幫	蟹	p	ui	3		
