#《湖南慈利方言语音研究》	
#[35]1[213]2[53]3[33]5	调值符号后的//表示其后为入声字
#ɿ	
ts	[35]资姿咨恣兹滋孜渍缁辎孳[53]紫子籽仔滓梓秭姊[33]字自
tsʰ	[35]刺雌疵差{参~}[213]词饲祠次瓷慈磁糍辞赐砌刺{荆棘}[53]此[33]伺
s	[35]斯撕嘶厮丝似私司思师狮蛳[213]四泗肆[53]死[33]巳祀寺厕事士仕侍
#ʅ	
tʂ	[35]滞知蜘支枝肢之芝稚挚帜//执汁职织只{~有、一只鸡}质{人~、~量}掷炙[213]制{~度、~造}智至致痔志痣翅[53]纸指脂旨止址趾[33]治//直值植殖置侄
tʂʰ	[35]痴□{伸}//吃=斥叱赤秩尺[213]迟池驰弛持恃匙□{~鱼}[53]齿耻侈
ʂ	[35]矢誓势示施尸诗市试={考~}轼视逝舐谥嗜//失识式弑饰释室适蚀视湿[213]时鲥世试-{~下儿味道}[53]史驶使{大~}使{~用}始屎氏[33]是柿//十什石拾食实
p	[35]臂//笔碧必逼毕壁璧[213]//闭[53]比匕彼[33]鼻币弊蔽毙篦备-//弼
pʰ	[35]譬砒批=避//辟{~谣、开~}僻癖霹[213]皮疲脾啤屁琵枇//匹[53]痞鄙
m	[35]//秘幂泌谧密蜜觅[213]迷谜弥猕靡糜眉[53]米[33]眯咪
t	[35]低嘀隶//的{~确}迪敌滴嫡笛狄籴[213]帝缔谛[53]底抵邸诋砥羝氐[33]第递弟娣地的{我~东西}//的{目~}
tʰ	[35]梯锑涕屉去-//踢剔倜[213]替提题剃蹄啼堤蒂//惕[53]体
l	[35]莅荔吏//砾栎立粒笠力历沥栗逆匿溺[213]离篱璃黎梨犁厘尼呢泥妮拟霓倪疑[53]里理俚鲤狸娌李澧礼你[33]利莉俐痢丽俪砺厉例腻
tɕ	[35]圾机肌饥讥姬基继鸡棘箕稽//及级极即鲫急吉积籍藉激辑缉击绩给戟迹脊[213]既季悸记祭寄计际[53]己纪济挤麂几{~个、~乎}[33]济剂技伎妓系冀骥企奇{~数}//集疾寂
tɕʰ	[35]妻凄欺期柒栖溪//七泣漆戚乞迄讫膝吃-{~饭、~茶、~烟、~亏}礘[213]气汽器奇{~怪}骑崎齐脐其旗棋麒祈祁弃鳍契岐歧徐-{姓}[53]启起岂
ɕ	[35]西牺稀希汐兮熙奚曦嘻犀胥-//习锡息熄媳昔惜袭夕析吸蟋[213]细戏[53]喜嬉玺洗铣徙[33]系婿//隙悉席
∅	[35]衣依伊医溢毅//奕邑屹一壹揖易{姓}益乙译驿抑[213]宜谊意移仪遗夷姨颐怡饴贻诣彝沂//轶亿忆逸臆[53]以倚椅已[33]义议蚁艺弈异绎肄//亦翼易{容~}
#u	
p	[35]//不卜[213]布怖[53]补捕[33]部步簿埠
pʰ	[35]赴仆{前~后继}讣铺{~床}//卜扑朴樸檏仆{~人}瀑曝[213]浦蒲葡铺{饭~}[53]普谱圃
f	[35]敷负夫肤麸妇阜副{一~对子}囫//缚幅福辐蝠复腹覆拂弗佛彿服{~务、一~药}忽[213]付附符浮孚俘赋富副{~班长}扶芙凫胡糊湖葫壶狐和{~牌}//斛[53]府俯腑腐斧釜甫辅抚否虎唬琥互浒[33]父茯户护沪乎呼扈瓠//伏袱袱
k	[35]姑轱菇箍辜//孤谷{~子、山~}骨[213]故固崮痼顾雇[53]股鼓古估牯沽蛊
kʰ	[35]枯梏//哭酷窟[213]库裤[53]苦
∅	[35]乌呜坞邬巫诬污//兀杌屋物[213]无芜吴蜈吾梧恶{可~}[53]五舞伍武鹉午忤侮舞[33]务雾悟捂晤误戊//勿
#ʯ	
tʂ	[35]猪诸朱珠株诛蛛侏铢[213]注蛀箸著铸伫苎[53]主拄煮帚[33]住驻柱砫
tʂʰ	[35]//出[213]除储厨橱[53]处{~理、~所}
ʂ	[35]书输舒枢[213]恕戍庶殊//术{-~、技~}述秫[53]署暑薯曙鼠墅黍[33]树竖
ʐ	[35]//入[213]如茹儒濡蠕[53]乳汝孺嬬
#y	
tɕ	[35]居拘驹车{~马炮}//菊掬鞠局锔橘[213]巨拒距句锯={电~}惧渠//剧{~烈、戏~}据[53]举[33]具俱聚
tɕʰ	[35]区驱躯蛆趋去{~年}//屈黢焌[213]趣瞿衢[53]取娶
ɕ	[35]需须{胡~、必~}虚墟嘘胥=//戌[213]徐={~缓}[53]许诩栩[33]序绪絮叙溆//恤
∅	[35]迂//玉率律[213]于盂竽宇鱼渔於娱虞余予愚隅禺驴[53]语雨羽与屿禹吕侣铝闾旅屡缕履女[33]遇寓预愈逾喻瑜渝愉榆俞御裕誉域豫吁芋驭舆淤瘀虑滤//役疫郁
#a	
p	[35]巴吧{酒~}疤芭耙扒//捌八[213]爸霸灞坝把{刀~}[53]靶把{~握}[33]罢//跋拔
pʰ	[35]□{场地}[213]耙琶爬扒{~手}怕帕[33]趴
m	[35]妈//抹{~布}[213]麻{~布、~子、~木}蔴麻蟆[53]马码玛蚂吗{~啡}[33]骂
t	[35]耷//达挞搭褡答[53]打[33]大
tʰ	[35]他她它□{平地}//塔塌獭[33]//踏沓榻溻拓{~本}
l	[35]垃啦喇邋钠娜//拉辣腊蜡镴癞呐纳捺[213]拿[53]哪[33]旯那
ts	[35]砸咂匝[53]咱[33]//杂
tsʰ	[35]//嚓擦
s	[35]//靸{~儿:拖鞋}撒{汤~了}[53]洒//卅飒萨撒{~酒疯、~种}
tʂ	[35]渣楂扎{包~}蔗//札扎{~针}[213]榨诈//柞炸{油~、~弹}[53]鲊//眨[33]乍//铡闸栅
tʂʰ	[35]差{~错、~不多}叉杈衩姹诧岔刹{~那}//插[213]茶查茬碴//察
ʂ	[35]刹{~车}杉-{~树}沙纱砂莎鲨//煞杀[213]蛇-[53]傻=啥//霎[33]□{跑、溜}
k	[35]胳{~肢窝}荚痂家-{人~}//夹{~子}挟[213]嫁-{哭~}架-驾-[53]嘎{~子}[33]旮戛嘎{~吱}
kʰ	[35]咖//掐-[213]跨-胯-[53]卡咔咯□{拇指食指伸开的长度为一~}
x	[35]哈{~~大笑}虾-{~筢}//瞎-[213]霞-[53]哈{~巴狗}哈{蛮干：莫~搞}[33]下{等一~}
ŋ	[35]丫-{~头}桠-//压-鸭-[213]牙-芽-伢-蚜[53]哑-垭-[33]//轧{汽车~死人了}
∅	[35]阿{~姨}
#ia	
p	[35]吧{~唧}□{粘贴}
pʰ	[35]□{抽打}
t	[35]爹{~~：爷爷}嗲{~声~气}
tʰ	[53]□{下垂}
l	[35]拉{划，~了一条口子}[213]□{麻木，手都甩~了}
tɕ	[35]嘉加茄{雪~}枷钾佳家={~庭}//甲胛夹{~衣}[213]嫁{~女}稼架=驾=价[53]贾假{真~、放~}
tɕʰ	[35]//掐=恰洽[53]卡=
ɕ	[35]吓=虾=//辖侠峡狭瞎=[213]瑕遐暇霞=[33]夏厦{~门、大~}下{上~}//匣
∅	[35]亚鸦丫={~环}崖涯揠//压=鸭=押[213]牙=芽=衙[53]雅讶哑=垭=
#ua	
k	[35]瓜//刮括[213]挂卦褂[53]寡剐
kʰ	[35]夸[213]挎胯=跨=[53]垮
x	[35]花珐砝//发{~展、头~}法[213]华桦哗化//滑猾划{~船}[33]话画阀//划{计~}罚乏伐筏
∅	[35]蛙哇洼娲//挖袜[213]娃[53]瓦佤
#ʯa	
tʂ	[35]抓髽{~髻儿}[53]爪{~子}
tʂʰ	[213]□{~子：手残疾者}□{~雨：淋雨}[53]□{量词：一~葡萄}
ʂ	[35]//刷[53]耍
ʐ	[213]□{扔}[33]□{绕远路}
#o	
p	[35]波玻菠搏泼{活~}//钵驳勃饽脖剥拨博[213]播[53]跛簸[33]//薄钹
pʰ	[35]坡//泼{~水}[213]婆破[53]颇叵剖抔
m	[35]//摸莫末沫抹{~黑}木目穆牧[213]摩魔磨{~面}模谋牟眸//膜[53]么母姆亩某[33]漠磨{~子}墓慕暮募//幕寞
t	[35]多哆//铎[213]剁[53]躲朵跺[33]舵堕惰垛{把书~起好高}//夺踱掇
tʰ	[35]托{~词}拖//托{衬~}脱拓[213]陀驼坨砣鸵跎驮[53]妥唾椭
l	[35]啰//落洛骆络烙酪捋乐[213]罗萝锣箩逻螺骡挪[53]裸[33]喏糯懦//诺
ts	[35]//作[53]左佐[33]座坐
tsʰ	[35]搓磋蹉//撮[213]措锉//错凿[53]□{玩牌等：~两把}[33]挫//昨
s	[35]嗦梭唆蓑塑溯//索嗍[53]所锁琐
tʂ	[35]//桌卓捉浞拙酌啄涿琢浊镯[33]着{~急}//着{衣~、睡~了}
tʂʰ	[35]//辍龊绰戳
ʂ	[35]//说[33]//硕烁妁朔芍
ʐ	[35]//箬弱若
#io	
l	[35]//略掠虐疟
tɕ	[35]//脚觉{~得}角{~色}爵
tɕʰ	[35]//雀确鹊却摧榷□{使坏}
ɕ	[35]//削[33]//学
∅	[35]//约跃岳{三山五~、~父}钥乐{~器}药
#uo	
k	[35]锅哥歌//各阁搁鸽葛郭戈割虢角[213]过{~来、~错}个{~别}[53]果裹
kʰ	[35]科蝌柯苛坷瞌//扩廓阔壳渴磕[213]课[53]可颗棵
x	[35]呵//豁喝{~水、~彩}鹤蓋郝{姓}[213]货禾和{~面、~稀泥、我~你、~诗}何河荷[53]火伙[33]贺祸//活霍合盒
∅	[35]窝涡蜗倭斡阿{~胶}屙婀//握沃恶鄂噩愕遏[213]硪俄鹅娥蛾[53]我[33]卧饿
#ᴇ	
p	[35]//北百佰柏伯泊掰檗[33]//白帛
pʰ	[35]//粕珀魄迫泊拍
m	[35]//墨默陌脉麦没{沉~}
t	[35]//得{动词}德[33]得{介词}
tʰ	[33]//忑特忒
l	[35]仂//勒劣-
ts	[35]//啧仄则责窄[33]//贼{盗~}
tsʰ	[35]//恻册测侧厕策泽择坼裂缝
s	[35]//色瑟涩啬塞{闭~}虱
tʂ	[35]遮//辄折哲浙摘{文~}褶蛰[213]这[53]者赭□{炫耀}[33]摘{~菜：去除不用的}
tʂʰ	[35]车{汽~}□{吹牛}//澈彻撤拆[213]□{~命：垂死挣扎}[53]扯//掣
ʂ	[35]赊奢//设摄涉折蜇[213]蛇=佘畲赦[53]舍{~得、宿~}[33]社//射舌折{~本}
ʐ	[35]//热[53]惹
k	[35]疙隔嗝//格胳革隔[213]锯-{~子}[53]□{~~儿：脖子}//给[33]玍{~古佬：性格乖僻的人}
kʰ	[35]//恪咳客克刻{雕~、时~}[213]蛤{~蟆}
x	[35]//黑赫嚇吓-{胆子大得~人}[213]傻-{~宝：傻子}[33]//核{~对、枣~、~桃}
ŋ	[35]//额厄扼轭[53]□{食物不脆}
#iᴇ	
p	[35]别{~扭}//憋鳖[53]//瘪[33]//别{~人、离~}
pʰ	[35]//瞥撇{~捺}劈{~柴}[213]撇{抖动、挣扎}[53]苤{~蓝果}
m	[35]蔑//灭篾[33]乜咩
t	[35]爹{父亲}//跌[33]//迭碟蝶谍牒叠
tʰ	[35]//贴帖铁
l	[35]镍//列冽烈裂猎劣=捏聂蹑镊苶孽业
tɕ	[35]//桀劫节接洁结杰揭竭截[213]借[53]姐[33]睫//捷绝-
tɕʰ	[35]//窃切{一~、~菜}窃妾怯[213]茄{~子}[53]且-
ɕ	[35]些携//歇蠍协胁楔屑雪穴薛[213]邪斜[53]写[33]泻谢卸蟹//泄
∅[35]晔曳//叶页噎谒烨拽靥[213]爷耶椰[53]也野冶[33]夜//腋液	
#uᴇ	
k	[35]//国帼
x	[33]//或惑获
#yᴇ	
tɕ	[35]崛撅//攫决诀抉掘厥橛钁[33]倔□{骂：~人}//绝=
tɕʰ	[35]//阙却=缺[213]茄=[53]且=
ɕ	[35]靴//血
∅	[35]//月越粤悦阅[33]//曰
#ɚ	
∅	[35]//日[213]儿而[53]尔迩耳饵洱[33]二贰
#ai	
p	[35]□{跛：~子}[213]拜湃[53]摆[33]败稗
pʰ	[213]牌排徘派[53]□{两手伸开的长度为一~}
m	[213]埋霾[53]买[33]卖迈
t	[35]呆{发~}[213]带戴[53]逮歹[33]代袋贷怠殆待大{~夫}
tʰ	[35]胎苔态[213]台抬泰太汰
l	[35]奶{~~：祖母}[213]来莱[53]乃奶{牛~}[33]赖濑籁睐奈耐鼐
ts	[35]灾栽[213]再载[53]仔宰崽[33]在
tsʰ	[35]猜[213]才财材裁蔡菜[53]采踩彩睬
s	[35]腮鳃塞{动词}[213]赛
tʂ	[35]斋//宅[213]债[33]寨{山~；形容词：儿童好动}
tʂʰ	[35]钗差{出~}[213]柴豺
ʂ	[35]筛[213]晒
k	[35]该垓皆街阶[213]丐钙盖届界介芥疥戒诫械[53]改解
kʰ	[35]开揩[53]凯恺楷锴慨概溉忾
x	[213]还{~好}孩鞋[53]海[33]害亥骇
ŋ	[35]哀挨{~近}[213]癌爱崖岩呆{~板}[53]矮霭[33]艾碍捱埃挨{~打}
#uai	
k	[35]乖[213]怪[53]拐{~棍;形容词：糟糕}
kʰ	[213]快筷[53]块侩会{~计}桧刽㧟{挎、装}
x	[213]怀淮槐踝徊[33]坏
∅	[35]歪[53]崴{~了脚}[33]外
#ʯai	
tʂ	[35]□{蹲}[53]拽转{~文}
tʂʰ	[35]揣{装、带}[53]踹搋揣{~测}
ʂ	[35]摔衰[213]帅率{~领}蟀[53]甩
#ei	
p	[35]杯背{~负}悲碑卑蓖[213]倍蓓焙贝狈背{后~}辈{长~}[33]备惫悖辈-{~子}被{~迫、棉~}背{~书}
pʰ	[35]胚坯丕批-披[213]赔陪培配佩沛
m	[35]霉{倒~}//没{~有}[213]玫枚煤媒梅霉{~干菜}媚[53]每美镁[33]妹昧寐魅袂谜{猜~子}
t	[35]堆[213]对碓[33]队兑
tʰ	[35]推[213]退褪颓蜕[53]腿
l	[35]□{滚动}[213]雷蕾擂[53]累{积~}磊垒儡馁[33]类泪累{疲劳：~死了}内//肋
ts	[35]□{塞钱等}[213]最醉[53]嘴[33]罪贼{形容词，~得很}
tsʰ	[35]催摧崔[213]脆翠粹淬悴碎
s	[35]虽绥[213]随隋髓隧遂邃祟岁[33]穗
∅	[33]欸{叹词}
#uei	
k	[35]规归龟硅圭闺皈[213]贵桂[53]鬼轨诡[33]柜跪
