	符號說明：-白，=文
v	[1]烏汙[2]無=[3]撫武舞鵡{鸚～}務霧惡{可恨}[6]芋
t	[1]都{～城，～市}蛛[3]堵妒妬肚{魚～，腹～}[6]賭
tʰ	[1]凸[2]徒屠途塗圖[3]土吐{～痰，嘔～}杜兔[6]度渡鍍
n	[2]奴努[6]怒
l	[1]櫓魯虜滷[2]盧爐蘆廬{茅～}鸕{～鶿}滬顱鱸櫨[6]路賂露鷺{～鳥}麓
ts	[1]租組[3]祖阻
ts	[1]粗初[3]醋楚措{～置}[6]助
s	[1]蘇酥[3]素訴賜數{動、名詞}
tʃ	[1]豬諸株朱硃珠[3]著煮注註蛀鑄主[6]駐
tʃʰ	[1]柱拄{～拐杖}苧{～麻}[2]除廚儲{～蓄}櫥[3]處{相處，處所}杵[6]住箸{筷子}
ʃ	[1]書舒輸{送～，～贏}[2]薯殊蜍{蟾～}署{專～}[3]暑鼠黍庶恕戍豎[6]樹
k	[1]姑孤菇痀{背駝}菰辜酤鴣咕姑沽[3]古牯股鼓故固錮雇顧
kʰ	[1]估{～計}[2]跍{蹲}[3]苦庫褲褥
ŋ	[2]捂虞娛[6]誤悟
#m	
∅	[6]唔{否定詞}
#ŋ	
∅	[2]魚漁吳蜈{～蚣}吾梧[3]女五伍午仵
#ai	
p	[3]拜擺
pʰ	[2]排牌[3]沛派[6]敗
m	[1]買[6]賣邁
f	[6]壞
t	[1]呆橂{結實}[3]戴帶
tʰ	[3]怠太泰[6]大待
n	[1]乃奶[3]耐[6]奈捺
l	[3]癩[6]俫{兒子}賴
ts	[1]災栽齋[3]宰再債載{年～，～重}
tsʰ	[1]猜差{出～}[2]財豺=柴財[3]彩蔡採睬[6]在寨
s	[2]豺{～狼}[3]賽曬徙
k	[1]該皆階稭{麥～}楷㧡{挑擔}[3]介界芥尬{尷～}疥屆戒解{講～}個{一～人}丐{乞～}
kʰ	[3]慨{～慨}概
ŋ	[2]涯{天～}崖{山～}我-
h	[2]孩駭諧[3]械懈蟹解{姓，曉也}
