	符號說明：-白，=文
kʰ	[2]狂逛[3]況曠
∅	[3]蕹{～菜}
#ap	
t	[7]答搭貼-
tʰ	[7]塔榻塌溻{汗～濕}[8]踏搨{～本}拓
n	[8]納
l	[8]臘蠟鑞{錫～}
tsʰ	[7]插[8]雜
s	[7]煠{水煮}
tʃ	[7]摺{～疊}褶{～被子}軋{～棉花}
k	[7]閘掐恰甲胛匣{箱～}恰
kʰ	[7]鴿
h	[8]合{交往}蛤盒狹
∅	[7]鴨押壓
#ip	
l	[7]笠粒[8]立
ts	[8]集
s	[8]緝輯{編～}習襲
tʃ	[7]執汁
ʃ	[7]濕[8]十什{～物}拾{～掇}
k	[7]急給{～你}
kʰ	[7]級吸[8]及
ŋ	[8]入
h	[7]熻{悶熱}
#ep	
t	[8]□{扔，拋}
s	[7]澀嗇{吝～}
k	[7]□{覆蓋}
∅	[7]□{瞪眼}
#iap	
t	[7]遝{一～}貼=
tʰ	[7]帖{請～}[8]疊碟蝶諜牒
n	[7]聶{姓}鑷{～子}躡{～手～腳}捏
l	[8]獵
ts	[7]接
tsʰ	[7]妾[8]捷
s	[7]□{閉眼}
ʃ	[7]眨{～眼}[8]涉
k	[7]洽劫挾{～菜}[8]夾裌
ŋ	[7]攝[8]業䀹{眨眼}凹
h	[7]峽協脅
∅	[8]頁葉
#uap	
f	[7]法乏
#at	
p	[7]八缽
pʰ	[7]撥潑[8]拔鈸
m	[7]抹[8]末沫襪
f	[7]髮{頭～}發{～財}[8]活伐筏罰
v	[7]挖[8]滑猾{～狡}
tʰ	[8]達
l	[7]癩[8]辣
tsʰ	[7]獺{水～}擦攃察
s	[7]薩殺
ŋ	[7]呃{咬、啃}
h	[7]瞎轄
∅	[7]□{生氣}
#it	
p	[7]筆鴓{麻雀}闢
pʰ	[7]僻匹
t	[7]的{目～}滴嫡
tʰ	[7]剔[8]特敵狄
l	[8]力
ts	[7]即鯽責植脊績
tsʰ	[7]戚唧[8]疾{疼痛}
s	[7]息熄媳式惜=昔=析[8]席夕
tʃ	[7]戳[8]值
tʃʰ	[7]擲斥[8]職殖直植
ʃ	[7]識[8]食
k	[7]橘戟擊激棘
kʰ	[8]極
ŋ	[7]碶{吃}
h	[7]飾
∅	[8]翼亦譯易{交～}疫役
#et	
p	[7]北迫碧
pʰ	[7]逼帛
m	[7]陌覓[8]滅蔑密蜜墨默
f	[8]或惑
v	[7]域獲穫
t	[7]得德
tʰ	[7]踢[8]笛糴
n	[8]溺{～死}
l	[8]肋勒歷曆[7]□{骯髒}
ts	[7]則
tsʰ	[7]策[8]賊窄
s	[7]虱塞色
tʃ	[7]折{～斷}浙
tʃʰ	[7]扯
ʃ	[7]設[8]舌
k	[7]格革
kʰ	[7]乞刻{時～，刀～}克
h	[7]黑[8]核{～武器，審～}
∅	[7]抑□{按手指}
#iat	
p	[7]憋鱉龞
pʰ	[8]別{區～，離～}
t	[7]跌
tʰ	[7]鐵
l	[8]列裂烈
ts	[7]節[8]截絕
ts	[7]鍘{～刀}側測
s	[7]雪薛泄{～漏}屑{不～，木～}
tʃ	[7]哲蟄{海～}徹撤折{弄～了}
tʃʰ	[8]轍
ʃ	[8]蝕
k	[7]揭結潔厥憋倔憠{脾氣～}決訣[8]竭{飯稠}
kʰ	[7]缺[8]傑
ŋ	[7]孽訖{～布}[8]熱月
h	[7]歇蠍血[8]穴
∅	[7]粵乙□{勾手指打頭}[8]悅閱越
#uat	
k	[7]括{包～}聒{～耳朵}刮
kʰ	[7]闊
#ut	
p	[7]不
m	[7]□{木頭朽}[8]沒{沉～，～有}
f	[7]忽彿{彷～}勿[8]核{桃～}佛
v	[7]熨窟{屎～：屁股}[8]物
tʰ	[7]突
n	[8]訥{考慮}
l	[8]律□{挫}□{脫毛}
ts	[7]卒{兵～}猝{倉～}
tsʰ	[7]□{在}
s	[7]戌率{～領}蟀刷=[8]朮{白～}□{（蜂）叮}
tʃʰ	[7]出
ʃ	[8]述術秫
k	[7]骨
kʰ	[7]窟
#ot	
p	[7]發{～病}
t	[7]掇
tʰ	[7]脫[8]奪
l	[7]劣[8]捋{～袖子}
ts	[7]撮{一～米}
s	[7]刷
tʃ	[7]拙
ʃ	[7]說{～話}
k	[7]割葛
kʰ	[7]渴
h	[7]喝{～酒，～彩}轄豁{～口}□{疲勞}
#uet	
k	[7]國幗摑漍蟈嘓{閒談}
#iut	
k	[7]屈
kʰ	[7]倔{～強}
#ak	
p	[7]薄百柏伯擘{用手～}檗{黃～}
pʰ	[7]魄[8]白
m	[7]脈[8]麥
v	[8]劃
tʰ	[7]□{綁，系}
tsʰ	[7]拆圻㿭{皺}澤擇{～菜}宅冊伽{～欄}
tʃ	[7]摘隻炙{曬，烤}
tʃʰ	[7]赤尺
k	[7]隔
kʰ	[7]客
h	[7]赫嚇
∅	[7]扼{～制}軛鈪{手鐲}
#iak	
p	[7]壁壁
pʰ	[7]劈
l	[8]叻{能幹}
ts	[7]跡
s	[7]鵲{喜～}惜-昔-錫焟□{米粉}
tʃʰ	[8]蓆
ʃ	[7]射[8]石
kʰ	[7]劇{～烈，戲～}[8]屐{木～}
ŋ	[7]額[8]逆
∅	[7]益
#iok	
pʰ	[8]縛
l	[8]略掠
ts	[7]爵雀嚼-
s	[7]削
k	[7]腳□{追趕}
kʰ	[7]怯{畏～}卻
ŋ	[7]虐瘧
∅	[7]約鑰躍[8]若藥
#iuk	
l	[7]六陵[8]綠錄綠
ts	[7]足
s	[7]宿粟[8]俗續
kʰ	[7]菊鞠掬岫麹{酒～}曲{～折，歌～}鋦{～碗}[8]局侷
ŋ	[7]肉[8]玉獄
h	[7]畜{～牧}蓄{儲～}
∅	[7]育郁[8]欲慾浴辱褥
#ok	
p	[7]博搏剝駁
pʰ	[7]泊{水～}樸□{剝開}[8]泊{停～}雹
m	[7]幕寞[8]莫膜
v	[7]握[8]鑊{鐵鍋}
t	[7]卓啄琢[8]擇
tʰ	[7]托託[8]鐸
n	[7]諾匿
l	[8]落洛烙絡賂駱酪樂{快～，音～}
ts	[7]作{～坊}濁捉鐲
tsʰ	[7]錯{～雜}昨[8]鑿
s	[7]索{繩～}朔溯塑
tʃ	[7]著{～衣}酌[8]著{對，正確}
ʃ	[7]綽{寬～}芍{～藥}[8]勺
k	[7]各閣佫擱角殼覺{知～}
kʰ	[7]霍藿{～香}確
ŋ	[8]鄂齶鱷嶽岳
h	[7]福{文，～佬}[8]學鶴
∅	[7]惡{善～}
#uk	
p	[7]福-幅蝠{蝙～}腹複
pʰ	[7]撲卜[8]僕{～倒}僕□{（蟲咬）腫塊}
m	[7]木目苜[8]穆牧
f	[7]復{～原}覆{反～}服伏
v	[7]屋沃
t	[7]篤督㧻{手辟}
tʰ	[7]禿[8]獨毒讀牘瀆犢
l	[7]祿氯綠[8]鹿熝漉
tsʰ	[7]促簇[8]族
s	[7]速肅縮宿蓿
tʃ	[7]竹築祝粥燭蜀囑
tʃʰ	[7]觸[8]軸逐
ʃ	[7]叔淑束[8]熟屬贖
k	[7]谷穀
kʰ	[7]哭酷
#uok	
k	[7]郭廓槨
kʰ	[7]擴
