#参考资料	语保平台
#调值	[1]阴平31[2]阳平24[3]上声213[5]去41[7]入声55
#ɿ	
ts	[1]资态咨孜滋龇兹[3]子紫滓姊紫籽梓[5]渍[1]自{自己}
tsʰ	[1]疵刺眙[2]词慈瓷辞磁祠雌兹饲[3]此[5]次刺伺赐饲[1]字柿
s	[1]司丝思斯撕私嘶厮师狮狮厕{茅厕}[3]死使驶始史[5]巳四肆[1]事寺似士
#ʅ	
tʂ	[1]脂只支之枝知汁织芝吱蜘梔臟{食用油变质}[3]纸只{只有}指止址旨趾[5]致至志治智制挚痔窒滞痣稚置峙[1]职掷值殖[7]汁侄质秩帜
tʂʰ	[1]痴□{~倒:滑倒}嗤[2]持池迟驰弛匙治{~鱼}[3]齿耻[5]翅[1]直[7]尺赤斥
ʂ	[1]诗尸施[2]时识[3]矢始屎[5]市试世视势逝轼誓式嗜示拭[1]十是实柿{西红柿}[7]室适释饰
ʐ	[7]日
#i	
p	[1]屄[3]比彼鄙[5]蔽弊蓖避敝毙闭[7]笔碧必逼毕壁辟匕滗璧
pʰ	[1]批披砒劈霹坯[2]皮批疲啤琵脾[3]痞否{否极泰来}[5]屁僻辟{开辟}[1]鼻
m	[1]眯咪[2]迷弥猕糜靡[3]米[7]密秘蜜觅泌幂
t	[1]低提{提防}堤[3]底抵[1]第弟帝递谛[7]的滴敌笛迪
tʰ	[1]梯[2]提题啼蹄[3]体[5]替惕剃涕屉调嚏[1]地递[7]踢剔
n	[2]厘狸离梨犁黎璃篱尼泥霓昵倪[3]拟礼李里理鲤[5]腻[1]利厉丽励吏例莉粒笠[7]溺逆匿律立隶力栗沥历
tɕ	[1]击饥机基肌叽鸡积畸激稽羁[3]几己挤[5]计记妓纪伎系季剂际荞济既祭继寄忌冀骥[1]寂[7]及级即急集疾辑籍藉脊极迹
tɕʰ	[1]妻期欺戚沏凄嘁蹊栖[2]齐奇祁其脐骑崎旗棋麒[3]祈乞企启起歧岂取[5]气迄讫弃汽去[1]技[7]七沏漆泣砌吃
ɕ	[1]西稀溪嘻熙希牺兮嘶{大声喊叫}皙茜硒嬉[3]洗喜禧[5]戏细隙[1]系{院系}席[7]夕惜熄习袭媳
Ø	[1]衣医依伊[2]仪姨怡宜移遗颐疑彝咦[3]已以蚁倚椅[5]亿忆意亦抑毅裔羿逸骚异奕[1]艺绎易义议[7]一益乙译揖
#u	
p	[3]补捕哺[5]怖布埠[1]簿步{文}[7]不
pʰ	[1]扑铺{铺设}谱[2]菩葡蒲[3]普朴圃谱浦埔脯[5]铺{店铺}瀑[1]步{白}部[7]仆
m	[3]母牡亩拇姆[1]暮墓幕[7]沐牧目木睦穆
f	[1]夫肤敷[2]扶芙浮孚符氟抚[3]斧府俯釜辅腐甫[5]付负附附咐赴副幅赋富[1]父[7]复福辐服覆蝠伏佛傅拂腹
k	[1]孤咕估辜姑箍菇幠{被~}[3]古骨股蛊鼓[5]固故顾雇[7]谷梏
kʰ	[1]枯窟骷[2]葫[3]苦[5]酷库裤[7]哭
x	[1]乎呼忽[2]和{和牌}狐弧胡核壶湖瑚蝴糊[3]虎浒[1]互户护瓠沪核{桃核}
Ø	[1]污乌巫呜诬钨[2]无芜吴吾梧蜈[3]五午武伍舞捂鹉妩[5]捂悟戊[1]恶雾误务勿[7]兀屋物{~理}
#y	
n	[2]驴[3]女旅吕铝屡缕抨[1]虑滤
tɕ	[1]拘朱诛珠株猪诸蛛居鞠车{象棋}[3]主煮嘱瞩拄举沮[5]注著驻铸句剧据具聚巨距俱惧锯[1]祝蛀住炬[7]粥筑烛菊局桔橘竹
tɕʰ	[1]趋驱躯区祛[2]瞿除徐渠厨除滁橱雏[3]柞鼠处{处理}储[5]去{去皮}[1]柱[7]屈曲蛐矗触畜出
ɕ	[1]书抒殊舒淑疏输蔬虚需须[3]暑许署薯属蜀[1]恕树竖墅庶戌赎熟[7]叔淑塾述术
Ø	[1]迂淤[2]于如余鱼俞娱渔愉愚[3]雨宇屿羽语[1]与玉芋郁欲浴遇愈御预吁寓誉域裕喻谕育
#a	
