	本誌	趙氏	手冊	省誌	概況	資料
dzou2（白）	茶查塗					
sou1（白）	紗砂沙鯊裟痧					
sou5	所					
tɕiou（又）	家加嘉					
ɕiou1	鞾（又）					
jiou6（又）	下夏廈					
ʔiou3	雅（又）					
m2	無（~不）					
m6（白）	母畝					
̥ŋ2（白）	吳魚					
ŋ4（白）	五忤					
pã1	浜繃（~緊)					
pã5	繃（~豁)					
pʰã1	乓					
pʰã3	碰（~僵）					
pʰã5	碰（接合）					
bã2	龐朋（白）棚硼鵬彭澎膨					
bã4	甏碰					
mã1	錳					
mã4	猛（白)□（密也）					
mã6	孟（白)					
tã3	打					
nã3	若？					
lã3	冷					
tsã1	爭（白)					
tsã5	掙（~家當)					
tsʰã1	撐鐺（鼎~)					
tsʰã5	撐（~頭)					
dzã2	鋥					
sã1	生（白)牲（白)笙（白)甥（白)聲（白勿做~)					
sã3	省（節~)					
sã5	生？（刺入皮肉者）					
tʂã1	張章彰璋獐樟（又)瘴					
tʂã3	長（生~）掌漲（~價)					
tʂã5	障仗帳漲（~潮）脹（頭昏腦~)					
tʂʰã1	昌娼菖閶猖鯧倀					
tʂʰã3	廠敞氅					
tʂʰã5	唱倡暢悵					
dʐã2	常嫦長（~短）場（~合)腸橙澄（陽~湖)					
dʐã6	丈杖盛（姓）剩（白)					
ʂã1	商熵傷殤觴					
ʂã3	賞					
ʐã2	嘗償					
ʐã4	上尚					
ʐã6	壤嚷攘讓（文)					
kã1	耕（白)羹（白)庚（白)更（白，半夜三~)粳（白)					
kã3	鯁（白)埂（白)梗（白)					
kʰã1	坑（白)					
ŋã6	硬（白)					
hã1	夯亨（白）					
ɦã2	行（白，~貨)					
ɦã6	杏					
ʔã1（白）	櫻鸚					
liã2	良量涼（動詞)糧梁粱					
liã4	兩					
liã6	亮諒輛					
tsiã1	將（~來）漿槳					
tsiã3	獎蔣					
tsiã5	將（大~）醬					
tsʰiã1	槍蹌戧鏘					
tsʰiã3	搶					
tsʰiã5	嗆熗					
siã1	相（互~）箱廂湘襄鑲					
siã3	想鯗					
siã5	相（~貌）					
ziã2	牆薔檣詳祥庠翔(					
ziã4	象像					
ziã6	匠橡					
tɕiã1	江（文）薑僵疆					
tɕiã3（文）	講					
tɕiã5	降（文，~價)					
tɕʰiã1	腔羌					
tɕʰiã3	強彊（其兩切 勉~)					
dʑiã2	強彊（~烈)					
dʑiã4	強彊（倔~）					
ȵiã1	仰					
ȵiã2	娘					
ȵiã4	上（用諸名詞後)					
ȵiã6	讓（白)釀					
ɕiã1	香鄉					
ɕiã3	響					
ɕiã5	享餉向嚮					
jiã2	陽楊揚煬瘍羊洋烊（打~)佯徉					
jiã4	養氧癢					
jiã6	樣漾					
ʔiã1	央秧殃鴦泱怏恙					
kuã5	□（性爽脃 硬~性）					
ɦuã2	橫（~豎~)					
ʔuã5	橫（“~對”:不講理)					
pɒ̃1	幫					
pɒ̃3	邦梆綁榜膀（~子)磅（~秤)					
pɒ̃5	謗					
pʰɒ̃1	滂					
pʰɒ̃3	髈（腳~)					
pʰɒ̃5	肨					
bɒ̃2	旁傍膀（~胱）螃磅（~礴）彷防（白)					
bɒ̃4	㭋棒					
mɒ̃2	忙芒茫氓亡（白)					
mɒ̃4	莽蟒網					
mɒ̃6	盲罔惘妄（白）忘（白）望（白 往~東走)					
fɒ̃1	方芳坊枋					
fɒ̃3	妨（不~)肪魴訪仿髣紡					
fɒ̃5	放					
vɒ̃2	房防（文)亡（文)					
vɒ̃6	妄（文）忘（文）望（文)					
tɒ̃1	當（~家）襠鐺					
tɒ̃3	黨擋檔					
tɒ̃5	當（上~)					
tʰɒ̃1	湯					
tʰɒ̃3	淌躺					
tʰɒ̃5	倘燙趟					
dɒ̃2	唐塘溏糖搪堂膛螳棠					
dɒ̃4	蕩					
dɒ̃6	蕩宕					
nɒ̃1	曩					
nɒ̃4	囊瓤					
lɒ̃2	琅狼閬郎廊榔螂瑯					
lɒ̃6	朗浪					
tsɒ̃1	臧贓髒（~活)章（姓）樟蟑妝莊樁裝奘					
tsɒ̃5	葬壯					
tsʰɒ̃1	倉傖蒼滄艙窗瘡創（~傷)					
tsʰɒ̃5	愴創（~辦)撞					
dzɒ̃2	藏幢（量詞)					
dzɒ̃4	撞					
dzɒ̃6	藏（西~）臟狀					
sɒ̃1	桑喪（~事)雙霜孀礵					
sɒ̃3	嗓搡爽					
sɒ̃5	喪（~失)					
zɒ̃2	牀					
kɒ̃1	缸肛杠岡剛鋼綱江（白）豇					
kɒ̃3	講（白)					
kɒ̃5	罡崗港杠降（白，~下)					
kʰɒ̃2	康糠					
kʰɒ̃6	慷亢抗伉炕囥					
ɡɒ̃2	抗					
ɡɒ̃4	戇					
ŋɒ̃2	卬昂					
ɦɒ̃2	行（外~）絎航杭降（投~)					
ɦɒ̃6	項巷					
ʔɒ̃1	肮					
ʔɒ̃5	盎？（（材料）耗費而不直）					
tɕiɒ̃3	講					
tɕʰiɒ̃1	匡（又~邨）					
dʑiɒ̃2	□（手掠皿中水 ~點水出來）					
jiɒ̃6	旺（又)					
ʔiɒ̃4	枉					
kuɒ̃1	光咣胱					
kuɒ̃3	廣					
kuɒ̃5	逛					
kʰuɒ̃1	匡筐框（鏡~)哐誆					
kʰuɒ̃5	礦曠纊眶況（又)					
ɡuɒ̃2	狂					
huɒ̃1	肓荒慌謊					
huɒ̃3	恍晃（~眼）幌					
huɒ̃5	況晃（~動)					
ɦuɒ̃2	黃璜磺簧皇蝗惶煌遑篁凰隍徨王					
ɦuɒ̃6	旺					
ʔuɒ̃1	汪					
ʔuɒ̃3	往枉					
ʔuɒ̃5	□（諱云血）					
pən1	奔(~命)賁畚崩					
pən3	本					
pʰən1	噴烹怦抨					
pʰən5	噴（~香)					
bən2	盆湓朋（文）					
bən4	笨體					
bən6	坌					
mən1	悶（~熱)猛（文)					
mən2	門們捫萌盟蚊聞（白)					
mən6	悶（煩~）燜問（白)					
fən1	分吩芬紛□（勿曾合）					
fən3	粉					
fən5	糞奮憤					
vən2	墳汾焚棼文紋雯聞（文）					
vən6	份忿吻刎問紊					
tən1	敦墩蹲噸登燈噔					
tən3	等戥盹躉					
tən5	扥凳瞪鐙磴燉頓					
tʰən1	吞□（異味刺鼻 ~三閒）					
tʰən3	汆					
dən2	盾疼謄滕螣騰屯飩豚臀囤					
dən6	鄧沌鈍					
nən2	能					
nən6	嫩					
lən2	楞塄鄰（又）磷（又）鱗（又）嶙麟粼侖論（~語）輪峇倫綸圇					
lən4	冷					
lən6	論（~說）					
tsən1	曾（~祖）增憎罾溱榛蓁爭文睜掙（~紮）箏尊遵樽					
tsən3	怎抮？（以力擠 ~癟喉嚨 ~出膿）					
tsʰən1	參（~差)邨村					
tsʰən3	磣					
tsʰən5	櫬襯儭寸吋					
dzən2	曾（~經)存					
dzən6	贈					
sən1	森孫蓀猻僧參生（文）牲（文’）笙（文）甥（文）					
sən3	遜省（文）筍損					
sən5	滲					
zən2	層					
tʂən1	蒸諄肫貞真偵楨珍針砧甄胗斟 診畛軫疹征症（~結)					
tʂən3	准整拯證（~書)					
tʂən5	正（~月)症（~狀）政 枕縝震振鎮					
tʂʰən1	稱（~呼)春椿蠢皴					
tʂʰən5	稱（相~）趁讖秤					
dʐən2	陳臣塵沈沉忱成城誠澄 丞呈程					
dʐən6	仍剩（文）盛（興~)朕陣鄭					
ʂən1	深身申伸紳聲升					
ʂən3	沈審嬸					
ʂən5	勝聖舜瞬					
ʐən2	辰晨承乘盛（~飯 ） 脣淳醇鶉人（文）仁神繩					
ʐən4	吮？（~~㭋冰）					
ʐən6	純蓴忍恁妊任（文 姓)刃仞韌（文）認（文）紉甚腎慎順閏（文）潤					
kən1	跟根更（~改,文,打~） 羹（文）耕（文’）庚（文）賡耿哽粳					
kən3	鯁（文）埂（文）梗（文）綆					
kən5	艮亙更（~加)					
kʰən1	坑（文)					
kʰən	肯啃墾懇齦					
kʰən5	硍					
ɡən4	□（固執 ~住著不放）					
ŋən6	硬（文)					
hən1	很亨（文）哼					
hən3	很狠					
ɦən2	痕恒衡蘅					
ɦən6	恨					
ʔən1	恩					
pin1	賓檳（~榔)儐濱繽彬斌冰兵					
pin3	並（合~)丙秉餅炳稟					
pin5	臏殯擯鬢髕屏（~氣）					
pʰin1	拼姘乒					
pʰin3	品聘					
pʰin5	牝					
bin2	貧顰平坪萍蘋屏（~風）瓶憑					
bin4	評					
bin6	病倂傡					
min1	泯閩敏閔憫皿冥瞑螟鳴酩					
min2	民岷名茗銘					
min4	抿脗（~縫)					
min6	命					
tin1	丁叮仃盯酊釘玎					
tin3	頂鼎					
tin5	訂釘					
tʰin1	汀廳					
tʰin3	挺艇梃鋌					
tʰin5	聽					
din2	亭停婷廷庭霆					
din4	錠					
din6	定					
lin6	賃令零					
lin1	凜廩吝藺躪拎					
lin2	鄰燐鱗林淋琳霖臨伶玲苓羚鈴聆翎齡零淩陵菱綾靈					
lin4	領					
tsin1	精睛晶					
tsin3	盡（~管)井					
tsin5	津進晉縉浸俊峻竣駿					
tsʰin1	津進晉縉浸俊峻竣駿親侵青清蜻鯖氰					
tsʰin3	請					
tsʰin5	寢沁					
sin1	寢沁辛莘新心芯（~子)星猩惺					
sin3	筍榫荀詢醒省（反~)					
sin5	薪信腥性姓汛訊迅					
zin2	秦情尋旬循巡馴					
zin4	靜晴餳					
zin6	靜晴 純（又)盡靖淨					
tɕiən1	斤筋今衿襟金禁（~受）京驚涇莖經痙兢勁（~敵)					
tɕiən3	緊僅謹瑾饉覲錦景頸儆警境					
tɕiən5	禁（~區）噤勁（~頭)竟鏡徑脛敬					
tɕʰiən1	欽衾卿氫輕傾頃					
tɕʰiən5	撳慶磬罄					
dʑiən2	芹琴禽擒噙勤擎鯨黥					
dʑiən4	近					
dʑiən6	競					
ȵiən2	凝寧（安~）嚀獰檸人（白）壬垠銀齦吟迎					
ȵiən6	寧（~可）佞任（白姓）韌認（白）閏（白）郢					
ɕiən1	欣忻昕鑫馨歆興（~旺)					
ɕiən5	釁興（~趣)					
jiən2	行（~為）形刑型淫寅夤蠅營瑩螢縈					
jiən4	引					
jiən6	蚓穎					
ʔiən1	陰因茵姻殷音尹蔭（~涼)英瑛鶯應（~當）鷹膺嬰嚶瓔櫻（文）纓鸚（文）罌					
ʔiən3	隱癮					
ʔiən5	飲（於錦切 又於禁切~牲口）印影映應（答~）					
kuən3	緄輥袞滾					
kuən5	棍灌？（~熱水瓶）					
kʰuən1	昆琨焜坤堃					
kʰuən3	捆悃					
kʰuən5	困睏					
huən1	昏婚葷					
huən5	混（~客)					
ɦuən2	渾混（~水）餛魂					
ɦuən6	混（~充)					
ʔuən1	溫瘟					
ʔuən3	穩					
tɕyən1	巾均鈞君軍菌					
dʑyən2	裙					
dʑyən6	郡羣					
ɕyən1	熏薰曛醺勳					
ɕyən5	訓					
jyən2	盈贏嬴瀛雲雲芸紜耘勻					
jyən6	幸韻孕運暈熨					
ʔyən1	□（挽攏 ~艸把）					
ʔyən3	永泳詠允醞蘊					
poŋ3	□（竝足而躍）					
pʰoŋ3	捧					
boŋ2	蓬篷					
boŋ4	□（浮塵之屬見起）					
moŋ2	蒙濛檬朦朦艨					
moŋ4	懵					
moŋ6	夢					
foŋ1	諷封風楓瘋豐烽峰蜂鋒					
foŋ5	俸					
voŋ2	馮逢縫（~補）					
voŋ6	奉鳳縫（~隙)					
toŋ1	東煉冬咚棟					
toŋ3	董懂					
toŋ5	凍腖					
tʰoŋ1	通					
tʰoŋ3	統動					
tʰoŋ5	痛					
doŋ2	同茼桐銅潼瞳艟彤					
doŋ4	動桶					
doŋ6	洞胴童僮					
noŋ2	儂					
loŋ2	隆窿龍嚨瀧瓏朧礱聾籠（~罩)櫳壟隴					
loŋ4	攏					
loŋ6	弄					
tsoŋ1	中（~間）忠盅衷鐘終螽宗棕綜蹤鬃縱（~橫)					
tsoŋ3	種（名詞）腫踵總縱（放~)					
tsoŋ5	中（~意）種（動詞）眾粽					
tsʰoŋ1	充衝（~鋒）忡匆蔥囪 聰驄從（~容)舂（~容)					
tsʰoŋ5	寵銃衝（~牀)					
dzoŋ2	蟲崇重（~複)從叢戎茸					
dzoŋ4	重（輕~)					
dzoŋ6	誦訟頌仲					
soŋ1	舂松鬆淞菘嵩悚					
soŋ3	聳					
soŋ5	宋送					
koŋ1	公蚣肱工功攻弓躬宮恭供（~給）龔（又)拱鞏					
koŋ5	汞貢供（~養)					
kʰoŋ1	空（~中)					
kʰoŋ3	孔					
kʰoŋ5	崆箜恐空（~缺）控					
ɡoŋ6	共					
hoŋ1	哄（~動）烘轟					
hoŋ5	哄（起~）□（薄而嗅）					
ɦoŋ2	宏弘洪紅鴻虹蕻					
ɦoŋ4	鬨？（聚攏一處）					
ʔoŋ1	翁嗡					
ʔoŋ5	甕齆蕹					
tɕioŋ1	龔炯迥					
tɕioŋ5	窘					
tɕʰioŋ1	穹					
dʑioŋ2	瓊窮煢嬛					
ȵioŋ2	農濃膿絨					
ɕioŋ1	凶匈洶胷胸兄					
jioŋ2	容溶榕蓉榮嶸融雄熊庸墉鏞					
jioŋ6	傭（~工)用					
ʔioŋ1	壅癰					
ʔioŋ3	雍臃擁甬勇湧恿蛹踴俑					
paʔ7	八捌掰百佰柏伯(白)					
pʰaʔ7	帕（白）拍洦泊濼珀（白）粕（白）魄（白)					
baʔ8	跋拔白(白）					
maʔ8	襪麥脈陌（白）					
faʔ7	發灋法髮砝琺					
vaʔ8	乏伐筏閥罰					
taʔ7	答（~應）搭褡答（白~覆）瘩妲靼					
tʰaʔ7	塌塔獺拓（～片）榻遢闃蹋□（塗抹）					
daʔ8	遝踏闥					
naʔ8	捺					
laʔ8	辣剌瘌臘蠟镴獵（白)					
tsaʔ7	匝咂紮（捆~)砸仄昃 紮（~箴 掙~)摘（又)窄隻灼					
tsʰaʔ7	擦冊策測（~字)插鍤察拆尺綽					
dzaʔ8	鍘閘擲（~色子)					
saʔ7	撒（~手)薩殺刹（古~) 煞（惡~)鎩霎眨柵					
zaʔ8	石雜（文）煠宅					
tʂaʔ7	著（一~棊)酌					
tʂʰaʔ7	焯辵					
dʐaʔ8	勺著（~急)					
ʂaʔ7	爍					
ʐaʔ8	弱若芍					
kaʔ7	隔（白）嗝膈骼格夾（~衣）浹甲（白）					
kʰaʔ7	客掐恰（白)					
ɡaʔ8	軋(傾~~鋼)					
ŋaʔ8	額					
haʔ7	瞎（白)嚇（白)欱（白)喝					
ɦaʔ8	盒硤狹匣					
ʔaʔ7	壓（白）鴨（白）押阿（詞頭)					
liaʔ8	掠略					
tsiaʔ7	爵雀(又)					
tsʰiaʔ7	且雀鵲					
siaʔ7	削					
ziaʔ8	嚼					
tɕiaʔ7	甲（文）鉀腳					
tɕʰiaʔ7	恰（文)確卻榷					
dʑiaʔ8	劇					
ȵiaʔ8	捏虐瘧箬					
ɕiaʔ7	瞎（文)轄（文)嚇（文)					
jiaʔ8	俠峽挾藥鑰躍（又)					
ʔiaʔ7	鴨（文）壓（文)約喲					
kuaʔ7	刮聒鴰括					
ɡuaʔ8	刮？					
ɦuaʔ8	刮聒鴰括滑猾劃（~分)					
huaʔ7	豁轄（白)					
ʔuaʔ7	挖穵					
jyaʔ8	穴域（白）蜮閾曰悅（白）閱（白）越（白）粵					
pəʔ7	缽撥伯（文)不迫					
pʰəʔ7	潑迫（又）魄（文)					
bəʔ8	白（文)鼻荸孛脖鵓勃渤帛鈸					
məʔ8	抹（~布~殺 轉彎~角）末沫茉沒(~有)墨嘿默陌(文)汨					
fəʔ7	弗怫拂勿					
vəʔ8	佛物					
təʔ7	答(文~覆)得德掇𪐏					
tʰəʔ7	忒脫啜					
dəʔ8	特突奪					
nəʔ8	納呐訥衲鈉					
ləʔ8	肋勒（～緊)泐仂捋					
tsəʔ7	子（名詞尾碼)卒側則責這止（~有）					
tsʰəʔ7	測（~試）惻卒猝撮					
səʔ7	澀瑟色嗇穡塞（~頭 要~)蝨率（~領）蟀□（糞桶之屬散架）					
zəʔ8	雜擇澤賊					
tʂəʔ7	折詟哲摺褶織執職窒幟摯質拙茁汁					
tʂʰəʔ7	徹撤澈轍輒斥叱赤敕出					
dʐəʔ8	帙涉蜇直殖值植姪秩					
ʂəʔ7	攝設濕失識室式適飾釋說					
ʐəʔ8	熱（文）日（文）入舌折十什拾食蝕實碩述術					
kəʔ7	疙割鴿革隔（文）葛（姓)合（升~）					
kʰəʔ7	瞌磕渴㵣咳克刻					
ɡəʔ8	搿					
ŋəʔ8	兀杌					
həʔ7	郝黑嘿？喝（文）欱（文）赫					
ɦəʔ8	合核盍闔					
ʔəʔ7	厄呃扼軛曷褐謁					
piəʔ7	蹕壁璧鱉憋觱癟逼必畢嗶蓽					
pʰiəʔ7	劈霹劈匹癖辟僻闢瞥撇					
biəʔ8	弼別蹩彆					
miəʔ8	密蜜覓冪滅蔑篾					
tiəʔ7	滴嫡嘀（~咕）的跌摘					
tʰiəʔ7	剔踢倜惕貼鐵餮帖					
diəʔ8	耋迭疊瓞敵狄荻迪笛糴滌覿喋堞蝶碟諜牒垤绖					
liəʔ8	立粒笠力曆瀝嚦櫪癘靂栗凓傈溧傈篥礫櫟咧（大大~~)列冽洌烈裂趔劣					
tsiəʔ7	積跡唧績即瘠脊稷接癤節櫛					
tsʰiəʔ7	輯楫七柒漆沏緝（~私)戚嘁槭葺砌（堆~)切妾膝					
siəʔ7	刷析晰皙淅蜥息熄錫昔惜悉蟋媳楔屑泄褻燮躞恤卹辥薛雪鱈					
ziəʔ	疾蒺嫉集藉籍寂捷睫截絕拾（~荒)夕汐矽席襲習					
tɕiəʔ7	激擊汲吉佶棘笈級急戟 給（~以)髻偈（佛~)莢頰鋏秸揭潔詰結劫羯碣孑					
tɕʰiəʔ7	乞泣訖迄契鍥怯隙					
dʑiəʔ8	芨及極亟殛桀傑竭急（~皮）					
ȵiəʔ8	匿溺逆聶囁顳躡鑷孽蘖涅齧臬鎳熱（白）日（白）業					
ɕiəʔ7	吸鬩蠍歇脅勰					
jiəʔ8	洽叶協亦奕弈弋易（交~）邑挹軼昳佾逸譯驛繹熠翼液掖腋頁燁葉					
ʔiəʔ7	噎咽（哽~)一壹揖乙臆益溢縊鎰㱲饐悒憶抑					
kuəʔ7	骨汩蟈國幗					
kʰuəʔ7	窟闊擴(又)					
huəʔ7	忽惚淴漷？					
ɦuəʔ8	囫猢（~猻）核（桃~)活或惑獲					
ʔuəʔ7	殟					
tɕyəʔ7	孓譎決訣玦𫘝鴃橘撅噘厥蕨橛獗蹶（又)攫钁					
tɕʰyəʔ7	闕（~疑）屈缺瘸					
dʑyəʔ8	屐掘崛倔					
ɕyəʔ7	血噱					
jyəʔ8	域（文)悅（文）閱（文）越（文）樾鉞躍月刖					
ʔyəʔ7	鬱					
poʔ7	北剝博搏膊駁卜					
pʰoʔ8	鉑帕（文）朴樸蹼珀（文）粕（文）撲噗璞					
moʔ8	摸謨膜莫漠寞沐木目苜牧睦穆					
boʔ8	箔薄礴僕濮瀑曝					
foʔ7	福輻幅蝠複覆蝮馥腹					
voʔ8	伏洑茯袱服縛復？					
toʔ7	督厾篤咄涿啄（~木鳥)					
tʰoʔ7	禿托橐蘀柝拓（開~)					
doʔ8	讀瀆櫝犢牘黷獨毒碡鐸度（測~）踱					
noʔ8	諾					
loʔ8	酪樂六賂輅鹿麓轆戮錄䘵琭碌箓陸犖洛珞絡駱烙落綠					
tsoʔ7	粥竹竺築燭蠋瘃囑矚祝足作鑿（~子)桌卓倬捉					
tsʰoʔ7	觸畜（~生）搐矗戳齪促簇蹴					
dzoʔ8	軸昨					
soʔ7	叔菽倏束朔槊宿蓿溯塑夙速觫粟肅縮索					
zoʔ8	辱蓐溽褥（文)肉（文)俗淑孰熟塾贖蜀屬續鑿（~子)啄琢諑濁鐲斲濯逐族妯					
koʔ7	擱閣各郭漍（北~)槨穀腳（白 ~色）角（白 ~票）覺（~著)					
kʰoʔ7	殼哭酷擴廓					
ɡoʔ8	硌					
ŋoʔ8	噩愕諤萼顎鱷鍔鄂鶴嶽（白)					
hoʔ7	壑霍藿					
ɦoʔ8	斛鑊學（白)					
ʔoʔ7	噁惡（善~)沃握渥幄齷屋					
tɕioʔ7	腳（文 ~色）角（文 ~票）覺（感~)菊掬鞠					
tɕʰioʔ7	確曲搉					
dʑioʔ8	局					
ȵioʔ8	肉（白)褥（白)玉					
ɕioʔ7	畜（~牧）蓄旭					
jioʔ8	學（文)嶽文樂（音~)疫役浴欲育毓獄					
ʔioʔ7	鬱					
ɚ2	而耳（文)餌邇爾洱兒（文)					
ɚ6	二貳					
