	本誌	趙氏	手冊	省誌	概況	資料
ma4	馬（文）買					
ma6	瑪（文）碼（文）螞（文）嗎（文）罵（文）邁賣					
ta3	打（文）					
ta5	帯帶戴（穿~）					
tʰa1	他拖它					
da3	□竹製農具					
tʰa5	太態泰					
da5	大（文）汏					
na2	拏拿挪（又）					
na4	迺乃嬭					
la1	拖拉					
la4	拖（又）拉（又）					
la6	賴瀨					
tsa1	渣（文）樝（文）齋偺咱					
tsa3	□（物傾側於一邊）					
tsa5	乍（文）醡（文）詐（文）灹（文）榨（文）債					
tsʰa1	叉（文）差（~不多~別出~）釵（文）					
tsʰa3	撦（又）					
tsʰa5	蔡					
dza2（文）	荼塗査					
sa1	沙（文）鈔（文）砂（文）痧（文）裟（文）鯊（文）傻篩衰					
sa3	灑					
sa5	曬帥					
za2	佘豺柴					
za4	衺？(不正 路角~ ~頭)					
tʂa1	抓（文）遮者					
tʂa3	爪					
tʂa5	赭蔗鷓					
tʂʰa1	車					
dʐa2	□（將就 ~過去）					
dʐa6	射					
ʂa1	奢					
ʂa3	啥					
ʂa5	賒舍捨赦耍					
ʐa2	蛇					
ʐa4	惹若					
ʐa6	社射麝					
ka1	加枷嘉家街					
ka3	假（真~）解（講~）					
ka5	尬價架嫁假(~期)介芥疥界戒解（起~)					
kʰa1	揩咖					
kʰa3	卡（關~）					
kʰa5	卡（~片）					
ɡa2	茄					
ɡa4	解					
ɡa6	□（拖延 ~在牀上）					
ŋa2	牙芽衙蚜					
ŋa6	外礙？					
ha1	哈					
ha3	蟹					
ɦa2	鞵					
ʔa1	挨					
ʔa3	矮					
tia1	爹					
tia3	嗲					
tsia1	嗟□（濅也 ~在水頭）					
tsia3	姊姐					
tsia5	借					
tsʰia3	笡？（衺也）					
sia3	寫					
sia5	瀉卸					
zia2	衺邪斜					
zia6	藉（慰~）薺（白~菜）謝榭					
tɕia1	加（文）嘉（文）枷（文）家（文）葭（文）皆偕階					
tɕia3	賈（~氏）假（文）解（文）					
tɕia5	佳架（文）價（文）嫁（文）駕（文）假（文）稼（文）介（文）芥（文）界（文）疥（文）屆誡解（文）					
dʑia2	袈笳茄（文）					
ȵia2	鯰					
ɕia1	蝦（文）					
ɕia3	罅？（~開著觜）					
jia2	諧牙（文）芽（文）蚜（文）衙（文）崖爺					
jia4	下（文）也野					
jia6	夏（文）廈（文）夜					
ʔia1	丫（文）耶鴉					
ʔia3	霞瑕暇啞（文）雅亞椰					
