来源：	郭贞彦 2010《山西文水裴会村话语音研究》；原作者提供字表数据，Hynuza 整理
x	［5］下-夏-吓-
ts	［1］渣睁-［3］铡=［5］诈榨炸乍栅=
tsʰ	［1］茶查叉杈［3］叉［5］岔厦差
s	［1］茬沙纱生-［3］洒傻甥-［5］□{挑}
Ø	［1］阿=
#ia	
p	［1］□{缝}棚-［5］迸-
pʰ	［1］□{满了}［3］□{张开}
m	［1］虻-［3］猛-
ȵ	［1］牙芽［5］砑硬-
l	［3］两冷-
tɕ	［1］家加痂嘉傢佳耕-［3］贾假［5］架驾嫁稼价
tɕʰ	［1］□{抱}［5］洽
ɕ	［1］虾霞瑕遐杏-［5］厦夏=下=吓=
Ø	［1］衙鸦丫涯崖押［3］雅哑=［5］亚压=
#ua	
k	［1］瓜［3］寡［5］挂卦
kʰ	［1］夸［3］垮［5］跨
x	［1］花华划［5］画话
tʂ	［1］抓［3］爪
Ø	［1］蛙洼挖［3］瓦□{舀}［5］瓦
#ya	
ɕ	［1］横-
Ø	［3］哕
#ai	
p	［1］白=［3］摆［5］拜稗败
pʰ	［1］排牌［5］派
m	［1］埋=［3］买［5］卖迈
t	［1］呆待=［5］贷代大戴=带=袋=
tʰ	［1］胎=台=［5］态太
n	［3］乃奶［5］奈内耐=
l	［1］来=［5］赖癞
k	［3］改=［5］概溉丐
kʰ	［1］开={主意}［3］凯慨楷
ŋ	［1］哀埃挨［3］蔼矮［5］碍爱=
x	［1］鞋-孩［3］海［5］亥解-害=
ts	［1］斋灾=［3］载=宰=［5］债寨在=再=
tsʰ	［1］才=材财=豺钗差柴［3］彩采=［5］蔡
s	［1］筛腮=［3］□{扭}［5］赛晒
#iai	
ȵ	［1］捱
tɕ	［1］皆阶秸街［3］解=［5］介界届戒
tɕʰ	［1］揩
ɕ	［1］谐鞋=［5］械懈解蟹
#uai	
k	［1］乖［3］拐［5］怪
kʰ	［3］块［5］快
x	［1］怀槐淮［3］□{个}［5］坏
tʂ	［5］拽
tʂʰ	［3］揣
ʂ	［1］衰［5］帅
Ø	［1］歪
#au	
p	［1］褒包胞=刨雹［3］保堡=宝饱［5］报暴豹爆鲍铇抱=
pʰ	［1］袍胞-抛［3］跑［5］泡炮
m	［1］毛=茅猫矛［3］卯［5］冒帽貌贸茂
t	［1］刀叨桃-萄［3］祷岛倒［5］到倒道稻盗道
tʰ	［1］滔掏桃=逃陶涛［3］讨［5］套
n	［3］脑恼［5］闹
l	［1］劳捞牢唠［3］老［5］涝烙骆酪
k	［1］高=膏=羔=糕=［3］稿搞［5］告=
kʰ	［3］考烤［5］靠=
ŋ	［1］熬=［3］袄［5］傲懊奥
x	［1］蒿豪壕［3］好［5］浩号
ʐ	［3］饶扰［5］绕=
ts	［1］遭糟朝召招沼［3］早枣蚤澡［5］躁灶皂造罩笊兆赵=照□{疲倦}
tsʰ	［1］操曹抄巢超朝［3］草吵炒［5］糙
nᶻ	［1］挠
s	［1］骚梢捎韶绍烧=［3］扫嫂少=［5］臊扫潲少
#iau	
p	［1］标彪［3］表
pʰ	［1］飘［5］漂=
m	［1］苗=描=［3］藐秒［5］妙庙
m	［5］妙庙［1］刁貂雕
t	［5］吊=［1］条=调=［3］挑=
ȵ	［3］咬鸟［5］尿=
l	［1］聊撩寥［3］了［5］料廖
tɕ	［1］交郊胶焦蕉骄娇=［3］绞狡搅剿缴侥［5］教轿
tɕʰ	［1］敲鞘乔侨桥=悄=［3］巧［5］俏窍
ɕ	［1］消=霄硝销嚣萧箫学=［3］晓小=［5］孝效校笑=
Ø	［1］肴妖邀谣吆尧腰=摇=［3］舀杳［5］耀要=
#ɤ	
p	［1］搬盘婆［3］簸［5］簸半绊伴拌旁
pʰ	［1］波颇坡［3］拼［5］判
m	［1］魔磨摩［3］瞒满［5］磨
t	［1］多驼驮［5］大-
tʰ	［1］拖
n	［1］挪
l	［1］罗锣箩骡螺［3］裸□{碰}［5］摞
k	［1］高-膏-羔-糕-歌［5］个告-
kʰ	［1］颗=［3］可［5］靠-
ŋ	［1］阿-讹熬-爊蛾鹅俄［3］我=［5］鏊饿=
x	［1］河何荷［3］很-［5］贺
tʂ	［1］遮［3］者展-［5］□{照看}赵-占-
tʂʰ	［1］车缠-［3］扯［5］撤
ʂ	［1］蛇赊麝烧-羶搧［3］舍少-闪［5］社射舍騇善-
ʐ	［3］惹［5］绕
nᶻ	［3］碾
s	［5］扇-
#ɔu	
pʰ	［1］剖
m	［1］谋=［3］某=
t	［1］都兜头［3］斗抖陡［5］斗豆逗
tʰ	［1］偷投［5］透
n	［1］奴［3］努［5］怒
l	［1］庐炉芦楼耧［3］鲁虏卤搂［5］路赂露漏陋
k	［1］勾钩沟［3］狗苟［5］构够
kʰ	［1］抠［3］口［5］扣叩寇
ŋ	［1］欧［3］藕偶呕［5］沤
x	［1］侯喉猴瘊［3］吼［5］后厚
tʂ	［3］轴
ʂ	［3］手首守［5］受
ʐ	［1］柔揉［5］肉
ts	［1］租稠掫周舟州洲［3］祖组走肘［5］就昼宙纣皱骤咒
tsʰ	［1］粗抽绸筹搊愁仇酬［3］丑瞅［5］醋措凑臭
nᶻ	［3］扭
s	［1］苏酥搜飕馊收［3］叟［5］素诉塑嗉嗽瘦漱兽寿授售
#iɔu	
m	［5］谬
t	［1］丢
ȵ	［1］牛［3］纽［5］□{犟}
l	［1］流刘留榴硫琉［3］柳［5］溜馏六
tɕ	［1］揪纠究［3］酒九久韭灸［5］救舅旧柩
tɕʰ	［1］秋囚丘求球仇
ɕ	［1］修羞休［3］朽［5］秀绣宿锈袖嗅
Ø	［1］忧尤邮由油游悠幽［3］有友［5］诱又右佑柚幼
#ɛi	
p	［1］埋杯赔-裴-碑卑悲［3］北=［5］贝辈背倍焙臂
