#a				
l	[2]盧{姓}爐廬{～山}蘆{～葦}[3]魯{～班}虜櫓鹵[5]路露努奴{～隸}			
ts	[1]租[3]左阻祖組[5]佐助曹{～操}			
tsʰ	[1]粗初[3]楚礎[5]醋			
s	[1]舒梳{名詞}蘇酥疏{與密相對}蔬{～菜}[3]所[5]素{尿～，人名}訴			
k	[1]姑孤[2]估[3]古股鼓裹{～粽}[5]故{～意}固雇顧個{～人}			
kʰ	[1]箍呼枯[2]烤{～火}[3]苦許{姓，～渠買手機}靠[5]庫褲			
ɡ	[2]吳娛{～蚣}伍{姓}[3]伍{隊～}午{中～}[5]五誤悟惡{可～}愚{老糊塗}娛{～樂}			
h	[1]乎忽[2]狐{～狸}□{撈，～藻}鼾[3]斧虎滸{水～}岸{～水}禍[5]雨戶互{～助組}護狐{～狸}			
∅	[1]巫誣烏{黑}剮{～牛}汙[2]盂胡{姓}湖壺[3]臥[5]芋			
#u				
p	[2]炰{～蕃薯}[3]富[5]孵{～小雞}			
pʰ	[2]浮[3]殕{黴}			
b	[1]母姆[3]武{練～}舞鵡{鸚～}[5]腐{豆～}務霧			
t	[1]蛛[2]廚{～房，～師}櫥{碗～}			
tʰ	[2]儲{～藏}			
l	[1]乳女{～兒，生男的還是生～的}[2]裕[3]儒[5]如喻			
ts	[1]主{～席}朱硃珠{滾～，～算}[2]主{～意，～事}[5]注註蛀{蟲～木}處{相～}聚{～攏，相～}駐{～紮}住{～人家，～房，～宿}			
tsʰ	[1]趣[3]取[5]處{相～，放在某～}			
s	[1]輸{～錢，運～}需[2]殊[3]暑蜀			
k	[2]韭[3]久[5]句{一～事}舅舊			
kʰ	[1]拘{～留}俱{～賀，～樂部}區樞趨驅丘{一～，～陵}[5]灸臼{石～}具{工～，～體}			
ɡ	[2]牛			
h	[1]麩夫{丈～}膚{皮～}敷[2]腐{～爛}扶輔{～導}芙{～蓉}[3]附{～帶}府{政～}附{～帶，～近}腐{木～}俯{與仰相對}腑{五臟六～}[5]赴訃傅{師～}付父撫{～養}符{～合}負婦副			
∅	[3]寓[5]有			
#ai				
p	[2]牌擺排[3]拜{～年}[5]敗			
pʰ	[3]派歹{壞}			
b	[2]埋眉			
t	[1]呆[2]臺[5]待貸{～款}怠{～工}代大{～夫}			
tʰ	[1]篩{～米，～子}胎{打～，一～}[2]苔抬[5]泰太態			
l	[2]來梨[5]內{訓“裏”}賴裏			
ts	[1]知栽齋災[2]宰臍豺才{天～}[3]再載{～重，滿～}[5]在載{三年五～}			
tsʰ	[1]猜[2]材財裁[3]菜彩睬{理～}			
s	[1]獅鰓腮西[3]屎駛[5]婿賽			
k	[1]該階[3]介{～紹}芥界{田～}屆戒{～口}解{～放，～開，曉}[5]概{大～}溉			
kʰ	[3]楷凱[5]慨{大方}			
ɡ	[1]藹{和～}			
h	[2]械[3]海亥[5]害			
∅	[1]哀[5]愛礙			
#oi				
p	[1]拔碑杯[2]焙培陪[5]貝背倍輩八			
pʰ	[1]批坯{土～}胚[5]配沛佩			
t	[1]疊[2]題蹄啼{公雞～}[3]底[5]地{～方}			
tʰ	[1]銼			
l	[2]犁{動，名詞同}[5]銳			
ts	[2]搓齊[3]最[5]做多{訓}罪			
s	[1]衰梳{動詞}[3]洗[5]細			
k	[1]繫{～鞋帶}雞街瓜[3]改[5]楔會{～計}劊檜{秦～}			
kʰ	[1]溪[3]□{擠}			
h	[1]花恢[2]回茴{～香}[3]毀悔賄[5]惠慧匯廢晦{～氣}會{開～}繪			
∅	[1]狹{窄}劃划[2]鞋[3]倭矮[5]衛畫話{說～}			
#ui				
p	[2]肥{～豬，～料}[5]吠痱			
pʰ	[5]屁			
t	[1]堆追[2]槌{舂米用，鑼～}錘[5]隊兌{～水，～現}			
tʰ	[1]推梯[3]腿[3]唾{～口水}			
l	[2]揉雷鐳擂{研磨}[3]累{積～}蕊[5]類{四～}淚累{連～；極困}			
ts	[1]錐[3]水[5]綴醉贅{招～}			
tsʰ	[1]炊{野～}催崔{姓}[3]翠粹{純～}[5]脆喙{嘴}			
s	[1]雖[2]垂{～直}隨{～便}[3]碎[5]瑞隧{～道}穗			
k	[1]幾{～個}圭閨{～女}歸龜規[3]軌鬼貴詭{～計}[5]桂季櫃跪			
kʰ	[1]盔虧開[2]魁逵{李～}葵[3]潰			
h	[1]非{是～}飛{名詞}妃揮{指～}輝徽{校～，安～}[3]匪肺費{～用}血[5]危費{浪～}			
∅	[1]微{～風}威[2]偽葦{蘆～}偉維{纖～}圍違{～犯}[3]委緯挖[5]魏位為{作～；～什麼}胃畏尉謂{無所～}			
#au				
p	[1]褒{～獎}包胞[2]雹[5]豹鮑{姓，魚名}			
pʰ	[1]拋刨[2]袍[3]跑[5]炮泡{動名詞一樣}			
t	[1]叨{嘮～}[2]投[3]罩[5]豆			
tʰ	[1]偷[2]頭逃淘[3]透{濕～，～明}			
l	[2]勞牢劉留流樓老{～人}[5]漏老{很～}鬧{～鐘，熱～}落烙			
ts	[1]澡糟{酒～，～糕}贓{不乾淨}[3]蚤走{跑}[5]躁灶			
tsʰ	[1]糙{粗～，～米}抄鈔{～票}操{做～}[3]草[5]臭			
s	[1]騷臊[5]嗽{咳～}掃{～地，～帚}			
k	[1]交鉤搞郊勾{打～}溝[2]猴[3]九狗[5]狡夠教{～育}厚較校{～對}遘{到}			
kʰ	[1]摳[5]叩扣{～東西}哭			
h	[2]豪壕[5]孝效酵浩校{學～，上～}□{傴僂著背，～背}			
∅	[1]坳[2]喉[5]奧後{～面}			
#eu				
p	[1]膘彪[3]表			
pʰ	[5]票漂{動詞}			
b	[2]謀[5]廟茂貿謬			
t	[1]著{對}[3]鬥{一～米}[5]抖鬥{～地主}趙兆{～頭}釣著{困～}			
tʰ	[3]妥{話～}[5]糶{買糧食}			
l	[5]廖尿			
ts	[1]召蕉{香～}椒石[3]照少{多～}[5]借奏			
tsʰ	[2]蓆{睡覺用}[5]笑湊{～數}尺			
s	[1]燒[5]惜			
dz	[2]柔{～軟}			
k	[2]茄僑蕎[5]叫轎{～車，坐～}構{結～}購			
kʰ	[1]渴[3]口[5]揀{拾取}挈{拾，～起來}寇			
ɡ	[3]藕偶{配～，～然}			
h	[1]賀箬{葉}荷{薄～}[2]侯[3]否{～則}[5]歇候后{皇～}			
∅	[1]藥[2]搖舀[5]耀			
#iu				
t	[2]綢[5]籌{～備}粙{稻}宙			
tʰ	[1]抽[3]醜{不好看}丑帚儲{～藏}			
l	[1]溜餾{蒸～}[2]榴硫柳[3]紐{紐扣}			
ts	[1]鬚{鬍～}稠{～密}鄒組約周舟州洲[3]酒[5]驟就紂{～王}			
tsʰ	[1]秋[3]帚手[5]袖樹			
s	[1]搜收修[2]愁泅仇{姓}酬[3]首守[5]秀繡獸壽授巢受售			
k	[1]鬮糾{～紛，～正}[2]囚求球[5]救究{～竟，研～}			
kʰ	[2]□{皺}[3]□{拉，～人}			
h	[1]休[2]裘			
∅	[1]優憂悠幽[2]尤由油遊郵猶[3]友[5]誘又釉右祐幼			
#ua				
p	[1]跋{跌}簸{～箕}[5]簸{動詞}撥			
pʰ	[5]破剖叛潑劈			
b	[1]抹磨{～刀}[2]磨{～豆子}扮			
t	[3]帶[5]大{～樹}戴{訓“帶”}帶			
tʰ	[1]拖			
l	[1]捋{～袖}辣捉			
ts	[2]蛇[3]紙			
tsʰ	[3]蔡[5]顫{抖}			
s	[1]沙紗{～布}			
k	[1]歌[3]蓋{名詞}寡[5]卦{八～，算～}割掛刮			
kʰ	[1]誇夸[5]跨垮{沖～}寬{白}闊			
ɡ	[3]我			
h	[2]華[3]化[5]喊			
∅	[1]活窪{田陷的地方}蛙畦[3]瓦倚{“靠”牆}[5]外			
#ia				
p	[3]逼[5]壁			
pʰ	[5]避{～路}僻{偏～}			
t	[3]德			
tʰ	[5]撕			
l	[1]抓{訓，～一把}搦掠捉{訓}			
ts	[1]遮食{吃}[3]者址[5]蔗隻			
tsʰ	[1]車{馬～}餘[2]斜[3]側測洽[5]赤{～腳，～膊}			
s	[1]賒[2]峽[3]寫色[5]瀉泄卸謝舍社射			
k	[5]寄			
kʰ	[5]騎徛{立}			
ɡ	[2]鵝衙涯崖{石～}			
h	[1]蠍瓠{訓}靴[2]邪[5]蟻或			
∅	[1]頁{一～}鴉[3]很{訓}野憶億[5]椰夜			
#iau				
p	[1]標			
pʰ	[1]飄[2]瓢			
b	[2]苗			
t	[1]刁{狡猾}雕貂[2]調{～停}條{一～}沼{～氣}朝{～代}潮{返～}盛{～滿了，～不起}[5]掉{～頭}調{～動}吊條{～件}			
tʰ	[1]挑{～擔，～選}[5]跳柱			
l	[1]了{～結}[2]聊遼療[5]料			
ts	[1]昭招[3]鳥餃{～子}[5]詔{下～}			
tsʰ	[1]超悄[3]鞘{刀～}			
s	[1]蕭簫囂{～張}少{～年}消{～腫，大水退去}宵硝銷{～貨，插～}削[2]韶{～關}[5]邵{～武}紹數{動詞}			
k	[1]驕嬌[2]喬僑[3]徼{～費}[5]竅{一～不通}			
kʰ	[1]巧			
h	[3]淆{混～}僥曉{～得}			
∅	[1]枵{餓}妖邀腰要{～求}[2]謠窯姚堯			
#uai				
s	[5]帥率{～領}蟀{蟋～}			
k	[1]乖[3]拐[5]怪			
h	[2]懷槐淮			
∅	[1]歪			
#ə̃				
m	[2]痳[5]罵			
n	[5]捺			
#ẽ				
m	[1]襪[2]糜{粥}迷謎[5]妹			
#ɛ̃				
m	[1]脈			
#ĩ				
m	[2]靡彌			
n	[1]奶{吃～，乳房}[2]尼泥[3]擬			
#ɔ̃				
m	[1]膜摸[2]茅錨魔摩{按～}矛無[3]某{俗，妻}[5]摩{～擦}模{～子，～範}摹{～仿}貌{相～}			
ŋ	[2]蛾[5]傲			
#ãi				
n	[5]奈耐{～心，～用}			
#oĩ				
m	[3]買[5]賣			
#iã				
p	[3]柄餅[5]拼{～打}			
m	[2]名			
t	[3]鼎{鍋}			
tʰ	[1]聽{～話，～寫}廳{～堂，客～}[5]痛疼{訓}			
l	[3]領{衫～}嶺{上～，上甘～}			
ts	[5]正{～月}			
tsʰ	[3]鏟{訓}鍬{訓}且			
s	[1]聲{有～，～氣}[2]城			
k	[1]京驚[5]件			
h	[1]兄			
∅	[2]贏			
#uã				
p	[1]搬般[2]盤碟{盛器}[5]半拌			
