字	源	拼	IPA		覈校：到格拉夫
阿	客英字典	a1	a1		陰平1
阿	客英字典	o1	o1		陽平2
嗄	客英字典	sa5	sa5		上聲3
啊	客英字典	o1	o1		去聲5
哎	客英字典	ngiai5	ŋiai5		陰入7
哎	客英字典	ai1	ai1		陽入8
哀	客英字典	oi1	oi1		
埃	客英字典	ai1	ai1		
埃	客英字典	iai1	iai1		
挨	客英字典	ai1	ai1		
唉	客英字典	ai1	ai1		
欸	客英字典	ai1	ai1		
捱	客英字典	ngai2	ŋai2		
啀	客英字典	ngai2	ŋai2		
凒	客英字典	ki2	kʰi2		
溰	客英字典	ki2	kʰi2		
皚	客英字典	ngoi2	ŋoi2		
毐	客英字典	ai3	ai3		
矮	客英字典	ai3	ai3		
矮	客英字典	e3	e3		
躷	客英字典	ai3	ai3		
藹	客英字典	ai5	ai5		
靄	客英字典	ai5	ai5		
艾	客英字典	ngioi1	ŋioi1		
艾	客英字典	ngai5	ŋai5		
艾	客英字典	nge5	ŋe5		
艾	客英字典	ngie5	ŋie5		
隘	客英字典	ai5	ai5		
嗌	客英字典	id7	it7		
愛	客英字典	oi5	oi5		
僾	客英字典	oi5	oi5		
壒	客英字典	ai5	ai5		
鴱	客英字典	ngai5	ŋai5		
薆	客英字典	oi5	oi5		
噯	客英字典	oi5	oi5		
曖	客英字典	oi5	oi5		
瞹	客英字典	oi5	oi5		
礙	客英字典	ngoi5	ŋoi5		
譺	客英字典	ngi3	ŋi3		
安	客英字典	on1	on1		
庵	客英字典	am1	am1		
腤	客英字典	am1	am1		
鞍	客英字典	on1	on1		
盦	客英字典	am1	am1		
諳	客英字典	am1	am1		
闇	客英字典	am5	am5		
鵪	客英字典	am1	am1		
鵪	客英字典	em1	em1		
雸	客英字典	gam1	kam1		
俺	客英字典	iam3	iam3		
埯	客英字典	iam3	iam3		
唵	客英字典	in2	in2		
揞	客英字典	am3	am3		
揞	客英字典	em1	em1		
晻	客英字典	iam3	iam3		
犴	客英字典	gon1	kon1		
岸	客英字典	ngan5	ŋan5		
按	客英字典	on5	on5		
豻	客英字典	gon1	kon1		
胺	客英字典	od7	ot7		
案	客英字典	on5	on5		
婩	客英字典	ngan5	ŋan5		
暗	客英字典	am5	am5		
儑	客英字典	ngam2	ŋam2		
黯	客英字典	am5	am5		
骯	客英字典	hong3	hoŋ3		
骯	客英字典	kong5	kʰoŋ5		
骯	客英字典	kong3	kʰoŋ3		
卬	客英字典	ngong1	ŋoŋ1		
枊	客英字典	ngong5	ŋoŋ5		
昂	客英字典	ngong1	ŋoŋ1		
昻	客英字典	ngong1	ŋoŋ1		
盎	客英字典	ong5	oŋ5		
凹	客英字典	au5	au5		
爊	客英字典	biau1	piau1		
敖	客英字典	ngau2	ŋau2		
遨	客英字典	ngau2	ŋau2		
嗷	客英字典	ngau2	ŋau2		
廒	客英字典	ngau2	ŋau2		
璈	客英字典	ngau2	ŋau2		
獒	客英字典	ngau2	ŋau2		
熬	客英字典	ngau2	ŋau2		
磝	客英字典	ngau2	ŋau2		
聱	客英字典	ngau2	ŋau2		
螯	客英字典	ngau2	ŋau2		
謷	客英字典	ngau2	ŋau2		
鏖	客英字典	piau1	pʰiau1		
鏖	客英字典	au1	au1		
鷔	客英字典	chid7	tʃʰit7		
鷔	客英字典	ngau2	ŋau2		
鰲	客英字典	ngau2	ŋau2		
鼇	客英字典	ngau2	ŋau2		
芺	客英字典	iau3	iau3		
媼	客英字典	vun3	vun3		
襖	客英字典	au3	au3		
抝	客英字典	au3	au3		
抝	客英字典	au5	au5		
坳	客英字典	au1	au1		
拗	客英字典	au3	au3		
拗	客英字典	au5	au5		
奡	客英字典	ngau5	ŋau5		
傲	客英字典	ngau5	ŋau5		
奥	客英字典	au5	au5		
奧	客英字典	au5	au5		
隩	客英字典	au5	au5		
隩	客英字典	iug7	iuk7		
擙	客英字典	au3	au3		
薁	客英字典	iug7	iuk7		
嶴	客英字典	au5	au5		
澳	客英字典	au5	au5		
澳	客英字典	iug7	iuk7		
懊	客英字典	au3	au3		
鏊	客英字典	ngau2	ŋau2		
鏊	客英字典	ngau5	ŋau5		
驁	客英字典	ngau2	ŋau2		
八	客英字典	bad7	pat7		
巴	客英字典	ba1	pa1		
扒	客英字典	bai5	pai5		
扒	客英字典	bad7	pat7		
叭	客英字典	ba5	pa5		
叭	客英字典	pad8	pʰat8		
朳	客英字典	bad7	pat7		
芭	客英字典	ba1	pa1		
疤	客英字典	ba1	pa1		
捌	客英字典	bad7	pat7		
蚆	客英字典	ba1	pa1		
哵	客英字典	bad7	pat7		
哵	客英字典	pad8	pʰat8		
笆	客英字典	ba1	pa1		
羓	客英字典	ba1	pa1		
豝	客英字典	ba1	pa1		
犮	客英字典	pad8	pʰat8		
叐	客英字典	pad8	pʰat8		
拔	客英字典	pad8	pʰat8		
茇	客英字典	pad8	pʰat8		
妭	客英字典	pad8	pʰat8		
胈	客英字典	pad8	pʰat8		
菝	客英字典	pad8	pʰat8		
軷	客英字典	pad8	pʰat8		
跋	客英字典	pad8	pʰat8		
魃	客英字典	pad8	pʰat8		
鼥	客英字典	pad8	pʰat8		
把	客英字典	ba3	pa3		
靶	客英字典	ba3	pa3		
弝	客英字典	ba5	pa5		
爸	客英字典	ba1	pa1		
耙	客英字典	pa2	pʰa2		
垻	客英字典	ba5	pa5		
罷	客英字典	pa5	pʰa5		
霸	客英字典	ba5	pa5		
壩	客英字典	ba5	pa5		
灞	客英字典	ba5	pa5		
欛	客英字典	ba5	pa5		
吧	客英字典	ba1	pa1		
白	客英字典	pag8	pʰak8		
百	客英字典	bag7	pak7		
佰	客英字典	bag7	pak7		
柏	客英字典	bag7	pak7		
栢	客英字典	bag7	pak7		
捭	客英字典	pai2	pʰai2		
捭	客英字典	bag7	pak7		
擺	客英字典	bai3	pai3		
拜	客英字典	bai5	pai5		
敗	客英字典	pai5	pʰai5		
稗	客英字典	pai5	pʰai5		
粺	客英字典	pai5	pʰai5		
韛	客英字典	pai5	pʰai5		
扳	客英字典	ban1	pan1		
攽	客英字典	ban1	pan1		
攽	客英字典	bin1	pin1		
班	客英字典	ban1	pan1		
般	客英字典	ban1	pan1		
斑	客英字典	ban1	pan1		
搬	客英字典	ban1	pan1		
頒	客英字典	ban1	pan1		
斒	客英字典	ban1	pan1		
瘢	客英字典	ban1	pan1		
阪	客英字典	fan3	fan3		
坂	客英字典	fan3	fan3		
板	客英字典	ban3	pan3		
瓪	客英字典	ban3	pan3		
昄	客英字典	ban3	pan3		
版	客英字典	ban3	pan3		
覂	客英字典	fung3	fuŋ3		
粄	客英字典	ban3	pan3		
半	客英字典	ban5	pan5		
扮	客英字典	ban5	pan5		
伴	客英字典	pan1	pʰan1		
伴	客英字典	pan5	pʰan5		
拌	客英字典	pan5	pʰan5		
姅	客英字典	ban5	pan5		
湴	客英字典	pan5	pʰan5		
絆	客英字典	ban5	pan5		
靽	客英字典	ban5	pan5		
辦	客英字典	pan5	pʰan5		
瓣	客英字典	pan5	pʰan5		
邦	客英字典	bang1	paŋ1		
帮	客英字典	bong1	poŋ1		
垹	客英字典	bong1	poŋ1		
梆	客英字典	bong1	poŋ1		
浜	客英字典	bin1	pin1		
幇	客英字典	bong1	poŋ1		
幚	客英字典	bong1	poŋ1		
幫	客英字典	bong1	poŋ1		
鞤	客英字典	bong1	poŋ1		
綁	客英字典	bong3	poŋ3		
榜	客英字典	bong3	poŋ3		
牓	客英字典	bong3	poŋ3		
膀	客英字典	pong2	pʰoŋ2		
蚌	客英字典	pong1	pʰoŋ1		
蚌	客英字典	pong3	pʰoŋ3		
棒	客英字典	pong3	pʰoŋ3		
棓	客英字典	pui5	pʰui5		
傍	客英字典	pong2	pʰoŋ2		
傍	客英字典	pong3	pʰoŋ3		
搒	客英字典	bong3	poŋ3		
蒡	客英字典	pong2	pʰoŋ2		
磅	客英字典	pong2	pʰoŋ2		
磅	客英字典	bong1	poŋ1		
磅	客英字典	pong5	pʰoŋ5		
艕	客英字典	bong3	poŋ3		
縍	客英字典	bong3	poŋ3		
謗	客英字典	bong3	poŋ3		
鎊	客英字典	pong2	pʰoŋ2		
勹	客英字典	bau1	pau1		
包	客英字典	bau1	pau1		
苞	客英字典	bau1	pau1		
枹	客英字典	fu1	fu1		
胞	客英字典	bau1	pau1		
煲	客英字典	bau1	pau1		
褒	客英字典	bau1	pau1		
襃	客英字典	bau1	pau1		
襃	客英字典	iu5	iu5		
襃	客英字典	ciu5	tsʰiu5		
齙	客英字典	pau2	pʰau2		
雹	客英字典	pog8	pʰok8		
薄	客英字典	pog8	pʰok8		
宀	客英字典	men2	men2		
宀	客英字典	mien2	mien2		
宝	客英字典	bau3	pau3		
宝	客英字典	bo3	po3		
保	客英字典	bau3	pau3		
葆	客英字典	bau3	pau3		
堡	客英字典	bau3	pau3		
飽	客英字典	bau3	pau3		
褓	客英字典	bau3	pau3		
鴇	客英字典	bau3	pau3		
鴇	客英字典	bo3	po3		
緥	客英字典	bau3	pau3		
寶	客英字典	bau3	pau3		
寶	客英字典	bo3	po3		
勽	客英字典	pau5	pʰau5		
抱	客英字典	pau5	pʰau5		
趵	客英字典	bog7	pok7		
