#备注：《湖南通道本地话》 彭建国							
#调值	[1]45 [2]13 [3]33 [4]11 [5]44 [6]22						
#符号说明：&西官借词							
#ɿ							
p	[1]□{~牙：龅牙}□{量词，一~泥：一团泥}[5]贝[6]□{姑娘}						
m	[1]□{体弱，累}[2]梅[3]□{背负}[4]每美						
f	[1]非挥辉徽[3]匪毁[5]费废肺{~癌}						
t	[2]台苔抬[3]歹{~火子：刺毛虫，刺蛾的幼虫，生活在叶面上，多毛且易蜇人}[6]袋						
tʰ	[1]胎						
n	[5]□{~意：居然}[6]□{雌的}内耐						
l	[2]来[4]垒[6]泪						
ts	[1]栽灾[2]才材财裁随[3]嘴[5]最再[6]在						
tsʰ	[5]菜蔡						
s	[1]腮鳃[5]瑞						
k	[1]该[3]改[5]箇{这}盖丐						
kʰ	[1]开[3]□{男阴}						
ħ	[1]咍{玩、高兴。《广韵》咍韵：笑也，呼来切}[3]海[4]□{~茄子：西红柿}[6]害						
Ø	[5]爱						
#uei							
k	[1]规[2]逵[5]桂{文，~皮}贵{文，~州}癸						
Ø	[2]危围{文，~墙}为{作~}[3]委[4]伟[5]未[6]卫胃{~病}						
#au							
p	[1]胞[2]袍刨庖{~汤}[3]保宝堡[6]菢抱						
pʰ	[1]抛泡{蚕虫~：桑葚}[3]跑{~鞋}						
m	[1]猫□{~名：末名}[2]毛茅矛[5]□{肺}[6]冒帽貌						
t	[1]刀[2]桃逃陶绹[3]岛倒{打~}导[5]倒{~水}到[6]稻道盗						
tʰ	[1]涛滔[3]讨[5]套						
l	[1]捞{拿}□{讲白~：开玩笑}□{前加成分，~粗的：非常粗}[2]劳捞{~起}牢痨[4]老佬脑[6]闹						
ts	[1]糟遭嘈{声音响亮}[2]槽曹䐬[3]早枣蚤澡爪[5]灶躁罩[6]造皂						
tsʰ	[1]操抄钞[3]草騲{~猪：未下过崽的母猪。《广韵》皓韵：牝马日驊，采老切}炒吵[5]糙						
s	[1]骚筲捎梢臊艄𢔳{~家：串门儿。《集韵》豪韵：缓行貌，苏遭切}[3]嫂扫{~杆：扫帚}[5]扫{~地}						
ȶ	[5]觉{卧~：睡觉}						
ȶʰ	[5]□{连词：和}						
k	[1]高糕篙[3]稿搞[5]窖叫{~化子}告						
kʰ	[1]敲□{~tɕiei⁴⁴：旺鸡蛋，即鸡胚发育停止，死在蛋壳内尚未成熟的小鸡}[3]考烤[5]靠铐						
