						到格拉夫覈校，2022年3月更新
吖	客法辭典	a1	a1			陰平1
阿	客法辭典	a1	a1			陽平2
阿	客法辭典	a5	a5			上聲3
阿	客法辭典	o1	o1			去聲5
嗄	客法辭典	sa5	sa5			陰入7
啊	客法辭典	o1	o1			陽入8
哀	客法辭典	oi1	oi1			
埃	客法辭典	ai1	ai1			
挨	客法辭典	ai1	ai1			
挨	客法辭典	iai1	iai1			
唉	客法辭典	ai1	ai1			
唉	客法辭典	oi1	oi1			
欸	客法辭典	ai1	ai1			
捱	客法辭典	ngai5	ŋai5			
捱	客法辭典	ai1	ai1			
啀	客法辭典	ngai2	ŋai2			
凒	客法辭典	ki2	kʰi2			
溰	客法辭典	ki2	kʰi2			
毐	客法辭典	ai1	ai1			
矮	客法辭典	ai3	ai3			
濭	客法辭典	ai5	ai5			
藹	客法辭典	ai5	ai5			
靄	客法辭典	ai5	ai5			
艾	客法辭典	nje5	ȵe5			
艾	客法辭典	njiai5	ȵiai5			
隘	客法辭典	ai5	ai5			
嗌	客法辭典	id7	it7			
愛	客法辭典	oi5	oi5			
僾	客法辭典	oi5	oi5			
壒	客法辭典	ai5	ai5			
薆	客法辭典	oi5	oi5			
噯	客法辭典	oi5	oi5			
曖	客法辭典	oi5	oi5			
礙	客法辭典	ngoi3	ŋoi3			
譺	客法辭典	nji3	ȵi3			
安	客法辭典	on1	on1			
侒	客法辭典	on1	on1			
桉	客法辭典	on5	on5			
庵	客法辭典	am1	am1			
鞍	客法辭典	on1	on1			
諳	客法辭典	am1	am1			
闇	客法辭典	am5	am5			
鵪	客法辭典	em1	em1			
雸	客法辭典	gam1	kam1			
俺	客法辭典	iam3	iam3			
埯	客法辭典	iam3	iam3			
唵	客法辭典	iam3	iam3			
揞	客法辭典	em1	em1			
揞	客法辭典	am1	am1			
晻	客法辭典	iam3	iam3			
犴	客法辭典	gon1	kon1			
岸	客法辭典	ngan3	ŋan3			
按	客法辭典	on5	on5			
豻	客法辭典	gon1	kon1			
案	客法辭典	on5	on5			
暗	客法辭典	am5	am5			
暗	客法辭典	em3	em3			
黯	客法辭典	am5	am5			
骯	客法辭典	ang1	aŋ1			
卬	客法辭典	ngong1	ŋoŋ1			
昂	客法辭典	ngong1	ŋoŋ1			
盎	客法辭典	ong5	oŋ5			
醠	客法辭典	ong1	oŋ1			
凹	客法辭典	au1	au1			
凹	客法辭典	au5	au5			
爊	客法辭典	piau1	pʰiau1			
爊	客法辭典	au1	au1			
敖	客法辭典	ngau2	ŋau2			
遨	客法辭典	ngau2	ŋau2			
嗷	客法辭典	ngau2	ŋau2			
廒	客法辭典	ngau2	ŋau2			
璈	客法辭典	ngau2	ŋau2			
獒	客法辭典	ngau2	ŋau2			
摮	客法辭典	ngau5	ŋau5			
熬	客法辭典	ngau2	ŋau2			
聱	客法辭典	ngau2	ŋau2			
螯	客法辭典	ngau2	ŋau2			
翱	客法辭典	ngau2	ŋau2			
謷	客法辭典	ngau2	ŋau2			
鏖	客法辭典	piau1	pʰiau1			
鏖	客法辭典	au1	au1			
鰲	客法辭典	ngau2	ŋau2			
鰲	客法辭典	ngo2	ŋo2			
鼇	客法辭典	ngau2	ŋau2			
媼	客法辭典	au3	au3			
襖	客法辭典	au3	au3			
坳	客法辭典	au1	au1			
拗	客法辭典	au3	au3			
拗	客法辭典	au5	au5			
拗	客法辭典	eu2	eu2			
傲	客法辭典	ngau5	ŋau5			
奧	客法辭典	au5	au5			
慠	客法辭典	ngau5	ŋau5			
隩	客法辭典	iug7	iuk7			
擙	客法辭典	au3	au3			
薁	客法辭典	iug7	iuk7			
澳	客法辭典	au5	au5			
懊	客法辭典	au3	au3			
驁	客法辭典	ngau2	ŋau2			
八	客法辭典	bad7	pat7			
巴	客法辭典	ba1	pa1			
扒	客法辭典	bai5	pai5			
叭	客法辭典	ba5	pa5			
朳	客法辭典	pa3	pʰa3			
朳	客法辭典	kua3	kʰua3			
芭	客法辭典	ba1	pa1			
疤	客法辭典	ba1	pa1			
捌	客法辭典	bad7	pat7			
蚆	客法辭典	ba1	pa1			
哵	客法辭典	bad7	pat7			
笆	客法辭典	ba1	pa1			
羓	客法辭典	ba1	pa1			
犮	客法辭典	pad8	pʰat8			
坺	客法辭典	fad8	fat8			
拔	客法辭典	pad8	pʰat8			
茇	客法辭典	pad8	pʰat8			
妭	客法辭典	pad8	pʰat8			
胈	客法辭典	pad8	pʰat8			
菝	客法辭典	pad8	pʰat8			
軷	客法辭典	pad8	pʰat8			
跋	客法辭典	pad8	pʰat8			
魃	客法辭典	pad8	pʰat8			
墢	客法辭典	fad8	fat8			
把	客法辭典	ba2	pa2			
把	客法辭典	ba3	pa3			
靶	客法辭典	ba3	pa3			
弝	客法辭典	ba5	pa5			
爸	客法辭典	ba1	pa1			
耙	客法辭典	pa2	pʰa2			
垻	客法辭典	ba5	pa5			
罷	客法辭典	pa5	pʰa5			
覇	客法辭典	ba5	pa5			
霸	客法辭典	ba5	pa5			
壩	客法辭典	ba5	pa5			
欛	客法辭典	ba5	pa5			
吧	客法辭典	ba1	pa1			
白	客法辭典	pag8	pʰak8			
百	客法辭典	bag7	pak7			
柏	客法辭典	bag7	pak7			
栢	客法辭典	bag7	pak7			
捭	客法辭典	pai2	pʰai2			
擺	客法辭典	bai1	pai1			
擺	客法辭典	bai3	pai3			
拜	客法辭典	bai5	pai5			
敗	客法辭典	pai5	pʰai5			
稗	客法辭典	kuai5	kʰuai5			
稗	客法辭典	pai5	pʰai5			
粺	客法辭典	pai5	pʰai5			
扳	客法辭典	ban1	pan1			
班	客法辭典	ban1	pan1			
般	客法辭典	ban1	pan1			
斑	客法辭典	ban1	pan1			
搬	客法辭典	ban1	pan1			
頒	客法辭典	ban1	pan1			
斒	客法辭典	ban1	pan1			
瘢	客法辭典	ban1	pan1			
阪	客法辭典	fan3	fan3			
坂	客法辭典	fan3	fan3			
板	客法辭典	ban3	pan3			
瓪	客法辭典	ban3	pan3			
昄	客法辭典	ban3	pan3			
版	客法辭典	ban3	pan3			
粄	客法辭典	ban3	pan3			
半	客法辭典	ban5	pan5			
扮	客法辭典	ban5	pan5			
伴	客法辭典	pan3	pʰan3			
伴	客法辭典	pan1	pʰan1			
拌	客法辭典	pan1	pʰan1			
拌	客法辭典	pan2	pʰan2			
絆	客法辭典	ban5	pan5			
絆	客法辭典	pan5	pʰan5			
辦	客法辭典	pan5	pʰan5			
瓣	客法辭典	pan5	pʰan5			
邦	客法辭典	bang1	paŋ1			
帮	客法辭典	bong3	poŋ3			
帮	客法辭典	bong1	poŋ1			
垹	客法辭典	bong1	poŋ1			
梆	客法辭典	bog8	pok8			
梆	客法辭典	bong1	poŋ1			
浜	客法辭典	bin1	pin1			
幇	客法辭典	bong1	poŋ1			
幫	客法辭典	bong1	poŋ1			
鞤	客法辭典	bong1	poŋ1			
綁	客法辭典	bong3	poŋ3			
榜	客法辭典	bong3	poŋ3			
牓	客法辭典	bong3	poŋ3			
