#调值	［1］312［2］35［3］452［5］55［7］13
#ɿ	
pʰ	[1]抛脬泡[2]袍刨[3]跑[5]泡炮
m	[2]毛锚猫[3]卯茆铆[5]冒帽
t	[1]刀叨[3]倒捣岛[5]到道稻倒
tʰ	[1]掏滔[2]陶桃逃淘[3]讨[5]套
n	[1]孬[2]挠[3]恼脑[5]闹
l	[1]捞{~草：从水或液体捞取}[2]劳牢[3]老[5]涝捞{~害：厉害}
ts	[1]遭糟[3]早枣[5]造燥躁
tsʰ	[1]操噪[2]曹槽[3]草[5]造操{~人：作弄人；~蛋：捣乱}
s	[1]臊搔骚[2]扫[3]扫嫂[5]臊{害~}
tʂ	[1]招昭朝[3]找爪{蹄~}[5]赵照罩棹
tʂʰ	[1]抄超耖[2]朝潮巢[3]炒吵[5]钞{~票}
ʂ	[1]烧稍捎[2]韶绍[3]少[5]哨邵少
ʐ	[2]饶[3]扰绕{~线}[5]绕{~道}
k	[1]高羔糕膏[3]搞稿膏{~药}搅{~饭：用勺搅动稀饭}[5]告诰
kʰ	[1]敲{~门：叩门}[3]考烤拷[5]犒靠铐
x	[1]薅蒿[2]豪毫号{~哭：大声哭喊}[3]好[5]好{爱~}浩号皓耗
	[1]凹熬{~菜：烧煮菜}懊[2]鳌熬[3]袄懊{~悔}[5]拗傲
#iɔo	
p	[1]标彪膘[3]表裱婊[5]鳔摽
pʰ	[1]飘[2]嫖瓢[3]瞟[5]票{~子：钞票}漂
m	[2]苗描[3]秒渺[5]庙妙
t	[1]刁叼凋雕[3]鸟{~货：骂人话}[5]吊掉调
tʰ	[1]挑佻[2]条调[3]挑{~拨}[5]跳眺
n	[3]鸟袅[5]尿{~素}
l	[2]僚疗撩[3]了燎[5]料撂
tɕ	[1]交浇胶郊焦[3]绞铰饺搅[5]叫教窖
tɕʰ	[1]劁锹跷[2]乔桥瞧[3]巧[5]俏峭翘窍
ɕ	[1]消销[2]淆[3]小晓[5]笑效孝
	[1]要妖腰[2]尧摇谣[3]咬舀[5]耀要
#ɛ	
p	[1]掰[3]摆[5]拜败
pʰ	[5]派
m	[2]埋[3]买[5]卖迈
t	[1]呆[3]歹逮[5]代带戴待贷怠在再
tʰ	[1]胎苔[2]抬台[5]太态汰
n	[1]奶[3]乃奶{~~：祖母}
l	[2]来[5]赖癞
ts	[1]栽灾[3]载宰{~人：杀人}[5]在再载
tsʰ	[1]猜[2]才材财裁[3]彩睬采[5]菜蔡
s	[1]腮锶[5]赛
tʂ	[1]斋[5]寨债
tʂʰ	[1]差钗[2]柴[3]踩
ʂ	[1]筛[5]晒
k	[1]该赅垓[3]改[5]盖概
kʰ	[1]开[3]凯楷[5]开{~艰：躲避困难，不出力}
x	[1]咍[2]孩还[3]海嗨[5]亥害
	[1]挨哀[2]呆{~板}挨{~打}[3]矮嗳[5]艾爱
#iɛ	
tɕ	[1]阶秸嗟街皆[3]解[5]介界诫解届
tɕʰ	[3]惬
ɕ	[2]谐偕鞋[5]懈解
#uɛ	
tʂ	[3]跩[5]拽
tʂʰ	[1]揣搋{~面}[3]揣{~度}[5]踹{~碓：脚踩碓春粮食}
ʂ	[1]摔[3]甩[5]帅
k	[1]乖掴[3]拐[5]怪{~人：埋怨别人}[5]□{~粪箕：肩背粪箕}
kʰ	[3]蒯㧟{~痒痒}[5]快块筷
x	[2]怀槐[5]坏
	[1]歪[2]蛙{~子：青蛙}□{屁股着地向前挪动或原地乱转}[5]外
#əi	
p	[1]屄杯卑碑悲背[2](白)[5]倍贝备被臂背焙
pʰ	[1]撇{~嘴}[2]培赔陪裴[5]沛佩配
m	[2]眉梅媒煤枚[3]每美[5]妹昧
f	[1]飞非妃扉[2]肥[3]匪诽[5]肺废费痱吠
t	[1]堆爹[5]对队兑碓
tʰ	[1]推[2]颓[3]腿[5]退褪蜕
n	[3]馁[5]内
l	[1]勒[2]雷[3]累垒[5]泪类累
ts	[2]贼[3]嘴[5]最罪醉
tsʰ	[1]崔催摧[2]隋随{~你：随你的便}[5]脆翠瘁
s	[1]虽尿[2]随隋遂[3]繐[5]岁碎祟穗
ʂ	[2]谁
k	[2]给
kʰ	[2]尅
x	[5]嘿
	[1]呃[5]呃
#uəi	
tʂ	[1]追锥[5]坠缀赘惴
tʂʰ	[1]吹炊[2]垂槌锤
ʂ	[2]谁[3]水[5]税睡瑞
ʐ	[5]蕊
k	[1]归圭规闺龟[3]鬼轨诡[5]贵桂跪刽
kʰ	[1]亏窥盔岿[2]奎葵魁[5]愧溃馈
x	[1]灰恢挥徽[2]回蛔[3]悔毁[5]会讳诲惠慧
	[1]威煨偎[2]为圩违围[3]尾委[5]卫为位味胃
#əu	
f	[3]否
t	[1]都丢[3]斗陡抖蚪[5]斗豆窦
tʰ	[1]偷[2]头投[5]透
n	[3]扭忸纽[5]谬
l	[1]搂溜[2]楼刘流[3]柳绺[5]漏陋露
ts	[1]邹[3]走[5]奏揍绉皱
tsʰ	[5]凑辏
s	[1]搜馊[3]叟擞
tʂ	[1]周舟州[3]肘帚[5]咒纣宙昼
tʂʰ	[1]抽[2]仇绸酬筹愁[3]丑[5]臭
ʂ	[1]收[3]手守首[5]受兽售绶
ʐ	[2]柔揉[5]肉
k	[1]勾沟钩[3]狗苟枸[5]够购垢构
kʰ	[1]抠[3]口[5]叩扣寇
x	[1]齁{~声：严重支气管炎，有喉鸡声}[2]侯喉猴[3]吼[5]厚后候
	[1]讴沤欧瓯[2]眍{~眼，生气地看人}[3]呕偶耦藕[5]怄{~气}沤
#iəu	
t	[1]丢
n	[1]妞[2]牛[3]忸扭[5]拗{执~：固执}
l	[1]溜{~圆：很圆}[2]刘流[3]柳绺[5]六遛馏
tɕ	[1]纠揪究鸠赳[3]九久玖韭酒灸[5]旧咎就
tɕʰ	[1]邱秋丘蚯鳅[2]求球囚泅酋[3]朽{木头~了：木头烂了}
ɕ	[1]休修羞[5]秀袖嗅锈
	[1]优幽忧[2]尤由油游[3]友有酉[5]右幼釉又柚
#ã	
p	[1]班斑扳颁[3]板版坂[5]办扮绊瓣
pʰ	[1]攀[2]盘{屁~}[3]坂{上~}[5]盼袢
m	[2]蛮[3]嫚{老~子：妻，老年妇女，古字写作“姏”}姏{老~子：妻，老年妇女，俗写作“嫚”}[5]曼慢漫
f	[1]帆番翻蕃幡[2]凡烦繁矾樊[3]反返[5]范犯泛贩饭
t	[1]担单耽[3]胆掸疸[5]淡担{~子}
tʰ	[1]贪滩摊坍[2]坛谈弹潭郯[3]忐坦袒毯[5]叹炭碳探
n	[2]男南难[3]赧[5]难{患~}
l	[2]兰拦婪岚[3]览揽缆[5]烂滥
ts	[1]簪[3]攒{~积：积累}[5]錾赞暂
tsʰ	[1]参餐[2]蚕惭残[3]惨[5]灿粲璨
s	[1]三叁[3]散伞馓[5]散
tʂ	[3]盏斩[5]栈站绽湛
tʂʰ	[1]掺搀[2]谗潺[3]铲谄[5]刬{一~：都是，一概}
ʂ	[1]山杉衫
k	[1]干甘杆肝竿[3]感敢杆赶[5]干淦
kʰ	[1]看堪勘[3]砍坎[5]看瞰
x	[1]酣憨鼾[2]含函寒韩[5]汉旱汗焊憾
	[1]安谙庵[3]揞{~粉：搽粉}[5]岸暗按案
#iã	
tɕ	[1]奸艰监间[3]茧趼拣碱简减锏柬[5]鉴涧间监槛舰谏
tɕʰ	[1]铅鹐[2]钳
ɕ	[2]咸闲衔娴[3]喊[5]陷限嵌苋{~菜}
	[1]淹[2]颜[3]眼[5]雁燕晏赝
#iɪ̃	
p	[1]边编[3]扁贬匾[5]变辨
pʰ	[1]偏篇[2]便{~宜}[5]骗
m	[2]棉眠[3]免勉冕[5]缅面
t	[1]掂颠[3]点典碘[5]店电
tʰ	[1]天添[2]田甜填[3]舔腆[5]掭{~笔：用毛笔在砚中沾墨，使笔锋圆润}
n	[2]粘年鲇[3]捻撵碾[5]念捻
l	[2]连联帘[3]敛脸[5]练恋炼
tɕ	[1]尖煎坚犍沾毡瞻[3]展搌捡检俭睑[5]剑件建见健键箭渐践贱荐占战颤
tɕʰ	[1]千迁阡钎牵[2]前钱虔掮黔乾挦缠蝉禅婵蟾[3]遣谴缱浅潜[5]欠堑歉倩纤
ɕ	[1]先仙鲜掀锨扇煽膻[2]嫌涎贤弦[3]险显燹蚬闪陕[5]现县宪献擅嬗善蟮膳缮单禅剡扇骟苫
	[1]烟咽胭焉嫣燕腌[2]言严延蜒筵阎炎研妍盐檐岩沿[3]演掩偃奄魇衍兖[5]燕砚宴焰堰彦谚艳厌咽砚验唁滟
#õ	
p	[1]搬般[5]半伴拌
pʰ	[1]潘[2]盘蟠[5]判叛
m	[2]瞒馒鞔[3]满[5]幔幕
t	[1]端[3]短断{~路：拦路抢劫}[5]断段锻
tʰ	[1]湍[2]团[5]唾
n	[3]暖
l	[2]銮栾峦拦{~住：迎头阻挡并抓住}[3]卵[5]乱
ts	[1]钻[3]纂赚{~人：骗人}[5]攥
tsʰ	[1]氽蹿[2]攒[5]窜篡
s	[1]酸[5]算蒜
tʂ	[1]专砖䏝颛[3]转[5]转传撰
tʂʰ	[1]川穿[2]传船椽[3]喘舛[5]串钏
ʂ	[3]阮软
k	[1]官冠观[3]管[5]贯灌观
kʰ	[1]宽[3]款
x	[1]欢[2]桓[3]缓[5]幻换患宦
	[1]剜[2]完[3]碗宛婉[5]玩{~器}
#uã	
k	[1]关鳏[5]惯掼
kʰ	[2]环{~腿，~头路}
x	[1]欢{撒~}[2]环还寰
	[1]弯湾[2]玩[3]晚挽软绾[5]万
tʂ	[5]赚
#iõ	
tɕ	[1]捐绢娟鹃涓[3]卷锩[5]卷眷倦圈
tɕʰ	[1]圈{~子}[2]全权拳泉蜷[3]畎绻[5]劝券
ɕ	[1]宣轩喧[2]玄旋舷悬[3]选癣[5]羡椬炫绚
	[1]冤渊鸳[2]元沅圆援袁[3]远[5]院愿怨苑
#ən	
p	[1]奔锛崩绷[3]本[5]笨泵
pʰ	[1]喷烹澎蓬[2]盆朋彭鹏蓬[3]捧[5](碰)喷
m	[1]蒙[2]门们扪萌盟[3]猛蜢檬[5]闷焖梦孟
f	[1]分吩纷丰风[2]坟汾焚冯逢[3]粉[5]份忿奋粪
t	[1]灯吨墩登蹲[3]等戥盹[5]邓凳澄屯
tʰ	[1]吞腾[2]疼誉藤屯[5]褪
n	[2]能[5]嫩
l	[1]愣抡[2]伦论轮沦[3]冷[5]论楞
ts	[1]争筝憎增遵樽[3]怎撙[5]赠挣
tsʰ	[1]村皴参{~差}[2]岑层曾[3]忖[5]蹭
s	[1]森孙[3]损笋榫
tʂ	[1]珍针贞真[3]诊疹枕[5]阵震振镇
tʂʰ	[1]嗔称撑[2]臣尘沉晨[3]碜逞{~能}骋[5]衬称趁剩
ʂ	[1]申伸身深[2]神绳[3]沈审婶[5]肾甚胜圣
ʐ	[1]扔[2]人壬任仁[3]忍仍[5]认任纫仞韧
k	[1]根跟庚耕[2]哏艮[3]耿梗颈[5]更亘
kʰ	[1]坑吭铿[3]肯垦恳啃[5]掯裉
x	[1]哼亨[2]痕恒衡[3]很狠[5]恨
	[1]恩[5]摁嗯
#iŋ	
p	[1]兵冰彬宾斌[3]丙柄秉禀[5]并病
pʰ	[1]乒拼姘[2]平评凭屏瓶[3]品[5]聘牝喷{~香}
m	[2]名明铭螟[3]闵敏抿泯闽
t	[1]丁叮疔盯钉仃酊[3]顶酊鼎[5]订定腚钉锭
tʰ	[1]听厅汀[2]廷亭停蜓[3]挺艇
n	[2]宁拧咛狞泞您[3]拧
l	[1]拎[2]伶玲聆凌绫菱灵龄铃棂翎零林淋麟鳞临邻[3]岭领凛廪凛廪令{一~纸}[5]另令吝蔺躏赁淋
tɕ	[1]京泾茎精晶今金津筋斤[3]井刭景憬警谨瑾紧锦尽仅[5]劲径净竞竟镜境进晋禁缙近尽
tɕʰ	[1]倾轻蜻青清氢卿亲钦侵[2]晴擎黥秦勤芹禽擒琴[3]顷请寝[5]庆磬罄沁吣
ɕ	[1]兴星猩心辛莘新欣芯馨[2]刑形行型荥寻[3]省醒擤{~鼻涕}[5]兴杏性幸信焮芯囟衅
	[1]英应婴鹦音因氤姻殷阴荫[2]迎营莹萤寅淫吟银垠[3]影颖引尹隐饮瘾蚓[5]映应硬印荫饮胤
#ɑŋ	
