	說明：-白讀，=文讀
#a	
p	[1]巴芭笆疤叭[2]爬平-坪-棚-麥-白-[3]把靶[5]霸壩柄-[6]罷爸伯-百-病-擘-{掰}
pʰ	[1]□{勻攤}[2]彭-澎-[5]怕帕[6]拍-{打}
m	[1]媽[2]麻冥-明-{～年}鋩[3]馬瑪[5]罵[6]脈{～路}
t	[1]𩨑{腳跟}靪{腳跟}丁-{現在}[2]澄-呈-宅-[3]打[5]□{用力排}[5]鄭-笮{壓}
tʰ	[1]他它她撐-{～船}[2]□{察看}□{林園}[5]牚-[6]澈{乾淨}
n	[1]□{如此}[2]拿[3]娜[5]捺[5]捏-
l	[1]拉垃[3]□{不聽話}[6]啦
ts	[1]渣吒查{調～}爭-{廝～}[3]井-[5]乍炸榨詐諍-[6]窄仄-{平～}績-{～麻繩}
tsʰ	[1]差青-[2]查茶[3]醒-[6]冊-{書}
ɬ	[1]沙砂莎鯊紗生-牲-鉎-[2]晴-[3]省-灑[5]姓-性-[6]暨{風～}傻□{浸泡}
k	[1]加家嘉茄佳經-{～布}更-[2]牙芽涯戛[3]假鯁-賈[5]架價屆稼駕[6]隔-
kʰ	[1]吭-咖[2]卡揩[3]咔[6]客-
ŋ	[3]雅[6]訝迓
h	[1]哈[2]霞瑕暇遐[3]嗄{表疑問}[6]下夏廈
∅	[1]阿丫鴉啊[2]桁-{檩}[3]啞[5]亞氨[6]啊{又}
#e	
p	[1]□{扁}[2]迷謎排-牌-𤖭[3]買-反-{翻}[5]閉蔽敝[6]幣賣-八-𣍐鱉弊
pʰ	[1]批[3]髀{片}[5]稗-片-{瓣}
m	[1]咩[2]拔-[6]乜{什麼}
t	[1]低爹[2]提堤題蹄[3]底抵砥㓠[5]帝店-[6]第地隸埭弟遞蒂橂{堅硬}
tʰ	[1]梯[2]摕{拿}啼[3]體[5]替涕締[6]貼-帖-
n	[1]妳[2]林-{姓}泥尼蓮-{～子}[3]奶-{娘～}
