#a		
∅	[8]□{眨眼}[10]□{張開翅膀扇動}	
#at		
p	[8]八[10]乏拔伐罰	
f	[8]法發髪	
t	[8]□{拍打}[10]達	
tʰ	[8]溻遢	
n	[8]□{用面枳較大的東西拍打}[10]捺	
I	[8]痢[10]辣	
h	[8]瞎	
tʃ	[8]紮劄	
tʃʰ	[8]擦察刷	
ʃ	[8]撒薩殺	
∅	[8]押壓軋	
#uat		
k	[8]刮	
∅	[8]挖[10]滑猾	
#ɐi		
p	[1]碑卑悲[2]皮疲脾琵枇[4]婢被	
pʰ	[1]批胚坯披丕	
m	[1]覓{白}米{一～}[2]迷謎糜彌靡眉楣媚微[4]美尾	
f	[1]非飛妃揮輝徽麾[2]肥{文}	
t	[1]低知[2]堤題提蹄啼[4]弟	
tʰ	[1]梯	
n	[1]泥{汗垢}[2]泥尼[4]你	
l	[1]璃[2]犁黎離籬梨厘狸[4]禮李裏里理	
k	[1]雞	
ŋ	[1]□{哀求}[2]桅危偽[6]邈	
h	[1]㞓{女陰}閪[6]系{中文～}	
tʃ	[1]擠劑[2]齊□{完蛋，死}[4]似	
tʃʰ	[1]妻棲	
ʃ	[1]西犀絲	
∅	[1]□{雞鴨等胃前臨時裝食物的食道囊}	
#iɐi		
∅	[2]□{不乖}	
#uɐi		
k	[1]圭閨龜歸[2]奎攜逵葵魁[4]□{用不正當的手段獲得}	
kʰ	[1]盔規虧窺	
∅	[1]威[2]為維惟遺唯違圍[4]衛偉葦緯胃蝟萎	
#ei		
p	[3]畀比[5]蔽敝麓閉算臂秘痹篦庇[6]被{～動}避備鼻	
pʰ	[3]彼鄙[5]屁	
m	[5]□{躲藏}寐[6]未味	
f	[3]毀匪翡[5]廢肺痱費	
t	[3]抵[5]帝[6]第遞地	
tʰ	[3]體[5]替涕剃	
n	[5]膩[6]溺	
l	[3]□{拔}[5]□{形容樹、木等很容易斷}[6]厲勵麗履利痢鯉吏荔隸	
k	[3]□{這個}[5]髻	
kʰ	[5]□{竹節、木節}	
tʃ	[3]姊[5]祭際櫬濟[6]字牸寺	
tʃʰ	[5]砌刺賜俟廁	
ʃ	[3]死[5]細婿四	
#iei		
∅	[3]□{抓住，扯緊}	
#uei		
k	[3]詭軌鬼[5]4厥桂季貴[6]跪櫃	
kʰ	[5]愧	
∅	[3]委喂{打招呼}[5]喂{～飯}畏慰[6]惠慧穢位謂諱	
#ɐu		
p	[1]□{差勁}[2]浮	
pʰ	[1]泡{燈～}	
m	[1]□{香酥}[2]謀[4]某畝	
t	[1]兜[2]頭投	
tʰ	[1]偷[3]敲	
n	[1]嬲{生氣，恨}	
l	[1]溜騮[2]樓流劉留榴硫琉餾[4]□{很假，很差勁}	
k	[1]鳩{男陰}	
kʰ	[1]溝摳□{端起、端著}	
ŋ	[1]勾鉤[2]牛[4]藕偶	
h	[1]□{盯著}[3]口	
tʃ	[1]鄒周舟州洲鳩{斑～}鬮[2]囚泅綢稠籌愁仇酬求球仇[4]受授舅	
tʃʰ	[1]秋抽搊	
ʃ	[1]修餿收	
∅	[1]歐甌[2]喉猴猴[3]嘔[4]後厚后	
#iɐu		
ȵ	[1]□{抓緊}[2]柔	
∅	[1]休憂優悠幽[2]尤郵由油遊猶柚	
#ou		
pʰ	[3]剖[5]□{水～，救生圈}	
m	[3]□{腐爛，腐朽}[6]茂貿謬	
f	[3]否	
t	[3]鬥{量詞}抖陡糾[5]竇{窩}鬥{動詞}逗[6]豆	
tʰ	[5]透	
n	[3]□{—鬥～：滿滿的一鬥或一碗}	
l	[3]□{攪拌}[6]漏陋	
k	[3]狗苟[5]彀夠	
kʰ	[5]叩構購扣寇	
tʃ	[3]走肘九久韭[5]奏紂晝宙驟咒灸咎救柩皺{文}縐[6]舊就袖壽售	
tʃʰ	[5]湊臭	
ʃ	[3]叟搜手首守[4]颼[5]嗽秀繡鏽瘦獸	
∅	[5]懊奧漚慪[5]候	
#iou		
ȵ	[4]□{抖動，跳動}[5]皺{白}[6]□{受潮}	
∅	[5]誘幼[6]又右佑	
#ɐm		
t	[1]□{鎖住，捆緊}[2]□{蓋著}[3]□{撞}[4]氹	
n	[1]□{量詞，個}[2]□{煮得很軟很爛}[4]□{亂攪}	
l	[1]□{癢}[2]林淋臨[3]檁{文}	
tʃ	[1]針斟今{白}金{白}[2]尋沉岑琴禽擒[3]枕錦	
tʃʰ	[1]侵襟[3]寢	
ʃ	[1]心參森深[3]沈瀋審嬸[5]滲[6]甚	
k	[1]今{文}金{文}	
kʰ	[1]□{結實，耐穿}[3]□{用網去蓋或捉}	
h	[1]勘堪[5]□{罵}	
∅	[1]庵揞[2]銜	
#iɐm		
ȵ	[2]吟淫	
∅	[1]欽音陰蔭[3]飲	
#ɐn		
p	[1]彬賓檳奔分{白}[2]貧頻焚墳豶[3]稟本[5]殯鬢[6]笨	
pʰ	[1]噴[3]品	
m	[1]蚊蚊[2]民門文紋聞[3]□{（鴨子）用嘴喝水}[4]閩憫敏吻刎	
f	[1]昏婚允芬紛熏勳薰葷[3]粉[4]奮{文}憤[6]份	
t	[1]敦墩頓{牛～}[2]塵臀屯{文}囤[3]□{屯積}[4]盾鈍[5]扽{震動使瓷實}[6]頓{停～}沌{文}	
tʰ	[1]吞[5]□{後退}	
n	[1]□{咽下去}[3]□{挑逗、戲耍}[4]□{爛泥；膩}	
I	[1]□{頻率高，很快}[2]鄰鱗磷侖倫淪輪[3]□{玩}[4]□{滿}	
k	[1]跟根[3]謹	
ŋ	[2]銀	
h	[3]懇墾很{文}[6]恨	
tʃ	[1]津珍臻真巾斤筋貞偵榛[2]秦陳神辰晨臣勤芹循巡唇純醇蓴{文}旬[3]診緊僅准[4]盡肫腎近[6]陣{文}	
tʃʰ	[1]親村春椿[3]疹蠢[5]趁襯	
ʃ	[1]辛新薪身申伸孫[3]筍榫[6]慎順舜	
∅	[2]痕□{癢}	
#iɐn		
ȵ	[1]人{一～}[2]人{大～}仁寅[3]蚓[4]忍[6]紉	
∅	[1]因恩姻泅欣殷[2]□{均勻}[4]引隱	
#uɐn		
k	[1]均鈞君軍[2]群裙[3]滾[4]菌[6]郡	
kʰ	[1]昆坤[3]捆[5]困{文}	
∅	[1]溫瘟暈[2]魂餛渾勻雲[3]穩[4]允尹[6]混	
#ɐŋ		
p	[1]崩[2]朋憑{憑藉}彭膨[4]□{擬聲詞}[6]憑{靠著}	
pʰ	[1]烹抨	
m	[1]□{拔}[2]萌盟[5]□{擠}	
f	[4]□{～～，轉動的樣子}[5]□{甩}	
t	[1]登燈[2]騰譽藤繩[3]等[4]□{很笨}[5]凳[6]鄧	
tʰ	[3]□{臺階，土級}[5]□{～nɐŋ32：衣服不整齊，做事不乾脆}	
n	[2]能[3]□{形容酸菜壞了，或形容人很蠢笨}[5]□{連在一起}	
l	[1]□{毛線}[2]陵淩菱[3]楞愣[4]□{掙扎}	
k	[3]耿□{無法扭動；倔}[4]□{阻礙拌住}[5]更[6]□{用東西支撐著}	
kʰ	[5]□{厲害}	
ŋ	[1]□{大聲喊}[5]□{敲打}[6]硬	
h	[1]亨[3]肯[5]□{有黴味兒}	
tʃ	[1]曾增憎僧蒸[2]曾層乘承丞[5]贈證症[6]剩	
tʃʰ	[1]稱{動詞}[3]逞□{有尿意或屎意}[5]蹭稱{對～}秤	
ʃ	[1]升[5]勝	
∅	[1]鷹[2]恒[5]應{白，應答}[6]幸杏{文}	
#iɐŋ		
ȵ	[1]□{抓緊、扯緊}[2]仍	
∅	[1]應{～該}[2]蠅[4]□{～～，晃動的樣子}[5]應{反～}	
#uɐŋ		
k	[1]轟	
kʰ	[5]□{掛著}	
∅	[1]□{壞了或辦砸了}[2]弘{文，～揚}宏{文，～遠}[4]□{～～，轉動或眩暈的樣子}	
#ɐp		
t	[7]□{低（頭）}[9]□{摔倒，掉下}	
n	[7]粒	
I	[7]笠{藤～}[9]立	
k	[7]急蛤[9]及	
kʰ	[7]吸給級	
ŋ	[7]□{蹲著}	
h	[7]□{恐嚇，威脅}	
tʃ	[7]執汁拾[9]集習十{～嬸}襲什	
tʃʰ	[7]緝輯	
ʃ	[7]濕悉[9]十{二～}	
∅	[7]□{敷著}	
#iɐp		
∅	[7]泣揖[9]入	
#ɐt		
p	[7]筆畢□{舀}不弼[9]佛	
pʰ	[7]匹	
m	[7]□{消失}[9]密蜜物勿	
f	[7]窟忽	
t	[7]□{塞；糍粑餡}[9]突	
n	[7]□{用手推著按或捏}	
l	[7]□{草木因乾枯或腐朽變脆}[9]栗律率	
k	[7]吉{文}桔{文}橘	
kʰ	[7]咳	
ŋ	[7]□{吝嗇}[9]□{上下搖動}	
h	[7]乞	
tʃ	[7]質吉{白}桔{白}卒蟀[9]疾侄術述實	
tʃʰ	[7]出七漆	
ʃ	[7]虱失室戌恤率媳	
∅	[9]核{文，～對}轄	
#iɐt		
ȵ	[9]日	
∅	[7]一[9]逸	
#uɐt		
k	[7]骨[9]倔掘	
∅	[7]屈鬱[9]核{果～}	
#ɐk		
p	[7]北[9]蔔{蘿～}	
m	[7]□{竹～：竹罐}[9]墨默	
f	[7]□{摔（跤）}	
t	[7]得德[9]特	
n	[9]□{頭～～：不停地點頭}	
l	[7]□{斬，剁}[9]肋勒力	
k	[9]極	
kʰ	[7]□{卡住}	
ŋ	[7]□{騙}握{白}扼{白}[9]額	
h	[7]刻克黑	
tʃ	[7]則即鯽側織職[9]蟄直值食蝕殖植賊	
tʃʰ	[7]測	
ʃ	[7]塞息色識式適	
∅	[7]握{文}扼{文}	
#uɐk		
k	[7]□{死的蔑稱}[9]□{用手指背敲}	
kʰ	[7]□{用尖頭農具挖}	
∅	[9]或惑域	
#ɛ		
p	[1]啤□{焊}[6]弊幣斃	
pʰ	[1]□{撲克}	
m	[1]□{擬聲詞或充當尾碼}[5]□{秋穀}	
f	[4]□{鳳～～：形容風很涼快很舒服}[6]□{拉（屎）}	
t	[6]□{肚～nɛ32：大腹胼胼}	
n	[1]□{踮起腳}[3]□{向同伴炫耀或誘惑}[5]□{背}	
l	[6]例	
k	[2]茄[5]計{動詞}繼繫[6]計{名詞，點子}	
kʰ	[1]稽溪□{爛屎}[3]啟□{劈}[5]契	
ŋ	[4]蟻[5]□{傾}[6]藝毅魏{白}倪	
tʃ	[1]□{鳩～：男性器官的俗稱}[4]柿[5]制製[6]滯逝	
tʃʰ	[3]□{雨～～：形容小雨一陣陣地下}	
∅	[4]□{表示應允回答}	
#iɛ		
ȵ	[1]□{癡迷}	
∅	[6]□{逗，跟小孩玩}	
#uɛ		
k	[4]□{小孩大哭聲}	
∅	[4]□{阿～：嬰兒的愛稱}	
#ɛu		
p	[1]膘標錶彪[2]瓢嫖[3]表	
pʰ	[1]飄[3]漂{～白}	
m	[1]貓{白}[2]苗描[4]藐渺秒妙	
f	[3]□{用皮鞭、竹條打}	
t	[1]朝{白，早上}刁貂雕[2]條調[3]屌鳥{白，罵人的粗話}	
tʰ	[1]挑	
n	[1]□{形容粥比較稠}[4]鳥{文}	
l	[1]撩[2]燎療聊遼寥[3]繚□{搗亂}[4]了	
k	[1]□{形容東西非常稠}[4]□{攪拌}	
kʰ	[1]□{撬起來}[3]□{滑頭，狡猾}	
tʃ	[1]焦蕉椒[3]剿	
tʃʰ	[1]鍬悄{白}	
ʃ	[1]消宵硝銷蕭簫[3]小	
∅	[1]吆	
#ɛm		
t	[1]點{～著}掂[2]甜[3]點{幾～}	
tʰ	[1]添	
n	[1]拈[4]鮎鯰	
l	[2]廉鐮簾簾[4]斂殮	
tʃ	[1]尖殲	
tʃʰ	[1]簽籤	
#ɛn		
p	[1]鞭邊編[3]貶扁匾[4]辨辯辮	
pʰ	[1]篇偏蝙[3]片{白，屎～}	
m	[2]綿棉眠[4]免勉娩緬澠	
t	[1]顛[2]田填[3]典[4]纏	
tʰ	[1]天	
n	[2]年[3]碾輦撚攆	
l	[2]連憐蓮	
kʰ	[1]□{kʰœŋ32～：蜻蜒}	
h	[3]蜆	
tʃ	[1]煎[2]錢前[3]剪[4]踐	
tʃʰ	[1]千遷[3]淺	
ʃ	[1]仙鮮{新～}先[3]鮮{朝～}癬	
∅	[3]□{挺起，腆起}	
#ɛŋ		
p	[1]□{～秧：拔秧}[2]棚{白}[4]□{用棍子拍打}	
pʰ	[1]□{驅趕}	
m	[1]掹{拽}[2]盲[3]蜢[4]猛[6]孟	
t	[1]□{死的俗稱}[3]□{lɛŋ52-32～：形容駝背的樣子}	
n	[6]□{～～：水慢慢滴落的樣子}	
l	[3]□{不大}[4]冷[5]□{～kʰeŋ32：不平，傾斜}	
k	[1]更庚羹[2]□{臭～：臭昆蟲的一種}[3]□{提起}[6]勁競	
kʰ	[5]□{leŋ32～：不平，傾斜}	
h	[1]坑興{文，時～}[3]□{～pɛŋ52：小腿}[5]興{白}慶	
tʃ	[1]爭箏[2]橙澄{文}	
tʃʰ	[1]撐鐺[3]□{用腳蹬開}	
ʃ	[1]生牲笙甥[3]省	
∅	[1]罌[2]行衡{平～}[6]杏{白}	
#iɛŋ		
ȵ	[3]□{用腳蹬}	
#uɛŋ		
k	[3]梗	
kʰ	[1]匡筐眶框	
∅	[2]橫[3]□{量詞，次}	
#ɛp		
t	[6]疊碟牒蝶諜	
tʰ	[5]帖貼	
n	[6]聶錫躡孽	
k	[6]□{夾著；窄}	
tʃ	[5]接	
tʃʰ	[5]妾	
ʃ	[5]□{用東西斜塞進去}	
#ɛt		
p	[8]鱉必[10]別	
pʰ	[8]撇	
m	[8]□{側著使溢出}[10]滅蔑	
t	[8]跌[10]秩	
tʰ	[8]鐵	
n	[8]捏黏	
l	[10]獵列烈裂	
k	[10]□{抬起}	
ŋ	[8]□{擬聲詞}	
tʃ	[8]節[10]捷截	
tʃʰ	[8]切	
ʃ	[8]薛泄屑楔	
#iɛt		
ȵ	[8]□{萎縮，蔫}	
#ɛk		
p	[8]百柏伯[10]白	
pʰ	[8]拍魄	
m	[7]□{用手指尖掐}[8]□{掰開}[10]陌麥脈	
f	[8]□{甩}	
t	[7]的{打～}[9]滴	
n	[7]匿	
k	[8]格革隔	
n	[3]□{燒焦的味道}	
h	[8]嚇客	
tʃ	[8]窄責[10]澤擇宅摘{文}	
tʃʰ	[8]拆策冊	
ʃ	[8]□{量詞，畦；形容伺，顯擺}	
∅	[8]鈪	
#uɛk		
k	[8]□{用力摔}	
kʰ	[8]□{動詞，卷}	
∅	[10]劃畫{動詞}	
#œ		
p	[4]□{～tʃi32：形容速度很快}	
pʰ	[1]□{肚～hœ44：形容孕婦的大肚子}	
f	[4]□{～～：形容風迅猛或動作很迅速}	
t	[1]堆[2]槌錘[5]對碓兌[6]隊墜	
tʰ	[1]推[3]腿[5]退蛻	
n	[5]□{累}	
l	[1]□{拼命幹}[2]雷[3]累{腳～}[4]儡累{積～}壘類[6]淚	
k	[1]哥[6]□{腳～：腳踝上的突起的關節}瘸	
kʰ	[5]□{手～：手肘上彎曲處突起的關節}	
ŋ	[4]□{～～：形容器物轉動的聲音}	
h	[1]靴	
tʃ	[1]追錐[2]隨垂誰[3]嘴[4]罪[5]最醉綴[6]睡遂隧瑞贅	
tʃʰ	[1]趨催崔吹炊[5]脆翠粹	
ʃ	[1]雖綏衰[3]水[4]□{哄騙、慫恿}[5]碎稅穗帥	
#iœ		
ȵ	[1]□{錐子；身上突起的肉疙瘩}[4]語蕊汝乳	
∅	[5]□{直}[6]銳	
#œy		
t	[1]豬	
tʃʰ	[1]蛆	
ʃ	[1]鬚	
h	[5]去	
#œŋ		
p	[1]幫邦浜[2]旁螃龐[3]榜綁[6]謗傍蚌	
pʰ	[1]□{鋤頭}[5]□{瘋}	
m	[1]芒[2]忙茫亡[3]□{殺～：小孩玩的殺敵遊戲}[4]莽蟒妄網{文}[6]望忘	
t	[1]當[2]堂棠螳唐糖塘[3]黨擋[4]□{u44～：哪里}[5]當[6]蕩宕	
tʰ	[1]劏湯[3]倘躺[5]燙趟	
n	[1]囊{白}[2]囊{文}瓢穰[3]□{骨～～：腿發抖}曩{文}攘[5]□{扯}	
I	[1]糧{量詞，一根豆/麥（玉米）}[2]郎廊狼蜋[3]哴{哴口：漱口}[4]朗[6]浪晾	
k	[1]岡崗剛綱缸江豇[3]講港[5]鋼杠降	
kʰ	[1]扛[5]抗	
ŋ	[2]昂{文}[4]仰[5]□{瘋、傻}	
h	[1]康糠慷腔[3]□{形容沒有油水、很幹}[5]□{烘烤}	
tʃ	[1]贓髒莊裝樁[2]藏{動詞}床[5]葬壯[6]藏{西藏}臟腸狀撞	
tʃʰ	[1]倉蒼瘡[3]闖廠[5]創	
ʃ	[1]桑霜孀雙[3]爽嗓[5]喪	
∅	[2]行{銀行}航杭降{投降}[4]項[6]巷	
#œk		
p	[8]博駁[10]薄泊雹	
pʰ	[8]樸撲	
m	[8]剝膜[10]莫幕寞	
f	[8]霍藿劐	
t	[8]剁啄[10]鐸踱度{白，～量}	
tʰ	[8]托託	
n	[8]□{門～：門後的角落}[10]諾	
l	[8]駱烙洛絡掠{文}酪[10]落樂略	
k	[8]各閣覺角[10]□{大頭～：大頭角}	
kʰ	[8]廓確卻	
ŋ	[8]鄂嶽樂獄岳	
h	[8]殼斛	
tʃ	[8]捉作桌卓[10]鑿昨琢濁	
tʃʰ	[8]戳{白}	
ʃ	[8]索朔	
∅	[8]惡[10]鶴學	
#iœk		
ȵ	[10]若	
∅	[8]躍	
#uœk		
∅	[9]□{～～：擬聲詞}	
#ɔ		
p	[1]褒煲[2]袍[3]保堡寶[4]抱泡{白～}[5]報[6]菢暴曝	
pʰ	[1]□{空心}	
m	[1]蟆毛{發～}[2]毛{牛～}[6]冒帽	
t	[1]刀[2]桃逃淘陶萄濤{白}[3]肚島{文}倒[4]肚禱[5]到[6]道稻盜導	
tʰ	[1]滔掏濤{文}[3]討島{白}[5]套	
n	[4]腦惱	
l	[1]撈{白}嘮[2]勞牢[3]佬[4]老[5]□{撫摸、哄}[6]澇	
k	[1]高膏篙羔糕[3]稿[5]告	
kʰ	[1]□{音譯詞，呼叫}	
ŋ	[1]薅蒿[2]摮{搖}[6]傲鏊	
h	[3]可好{形容詞}郝[5]好{動詞}耗	
tʃ	[1]遭糟[2]曹槽嘈{吵}[3]早棗蚤澡{文}[4]造[5]灶[6]□{早/晚~：早/晚稻}皂	
tʃʰ	[1]操糙[3]娶草[5]躁	
ʃ	[1]騷臊[3]嫂[5]掃[6]傻	
∅	[2]河何荷[5]□{用較長的尺子或棍子量}[6]賀浩	
#iɔ		
∅	[1]□{起哄}	
#ɔi		
t	[2]臺苔抬[4]待[6]怠代袋	
tʰ	[1]胎	
n	[4]女[6]耐奈內	
I	[2]來	
k	[1]該[3]改[5]蓋丐	
kʰ	[5]概溉慨	
ŋ	[6]礙艾外獃	
h	[1]開[3]凱海楷	
tʃ	[1]災栽[2]才材財裁[3]載宰[4]在[5]再載	
tʃʰ	[3]彩采睬[5]菜賽蔡棌	
ʃ	[1]腮	
∅	[1]哀[2]孩[3]藹[5]愛[6]害	
#ɔm		
p	[1]泵[2]□{形容跳進水裏的聲音}[3]□{爆破的聲音}[4]□{連續爆破的聲音}	
m	[1]□{吃～：吃飯(對小孩說)}	
t	[6]□{用腳使勁踩、跺}	
tʰ	[5]□{哄，騙}	
n	[5]諗{想}	
l	[1]□{～kʰɔm44：形容東西拱起來}[3]攬[5]□{崩跨}[6]□{壘}	
k	[1]甘柑泔[3]感敢橄[5]□{拿勺子喂}[6]□{嘮叨}	
ŋ	[4]□{一：形容機器的小音很大}[6]□{嘮叨}	
h	[1]龕堪勘[3]坎[6]撼憾	
tʃ	[5]禁浸	
∅	[2]含函[3]□{碰、撞}[5]暗[6]□{約好}	
#iɔm		
ȵ	[2]壬[6]任	
#ɔn		
p	[1]般搬[2]盤[4]伴	
pʰ	[1]潘	
m	[1]□{獅子～清：舞著獅子去摘吊在空中的禮物}[2]瞞[4]滿	
k	[1]乾肝竿[3]杆稈趕擀[5]幹	
h	[1]刊[5]看漢	
ŋ	[6]岸{文}	
tʃʰ	[1]□{（雞用嘴）啄}	
∅	[1]安鞍[2]寒韓[4]罕旱焊[5]按案[6]翰	
#oŋ		
p	[1]□{用拳頭打}[2]篷蓬馮逢縫	
