拼音	IPA	調號	單字
z	tsɿ	1	資姿咨諮滋輜
z	tsɿ	2	瓷糍茲慈磁詞辭祠
z	tsɿ	3	紫姊子梓滓
z	tsɿ	5	自[(文)]字[(文)]寺[(文)]
z	tsɿ	6	自[(白)]字[(白)]寺[(白)]巳嗣
c	tsʰɿ	1	雌
c	tsʰɿ	3	此
c	tsʰɿ	5	剌賜次
s	sɿ	1	斯廝撕私司絲思
s	sɿ	3	死四肆伺似祀飼
s	sɿ	5	事[(文)]
s	sɿ	6	事[(白)]
zr	tʂʅ	1	知蜘支枝肢梔脂之芝
zr	tʂʅ	2	池馳匙持遲
zr	tʂʅ	3	紙脂旨指止址
zr	tʂʅ	5	制製智致稚至置痣治趾志痣
zr	tʂʅ	6	痔
zr	tʂʅ	7	隻[(文)]質侄織職執汁只蜘指[～甲子]
cr	tʂʰʅ	1	痴嗤摛[伸：莫～手]
cr	tʂʰʅ	3	侈恥齒
cr	tʂʰʅ	5	翅斥直
cr	tʂʰʅ	7	秩置值殖植赤[(文)]尺[(文)]
sr	ʂʅ	1	施豉師獅尸屍詩
sr	ʂʅ	2	時鰣
sr	ʂʅ	3	尿始矢使史駛
sr	ʂʅ	5	世勢誓逝示視嗜士仕試市恃氏式是[(文)]市[(文)]柿[(文)]
sr	ʂʅ	6	是[(白)]市[(白)]柿[(白)]
sr	ʂʅ	7	石[(文)]
bi	pi	1	婢
bi	pi	2	疲脾皮
bi	pi	3	鄙比庇
bi	pi	5	蔽[(文)]閉[(文)]敝弊幣[(文)]斃[(文)]陛痺憋
bi	pi	6	被[～子]
bi	pi	7	避筆畢必弼逼碧壁[(文)]
pi	pʰi	1	篦秕披蓖批
pi	pʰi	2	琵枇
pi	pʰi	3	彼痞
pi	pʰi	5	屁鼻辟
pi	pʰi	7	譬匹[馬～]僻闢劈[(文)]
mi	mi	2	迷[(文)]靡糜
mi	mi	5	迷[(白)]
mi	mi	6	謎
mi	mi	7	密蜜覓
di	ti	1	低
di	ti	2	題提[(文)～問]蹄啼
di	ti	3	底抵
di	ti	5	帝隸地[(文)]弟[(文)]第[(文)]
di	ti	6	第[(白)]地[(白)]弟[(白)]
di	ti	7	的滴[(文)]嫡笛狄翟敵
ti	tʰi	1	梯
ti	tʰi	3	體
ti	tʰi	5	替剃涕屜遞
ti	tʰi	7	踢剔
li	li	2	驢梨犁黎離璃梨釐狸
li	li	3	旅履李里裏理鯉禮
li	li	5	例厲勵麗荔利吏
li	li	6	痢
li	li	7	立笠粒律率力歷曆
zi	tsi	1	雞
zi	tsi	2	齊臍
zi	tsi	3	擠
zi	tsi	5	祭際穄濟劑
zi	tsi	7	緝集輯疾及鯽積跡脊籍藉即
ci	tsʰi	1	妻棲淒
ci	tsʰi	5	砌
ci	tsʰi	7	七漆膝
si	si	1	西犀
si	si	3	洗髓璽
si	si	5	細羨
si	si	7	婿習襲悉熄息媳惜昔席夕析錫[(文)]戌恤卹
zhi	tɕi	1	雞飢饑肌几[茶～]基幾[～乎]機譏屐姬箕[簸～]羈
zhi	tɕi	2	稽奇騎岐祁鰭祈畸其旗期棋芪歧
zhi	tɕi	3	己紀幾[～個]
zhi	tɕi	5	計繼繫[～鞋帶]髻寄記忌[(文)]既季
zhi	tɕi	7	急吉極戟擊績激籍藉
chi	tɕʰi	1	蛆欺趨
chi	tɕʰi	3	啟起杞豈取娶
chi	tɕʰi	5	趣契企技妓器棄氣汽聚
chi	tɕʰi	7	級及吸乞戚寂極
gni	ȵi	2	疑泥宜儀尼凝寧[安～]
gni	ȵi	3	你擬
gni	ȵi	5	藝[(文)]蟻義議毅誼[(文)]
gni	ȵi	6	藝[(白)]誼[(白)]
gni	ȵi	7	膩匿逆溺甯[～可]
shi	ɕi	1	奚兮犧嬉熙希稀須需
shi	ɕi	2	溪
shi	ɕi	3	喜禧
shi	ɕi	5	序敘緒絮系係戲
shi	ɕi	7	泣戌
i	i	1	伊衣依醫
i	i	2	倪移迻夷姨飴遺貽
i	i	3	倚椅已以
i	i	5	翳肄意異憶億
i	i	6	易[容～]冀
i	i	7	縊揖日[(白)(白)]逸抑益亦譯易交[(白)]液腋
bu	pu	2	薄蒲脯菩荸[～薺]
bu	pu	3	補
bu	pu	5	布佈怖部[(文)]簿[(文)]步[(文)]
bu	pu	6	部[(白)]簿[(白)]步[(白)]訃卜
bu	pu	7	不
pu	pʰu	1	鋪[～路]
pu	pʰu	3	捕譜普浦
pu	pʰu	5	鋪[店～]
pu	pʰu	7	勃僕瀑曝
fu	ɸu	1	夫膚敷
fu	ɸu	2	呼胡湖狐壺乎瓠鬍符扶芙蝴
fu	ɸu	3	虎滸府腑俯甫脯斧釜腐輔撫
fu	ɸu	5	負副服[量詞：一～藥]互護付賦傅赴父附戶[(文)]
fu	ɸu	6	戶[(白)]婦
fu	ɸu	7	忽彿[彷～]佛[～像]福幅蝠复腹覆服伏袱
gu	ku	1	姑孤箍估辜
gu	ku	2	股跍[蹲]
gu	ku	3	古牯股鼓瞽[睜大眼睛]
gu	ku	5	故固僱顧錮過[(白)不好～]
gu	ku	7	谷穀
ku	kʰu	1	枯
ku	kʰu	3	苦
ku	kʰu	5	庫褲袴
ku	kʰu	7	窟酷哭
u	u	1	烏污巫誣
u	u	2	吳蜈吾梧無
u	u	3	五伍午武舞侮鵡
u	u	5	誤悟務霧[(文)]
u	u	6	霧[(白)]
u	u	7	物勿
ly	ly	3	女
zhy	tɕy	1	豬諸居車[～馬炮]誅朱殊珠株蛛拘駒矩
zhy	tɕy	2	除儲渠廚瞿鋤[(白)]
zhy	tɕy	3	煮舉主拄
zhy	tɕy	5	著據巨拒拒駐注柱[(文)]住[(文)]蛀俱句具懼劇鑄距
zhy	tɕy	6	住[(白)]柱[(白)]
zhy	tɕy	7	桔掬倔
chy	tɕʰy	1	樞區驅吹[(白)]
chy	tɕʰy	3	處[相～]
chy	tɕʰy	5	處[～所]
chy	tɕʰy	7	出屈
shy	ɕy	1	書舒虛噓輸墟
shy	ɕy	2	殊徐
shy	ɕy	3	鼠[(文)]許水薯
shy	ɕy	5	鼠[(白)]庶恕署柱[～塘鋪：地名]豎朮術述
shy	ɕy	6	樹
y	y	2	如魚漁余餘儒愚虞娛於籲遷盂榆逾愉
y	y	3	雨宇禹羽乳語與
y	y	5	御禦譽預遇豫寓愈喻裕玉芋[(文)]
y	y	6	芋[(白)]
y	y	7	入[(文)]疫役熨[～貼：整齊]
ba	pa	7	白[(文)]帛陌泊北百柏伯[(白)]
pa	pʰa	7	迫拍魄珀
ma	ma	7	沒墨[(文)]默麥脈
da	ta	7	得德
ta	tʰa	7	忒
la	la	7	劣肋勒
za	tsa	7	廁則側責窄
ca	tsʰa	7	測澤擇[(文)]策冊宅
sa	sa	5	率
sa	sa	7	瑟蝨塞色
zra	tʂa	7	摺褶浙哲
cra	tʂʰa	7	徹撤轍
sra	ʂa	7	涉設
ga	ka	7	格革割
ka	kʰa	7	刻客
nga	ŋa	7	額扼軛厄
xa	xa	7	核黑赫
a	a	3	耳
a	a	6	二[(白)]貳[(白)]
bia	pia	7	璧[(白)]壁[(白)]
pia	pʰia	7	劈[(白)]
mia	mia	5	墨[(白)很黑：～黑的]
dia	tia	7	點[(白)]
tia	tʰia	7	締[(訓讀)繫：把鞋帶子～緊]
lia	lia	7	累[(訓讀)]
zhia	tɕia	3	姐
zhia	tɕia	5	借
gnia	ȵia	1	黏
gnia	ȵia	5	入[(白)性交]肏[(訓讀)性交]
shia	ɕia	2	邪斜笡
shia	ɕia	3	寫
shia	ɕia	5	謝[(白)花～了]
shia	ɕia	7	錫[(白)]
ia	ia	3	也
zhya	tɕya	1	抓
zhya	tɕya	2	瘸[～子：手不靈活]茄
zhya	tɕya	7	憠決訣
chya	tɕʰya	5	踹
chya	tɕʰya	7	厥掘缺穴
shya	ɕya	1	靴
shya	ɕya	7	血
ya	ya	7	悅閱月越曰粵
baa	pɒ	1	巴芭疤爸
baa	pɒ	2	爬琶杷扒[～手]粑
baa	pɒ	3	把㞎[～～：屎，或泛指骯髒之物]
baa	pɒ	5	霸欛壩垻罷[(文)]
baa	pɒ	6	罷[(白)]
baa	pɒ	7	八拔伯[(文)]
paa	pʰɒ	3	趴[兩腿分開]
paa	pʰɒ	5	白[(白)～～色；～眼字]怕
maa	mɒ	1	媽
maa	mɒ	2	麻蟆麻
maa	mɒ	3	馬碼螞
maa	mɒ	5	罵[(文)]
maa	mɒ	6	罵[(白)]
maa	mɒ	7	抹
faa	ɸɒ	1	花
faa	ɸɒ	2	華划[～船]樺
faa	ɸɒ	5	劃[(文)～分]畫[(文)]化乏
faa	ɸɒ	6	劃[(白)～分]畫[(白)]獲
faa	ɸɒ	7	法發髮伐筏罰
daa	tɒ	3	打
daa	tɒ	7	達沓答搭
taa	tʰɒ	7	塔榻塌獺
laa	lɒ	1	拿
laa	lɒ	2	挪
laa	lɒ	3	哪邋[～胡：馬虎；髒，不講衛生]
laa	lɒ	6	那
laa	lɒ	7	蠟臘捺辣瘌
zaa	tsɒ	1	渣
zaa	tsɒ	2	茶搽查茬
zaa	tsɒ	3	鮓[～魚：用鹽醃製過的魚]
zaa	tsɒ	5	詐榨炸乍
zaa	tsɒ	6	扎[～掃把：用竹枝扎的掃把]
zaa	tsɒ	7	雜軋眨閘札扎蚱[～蜢子]
caa	tsʰɒ	1	叉杈差[～別]釵差[參～]
caa	tsʰɒ	5	岔詫
caa	tsʰɒ	7	插擦察鍘拆
saa	sɒ	1	沙紗杉薩痧挱[(手，樹枝)張開，伸開]
saa	sɒ	7	撒殺刷涮
zraa	tʂɒ	1	遮
zraa	tʂɒ	7	隻[(白)]
craa	tʂʰɒ	1	車
craa	tʂʰɒ	3	扯
