来源：	秋谷裕幸 2017 《中原官话汾河片音韵史研究》；Hynuza, Skanda 整理录入
说明：	
#符号说明：	-白=文*俗?待考
#调值	［1］11［2］35［3］332［5］55［6］51［0a］5［0b］1
#ɿ	
ts	［1］支枝{树～}肢资姿咨脂{胭～}兹滋之芝［3］紫纸只{～有}姊指{～关节，戒～；动词}子{地支之一；词尾，如“胆～”}止趾址［5］至{夏～，冬～}志誌［6］自{～行车}［0a］□{圪～：植物的刺}［0b］去{上～，回不～：进不去}旨{圣～}
tsʰ	［1］眵{～圪头：眼眵}□{～牙子：龅牙}［2］瓷慈磁辞词祠{～堂}［5］雌此刺{～刀}赐翅{～膀}次齿［6］自{～家：自己}字
s	［1］斯厮施私师狮尸司丝思{～想}诗［2］匙{钥～}辞词祠{～堂}时［3］死屎{～布：尿布，蝇～：雀斑}始［5］四肆{放～}思{～着：觉得}试［6］是氏示视似祀巳士仕柿{～子}使史{历～}驶市寺嗣饲事侍
z	［1］□{扔}［2］儿{儿子}［5］耳{～朵}［6］二{～十，～百，～月，～哥，～姐，～嫂变音，十～}
#ʅ	
tʂ	［1］蜘汁质稙{～䵚黍：早熟的玉米}职织［2］直值{～班}殖植这［5］制製知痔智致稚置秩［6］治{政～}执［0b］蛰{惊～}
tʂʰ	［1］赤斥吃{～饭}尺［2］池{水～子：池塘}驰迟持侄［3］耻［5］值{～钱变音}［0b］城{义～：地名}
ʂ	［1］湿失室{～哥：内兄}识式饰适释［2］十拾{～起}实食蚀石□{鼻子～了：鼻子堵了}［5］世势誓逝［0b］殖{骨～：骸骨}
ʐ	［1］入{性交}日{～头：太阳；一～：一天}［5］儿{侄～子：侄子}
#i	
p	［1］笔必逼壁{～虱：臭虫}［3］鄙比秕{～～子}［5］闭箅碧［6］蔽币弊毙陛卑彼婢被{～告}备毕碧璧
pʰ	［1］批披匹劈□{～脸一掴：打一巴掌}［2］鐾{～刀子，～布：鐾刀布}皮疲脾鼻{～子}痹啤［5］屁［6］被{～子}避{～难}备{～鞍子：把鞍子套在马身上}僻{偏～}
m	［1］密蜜［2］迷谜糜{～子}弥眉{眉毛。单说}楣媚明{～早变音：明日}［3］米{小米儿}
t	［1］的［2］嫡狄［3］抵［6］弟第递地{～基}
tʰ	［2］啼
l	［1］立{站立，～秋，～冬}力［2］犁黎丽离{～开}梨厘狸剺{～开：用刀划开}粒歷［3］礼李{姓；～子}里{距离单位}里{～头；街～：街上}理鲤［6］例励隶利{～息}痢吏曆{～头：历书，挂～}□{～□tʂʰu1：在碾场用的石磙}栗{～子}［0a］地{好变音好变音～}［0b］篱{笊～}璃{玻～}里{娇～娇气：撒娇}得{舍不～}的{我～}哩{助词，了。如，他去～吗}
tɕ	［1］低鸡稽攲{用筷子夹菜}飢肌基机{～子：织布机}讥饑{饿}吉即稷{～山：地名}积迹脊绩籍击激吃{～嗑子：口吃}□{麦□tɕiaŋ1～：麦秸垛子}［2］脐{肚□pu1～：肚脐。不送气音}急级及疾{痢～}极［3］挤杞{枸～子}几{～岁}虮{虱子的卵，鱼的卵，下～：鱼产卵}□{～□tsa332：常常}［5］祭际帝济{～公}计继技妓寄冀纪{～念}记既季墼{□xu35～窑：用土坯建的窑洞，土～：土坯，读作[tʰu55tɕi1]}□{□pu35～□ko1变音：蒲公英}［6］递己{天干之一}纪{年～}嫉{～妒}［0a］□{咱～：咱们}［0b］几{茶～}
tɕʰ	［1］梯{～子}妻凄欺期祈缉{～鞋口变音}泣七漆乞踢戚□{热～子：痱子。此字有可能是“痱”}［2］堤题提蹄齐奇{～怪}骑歧祁其棋旗集笛［3］体启企起［5］替涕剃契器弃气汽剔［6］弟{弟弟；徒～}徛{～起：立起来放}地忌{～口}□{饺子皮儿}［0a］膝{圪～盖变音：膝盖}［0b］箕{簸～}
ɲ	［1］衣{～裳，胎盘}［2］泥倪尼［3］你意{故～子：故意}［5］义{～城：地名}［6］腻［0a］语{不爱言～：不言语}宜{占便～}
ɕ	［1］西{～面变音}犀熙希稀吸{～铁石：磁石}息熄惜{可～}昔锡［2］肥{胖}习隰{～县：地名}媳{～妇}席蓆{～子}夕{七～}［3］洗玺喜禧□{擤}［5］细戏［6］溪系係牺{～牲}徙悉析袭{～击}
