来源：	史秀菊 张丽 2014《山西兴县方言同音字汇》；山佳木 整理录入
s	［1］森糁{圪～～}笙牲僧参{人～}生={学～}［3］省{节～}［2］寻{～上咧：找见啦}□{住宿：你在哪～着嘞}［5］渗疹{可～人嘞：使人害怕}
tʂ	［2］今{～日}针真斟珍贞侦征蒸={～汽机}［3］诊疹整拯［5］枕镇阵震振证症郑={姓}正={～确}政
tʂʰ	［1］称={～呼}［3］逞［2］晨臣辰陈尘澄{～清}橙乘承呈程丞盛{～满}诚城成［5］趁秤={电子～}
ʂ	［1］深身申伸升={～级}声={～波}［3］沈审婶［2］神［5］甚慎肾胜圣盛{兴～}剩={～余}
ʐ	［3］仍忍［2］任姓壬人仁［5］任{～意}纫认刃
k	［1］根耕跟庚更{～换}羹［3］耿梗埂［5］更{～加}
kʰ	［1］坑吭［3］恳肯［5］□{受的～～地：很辛苦的样子}
ŋ	［1］恩
x	［1］哼［3］狠很［2］横={～竖}衡痕恒亨［5］恨横{蛮～}
#iəŋ	
p	［1］斌冰彬宾槟兵［3］禀柄丙秉饼={～干}［5］并殡鬓病={～句}
pʰ	［2］姘［3］拼{～音}品［2］平={～均}苹凭屏萍频评贫［5］聘乒
m	［3］闽悯敏皿抿［2］民名={出～}铭鸣={雷～}明={～摆着}［5］命={革～}呡{衔在嘴里细细品昧}
t	［1］盯丁钉={～住}叮={～嘱}订{～书机}鼎顶={窑～}［5］订{预～}定锭
tʰ	［1］听={～力}［3］挺艇［2］亭厅停={～电}庭廷婷蜓［5］听={～等：等候}
n	［2］拧宁{安～}凝银-{～子}［5］宁{～可}硬
l	［3］檩岭={秦～}领={～导}［2］零={用于数学计数语境：～点一}临灵淋林邻龄铃={门～}拎翎={～毛}鳞憐陵凌菱［5］赁令{命～}另={～外}
tɕ	［1］斤金巾筋京惊荆鲸今={当～}晶菁={人名}睛={画龙点～}精={～神}经={～济}茎襟津［3］仅锦紧谨景警井={坐～观天}颈［5］禁近进晋尽劲浸妗竞境镜={明～}净={～化器}静径靖
tɕʰ	［1］亲{～人}侵钦蜻轻={～松}卿青={～春}清={～明}晴={～朗}［3］倾顷寝请［2］琴禽擒秦芹勤情［5］亲{～家}沁吣庆
ɕ	［1］心忻{～州：山西地名}芯新薪辛欣馨星={～期}腥={血～}兴{～县}［3］醒={～酒}省={反～}［2］形型刑行{品～}［5］信囟{～门子}讯葚{桑～～}悻性姓兴{高～}幸
ø	［1］因姻荫阴鹰鹦缨婴莺英樱音殷［3］颖瘾尹隐饮{～料}影={电～}蚓引［2］淫寅银={～行}迎赢={～利}营蝇={苍～}盈［5］洇窨印饮{～牛}应={～该}映={放～}
#uəŋ	
t	［1］蹲敦墩冬东［3］懂董趸［2］咚［5］炖钝吨顿遁盾洞动栋冻
tʰ	［1］通［3］统捅筒桶［2］童同铜桐瞳［5］痛褪{脱：～下一只袖子}
n	［2］农脓浓［5］嫩
l	［2］囵咙［3］刎{乌江自～：戏曲唱词}拢垅［2］仑伦轮沦聋龙隆笼{～子}［5］弄论
ts	［1］尊遵忠终盅钟中{～间}宗总肿{～瘤}种{～类}［5］粽种{～地}中{射～}重{～量}众仲纵
tsʰ	［1］村皴春聪匆冲充春葱椿{～树}［3］蠢［2］存唇纯从丛虫重{～复}祟［5］寸
s	［1］孙松嵩［3］损［2］怂［5］顺舜送宋诵讼颂
z	［2］戎绒茸［5］润闰
k	［1］弓{～箭}躬公蚣工功攻宫恭供{提～}［3］滚拱{～桥}汞巩［5］棍共贡
kʰ	［1］昆坤空{～虚}［3］捆啃孔恐［5］困空{～缺}控
x	［1］浑疯婚昏轰纷芬分蜂峰锋烘风枫丰封［3］讽哄{～人}粉［2］魂馄焚坟洪虹={彩～}冯缝{～衣裳}逢弘鸿红宏樊{～家湾：地名}［5］粪混份愤奋忿缝{一条～}哄{起～}凤俸
ø	［1］炆{～菜：炖菜}温瘟［3］稳吻［2］文闻纹蚊嗡翁［5］问瓮
#yəŋ	
tɕ	［1］菌均钧军君弓{姓}供-{～不起}迥拱{猪～子：猪鼻子；动词：往前～}鬃{马～}［5］俊郡骏□{～住咧：凝固了}
tɕʰ	［2］穷裙群琼
ɕ	［1］熏薰凶兄={～长}［2］巡循荀旬熊胸雄匈［5］训驯迅汛殉
ø	［1］□{摸：～了一下}拥晕雍庸［3］允永甬勇泳［2］荣融容蓉匀云［5］运韵孕用
#aʔ	
p	［7］八捌叭扒剥拔{选～}
pʰ	［7］琶［8］拔{～萝卜}
m	［7］摸末蚂{～蚱蚱}［8］抹{～下来}
t	［7］搭瘩达={～到}答鞑妲剳{把这两片布～地}
tʰ	［7］达{后发～：地名}塔托沓{一～票子}拓{～下印子咧}塌{～实}遢{邋～}溻{～湿}［8］踏
n	［7］钠捺［8］纳{～鞋底子}□{睡～住咧：梦魇}
l	［7］拉{用于强迫性质的动作时：把那圪齐人～过来}邋［8］鹿{宅～沟：地名}蜡辣腊□{～料：给牲口磨饲料}
ts	［7］扎札咂{～奶}蚱眨{眼～毛}
tsʰ	［7］擦察铡插［8］炸{～油条}杂{～货店}宅{～鹿沟：地名}□{～门：一种香料}馇{～猪食：做猪食}
s	［7］杀刹{～车}□{～鞋：手工做的鞋}□{～套：牲口拉车时用来套车的工具的总称}色{恶～：垃圾,引申为骂人话}
x	［7］瞎{～子}［8］匣{风～盒}
#iɛʔ	
n	［7］鸭{～子}□{海～：一种花}□{～干：拧干}押{～金}
tɕ	［7］夹甲{～等}挟
tɕʰ	［7］鹊雀{孔～}确{的～}胛{肩～}掐{～了一下：用一只手的两个或几个指头用力捏或拧}恰甲{脚～：指甲}
ɕ	［7］侠峡辖狭
#uaʔ	
tʂ	［7］桌捉{～住}□{用手握住}
tʂʰ	［7］戳镯{手～}
ʂ	［7］刷缩{一般用于无生命的物体，指物体由长变短}朔{～州：山西地名}甩{～出去}
k	［7］刮掴{耳～子}
kʰ	［7］括
x	［7］发［8］法乏罚滑猾伐阀{～门}筏
ø	［7］握［8］袜
#yɛʔ	
tɕʰ	［7］确{的～良}
#əʔ	
p	［7］不笸泊钵{～盂}膊拨{～拉}博驳卜{姓}□{～上：粘在锅上}
pʰ	［7］扑{～过来}朴泼勃渤{～海}［8］薄{～厚}脖卜{萝～}
m	［7］穆目膜莫寞漠{沙～}［8］木沫没{～人}
t	［7］的{我～}得{舍～}德耷{～拉}
tʰ	［7］特［8］趿{～拉}
l	［7］儿{河～上：地名}勒嘞{相当于普通话的“呢”}子{名词后缀：孩～、村～}
ts	［7］子{桌～}则择泽作窄摘责脊{～背}趾
tsʰ	［7］拆策册侧测［8］□{明光～烂：非常明亮}
s	［7］虱塞{～住}骰涩色{颜～}
tʂ	［7］摺褶折{～断}浙执汁秩质织帜职殖植只直={～接}值={～班}着{助词：等～}这{代词：～个}蛰哲
tʂʰ	［7］赤斥尺吃彻辙撤绰{～号}［8］侄{～儿}直-{脾气～}值-{～钱}着{睡～；～急}
ʂ	［7］摄涉湿设室什失食蚀式识饰适释赦［8］石射{～出去：由于惯性冲出去}十拾舌折{弄～咧}实佘{～太君}芍{～药花}
ʐ	［7］热若弱［8］日入{～怪}
k	［7］鸽割葛{诸～亮}核{～桃}虼各{～自人：自己}格阁胳搁革隔去-{作趋向补语：去太原～咧}［8］圪疙旮袼{～褙}蛤{～蟆}
kʰ	［7］坷壳磕客咳刻瞌克可{～好嘞}嗑{～碰}［8］去{作述语：～太原去咧}
ŋ	［7］扼轭额噩{～梦}恶
x	［7］喝郝黑褐{～鸡：褐马鸡}核{～武器}［8］合学{～鸡子叫}
#iəʔ	
p	［7］柏壁碧{～村：地名}憋笔伯百弼毕别{～人}鳖北必逼擘褙{袼～}
pʰ	［7］拍{～手}撇迫魄{～力}匹僻劈［8］鼻-{～子}白-{～日}蚍别{～住门}
m	［7］密墨默蔑灭秘泌蜜［8］麦脉苜{～蓿}
t	［7］笛跌滴得的{目～}敌狄迪蝶谍叠={重～}
tʰ	［7］铁贴踢剔帖［8］叠-{～被子}碟
n	［7］孽聂逆虐［8］镊捏
l	［7］笠列烈裂历粒劣荔栗{姓}略掠［8］力立
tɕ	［7］脊={～梁}脚羯揭接节杰结洁疾级给{供～}急迹截={～止}捷={～报}劫及缉{通～}集={～体}辑吉即鲫极积籍藉绩击激
tɕʰ	［7］切礘{～干}缉{～鞋口子}七柒漆戚怯惜{可～}［8］□{～起：在一边用力使另一边物体悬空，类似晓晓板原理}截-{～住}捷-{～径}集-{赶～}
ɕ	［7］吸息熄膝媳歇蝎协楔锲悉习锡析薛{姓}袭学{～习}夕昔惜{珍～}［8］席
ø	［7］一乙业约{大～；～定}益壹噎役疫越峪{罗～口：地名}乐{音～}［8］叶药页钥
#uəʔ	
t	［7］厾独读督掇夺={定～}毒㞘{～子：臀部}
tʰ	［7］秃凸脱坨{～子：成块或成堆的东西}□{～扫：用来扎扫帚的一种植物}［8］哆{～嗦}夺-{从对方手里抢走,～下}犊-{牛～子}
n	［7］懦
l	［7］禄陆{～地}乐{快～}录率{效～}律络洛［8］勒{～死咧}辘轳绿蝼{～蛄}肋{～肢：肋骨}落{～叶}
ts	［7］族做撮{一圪～～米}啄浊拙卒祝竹筑逐触{接～}烛足卓琢
tsʰ	［7］出促猝触{～动}歘{～拉}［8］妯-{～娌}凿-{～子}取{～灯子：火柴}
s	［7］说束叔淑术述属［8］熟赎勺
z	［7］辱褥入
k	［7］郭轱{～辘子}谷骨聒{搅扰}国个核{桃～子}
kʰ	［7］哭窟□{～雷雨：阵雨}阔{开～}酷{残～}廓扩［8］圐{马～圙：地名}
x	［7］霍福幅豁或惑佛复覆忽惚获［8］藿劐{～开一道：用利器划开一道}伏辐{～丝}活服囫喉{～咙：所指范围大,指嗓子}
ø	［7］物屋勿沃兀焐{热}［8］五{～月}穵{～坑}
#yəʔ	
tɕ	［7］角{～～：角落；辣～子}镢{～头}橛绝觉{～见}掬橘决倔{～背：形容一个人脾气倔}诀局
tɕʰ	［7］曲角{弓～底；地名}鞠{～躬}菊{～花}缺却掘{挖～机}屈黢
ɕ	［7］雪蓿□{～子；体型较小鸟类的统称}削血速肃宿{～舍}穴戌恤蓄畜{～牧业}［8］俗{风～}续{～上：接上}
ø	［7］熨{～帖：舒服}悦阅岳狱域欲浴峪{黑～口：地名}［8］月
