来源：	史秀菊 张丽 2014《山西兴县方言同音字汇》；山佳木 整理录入
t	［1］低羝{圪～：公绵羊}叮-{～了一口}钉-{名词，～子}提{～东西}［3］底抵顶-{～针勒}［5］地弟递帝第递钉-{动词，～木板}
tʰ	［1］停-{～地：安静,不要动}梯堤听-{～见}［3］体铤?{～倒咧：滑倒}［2］蹄提{～高}题齐-{～圪整整：齐整}［5］替涕剃屉啼
n	［3］你［2］拟泥妮尼倪［5］腻
l	［3］娌礼鲤里李理岭-{～西：地名}领-{～子：衣领}［2］犁离璃狸篱厘梨黎翎鸡-{～：较长的野鸡羽毛}铃-{～子}零-{～花钱}［5］利莉丽厉痢例励隶吏令-{节～}另-{～开：分家}
tɕ	［1］机饥几{～乎}肌鸡讥稽基经-{～由孩子：抱养小孩}菁-{蔓～：萝卜}精-{～明}睛-{～眼眼：形容一个人过于计较}［3］已挤虮济{～南}井-{～水}［5］纪计忌冀记寄季祭技妓际济{经～}继際剂既痣净-{干～}镜-{～子}甑-{笼～：蒸笼}
tɕʰ	［1］妻欺栖期箕青-{～草}清-{～汤寡水}轻-{～皮活撂：非常轻}［3］企杞岂启起［2］齐{整～}棋骑祁祈旗其奇畦畸脐晴-{～咧}［5］气汽砌器弃契
ɕ	［1］希溪哂牺稀{～少}西熙腥-{猪～气}星-{～宿}飞-{～起来咧}［3］喜洗擤省-{～得；懂得}［2］肥{～瘦}饧-{～棍棍：饴糖}［5］系细戏嬉婿费-{～钱}
ø	［1］医衣依应-{吼～：呼唤与应答}［3］已椅倚蚁以尾-{～巴}［2］移疑遗译谊夷姨颐仪宜沂蝇-{～子}贏-{～咧}［5］亿异易意益艺议忆义益翼亦影-{～子}映-{～明：用光线照明}
#u	
p	［3］捕补［5］布怖部簿步埠菢{～鸡儿子}抱{～住}
pʰ	［1］铺{～设}［3］普浦谱［2］葡脯菩蒲［5］铺{店～}
m	［3］牡拇亩母某［2］模谋摹［5］墓幕牧暮慕募睦{和～}
t	［1］都{首～}□{圪～：拳头}［3］堵赌肚{猪～子}［5］肚{大～}杜度渡{～口}妒镀
tʰ	［1］都{～来咧}［3］吐土［2］图涂途徒屠［5］兔
n	［3］女{～子：女孩子}
