	註釋：白讀-，文讀=		
#a			
p	[1]巴芭疤叭{喇～}笆葩白-[2]爬杷耙琶耙扒[3]把飽-[5]霸壩擘-伯-柏-百-[6]爸罷		
pʰ	[1]披-脬-[5]怕帕拍-		
m	[1]摢{～一把}麥-脈-[2]貓-蟆麻蔴[3]媽馬碼螞[5]罵		
t	[1]焦-[2]茶[3]打[5]榨-笮{壓}詐-		
tʰ	[1]他它她[5]䖳{海蜇}澈{～潔，清潔}		
n	[2]拉-{～屎}□{拃}[3]拿那[5]捺-{～落}宅-{地名}		
l	[1]喇拉垃[6]癩{～皮}		
ts	[1]查渣[2]喳嘈[3]早-[5]詐=榨=炸窄乍=仄		
tsʰ	[1]叉杈岔瘥差{～別}[2]柴{樵}[3]炒-[5]冊-詫搽策-		
s	[1]沙=紗砂鯊=痧師-{～傅}捎{亂～}[3]灑{新}[5]□{肏}		
k	[1]家加嘉傢佳鉸{剪}膠-[3]假{真～}[5]假{放～}賈架駕嫁稼價教-隔-格-[6]咬-		
kʰ	[1]骹奇{蜀～}鮫{馬～魚}[3]巧-{小～，女人體態好看}[5]卡磕-客-		
ŋ	[1]□{反對}[2]牙芽蚜倚衙蜈-[3]雅[6]迓訝		
h	[1]哈[2]蝦霞瑕遐[5]孝-[6]下-夏廈=暇		
∅	[1]鴉丫[2]呀阿[3]啞亞拗-[5]揖{拜}[6]下-{～面}廈-		
#ia			
p	[5]壁		
pʰ	[1]坡-陂-[2]□{傾斜}[5]僻-避-		
t	[1]爹糴值-[5]摘-[6]蠣-		
tʰ	[5]拆-□{私跟}		
n	[1]搦{逮住}[3]惹[5]膩-伲{～囝，小孩兒}[6]□{隨和，疑即“諾”}		
l	[3]𥷒[5]𥷒{～頭，村名}□{闊氣}		
ts	[1]嗟遮[3]姐者這笊[5]蔗鵡只乍{～～看}跡-[6]藉{倚～}		
tsʰ	[1]車-奢[3]且[5]赤-掐[6]泄-{～屎星}		
s	[1]賒食-[2]邪斜蛇佘泄-{～尿}[3]寫捨{～得}[5]瀉卸赦舍捨{施～}錫-[6]謝射社榭麝		
k	[1]袈=枷=茄[2]枷-袈-[5]寄[6]下		
kʰ	[1]欺-[2]騎[5]徛{～年，長工}[6]徛□{往}		
ŋ	[1]額[5]艾-[6]外-蟻		
h	[1]罅{裂縫}稀[5]赫嚇		
∅	[1]蝶{小飛蛾}[2]耶椰[3]也野冶[5]益-[6]夜□{撒}		
#ua			
p	[5]簸-		
pʰ	[5]破-		
m	[2]磨-麻-蔴-麻-[6]瓦-		
t	[2]汰{～米}[6]大-舵-		
tʰ	[1]拖-		
n	[1]□{傢俱鬆動}[3]□{傾斜}		
ts	[1]抓[3]爪		
tsʰ	[5]□{引誘}		
s	[1]沙-[3]耍灑		
k	[1]瓜過-{菜老}[3]剮寡[5]掛卦褂芥{～菜}		
kʰ	[1]誇[3]垮[5]跨袴		
ŋ	[3]我-		
h	[1]花華{姓～}[2]華嘩樺[5]化		
∅	[1]蛙挖窪劃{～船}[3]□{～頓，到親戚家白吃}[5]□{熱門貨}[6]畫話		
#ɛ			
p	[2]牌排[3]擺-䫌{面～}		
pʰ	[1]䫌{股穿}[2]□{黃～，黃色蛙}[5]稗	[5]稗	
m	[2]瞇□{躲藏}[3]買[5]迷{猜～}□{乾癟凹陷}[6]賣𣍐		
t	[1]低-[2]題廓[3]底=[5]帝[6]弟第=逮隸-遞		
tʰ	[1]梯=[2]堤啼-[3]體[5]梯-替涕屜		
l	[2]璃麗{高～}犁黎[3]禮[6]厲勵麗蠣=		
ts	[1]齋糍餈薺[2]齊[3]擠[5]濟纃{～布，苧麻布}[6]劑-		
tsʰ	[1]差{出～}妻淒棲悽[5]粞		
s	[1]西犀樨[3]洗徙[5]細婿=[6]多{訓}		
k	[1]街□{雙手托}[2]□{頭～，頭目}[3]解-[5]疥		
kʰ	[1]溪[5]快		
ŋ	[2]倪霓[3]睨[6]椏{樹～}		
h	[3]盻[6]蟹		
