#a			
p	[1]巴芭疤[3]把{～握}飽[5]霸壩垻爸罷豹		
pʰ	[2]杷[5]帕		
t	[1]焦		
ts	[1]查{檢～}楂渣遮[3]早[5]詐榨炸		
tsʰ	[1]叉差岔[2]柴[3]炒吵		
k	[1]嘉稼膠[3]絞攪搞[5]教{～書、～室}[6]咬		
kʰ	[1]骹[3]巧		
h	[2]霞[6]下{～降}		
∅	[1]阿{～哥}鴉丫[5]亞		
#o			
p	[1]菠玻[2]婆[3]保堡寶[5]報[6]帽		
pʰ	[1]波坡[5]破{～壞}[6]抱		
b	[2]無[3]母拇[6]磨{石～}		
t	[1]刀[2]駝陀逃萄濤[3]舵朵妥橢惰禱島倒{打～}[5]倒{～水}[6]道稻導		
tʰ	[2]桃[3]討[5]套		
l	[2]羅啰鑼勞[3]裸		
ts	[2]曹{姓}[3]左棗		
tsʰ	[1]臊[5]措錯		
s	[1]嗦[3]鎖瑣		
k	[1]哥高{～考}膏篙糕		
kʰ	[1]戈科[3]可稿考烤		
ts	[5]做[6]造佐		
k	[3]果裹{包～}[5]告		
kʰ	[5]課靠		
ɡ	[2]蛾鵝		
h	[2]河何荷賀和{～氣}豪毫[3]好浩[6]號{～碼}禍		
∅	[2]俄[5]襖懊奧		
#ɔ			
p	[3]補[5]布佈怖[6]步部		
pʰ	[1]魏鋪{～路}[2]蒲菩[3]譜普浦[5]鋪{當～}[6]脯簿		
b	[3]某畝牡		
t	[1]都{首～}[2]徒屠途壅圖[3]堵肚{腹～}[5]剁鬥{戰～}[6]肚{豬～}杜度渡鍍		
tʰ	[2]塗{泥土也}[3]土{老～}[5]吐兔		
l	[2]奴盧爐蘆廬[3]魯虜鹵[6]路露鷺		
ts	[1]租初{月～}[3]祖組阻楚礎[6]助		
tsʰ	[1]粗[5]醋		
s	[1]蘇酥疏蔬[2]傻[3]所[5]素訴數{～字}		
k	[1]姑孤[3]古估牯股鼓構購[5]故固雇顧		
kʰ	[1]箍枯[3]苦[5]庫褲		
ɡ	[2]吳梧[6]五誤		
h	[1]呼[2]狐瓠[3]虎滸[5]戽[6]戶互護雨		
∅	[1]烏汙[2]胡湖壺[5]惡		
#ɛ			
p	[2]爬耙[3]把{當數量詞}[6]爸		
b	[3]馬碼		
t	[2]茶		
ts	[5]債寨		
tsʰ	[1]釵差{出～}		
s	[1]紗		
k	[1]家傢加假賈{姓}佳[5]架駕嫁價		
ɡ	[2]牙芽		
h	[2]蝦[6]夏		
∅	[6]下{～面}廈		
#e			
pʰ	[1]批		
b	[2]迷謎[3]買[6]賣		
t	[2]低{～燒}堤題蹄[3]底抵短[5]帝[6]第地		
tʰ	[2]提[3]體[5]替		
l	[2]螺璃[3]禮[6]例勵隸荔		
ts	[2]齊[5]祭際濟劑[6]多坐座		
tsʰ	[1]妻		
s	[1]梳[3]洗[5]世勢誓細		
k	[1]街雞[3]解{～釋、～開}[5]計繼		
kʰ	[1]溪[3]啟[5]契{～約}		
ɡ	[6]藝		
h	[6]繫{聯～}		
∅	[2]鞋[3]矮		
#i			
p	[1]碑卑悲[3]彼[5]蔽閉臂鱉憋[6]弊幣斃婢備		
pʰ	[1]披[2]疲脾枇[3]鄙比[5]秘泌庇痹		
b	[2]眉微{輕～}[3]米[6]未味蔑		
t	[1]豬諸蜘[2]池馳遲[5]遞智稚置[6]弟痔治		
tʰ	[2]啼[3]恥嗤[5]剃		
l	[2]離籬而[3]呂旅履你李裏里理鯉[6]慮濾厲利{～息}吏		
ts	[1]脂之芝舌[2]薯[3]煮紫紙{一～公文}只旨指子{種～}止址[5]藉聚制製致至志誌折{～疊}		
tsʰ	[1]癡[2]徐持[3]鼠取[5]趣刺試[6]飼市		
s	[1]須需施屍司{官～}絲思{相～}詩[2]匙辭時[3]死始[5]四[6]是氏示視寺序敘緒		
dz	[2]如兒[6]二字		
k	[1]居拘支枝技饑飢肌基幾{～乎}機[2]奇其棋期旗[3]舉矩几{茶～}己紀杞幾{～個}[5]巨拒距具懼髻痣記既[6]忌		
kʰ	[1]趨區驅欺[3]企齒起豈[5]去器棄氣汽[6]柿		
ɡ	[2]娛宜儀誼疑[3]語[6]義議		
h	[1]虛墟犧嬉熙希稀[2]魚漁[3]許喜[5]肺戲[6]耳		
∅	[1]迂宇羽伊醫衣依[2]於于余餘譽預豫愉移夷姨[3]椅以[5]意[6]寓籲喻易異毅		
#u			
p	[6]孵婦		
pʰ	[2]浮		
b	[2]誣[3]武舞侮鵡[6]務霧		
t	[1]蛛堆[2]除廚		
ts	[1]誅朱硃珠資姿咨滋[2]慈磁[3]主子{弟～}[5]著駐注註[6]自		
tsʰ	[2]瓷[3]此[5]次		
s	[1]舒輸斯私師司{～機}思{～考}[2]殊詞[3]使史[5]恕賜肆[6]伺士仕事		
dz	[6]裕		
k	[3]久韭[5]灸句[6]舅舊		
ɡ	[2]牛[6]遇		
h	[1]夫膚敷俘[2]符扶芙[3]府腑俯撫[5]付賦赴駙富副[6]傅父腐輔負		
∅	[1]趺[6]有		
#ai			
p	[2]排[3]擺[5]拜派[6]敗		
t	[1]呆[2]臺苔[6]待怠代貸		
tʰ	[1]胎篩[5]太泰[6]態		
l	[2]來梨[6]裏利{鋒～}內{訓“裏”}		
ts	[1]災栽齋[2]才財材豺臍[3]宰[5]載{～重}[6]載{年～、滿～}在		
tsʰ	[1]猜[2]裁[3]彩[5]菜		
s	[1]西{～瓜、～邊}犀師{～傅}獅[3]屎駛[5]賽婿{女～}		
k	[1]該皆階[3]改解{了～}[5]個溉蓋丐介界疥屆戒		
kʰ	[3]凱[5]概慨		
