汉字	声韵	声调	声母	韵母	字音	注释
戏	ɕi	42	ɕ	i	戏ɕi42	
薛	ɕi	323	ɕ	i	薛ɕi323	
泄	ɕi	323	ɕ	i	泄ɕi323	
悉	ɕi	323	ɕ	i	悉ɕi323	
膝	ɕi	323	ɕ	i	膝ɕi323	
息	ɕi	323	ɕ	i	息ɕi323	
熄	ɕi	323	ɕ	i	熄ɕi323	
媳	ɕi	323	ɕ	i	媳ɕi323	
识	ɕi	323	ɕ	i	识ɕi323	
式	ɕi	323	ɕ	i	式ɕi323	
饰	ɕi	323	ɕ	i	饰ɕi323	
惜	ɕi	323	ɕ	i	惜ɕi323	
昔	ɕi	323	ɕ	i	昔ɕi323	
适	ɕi	323	ɕ	i	适ɕi323	
释	ɕi	323	ɕ	i	释ɕi323	
锡	ɕi	323	ɕ	i	锡ɕi323	
析	ɕi	323	ɕ	i	析ɕi323	
邪	ʑi	31	ʑ	i	邪ʑi31	
斜	ʑi	31	ʑ	i	斜ʑi31	
蛇	ʑi	31	ʑ	i	蛇ʑi31	
齐	ʑi	31	ʑ	i	齐ʑi31	
脐	ʑi	31	ʑ	i	脐ʑi31	
沂	ʑi	31	ʑ	i	沂ʑi31	
社	ʑi	24	ʑ	i	社ʑi24	
荠	ʑi	24	ʑ	i	荠ʑi24	
藉	ʑi	22	ʑ	i	藉ʑi22	
褯	ʑi	22	ʑ	i	褯ʑi22	
谢	ʑi	22	ʑ	i	谢ʑi22	
射	ʑi	22	ʑ	i	射ʑi22	
麝	ʑi	22	ʑ	i	麝ʑi22	
习	ʑi	212	ʑ	i	习ʑi212	
袭	ʑi	212	ʑ	i	袭ʑi212	
食	ʑi	212	ʑ	i	食ʑi212	
蚀	ʑi	212	ʑ	i	蚀ʑi212	
席	ʑi	212	ʑ	i	席ʑi212	
夕	ʑi	212	ʑ	i	夕ʑi212	
射	ʑi	212	ʑ	i	射ʑi212	
石	ʑi	212	ʑ	i	石ʑi212	
杆	ki	45	k	i	杆ki45	
秆	ki	45	k	i	秆ki45	
擀	ki	45	k	i	擀ki45	
赶	ki	45	k	i	赶ki45	
耶	ɦi	31	ɦ	i	耶ɦi31	
爷	ɦi	31	ɦ	i	爷ɦi31	
移	ɦi	31	ɦ	i	移ɦi31	
姨	ɦi	31	ɦ	i	姨ɦi31	
夷	ɦi	31	ɦ	i	夷ɦi31	
遗	ɦi	31	ɦ	i	遗ɦi31	
夜	ɦi	22	ɦ	i	夜ɦi22	
倚	i	45		i	倚i45	
椅	i	45		i	椅i45	
以	i	45		i	以i45	
巳	i	45		i	巳i45	
易	i	42		i	易i42	
意	i	42		i	意i42	
异	i	42		i	异i42	
补	pu	45	p	u	补pu45	
脯	pu	45	p	u	脯pu45	
布	pu	42	p	u	布pu42	
佈	pu	42	p	u	佈pu42	
卜	pu	323	p	u	卜pu323	
铺	pʰu	44	pʰ	u	铺pʰu44	
谱	pʰu	45	pʰ	u	谱pʰu45	
普	pʰu	45	pʰ	u	普pʰu45	
浦	pʰu	45	pʰ	u	浦pʰu45	
铺	pʰu	42	pʰ	u	铺pʰu42	
怖	pʰu	42	pʰ	u	怖pʰu42	
博	pʰu	323	pʰ	u	博pʰu323	
朴	pʰu	323	pʰ	u	朴pʰu323	
扑	pʰu	323	pʰ	u	扑pʰu323	
仆	pʰu	323	pʰ	u	仆pʰu323	
婆	bu	31	b	u	婆bu31	
蒲	bu	31	b	u	蒲bu31	
菩	bu	31	b	u	菩bu31	
脯	bu	31	b	u	脯bu31	
部	bu	24	b	u	部bu24	
簿	bu	24	b	u	簿bu24	
步	bu	22	b	u	步bu22	
捕	bu	22	b	u	捕bu22	
埠	bu	22	b	u	埠bu22	
呼	fu	44	f	u	呼fu44	
肤	fu	44	f	u	肤fu44	
夫	fu	44	f	u	夫fu44	
跗	fu	44	f	u	跗fu44	
火	fu	45	f	u	火fu45	
夥	fu	45	f	u	夥fu45	
虎	fu	45	f	u	虎fu45	
浒	fu	45	f	u	浒fu45	
府	fu	45	f	u	府fu45	
俯	fu	45	f	u	俯fu45	
腑	fu	45	f	u	腑fu45	
甫	fu	45	f	u	甫fu45	
斧	fu	45	f	u	斧fu45	
父	fu	45	f	u	父fu45	
釜	fu	45	f	u	釜fu45	
辅	fu	45	f	u	辅fu45	
否	fu	45	f	u	否fu45	
货	fu	42	f	u	货fu42	
戽	fu	42	f	u	戽fu42	
赴	fu	42	f	u	赴fu42	
讣	fu	42	f	u	讣fu42	
附	fu	42	f	u	附fu42	
富	fu	42	f	u	富fu42	
副	fu	42	f	u	副fu42	
复	fu	42	f	u	复fu42	复兴
忽	fu	323	f	u	忽fu323	
福	fu	323	f	u	福fu323	
