#参考资料 《商南城关奤子话同音字汇》
#调值  [1]阴平44  [2]阳平53  [3]上24  [5]去31
#ɿ
ts [1]资姿滋兹梓辎吱滓孜撕 [3]紫姊子籽 [5]自字
tsʰ [1]□{增添，锅里~点水}□{象声词}瓷{呆板} [2]雌瓷{~器}糍磁糍慈词辞祠饲嗣 [3]跐此 [5]庛次刺翅赐巳士{象棋}侍
s [1]私师狮斯司丝思厮厕{茅~}撕□{~气：食物变质} [3]死使史驶 [5]四肆驷事似祀仕柿寺伺
#ʅ
tʂ [1]支脂之芝质枝肢知蜘汁织只职栀 [2]植侄直值殖 [3]纸止趾址旨脂指 [5]制致治置炙智窒至滞{~纳金}志誌痣稚雉掷秩
tʂʰ [1]痴嗤□{滑，~溜一跤}叱侈吃尺恃{~强霸道}赤 [2]池驰迟 [3]始齿耻匙持 [5]斥
ʂ [1]施尸诗室湿失适识 [2]时石十食什{~物}拾{~东西}鲥 [3]屎 [5]逝势视式试嗜恃市饰是蚀氏誓实示世
ʐ [1]日
#ɯ
k [1]虼～蚤胳纥疙{～瘩}圪
kʰ [1]咳
x [5]核{～桃}核{审～}蛤{～蟆}
#i
p [1]屄必臂毕蓖{～麻}滗{汤～出去}笔 [2]逼鼻 [3]比 [5]蔽避弊毙币闭鐾壁碧璧愎陛
pʰ [1]披批譬劈丕擗~刀 [2]皮疲脾琵枇匹砒婢 [5]僻庇痹辟屁弼
m [1]眯咪 [2]迷谜是个~弥猕糜靡 [3]米 [5]秘密蜜泌觅
t [1]低滴嘀谛 [2]镝狄涤嫡敌笛 [3]底抵邸砥的{目~} [5]蒂递第弟帝地娣
tʰ [1]梯堤踢 [2]啼提蹄题 [3]体 [5]惕剔涕替剃屉
l [1]捋{把树叶从树上~下来}力隶率速~立莅笠 [2]离{距~}梨犁黎藜骊鹂驴滤篱履狸厘 [3]里理鲤俚李礼醴裏旅虑缕侣吕 [5]利砾栗律吏丽荔莉俐痢历厉励戾唳俪鹂例离{又，~开}粒
tɕ [1]几{茶~}讥饥机叽肌基即疾迹及脊稽缉集姬鸡屐稽积激箕给供~级汲圾笈棘亟籍藉戟暨绩击寂杞{枸~}嫉伎 [2]急吉佶 [3]挤几己 [5]寄计记季妓技纪忌际悸济继祭剂既冀骥系{~鞋带}齑霁
tɕʰ [1]妻凄萋悽其期欺岂七柒漆戚缉{~鞋口}蹊 [2]齐脐荠畦奇骑岐歧旗祁鳍麒琪琦 [3]企起杞启乞 [5]憩泣契气汽砌器弃去{来~}
ȵ [2]尼泥伲坭疑蚁妮 [3]你 [5]腻拟逆匿倪霓猊溺义
ɕ [1]西硒牺栖稀希晞郗夕汐犀奚溪熙兮嘻嬉膝蟋羲锡吸隙析悉淅皙晰昔惜袭戌息恤熄 [2]媳席习蓆婿胥 [3]洗喜徙玺 [5]戏细系{背篓~}系{关~}
Ø [1]衣依医以一壹乙矣益溢缢裔邑绎轶逸屹揖 [2]夷恞姨毅移怡
诒饴贻沂彝译遗役疫驿漪 [3]椅已倚伊尾 [5]艺宜{便~}亦亿懿忆抑意议异易{交~}翼
#u
p [1]不 [2]□{象声词} [3]补 [5]布怖部{~队}步埠
pʰ [1]铺{～床}潽{溢，水～了}扑 [2]葡仆{~人}脯{胸～}菩{～萨}匍□{面~}蒲{~城} [3]普瀑圃蒲{～公英}朴谱濮璞捕哺甫卜埔 [5]簿{登记~}铺{店～}讣菢
m [1]木目牧 [2]模摹 [3]亩牡拇 [5]幕穆墓募暮慕
f [1]夫伕衭麸肤福蝠 [2]扶芙桴浮俘孵服~从匐芾符 [3]斧府腐俯釜抚腑腹 [5]袱复伏负覆敷富幅副傅赋妇阜驸赴{前~后继}附付服{一~中药}父
k [1]孤辜咕菇酤沽蛄姑箍估骨谷{山~}谷{~子} [3]古轱股鼓蛊 [5]故崮固锢痼雇顾
kʰ [1]枯窟哭骷 [3]苦 [5]库裤酷绔
x [1]乎呼忽惚唿 [2]狐弧胡葫糊{~斗面：一种面食，把面和菜烩在一起}湖核{桃~}瑚糊{裱~}蝴鹄壶浒和{~牌} [3]虎琥唬 [5]互笏囫户护沪扈瓠斛糊{稠粥状，糊汤：一种玉米做成的饭食}
Ø [1]乌呜{象声词}钨邬污巫兀梧屋恶{可～} [2]吴蜈无 [3]五伍捂午忤舞侮鹉晤 [5]误悟务雾戊
#ʯ
ʂ [1]朱株珠蛛砂猪诸苎诛 [3]主拄煮注{~意} [5]注关~著蛀铸住柱驻
tʂʰ [1]杵{打～：支撑人负重的棍子}鼠出处{～所} [2]橱厨蹰除储伫滁蜍蚯{～蟮子：蚯蚓} [3]褚处{办事～}
ʂ [1]书舒输{运～}枢鼠 [2]殊庶 [3]暑署曙薯黍 [5]树竖澍恕术述秫
ʐ [1]输{～赢}入 [2]如儒 [3]乳擩汝
#y
tɕ [1]车{～马炮}居拘驹鞠 [2]局菊橘 [3]举炬 [5]句飓据俱聚具惧锯剧巨距拒
tɕʰ [1]区躯驱趋瞿蛆曲{～折}曲{歌～}麴屈 [2]渠 [3]取娶 [5]趣去{~年}
ȵ [3]女
ɕ [1]虚嘘肃宿墟需须戍蓄{储～} [2]徐俗许{姓} [3]许 [5]畜{～牧}绪叙旭续
Ø [1]于迂淤予 [2]与吕鱼渔余馀盂榆愉逾愚虞 [3]雨语宇乳羽 [5]娱吁遇芋喻御浴峪誉豫育预玉郁禹寓欲慾狱
#a
p [1]巴吧疤粑芭笆扒八叭捌 [2]跋拔□{男性生殖器}爸 [3]把靶□{～～：脏东西，小儿语。}□{～屎} [5]罢坝{大～}霸灞欛
pʰ [1]杷琶葩趴{～在床上}帕 [2]爬钯坝{河～}耙{农具，钉～} [5]怕
m [1]妈蚂蟆{蛤～}抹 [2]麻痲八{猪~戒} [3]马码蚂{～蚁}玛 [5]骂
f [1]发法砝珐髮 [2]乏罚伐筏阀
t [1]搭嗒褡答耷妲鞑 [2]达大{称呼父亲} [3]打{动词}打{又，苏～} [5]大{～小}瘩{疙～}
tʰ [1]溻蹋遢{邋～}塌獭{水～}塔拓{～片}踏{～实}踏{踩住}榻 [2]沓 [3]他它她
n [1]纳哪{～吒}捺 [2]拿 [3]哪 [5]那la [1]拉邋辣蜡腊镴瘌{～痢光子：秃头}
ts [1]咂{吮吸} [3]咋{～办} [5]砸杂
ts [1]擦礤{～萝卜丝}嚓 [5]□{～巴子：到处乱跑的人}□{逞能：能～啦}
s [1]仨萨撒{东西～了一地}靸{鞋不完全穿上}卅 [3]撒{～种}厦{～子}洒 [5]飒
tʂ [1]渣喳楂{山～}札扎 [2]铡{～刀} [3]闸□{大声说话，~哇子}眨铡{动词，把辣子～碎} [5]炸诈榨柞栅蚱{蚂～}
tʂʰ [1]差{～错}杈钗叉{王八～：一种植物}插 [2]茶搽查{调～}察茬 [3]衩叉{腿～开} [5]诧汊岔
ʂ [1]沙纱砂莎痧裟鲨杉杀 [3]傻 [5]啥煞{～费苦心}刹□{用筛子筛，把苞谷粉～一下子}k [1]尕尬 [3]呷{鸭子叫声}嘎
kʰ [1]揩{～油} [2]蛤 [3]卡{～车}卡{喉咙～住了}喀咯{～血} [5]□{两胯之间，～
裆}□{在窄缝中挤，～癞子}□{粘，～到锅上}
x [1]哈{～气}□{拔开，扒开}瞎{～子} [3]哈{姓氏}□{坏，～东西} [5]下{量词，一～两～}下{～车}吓
Ø [1]啊阿 [3]啊{问答声，表疑问}
#ia
p [1]□{贴，跟着，～画、～到一路走} [2]□{象声词}
pʰ [1]谝{又读} [2]□{象声词，又，动词，～他一耳光} [3]□{分开，把腿～开}扁{形容词白读，～字壶}□{小气，～气得很}
m [1]□{幼小，指婴幼儿或者小嫩苗，～～子}
t [5]嗲{娇态，这娃～得很}
tʰ [1]□{鞋不完全穿上：鞋一～到}
l [3]俩 [5]□{不修边幅，～里～垮}
tɕ [1]家傢加枷痂佳笳茄{雪～}夹甲胛挟嘉袈 [3]贾假{～期} [5]裌{～～}架驾嫁稼价
tɕʰ [1]掐拤 [2]跨{又，迈进} [3]卡{～住} [5]洽恰
ɕ [1]瞎虾 [2]霞瑕暇遐侠狭峡匣辖 [5]厦{厦门}吓夏下{上～}
ȵ [1]丫{～头}鸭押压 [2]牙{～齿}芽蚜 [3]哑{～巴}□{蛮，～得很} [5]砑轧 [1]鸦压丫押 [2]牙芽蚜衙涯 [3]哑雅 [5]亚砑轧呀{感叹词，表惊讶}
#ua
k [1]瓜呱刮聒 [3]寡剐 [5]挂卦褂
