#参考资料	《安徽庐江南部方言研究》
#调值	[1]⁵⁵ [2]⁵³ [3]²¹³ [5]⁴⁴ [7]⁵ [8]³
#ɿ	
tɕ	[1]胶郊铰教｛~书｝交｛文｝焦蕉椒骄娇浇[3]绞狡搅｛文｝剿缴侥饺[5]校｛~对｝较憔轿叫教
tɕʰ	[1]敲｛文｝锹悄燥[2]瞧乔侨桥荞[3]巧[5]俏鞘窍翘撬
ɕ	[1]消宵霄硝销楞嚣萧箫[3]小晓[5]孝效校笑
Ø	[1]妖邀腰要｛~求｝吆幺[2]肴摇谣窑姚遥[3]舀杳[5]要耀跃
#o	
p	[1]波菠坡玻播[3]跋[5]簸
pʰ	[2]婆[3]剖颇[5]破
m	[1]摸[2]魔磨｛~刀｝摩模模摹膜[3]某亩母拇[5]磨｛石~｝暮慕墓幕募
ts	[3]左佐[5]坐座做
tsʰ	[1]搓[2]锉[5]措错挫锉
s	[1]蓑梭唆[3]锁琐所哎
t	[1]多[3]朵躲[5]舵剁惰垛跺
tʰ	[1]拖[2]驼驮鸵陀[3]妥椭
n	[1]啰摞[2]挪罗锣箩骡萝[3]裸虏[5]糯懦
tʂ	[1]啄琢
ʐ	[3]惹
k	[1]歌哥锅过戈[3]果裹课[5]过｛~去｝个
kʰ	[1]科寞棵颗柯[3]可坷[5]课
x	[1]呵[2]和禾河何荷[3]火伙[5]货祸贺
ŋ	[2]鹅[3]我[5]饿
#uo	
Ø	[1]倭窝属卧葛涡蜗[2]蛾俄讹[5]雄婉
#əɯ	
ts	[1]租邹诌周舟州洲[3]祖组阻走肘帚[5]助皱奏昼给骤咒揍封宙
tsʰ	[1]粗初抽[2]锄绸稠筹愁仇｛~恨｝酬惆踌[3]楚丑瞅[5]醋凑臭
s	[1]苏酥梳疏蔬｛文｝搜爬嫂收[3]数擞手首守叟[5]诉素塑嗦数嗽瘦漱兽受寿授售
t	[1]都兜[3]赌堵肚斗｛量词｝抖陡[5]度镀渡斗豆逗杜
tʰ	[1]偷[2]徒屠途涂图头投[5]吐兔透
n	[2]奴卢炉芦鸿楼[3]努鲁稽卤缕屡搂篓[5]怒路露鹭漏陋
ʐ	[2]柔揉
k	[1]勾钩沟拘[3]狗苟构[5]够构购垢
kʰ	[1]抠[5]叩扣寇
x	[1]齁[2]侯喉猴[3]吼[5]后厚候
ŋ	[1]欧欧殴鸥[3]藕偶呕[5]呕沤
#iəɯ	
t	[1]丢
n	[1]溜[2]流刘留榴硫琉牛馏瘤[3]纽扭柳扭[5]溜
tɕ	[1]揪鸠阉纠赳[3]酒九久韭灸[5]就救究臼舅咎旧枢
tɕʰ	[1]秋丘鳅[2]囚泅求球仇｛姓｝
ɕ	[1]修羞休[3]朽[5]秀绣锈袖嗅
Ø	[1]优忧悠幽[2]尤邮由油游犹[3]有友酉[5]又右枯诱釉袖幼
#ei	
p	[1]杯碑卑悲背[5]贝蔽｛白｝蓖｛白｝闭｛白｝蓖｛白｝弊｛白｝币｛白｝辈背｛后~｝焙倍臂｛白｝裨被避｛白｝备
pʰ	[1]胚[2]培陪赔裴[5]沛配佩
m	[2]谜｛白｝梅枚媒煤眉霉玫莓[3]每美[5]妹昧媚
f	[1]非飞妃肥｛地名：合~｝菲[2]肥淝[3]匪翡诽否[5]废肺吠费沸
ts	[3]嘴｛文｝咀｛文｝[5]最罪｛文｝醉｛文｝
tsʰ	[1]催｛文｝崔摧[5]脆｛文｝翠粹淬
s	[1]虽绥[2]随｛文｝隋遂[3]髓｛文｝[5]岁｛文｝隧穗｛文｝碎｛文｝祟
t	[1]堆｛文｝[5]对｛文｝滩｛文｝兑｛文｝队｛文｝
tʰ	[1]推｛文｝[3]腿｛文｝[5]退｛文｝蜕｛文｝褪｛~色｝
n	[2]雷｛文｝擂｛文｝[3]儡垒累｛文；~积｝[5]内累｛文；劳~｝类泪
#uei	
tʂ	[1]追锥[5]缀赘坠
tʂʰ	[1]吹炊[2]垂褪锤捶
ʂ	[2]谁[3]水[5]睡税
ʐ	[5]锐瑞蕊
k	[1]圭闺规龟归硅[3]诡轨鬼[5]鳗桂跪柜贵瑰
kʰ	[1]盔魁亏窥[2]奎连葵[3]傀癸[5]溃愧馈
x	[1]恢灰挥摩辉徽[2]回茵蛔[3]悔毁诲[5]桧贿晦汇会惠慧秽讳
Ø	[1]微威危[2]为维惟围违桅[3]伪萎委尾伟韦纬苇[5]卫喂为位未味魏畏慰胃谓猬渭
#õ	
p	[1]搬[5]半伴拌
pʰ	[1]潘拚[2]盘[5]判叛
m	[2]瞒[3]满[5]漫
ts	[1]钻[5]钻
tsʰ	[1]汆[2]蚕[5]篡
s	[1]酸[5]算蒜
t	[1]端[3]短[5]断锻锻段缎
tʰ	[2]团坛
n	[3]暖卵[5]乱
k	[1]官棺观冠[3]管馆[5]贯灌罐
kʰ	[1]宽[3]款
x	[1]欢[2]横[3]缓[5]唤换焕痪
#uõ	
Ø	[1]惋[2]完丸[3]皖碗腕宛｛姓｝惋
#ɛ̃	
p	[1]班斑颁扳般[3]板版[5]扮办瓣
pʰ	[1]攀[5]盼襟绊
m	[2]蛮馒[5]慢蔓
f	[1]帆翻番[2]凡烦矾繁[3]反返[5]泛范犯饭贩贩
ts	[1]詹瞻簪占｛~卜｝[3]斩盏展攒[5]暂赞占｛~领｝站战蘸绽栈
tsʰ	[1]参｛~加｝搀餐掺[2]惭谗馋蟾残蝉禅[3]渗铲产[5]灿
s	[1]三衫珊山删叁[3]散伞陕[5]散
t	[1]耽担｛~任｝丹单[3]胆掸[5]担｛~子｝淡弹｛子~｝诞旦但蛋
tʰ	[1]贪摊滩瘫[2]谭谈痰檀弹[3]毯坦袒[5]探叹炭碳
n	[2]男南篮蓝兰拦栏难[3]览揽缆榄懒[5]滥难｛患~｝烂
ʐ	[2]然燃[3]冉
k	[1]甘柑尴干｛文；不相~｝肝｛文；~炎｝间｛白；中~｝[3]感橄减｛白｝竿｛文｝秆｛文｝敢｛文；勇~｝拣｛挑选｝赶｛文｝杆｛文｝擀｛文｝[5]干｛文；~部｝
kʰ	[1]堪勘刊[2]衔[3]砍[5]陷｛白｝嵌
x	[1]憨酣鼾[2]寒韩含函涵｛文｝咸｛白｝[3]喊罕[5]憾撼旱汉翰觅｛~菜｝焊
ŋ	[1]庵淹安鞍[2]严｛关~｝[3]眼[5]暗岸按案晏
#uɛ̃	
tʂ	[5]赚
ʂ	[1]闩栓拴[5]涮
k	[1]关[5]惯贯
x	[2]还环[5]幻患宦
Ø	[1]弯湾[2]玩顽[3]晚挽[5]万
#ʯɛ̃	
tʂ	[1]专砖捐涓[2][3]转卷[5]撰转篆传｛~记｝眷卷｛试~｝绢圈｛猪~｝倦券
tʂʰ	[1]穿川圈｛圆~｝[2]全泉传｛~达｝船椽拳权颧[3]喘犬[5]串劝
ʂ	[1]宣喧轩[2]悬玄弦
Ø	[1]冤渊鸳[2]员圆缘元原源袁辕园援[3]染软阮远[5]院愿怨
#ɑ̃	
p	[1]帮邦梆[3]榜棒膀[5]谤棒蚌磅傍
pʰ	[1]傍乓[2]旁螃庞仿[5]胖
m	[2]忙芒茫盲[3]莽蟒
f	[1]方芳坊[2]房防妨[3]仿纺访仿肪[5]放
ts	[1]张章樟彰蟑赃脏[3]长涨掌[5]藏｛西~｝葬丈仗杖帐胀障瘴脏｛心~｝
tsʰ	[1]仓苍舱昌猖娼[2]藏长肠常嫦尝偿[3]场厂敞[5]畅唱倡怅
s	[1]桑丧｛~事｝商伤晌[3]嗓赏[5]上尚
t	[1]当档[3]党挡[5]当｛~铺｝荡宕杨档
tʰ	[1]汤[2]堂棠螳唐糖塘搪[3]倘躺淌[5]烫趟
n	[2]囊镶郎廊狼瓤[3]囊攘朗[5]浪
ʐ	[3]嚷壤[5]让
k	[1]冈刚纲钢缸[3]讲｛白｝港岗[5]杠
kʰ	[1]康糠慷[2]扛[5]抗炕因亢
x	[1]夯[2]行航杭[5]项｛白｝巷
ŋ	[1]肮[2]昂
#iɑ̃	
tɕ	[1]将｛~来｝浆疆僵姜疆缓江刚｛~才｝[3]蒋奖桨讲｛文｝[5]酱将｛大~｝像｛白｝强｛倔~｝匠降｛下~｝
tɕʰ	[1]枪羌腔[2]墙强｛~盗｝祥详降｛投~｝[3]抢[5]呛跄
ɕ	[1]相｛互~｝箱厢湘襄镶香乡[2][3]想享响晌[5]相｛~貌｝像｛文｝象向项｛文｝
n	[2]娘良凉量｛~布｝粮梁粱[3]两仰辆[5]酿亮谅量
Ø	[1]秧央殃[2]羊洋扬杨阳疡佯[3]养痒[5]样
#uɑ̃	
tʂ	[1]装庄桩妆[5]状撞壮
tʂʰ	[1]疮窗[2]床[5]创
ʂ	[1]双霜孀[3]爽
k	[1]光[3]广[5]逛
kʰ	[1]匡筐眶框[2]狂[3]闯[5]旷况矿
x	[1]荒慌[2]黄簧皇蝗演凰惶煌徨[3]谎恍幌[5]晃
Ø	[1]汪[2]亡忘王[3]网往[5]妄望旺枉
#ẽ	
ts	[1]粘沾毡[5]颤
tsʰ	[2]缠
s	[1]擅煽[3]闪[5]扇善膳鳝
#iẽ	
p	[1]鞭编蝙鳊边[3]贬扁匾[5]辩辨辫变便｛顺~｝遍
pʰ	[1]篇偏翩[2]便｛~宜｝[5]骗遍｛~地｝片
m	[2]绵棉眠[3]免勉娩缅腼[5]面
t	[1]掂颠癫[3]点典碘[5]店覃电殿奠佃垫惦
tʰ	[1]添天[2]甜田填恬[3]舔
n	[1]拈[2]廉镰廉连联怜莲鲢鲇年[3]敛脸碾撵荤捻[5]殓念练炼恋链
tɕ	[1]监｛~视｝间｛时~｝奸艰尖兼嫌煎肩坚[3]碱简柬减｛文｝检俭拣｛拾｝剪茧[5]鉴监｛太~｝谏涧舰践剑件贱溅饯箭建健键键荐见渐键
tɕʰ	[1]铅签谦千迁牵歼笺[2]钳钱乾虔前挦[3]浅谴遣潜[5]欠歉倩
ɕ	[1]仙鲜掀先欣[2]衔｛文｝闲贤嫌咸｛文｝[3]险显选癣[5]馅限陷｛文｝线羡县宪献现眩旋
k	[1]干｛白｝肝｛白｝[3]敢｛白｝竿｛白｝杆｛白｝秆｛白｝排｛白｝埂梗｛白｝赶｛白｝
kʰ	[1]看[3]坎槛[5]看
Ø	[1]奄腌焉烟阉咽[2]严｛文｝炎盐阎颜延言沿闫檐[3]掩俨演研[5]验厌艳焰雁谚堰砚燕宴
#ən	
p	[1]奔崩绷[3]本[5]苯迸蹦
pʰ	[1]喷烹抨[2]盆朋棚鹏彭膨蓬篷[3]捧[5]碰
m	[1]蒙[2]门萌明｛~年｝[3]猛[5]闷孟梦焖
f	[1]分芬纷吩汾风枫疯丰封峰蜂锋烽[2]焚坟冯逢缝[3]粉讽[5]粪奋愤忿份奉傣缝凤
ts	[1]针斟珍臻真砧尊遵增征蒸争筝睁贞侦正｛~月｝宗棕综鬃踪枞曾｛姓｝增[3]枕诊疹拯整总怎[5]镇阵振震赠挣正｛改~｝证症郑政怔粽纵
tsʰ	[1]参｛~差｝伸｛白｝村称｛~呼｝撑聪囱匆葱[2]岑沉陈尘辰晨臣存曾｛~经｝层澄乘承压橙呈程成城诚盛｛~饭｝从丛崇[3]惩逞[5]趁衬寸蹭称秤
s	[1]森参｛人~｝深身申伸绅呻娠孙僧升生牲笙甥声松嵩[2]神绳[3]沈审婶损笋省怂[5]甚渗肾滇剩胜圣盛｛兴~｝送宋诵颂讼
t	[1]敦墩磁屯｛地名：黄~｝吨蹲登蹬灯东冬[2][3]等董懂[5]顿钝饨盾遁登邓瞪东栋动洞炖冻
tʰ	[1]吞通[2]豚臀囤腾藤誊疼同铜桐童瞳筒[3]桶捅筒统[5]退｛白；往后~｝褪｛白｝痛
n	[2]仑伦轮沦能脓笼聋农侬隆窿浓龙咙[3]冷拢陇垄笼[5]嫩论愣
ʐ	[1]扔[2]壬人仁任｛姓｝仍[3]忍[5]刃认饪纫韧妊任
k	[1]今｛白｝跟根更｛~换｝庚羹耕赓[2][3]粳梗｛文｝耿[5]更
kʰ	[1]坑吭铿[3]肯啃恳垦
x	[1]亨哼[2]痕恒衡[3]很狠[5]恨
ŋ	[1]恩[5]掘硬
#in	
p	[1]彬宾缤槟兵斌冰[3]察丙秉柄饼炳[5]殡鬓病并
pʰ	[1]拼乒[2]贫频凭平坪瓶屏萍苹[3]品评[5]聘
m	[1]民鸣明名铭[3]闽悯敏抿皿泯[5]命
t	[1]丁钉｛洋~｝盯叮[3]顶鼎[5]钉｛~木头｝订定锭
tʰ	[1]厅汀[2]亭停婷廷庭蜓[3]艇挺[5]听
n	[1]拎[2]林淋琳临邻鳞磷凌菱陵绞凝宁零灵铃伶翎玲龄[3]领岭[5]吝令馁另赁
