#符号说明：-白=文/书*俗?待考	
#调值	[1]⁵³⁴[2]³³[3]²¹³[4]⁴²²[6]⁵²[7]²⁴[0]⁰
#ɿ	
tsʰ	[1]粗初[3]楚础轴局[4]醋[6]助住{补语}[7]畜{~生；~牧}麴蓄曲促2□{看}
s	[1]苏酥梳鬚{穗儿}[2]□{lu²⁴~：捉弄}[3]数{动词}族熟俗赎[42]素诉塑疏蔬数{名词}竖肃[6]树[7]漱速宿{住~}叔淑粟属
k	[1]姑孤枯[3]古牯股鼓[4]估故固雇顾[7]谷{姓}穀
kʰ	[1]箍[3]苦[4]库裤窟[7]哭
Ø	[1]涡乌污抚[2]吴梧胡{姓}湖狐壶葫鬍蝴糊无[3]坞斛[4]伍{队~}户恶{可~}武舞侮鹉戊握沃[6]误悟护务雾□{煮}[7]屋

#y	
l	[6]虑滤
tɕ	[1]猪诸车{~马炮}渠{~道}巨拒距据诛蛛株朱殊珠殊拘驹具惧龟[3]著煮居举驻住主俱瞿嘴鬼[4]绪注蛀矩句贵{~贱}
tɕʰ	[1]区驱吹炊[2]除储锄厨枢槌锤[3]鼠取娶[4]苎处{相~}处{好~}柱雉跪柜2[6]趋趣
ɕ	[1]书舒虚嘘输[2]徐[3]许水[4]序墟须{必~}需戍[6]叙暑恕署聚
Ø	[2]蜈如鱼渔淤余{姓}馀儒于盂围{~裙}[4]女{男~}汝雨[6]语御与誉预豫乳愚虞娱遇寓吁迂榆逾愉宇禹羽愈芋喻裕履

#a	
p	[3]摆[2]□{老紧~作：傲慢}[4]簸拜伯{父亲}[7]百柏伯{~~：爸爸}檗[0]吧
pʰ	[2]排牌簰荸[3]白[4]破派[6]败[7]□{掰}
m	[2]埋没{无~：没有}□{睡}[3]陌麦脉[6]买卖迈[0]妈{姆~：妈妈}
f	[2]怀槐淮
t	[3]殆[3]朵{耳~}[4]戴带嗒{语气词}
tʰ	[1]拖态[4]太呔{~厦：地名}泰[6]大{~蒜}□{~拉：什么}
l	[1]奶{牛~}拉{xa³³~：许多}[2]拉{人称代词复数词尾}[4]哪{~个}奶{吃~}[6]乃耐奈赖癞[7]拉{捕，捉}[0]来{十~岁}拉{表处所介词}拉{tʰa⁵⁵~：什么}啦{语气词}
ts	[1]斋[3]姐{哥}[4]载债[7]摘责隻炙
tsʰ	[1]钗差{出~}[3]泽择宅[6]射{解大小便}[7]测拆策册赤斥尺
s	[1]筛{斟}衰摔[2]柴口{口水}[3]洒石[4]在[6]赛寨帅率{~领}[7]栅
k	[1]阶街[2]□{~拉：我们}[3]解{~开}嘎{拉重琴}[4]个2{一~}丐介界芥尬疥戒械解{押送}[6]嘎{~~：鸡蛋}[7]格隔□{我的}
kʰ	[1]揩[3]楷[4]凯概溉慨[7]客
x	[2]鞋□{~拉：许多}[3]蟹核{审~}[4]亥[6]孩杏[7]赫吓
Ø	[1]哀埃挨{轮流}[2]捱[3]矮额[7]扼轭□{折使断}[0]阿啊{语气词}

#ua	
k	[1]乖[3]拐[4]怪
kʰ	[4]快筷
Ø	[1]歪[3]劃[6]坏[0]哇{语气词}

#ɒ	
p	[1]巴芭芭□{~烟：抽烟}[3]把{动词,量词}罢[4]把{介词}霸坝爸[7]八
pʰ	[2]爬琶杷钯[3]拔□{捺}[4]怕[6]耙稗[0]□{射痢~：拉肚子}
m	[1]□{拿}[2]麻痳蟆[3]袜[4]马码蚂[6]骂
f	[1]花[3]乏伐筏罚[4]化[7]法髪發
t	[7]答搭跌2{摔}耷{阿~：这里}
tʰ	[3]踏达[7]塔榻塌獭
l	[1]女{女儿}拉[2]拿[3]纳腊蜡镴捺辣瘌肋□{捋}[4]哪{~里}□{跨}
ts	[1]楂渣抓{捉拿}[3]窄[4]诈榨炸{~弹}[7]札扎
tsʰ	[1]叉杈差{~别}车{水~}[2]茶搽查察[4]岔[6]□{遮挡}[7]插绰
s	[1]沙纱傻耍[2]蛇[3]杂闸煠{用油炸}铡芍[4]晒[7]撒萨杀
k	[1]家加痂嘉[3]茄假{真~}[4]假{放~}架驾嫁价[6]□{我}[7]夹{头发~}裌甲胛挟{~菜}合{合眼}
kʰ	[1]□{蹲}[2]蛤{~蟆}[3]夹{~住}[4]□{拿}[7]恰𢈈{压}
x	[1]虾[2]霞[3]盒狭峡匣[4]下{底~}下{~降}[6]厦{大~；~门}夏{姓；春~}[7]喝瞎
Ø	[1]鸦{~片}丫桠[2]牙芽衙□{这}[3]哑[4]亚瓦[7]鸭押压

#iɒ	
p	[1]膘标{目~}彪[3]表{~格}錶婊标{梢}
