#符号说明：-白=文/书*俗?待考	
#调值	[1]²² [2]⁵⁵ [3]³⁵ [5]²¹² [7]⁴² [0]⁰
#ɿ	
ȵ	[7]聂镊蹑业孽捏
ɕ	[1]些[2]邪斜[3]洗写[5]泻卸谢[7]胁协薛泄歇蝎屑{木~}楔雪
Ø	[1]耶[2]爷[3]也野[5]液腋夜[7]靥叶页拽

#ue	
k	[7]国
x	[7]或{白}惑{白}
	
#ye	
tɕ	[7]拙厥倔掘橛决诀术{白~，又}缀
tɕʰ	[2]瘸[7]缺
ʃ	[7]说血穴
Ø	[1]靴[7]悦阅月越曰粤

#ᴇ	
Ø	[2]儿[3]尔而耳饵[5]二贰

#ɛ	
p	[3]摆[5]拜败
pʰ	[2]排牌簰[5]派
m	[2]埋[3]买[5]卖迈
f	[2]怀淮槐[5]坏
t	[1]呆{文}[5]待怠殆戴贷代袋带
tʰ	[1]胎[2]台臺苔抬[5]太泰态
n	[2]来[3]乃奶[5]耐奈赖癞
ts	[1]灾栽斋[3]宰载[5]在再债寨
tsʰ	[1]猜钗差{出~}[2]才财材裁柴豺[3]彩采睬[5]菜蔡棌
s	[1]腮鳃筛[5]赛晒□{鸡~：鸡窝}
k	[1]该皆阶{白}秸街[3]改解{姓；讲~，白}[5]盖丐械介{白}界芥尬疥届戒□{~锯：锯子}
kʰ	[1]开揩[3]凯楷[5]概溉慨
ŋ	[1]哀埃挨{~近}[2]崖涯捱呆{白}[3]蔼矮倭隘[5]碍艾爱
x	[2]鞋孩还{~有}[3]海蟹[5]亥害

#iɛ	
tɕ	[1]阶{~级；文}[3]解{~放；文}[5]介{文}
ɕ	[2]谐[5]懈

#uɛ	
tsʰ	[3]喘揣{~度}
k	[1]乖[3]拐[5]怪
kʰ	[5]蒯块快筷桧会{~计}
Ø	[1]歪

#yɛ	
tɕ	[1]□{钝}[5]拽{又}
tɕʰ	[2]□{蹲}
ʃ	[1]衰摔[3]甩[5]帅

#ᴀ	
p	[1]巴芭疤[3]把[5]罢稗霸把{刀~}坝耙{~地}[7]八拔爸
pʰ	[2]爬琶杷耙{~子}□{缺~齿：豁牙子}[5]怕
m	[2]麻蟆痳[3]马码蚂[5]骂□{大拇指与食指张开的长度}[7]抹{~布}
t	[3]打[5]大{~夫；~~：父亲（面称）}[7]答搭沓达褡
tʰ	[1]他[7]踏拓塔塌榻溻遢
n	[1]拉□{迈}[2]拿[3]哪[5]那挪[7]纳腊蜡鑞捺辣瘌邋
ts	[1]查{山~；姓}楂渣[5]诈榨炸{~弹}乍[7]杂眨闸炸{用油~}煠扎札铡劄轧
tsʰ	[1]差{~别}叉杈[2]茶查{调~}[5]岔茬[7]插獺察擦
s	[1]沙纱莎[3]洒傻[7]撒萨杀
k	[1]家{回~}[3]□{鸡~：鸡蛋（童语）}[5]架{白}[7]夹裌挟
kʰ	[1]□{~tɕʰyɛ᷉³⁵：蚯蚓}[5]狭峡洽[7]恰{白}掐□{压}□{mu⁴²in²²~了：魇住了}
ŋ	[1]丫桠阿{~哥}[3]哑{白}[7]压鸭轧{又}
x	[1]虾哈{~腰}[5]下{白}[7]瞎{白}
Ø	[1]阿{~胶（少）}

#iᴀ	
tɕ	[1]佳加痂嘉家{~具，亲~}[3]假贾[5]驾嫁稼价架{文}[7]甲胛
ɕ	[2]霞瑕遐[5]厦下{文}夏暇[7]匣恰{文}辖{文}瞎{文}
Ø	[1]鸦[2]牙芽衙伢[3]雅哑{文}[5]亚砑[7]押

#uᴀ	
k	[1]瓜[3]寡[5]卦挂[7]刮聒括
kʰ	[1]夸[3]垮侉剐[5]跨
x	[1]花[2]华铧桦[5]化划话画[7]法乏滑猾发{~生，头~}發髮伐筏罚
Ø	[1]蛙洼鸹[3]瓦[5]□{~蛟：山洪暴发}[7]袜挖

#yᴀ	
tɕ	[1]抓
ʃ	[3]耍[7]刷涮

#o	
p	[1]波菠玻[3]跛簸[7]钵拨钹勃饽博泊{梁山~}薄剥驳朴{白}
pʰ	[1]坡泊{血~}[2]婆[5]破[7]泼
m	[1]摸[2]模摹魔摩磨{~刀}馍[3]拇[5]磨{石~}抹{涂~}[7]末沫莫膜幕寞
t	[1]多[3]躲朵[5]剁舵惰垛[7]浞夺掇□{放}沰
tʰ	[1]拖[2]驼驮坨砣[3]妥椭[7]托铎踱唾{~沫}脱庹
n	[2]罗锣箩骡螺脶[5]糯摞[7]诺落烙骆洛乐{欢~}络酪□{~so⁴²：垃圾}
ts	[3]左[5]做坐座[7]佐作凿昨柞着{睡~}桌卓琢啄涿浊捉镯酌
tsʰ	[1]搓[5]错锉措[7]绰戳撮
s	[1]蓑梭唆[3]锁琐所[7]索缩朔芍□{lo⁴²~：垃圾}
z	[7]若

#io	
