汉字	拼音	IPA	注释		声调	调值	编号
多	too1	tɔ33			阴平	33	1
多	tsue6	tsue41	训		阳平	24	2
他	tha1	tʰa33			阴上	55	3
他	thoo1	tʰɔ33	又		阳上	22	4
舵	tua4	tua22	白		阴去	41	5
舵	too4	tɔ22	文		阳去	41	6
大	ta1	ta33	俗		阴入	5	7
拖	thua1	tʰua33	白		阳入	35	8
拖	thoo1	tʰɔ33	文				
拖	thoo2	tʰɔ24	又				
駝	to2	to24	白				
駝	too2	tɔ24	文				
陀	too2	tɔ24					
馱	to2	to24	白				
馱	too2	tɔ24	文				
挪	noo2	nɔ24					
挪	loo1	lɔ33	又				
羅	lo2	lo24	白，姓氏				
羅	lua2	lua24	白				
羅	loo2	lɔ24	文				
鑼	lo2	lo24	白				
鑼	loo2	lɔ24	文				
籮	lua2	lua24	白				
籮	lo2	lo24	白				
籮	loo2	lɔ24	文				
籮	lue2	lue24	又				
左	tsoo3	tsɔ55					
佐	tsoo5	tsɔ41					
做	tsue5	tsue41	俗				
做	tso5	tso41	白				
做	tsoo5	tsɔ41	文				
助	tsoo6	tsɔ41					
搓	tshoo1	tsʰɔ33					
娑	soo5	sɔ41					
歌	kua1	kua33	白				
歌	koo1	kɔ33	文				
哥	ko1	ko33	白				
哥	koo1	kɔ33	文				
個	e2	e24	俗				
個	ge2	ᵑɡe24	俗				
個	ko5	ko41	白				
個	koo5	kɔ41	文				
軻	khoo1	kʰɔ33					
可	khua3	kʰua55	白				
可	khoo3	kʰɔ55	文				
蛾	ngoo2	ŋɔ24					
鵝	gia2	ᵑɡia24	白				
鵝	ngoo2	ŋɔ24	文				
俄	go2	ᵑɡo24	白				
俄	ngoo2	ŋɔ24	文				
我	gua3	ᵑɡua55	白				
我	ngoo3	ŋɔ55	文				
餓	go6	ᵑɡo41	白				
餓	ngoo6	ŋɔ41	文				
何	ua2	ua24	白				
何	ho2	ho24	白，姓氏				
何	hoo2	hɔ24	文				
河	o2	o24	白				
河	ho2	ho24	白				
河	hoo2	hɔ24	文				
荷	oo1	ɔ33	俗				
荷	ho2	ho24	白				
荷	hoo2	hɔ24	文				
荷	hoo4	hɔ22					
荷	ho6	ho41	白				
荷	hoo6	hɔ41	文				
苛	khoo1	kʰɔ33					
賀	ho6	ho41	白				
阿	hoo6	hɔ41	文				
阿	a1	a33	白				
阿	oo1	ɔ33	文				
茄	kio2	kio24					
波	pho1	pʰo33	白				
波	poo1	pɔ33	文				
波	phoo1	pʰɔ33	又				
跛	pai3	pai55	白				
跛	phoo3	pʰɔ55	文				
簸	pua5	pua41	白				
簸	poo5	pɔ41	文				
播	poo5	pɔ41					
頗	phoo1	pʰɔ33					
坡	pho1	pʰo33	白				
坡	phoo1	pʰɔ33	文				
玻	po1	po33	白				
玻	poo1	pɔ33	文				
頗	phoo3	pʰɔ55					
婆	po2	po24	白				
婆	poo2	pɔ24	文				
破	phua5	pʰua41	白				
破	phoo5	pʰɔ41	文				
魔	moo2	mɔ24					
磨	bua2	ᵐbua24	白				
磨	moo2	mɔ24	文				
摩							
磨	mo6	mo41	白				
磨	moo6	mɔ41	文				
朵	too3	tɔ55					
躲	too3	tɔ55					
剁	too5	tɔ41					
妥	tho5	tʰo41	白				
妥	thoo5	tʰɔ41	文				
唾	thoo5	tʰɔ41					
惰	tuann4	tuã22	白				
惰	too4	tɔ22	文				
墮	too4	tɔ22					
囉	lo1	lo33					
糯	noo6	nɔ41					
騾	lo2	lo24	白				
騾	loo2	lɔ24	文				
螺	ler2	lə24	白				
螺	loo2	lɔ24	文				
腡	ler2	lə24	白				
腡	loo2	lɔ24	文				
裸	loo3	lɔ55					
銼	tshoo5	tsʰɔ41					
矬	tsoo2	tsɔ24					
坐	tser4	tsə22	白				
坐	tsoo4	tsɔ22	文				
座	tso6	tso41	白				
座	tsoo6	tsɔ41	文				
蓑	sui1	sui33	白				
蓑	soo1	sɔ33	文				
梭	so1	so33	白				
梭	soo1	sɔ33	文				
唆	so1	so33	白				
唆	soo1	sɔ33	文				
鎖	so3	so55	白				
鎖	soo3	sɔ55	文				
瑣	so3	so55	白				
瑣	soo3	sɔ55	文				
鍋	er1	ə33	白				
鍋	ko1	ko33	白				
鍋	koo1	kɔ33	文				
過	kua1	kua33	白，果实老				
過	koo1	kɔ33	文				
過	ker5	kə41	白，过来				
過	kua5	kua41	白，罪过				
過	koo5	kɔ41	文				
戈	koo1	kɔ33					
果	ker3	kə55	白				
果	koo3	kɔ55	文				
裹	koo3	kɔ55					
科	kher1	kʰə33	白，科目				
科	kho1	kʰo33	白，科场				
科	khoo1	kʰɔ33	文				
棵	khoo1	kʰɔ33					
窠	khoo1	kʰɔ33					
顆	koo3	kɔ55					
課	kher5	kʰə41	白，功课				
課	kho5	kʰo41	白				
課	khoo5	kʰɔ41	文				
訛	ngoo2	ŋɔ24					
臥	ngoo6	ŋɔ41					
火	her3	hə55	白				
火	hoonn3	hɔ̃55	文				
夥	her3	hə55	白				
夥	hoonn3	hɔ̃55	文				
貨	her5	hə41	白				
貨	hoo5	hɔ41	白				
貨	hoonn5	hɔ̃41	文				
禾	hoo2	hɔ24					
和	her2	hə24	白，和尚				
和	ho2	ho24	白，和平				
和	hoo2	hɔ24	文				
禍	er4	ə22	白				
禍	hoo4	hɔ22	文				
倭	er1	ə33	白				
倭	oo1	ɔ33	文				
窩	er1	ə33	白				
窩	o1	o33	白				
窩	oo1	ɔ33	文				
涴	er5	ə41	白				
涴	oo5	ɔ41	文				
瘸	kher2	kʰə24					
靴	hia1	hia33					
巴	pa1	pa33					
疤	pa1	pa33					
芭	pa1	pa33					
把	pe3	pe55	白				
把	pa3	pa55	文				
把	pa5	pa41					
爸	pa5	pa41					
杷	pe2	pe24	白				
杷	pa2	pa24	文				
壩	per5	pə41	俗				
壩	pa5	pa41	文				
垻	per5	pə41	俗				
垻	pa5	pa41	文				
霸	pa5	pa41					
怕	pha5	pʰa41	旧				
怕	phann5	pʰã41					
琶	pe2	pe24	白				
琶	pa2	pa24	文				
爬	pe2	pe24	白				
爬	pa2	pa24	文				
麻	mua2	mua24	白，芝麻				
麻	ba2	ᵐba24	文，麻痹				
麻	ma2	ma24	文，麻烦				
媽	ma2	ma24					
媽	ma3	ma55	祖母				
馬	be3	ᵐbe55	白				
馬	ma3	ma55	文				
碼	be3	ᵐbe55	白				
碼	ma3	ma55	文				
罵	ma6	ma41					
拿	la3	la55					
拿	na3	na55					
詫	tha5	tʰa41					
茶	te2	te24	白				
茶	ta2	ta24	文				
查	tsa1	tsa33	检查				
查	tsha2	tsʰa24					
渣	tse1	tse33	白				
渣	tsa1	tsa33	文				
詐	tse5	tse41	白				
詐	tsa5	tsa41	文				
榨	te5	te41	白，榨渣				
榨	tsa5	tsa41	文				
炸	tsa6	tsa41					
叉	tshe1	tsʰe33	白				
叉	tsha1	tsʰa33	文				
杈	tshe1	tsʰe33	白				
杈	tsha1	tsʰa33	文				
差	tsha1	tsʰa33					
岔	tshe1	tsʰe33					
汊	tshe1	tsʰe33	白				
汊	tsha1	tsʰa33	文				
乍	tsa6	tsa41					
沙	sua1	sua33	白				
沙	sa1	sa33	文				
紗	se1	se33	白				
紗	sa1	sa33	文				
灑	se5	se41	白				
灑	sa3	sa55	文				
嘉	ka1	ka33					
家	ke1	ke33	白				
家	ka1	ka33	文				
傢	ke1	ke33					
加	ke1	ke33	白				
加	ka1	ka33	文				
假	ke3	ke55	白				
假	ka3	ka55	文				
賈	ka3	ka55					
稼	ka5	ka41					
假	ke5	ke41					
價	ke5	ke41	白				
價	ka5	ka41	文				
架	ke5	ke41	白				
架	ka5	ka41	文				
駕	ka5	ka41					
嫁	ke5	ke41	白				
嫁	ka5	ka41	文				
牙	ge2	ᵑɡe24	白				
牙	ga2	ᵑɡa24	文				
芽	ge2	ᵑɡe24	白				
芽	ga2	ᵑɡa24	文				
衙	ge2	ᵑɡe24	白				
衙	ga2	ᵑɡa24	文				
雅	nga3	ŋa55					
訝	ga6	ᵑɡa41					
迓	ga6	ᵑɡa41					
蝦	he2	he24	白				
