#符号说明：-白=文/书*俗?待考		连读降调	[1b]⁵³
#调值		连读升调	[3b]²⁴
#ɿ	[1]⁵³[2]³³[3]²¹⁴[5]⁴⁴[7a]⁵⁵[7b]⁵[8]¹²[0]⁰	连读高调	[5b]⁴⁴
tɕ	[1]监艰奸肩坚[2]钱[3]件[5]建{~德：地名}见		
tɕʰ	[1]牵千2		
ɕ	[1]嬉{“玩”义}[5]献		
ȵ	[2]泥倪宜{~兴：地名}仪{~式}尼疑[3]热[5]议{会~}[3b]艺1{手~}[0]蚁{蚂~，少}义{~气}		
k	[5]扇{名；动}		
kʰ	[2]渠{他}[5]□{助词；跑~跑~：走着走着，疑为“去”}[7a]割[5]去		
Ø	[1]医衣依[2]移遗[3]椅{靠~}[5]艺2{文~}易{容~}意堰{围~：地名}[7a]易{交~}忆亿[5b]姨{大~；小~}已{~经}以{~后}		

#u			
p	[2]婆1{老~}菩蒲[3]补[5]布埠{女~：地名}[7a]卜{萝~}剥[3b]脯{胸~}		
pʰ	[1]铺潽{水~出来了}[3]谱普[5]薄{~荷}浦铺步埠{~头}伏{~小鸡}		
b	[3]部簿		
m	[2]模{~子}[3]膜摸[5]墓亩		
f	[1]夫肤麸[2]符扶芙浮妇负[3]府抚父武{~松}[5]付傅附富副[5b]俘{~虏}敷{~衍了事}斧{~头}腐1{~乳}		
t	[1]多都1{首~}[2]驼驮徒涂图[3]朵躲堵赌肚{鱼~}镀[5]妒度[3b]都{~是}都2{三~：地名}		
tʰ	[1]拖[3]土[5]大1{~小}吐{~痰；~了}兔渡[1b]肚{~皮}		
d	[3]舵{~摆：方向盘,长方形的}惰		
n	[2]奴[5]努		
l	[2]罗锣箩螺脶卢炉芦鸬庐[3]橹卤[5]糯鲁路露鹭[7a]捋		
ts	[1]租[3]左{新}祖组[5]做		
tsʰ	[1]搓锉粗初[3]楚础[5]醋错		
s	[1]蓑苏酥蔬须{胡~}[3]坐座锁所[5]唆素诉塑数{名}[3b]梭{纱~}		
k	[1]歌哥姑孤[3]果课馃古股鼓[5]过估故固雇顾[7a]角[3b]锅{沙~}		
kʰ	[1]科窠棵颗课箍枯[3]苦[5]可库裤[7a]谷壳		
x	[1]呼[2]和{~气}乎[3]火伙虎学1{~技术}[5]货		
ŋ	[2]饿鹅		
Ø	[1]乌污[2]河何荷{~花}吴梧胡湖狐壶瓠胡无[3]祸广互护坞舞[5]荷{薄~}贺悟诬务雾镬[1b]腐2{豆~}[3b]误{错~}[5b]伍		

#y			
tɕʰ	[1]穿1		
ȵ	[3]女[5b]语{~文}		
Ø	[2]如余娱于盂船1[3]预{~算}雨[5]誉芋[0]裕{富~}[5b]乳{腐~}羽{~毛}[8b]愉{~快}		

#yᶻ			
tʃ	[1]诸{~暨：地名}居车{~马炮}蛛株朱珠拘[2]除储渠厨殊[3]拄柱主矩[5]举据扣距注{~释；~意}蛀句[3b]俱{家~}具{工~}		
tʃʰ	[1]区吹[3]取[5]处趣住		
ʃ	[1]梳书舒虚须{必~}需输[3]序绪暑署许数{动}竖水[5]树[8b]诸{~塘：地名}		

#yu			
tɕ	[7a]□{“捡”义}桌		
tɕʰ	[7a]戳		
ȵ	[3]□{~面粉：揉面粉}		

#æ			
p	[1]扮班斑扳般[2]爿[3]板[5]瓣2{豆~酱}		
pʰ	[5]瓣1{花~}办襻		
m	[2]蛮{副}[3]晚{~娘：后妈}猛1{火明}[5]慢		
f	[1]蕃{~茄}翻[2]烦矾[3]反[5]贩饭万1		
t	[1]担1{“拿”义}单[2]痰檀弹{~琴}[3]胆打[5]担{名}		
tʰ	[1]坍滩摊[3]毯[5]弹{子~}蛋		
d	[3]淡		
n	[2]难{形}		
l	[2]蓝兰拦栏[3]懒冷[5]烂[5b]榄{橄~}缆{~}线		
ts	[3]斩盏攒{钞票~多米}[5]蘸灒		
tsʰ	[1]餐[3]铲		
s	[1]三{数}衫删[3]赚{~钞票}散{~了}伞产1{~母：产妇}[5]散{分~}		
k	[1]间{中~人}[2]□{“含”义}更{五.~}庚羹耕[5]哽[1b]橄{~榄}[5b]碱{~水}		
kʰ	[1]□{~门：窗户}坑{长~：地名}铅{~笔}[3]舰		
x	[1]按[2]咸闲[3]馅[5]陷{~了去：陷下去}苋		
ŋ	[2]岩颜[3]眼[5]硬		

#iæ			
t	[1]爹[3b]填{~平}		
l	[1]□{“咬”义}		
ts	[5]借		
s	[5]小2		
tɕ	[1]争1{~口}		
tɕʰ	[1]搀睁{眼晴~开来}撑[5]笡撞1		
ȵ	[2]娘[5]让1[8b]□{~小人家：逗小孩儿}		
ɕ	[1]三{~河：地名}山生1{~小人家：生小孩}牲1{畜~}甥[2]邪[3]写省{~下来}[5]谢小1		
Ø	[1]烟[2]也		
			
#uæ			
k	[1]官棺关[3]管馆梗{菜~}[5]贯灌罐		
kʰ	[1]宽[3]款[5]筷		
Ø	[1]歪[2]顽1{~皮}横还{~东西}环弯湾[3]碗[5]换腕万2		

#ɑ			
p	[2]排牌簰{毛竹~}[5]霸拜[3]摆[3b]爸{爸爸：pɑ⁵³pɑ²⁴}		
pʰ	[5]破□{~过去：跨过去}派		
b	[3]罢		
m	[2]麻{~烦}埋[3]买[5]卖[3]妈{姆妈：m⁵³mɑ²⁴}		
t	[5]戴{~金项链}带{~小人家：带小孩}大2{~概}		
tʰ	[1]他[5]太		
n	[1]奶{吃奶奶nɑ⁵³nɑ²⁴：小孩吃奶}		
l	[1]拉{~车}[5]哪{~个}		
ts	[5]债		
tsʰ	[1]差{出~}		
s	[2]豺{~狼虎豹}柴		
k	[5]个1{一~人，多}界芥疥戒街尬[3]解1{~开}[3b]茄{番~}		
kʰ	[1]揩{“擦”义}		
x	[2]鞋[3]蟹		
Ø	[1]我[3]矮[5b]阿{~姨}		

#iɑ			
tɕ	[1]傢{~具}[3]择{~菜}[5]贾		
ɕ	[3]夏{姓}厦下{~降}[5]射		
Ø	[2]耶爷[3]野[5]夜现{~钞}		

#uɒ			
t	[3]踏		
l	[3]落{~苏：茄子；~雨}腊{~月}辣瘌[8b]瘌{~痢头}		
ts	[1]楂渣遮抓1{~牌}[2]茶搽查{~查}[5]诈榨炸{~弹}煠{~鱼}[2a]蔗{甘~}		
tsʰ	[1]叉权差{~弗多：差不多}车[5]岔		
s	[1]沙纱傻锥{~儿}[2]蛇[3]舍{~得}射凿昨[5]麝舍{隔壁邻~}晒		
k	[1]家加嘉傢{~伙}瓜[3]假{真~}□{水果的瓣}[3]夹{名、动}[5]假{放~}架驾嫁价怪挂卦[5b]寡{~妇}[8b]拐{~子}		
kʰ	[1]夸[5]揢快		
x	[1]虾{~公}花[3]下1{底~}盒狭{“窄”义}[5]化		
ŋ	[1]牙芽		
Ø	[1]丫桠涯{下~：地名}挖[2]华划怀{~窠里：怀里}[3]下2{底~}哑瓦[5]外{~头}坏画话活{做下~}[5b]鸦1{乌老~}		

#yɒ			
tɕ	[1]抓{~牌}□{“刀钝”义}□{“在”义}		
ɕ	[5]帅		
Ø	[1]□{大声喊叫}		

#ɤa			
p	[1]巴芭疤[2]爬琶杷耙[3]把{一~}拔{~绳}[5]坝		
pʰ	[5]稗{~子}		
m	[2]麻{~车}痳{~子}[3]马码袜[5]骂		
f	[3]沫罚		

#ɯ̞			
p	[1]菠玻搬帮[2]婆2{娘~：婆婆}盘[5]半[7a]钵拨		
pʰ	[1]颇坡[5]判		
b	[3]伴拌		
m	[2]磨{动}瞒馒忙1[3]满网[5]磨{名}抹{~布}忘		
f	[1]方{地~}[2]房1{~间}[3]缚[5]放		

#uɯ̞			
k	[1]光豇1缸[3]讲{~说话：新安江的说法}港[3b]江{河~；兰溪~}杠{抬~}		
kʰ	[1]糠[5]囥		
x	[1]荒[2]杭2{~州}		
