#符号说明：-白=文/书*俗?待考	
#调值	［1］35［2］314［3］42［5］11［6］13
#ɿ	
Ǿ [1]淤迂[2]如俞瑜余愚于娱虞渔=□{~桶：马桶}[3]汝雨予宇羽乳[5]誉预裕喻豫郁浴={沐~露}围-{把鸡~到：将鸡关着（限制鸡的活动范围以增肥）}喂{动词，~饭}[6]芋	
#ᴀ	
p [1]巴爸芭疤八捌{大~：字牌上的数字}□{粘}[3]把靶伯-{~~：伯父}□{~子：以为}[5]霸坝把{刀~}□{~~：肉，作小孩语}	
pʰ [1]趴[2]爬耙琶杷扒[3]啪{象声词，代指鞭炮，作小孩语}[5]帕怕白-{哄~：说谎}[6]稗{~子}	
m [1]妈抹-{~布}马{~虎}陌{~生}[2]麻蔴蟆{蛤~：青蛙}[3]蚂马{骑~}码{~起：收起来，~头}□{~田：犁田}□{~颈：不顺从，不听话}[5]骂	
f [1]发法[5]罚阀伐乏	
t [1]答搭塔□{竹篾织成的席子，区别凉席，一般用于晾晒}[3]打	
tʰ [1]他她它叉差塌擦拆{~屋}插坼{裂缝}□{后缀。蚁蚣~：蜈蚣}[2]察查茶搽{轻擦}[5]岔杂挞{~扫帚：竹扫把}遢{邋~}□{水焯}	
n [1]娜纳捺拿-[2]拿=哪={哪吒}□{一种植物的果实}	
l [1]蜡拉垃腊□{烤，灼}[2]□{~起：爬起来}[5]辣邋{~邋}[6]□{裂缝}	
ʦ [1]渣楂砸吒眨窄札择-{~菜}扎{动词，~起}[3]扎{量词，一~}[5]榨炸咋	
s [1]砂杀纱痧莎杉撒萨刷[2]□{扫视}[3]洒=耍傻晒-{~痱[pi11]子：痱子}□{~扇：折扇}[5]□{动词，用刀切；又名词，一~：一瓣}	
tʂ [1]遮=炙{~火：烤火}[5]蔗{~管：甘蔗}	
tʂʰ [1]车尺赤-{~膊}□{~水：抽水}[3]扯□{抽搐。}	
ʂ [1]赊佘[2]蛇□{副词，很。~苦：很苦}[3]舍□{~tɕi11：努力}[5]社[6]食{动词。吃，含贬义}麝射	
k [1]加家嘉佳钾稼甲夹痂[3]假贾嘎{~~：禽蛋}胯-{~下}[5]嫁架{动词。~桥}价[6]架{名词。火~：餐桌}	
kʰ [1]掐恰-客-[3]卡	
ŋ [1]咬-[2]牙衙崖伢涯[3]雅瓦-[5]压押轧[6]芽{发~}	
h [1]哈虾吓遮-{~到：遮着}瞎-{~哩眼}[2]霞遐蛤={~蟆}匣[3]厦{~门}[5]夏踏沓下=[6]下-□{应答声}	
Ǿ [1]阿丫鸭鸦-{老~：乌鸦}□{强迫}□{吃，~馒馒：吃饭，作小孩语}[3]哑[5]亚	
#iᴀ	
p [1]壁-{~头：墙壁}	
pʰ [1]□{~鼻子：呛鼻子}劈-{~柴}[3]□{模拟的枪声，作小孩语。打~：小孩玩的游戏}	
t [1]摕{~到：攥着}	
tʰ [1]□{用绳子绕成一个活圈，常用于陷阱。}□{副词，很。~圞：很圆}[2]提-{~桶}[5]笛{~子}	
l [1]□{对要处理的对象进行初步处理。～田：对田进行除草等农事活动；～狗：将杀死的狗进行去毛、去内脏等}[3]□{吐。~舌子：吐舌头}□{坡}	
ʨ [1]□{~糊：脏，不干净}[2]茄=[3]姐-[5]借架={打~}	
ʨʰ [1]吃[2]跒{蹒跚，走路不稳}[5]䠍{跨}	
ȵ [1]额-{~门前：额头}[2]□{~到：挨着}[5]□{性交}□{“那”和“儿”的合音。在~：在那儿}	
ɕ [1]峡{三~}瞎={~搞}□{～开：两腿张开状}[2]邪斜[3]写-{~字}[5]谢-席{~子}	
Ǿ [1]鸦={乌~}[2]爷-{父亲}[3]惹野冶也[5]易{姓氏}[6]夜	
#uᴀ	
k [1]瓜呱刮过-[3]寡剐[5]挂卦褂	
kʰ [1]夸括胯=[3]垮楇{树枝}[5]跨□{泼洒。~水：泼水}	
h [1]花[2]华划滑={~冰}[5]化华{姓氏}[6]画话=	
Ǿ [1]蛙娲袜挖=[2]娃[3]瓦={物理单位}□{~丝：螺丝的螺纹磨平}[5]滑-[6]话-	
#yᴀ	
k [1]抓	
kʰ [2]□{蜷缩状}	
Ǿ [1]□{大声叫喊}[3]搲{攥}	
#ɔ	
p [1]波菠玻播拨剥博搏砵{~子}膊{赤~}泼{活~}[3]□{重击}□{凸起的地面}[5]簸	
pʰ [1]颇坡泼{~水}[2]婆-{~娘：老婆}[5]破薄剖伏-{趴着}[6]婆={雌性，鸡~：母鸡；女性（含不尊重义），~人家：女人家}	
m [1]木目睦末摸={自~}抹={~桌子}穆{~桂英}[2]魔蘑馍摩{～托}磨{动词。~牙}[3]摸-□{缓慢}[6]莫帽-磨{名词，石~}	
f [1]福复幅覆袱腹{～水}[2]佛{拜~}[5]服茯伏=缚-{~柴：捆柴}佛{如来~}	
t [1]多掇{端}[3]朵躲[5]剁	
tʰ [1]错托=脱=拖=搓{～板}[3]椭=[5]锉座矬戳[6]坐昨	
n [1]肉蹃{跳}[2]挪{搓}[6]饿-糯□{用毒杀死。~鱼，~老鼠}	
l [1]烙洛骆乐{音~，快~}罗{~嗦}□{~钱：偷钱}[2]罗锣萝箩螺{~头：螺蛳}[3]裸卵={~子：女性卵子}□{~人：硌人}[5]落捋{~起衫袖，~香叶子}鹭{白~}鹿□{~子：生长最缓慢者}	
ʦ [1]作撮桌卓捉琢[3]左佐	
s [1]梭蓑唆缩索-{~子：粗绳索}[3]所锁唢索=	
ʂ [1]啜{吸}[3]□{品质很差}□{动词，嗾狗声}	
k [1]歌哥各鸽割=咯{相当于“的”}佮{性情相投，好相处}角{~落}觉{~得}□{sa35~：结束、完成}[5]个	
