ʋ̩	1	烏巫誣屋
ʋ̩	2	禾吳[姓]蜈吾梧鵝[崖～子：老鷹]
ʋ̩	3	捂五伍午鵡
ʋ̩	5a	婆-[外～]悟誤[錯～]握[把～]務污[經～：耐髒]沃
ʋ̩	5b	鬍[～子]物握[～手]糊-[塗抹]
fy	1	書舒虛噓輸[～贏；運～]
fy	2	錘[一～：一拳]除儲如廚薯殊渠儒瞿櫥
fy	3	暑許水
fy	4	苧[～麻]汝柱豎[～起來]宇乳
fy	5a	鼠[老～子]庶恕術述
fy	5b	俱[傢～]具懼槌錘[～公：錘子]入
fy	6	住樹睡[tsʰiəu33①～：打瞌睡]
y	1	於淤盂芋[～子]
y	2	魚漁余餘愚虞娛榆逾愉愈
y	3	女語與雨禹羽
y	5a	御禦譽預豫遇寓喻裕域役疫欲浴慾玉□[～桶：尿桶]芋[洋～：馬鈴薯]餵
pe	5b	別=[區～]
pʰe	5b	別-[～人]□[～開：避開]撇[～開]
fe	1	血-[出～]□[捱～：磨嘰]
fe	3	否
fe	5b	說=[～明書]血=[～糖]
te	1	得-[～病]
te	5b	跌[～價]得=[～好處]德
tʰe	1	鐵-[～鍋]貼-[～被：鋪在下面的被子]天[～井]
tʰe	5b	帖[請～]碟諜蝶牒鐵=[～路]特
le	1	捩[歪]劣[很不聽話]
le	5b	列烈裂劣肋勒
tse	1	接節[過～]□[輕微跛腳]
tse	5b	節=[一～課]截責則絕=[～對]
tsʰe	1	切
tsʰe	5b	廁絕-[～種]賊側測澤擇=[選～]策冊
se	1	雪-[落～]澀塞[～倒：塞住]蝨嗇[～巴子：小氣鬼]
se	5b	卸[～貨]謝=[～～]涉薛洩雪=[～花]色□[撓痒]
ke	1	□[裝酒的大罈子]揭摺結-[～桃子]急-[～死了]
ke	5a	夠構購
ke	5b	劫哲折[七～]浙[～江]傑潔結=[～婚]格革隔
kʰe	1	車=[汽～]
kʰe	5b	咳[～嗽]怯撤[～銷]徹刻克客=[請～]□[～倒：夾住]
xe	1	歇說-[～魂話：說鬼話]
xe	2	候[～車室]侯喉猴瘊[～子]□[～lʊ33①：麻煩、客氣]
xe	4	後-[～天]厚[～薄]
xe	5a	社舍[宿～]舌折[～本]
xe	5b	脅協穴設後=[～悔]
xe	6	後-[～生個：年輕人]厚[憨～]
e	1	二-[～十]噎敥[撒]凹[(存疑)癟]
e	2	兒爺=[～～]
e	3	爾耳=[～朵]鉺
e	5a	二=[第～名]葉頁翼液漚[～糞]
e	5b	乙
kʋe	1	蕨
kʋe	5b	掘決訣
kʰʋe	1	缺-[～錢]
kʰʋe	5b	缺=[～點]
ʋe	1	月-[正～]越-[～來～]
ʋe	3	□[～ʋe45⑤A：扁的]
ʋe	5a	月-[坐～子]□[～過一塊：缺了一塊]
ʋe	5b	閱悅越=[～南]曰粵月=[～假]□[～·ʋe：笨蛋]
pε	1	杯碑卑悲畀[給]□[搬]□[～pɑ33①：吃虧]
pε	5a	貝輩背[後～]褙[貼]
pε	5b	北百柏伯背[～tε45⑤A：後面]
pʰε	1	胚坯潑-[～水]拍=
pʰε	5b	沛配佩迫魄□[雞在室內亂飛]
bε	4	背[～書]
bε	5b	倍
bε	6	背[～時]
mε	1	妹䊳[爛]煨[～紅薯：烤紅薯]□[～sε33①：髒]
mε	2	回[～去]梅枚媒煤
mε	3	買每美
mε	5a	賣邁媚墨-[～汁]滅[～絕]
mε	5b	末[期～]沒脈默墨=[～魚]黴[起～：發黴]
fε	1	恢灰揮輝徽
fε	2	培[～土]陪賠回[～門]槐
fε	3	悔賄㽹[(存疑)嘔吐]䵋[～色：褪色]
fε	4	會-[不～]
fε	5a	惠慧諱或□[關～：關緊]悔[～想：後悔]□[～餿氣：消化不好，回味出來不好的味道]
fε	5b	檜汇會=[開～]繪
fε	6	會-[不～]
tε	1	堆
tε	5a	對[背～：後面]
tʰε	1	胎[～記]苔[舌～]推脫
tʰε	3	腿
tʰε	5b	退汰[～衣衫：漂洗衣服]
dε	2	臺[～灣]抬枱[～子板：桌子板]
dε	4	袋
dε	5b	貨待怠代隊=[～長]
dε	6	隊-[一～：一起]
lε	1	拿耐-[～煩心：耐心]累[～死了]
lε	2	來雷
lε	3	咬[程～金]屢儡纍[～積]壘裡[～tε45⑤A：裏頭]
lε	5a	慮濾=[過～嘴]內累[連～]類耐=[不～煩]捋[～草：拔草]
tsε	1	災栽
tsε	3	宰崽
tsε	5a	載[～重；年～]再□[值]
tsε	5b	□[扛]
tsʰε	1	催崔□[～壺：茶壺]撮[用簸箕狀的器具鏟起東西]
tsʰε	3	彩睬[理～]
tsʰε	5b	菜蔡
sε	1	腮鰓衰□[mε33①～：髒]□[不iɔ45⑤A～：形容人不正經]
sε	2	纔材財裁□[揍、打]
sε	3	灑
sε	4	在-[～不～]
sε	5a	賽碎帥
sε	5b	罪=[犯～]在=[～於]
sε	6	在-[～行：聽話]罪-[受～]□[～雨：淋雨]
kε	1	皆該[～你的：欠你的]跟[～他去]
kε	3	改解=[～釋]
kε	5a	蓋[～公：蓋子]□[～賬：還賬]
kʰε	1	開闊-[蠻～：很寬]
kʰε	3	凱
kʰε	5b	概溉慨
xε	1	黑-[～色]嬉[玩耍]
xε	3	海
xε	4	係[在]害-[～人]
xε	5b	黑=[～板]亥害=[～處]轄[直～市]赫覈[審～]核[～桃]
xε	6	害-[～人]
ε	1	哀埃
ε	2	呆[～板]而
ε	3	藹
ε	5a	愛
kʋε	1	跟[～他去]合[～不得：合不來]割骨[～頭]
kʋε	5a	蓋[～公：蓋子]
kʋε	5b	國
ʋε	1	外[～甥]歪煨[～紅薯：烤紅薯]□[該～：該死]□[de22⑥～：以後]
ʋε	2	回[～去]
ʋε	5a	外[～婆]
pᴀ	1	八跛[(俗作𨃅)～子：跛腳]𨃅[(本字跛)～子：跛腳]
pᴀ	3	擺[打～子]
pʰᴀ	5b	拔
pʰᴀ	3	□[～坨：長在脖子後面的肉瘤]
tᴀ	1	搭
tᴀ	3	打
tᴀ	5a	帶[(存疑)～湧：嘔心想吐]戴
tᴀ	5b	答達
tʰᴀ	5b	態太泰踏沓塔塌榻
dᴀ	5b	大=[～學]
dᴀ	6	大-[～勢：大家]
fᴀ	1	發[～財]花[叫～子：乞丐]法-[沒～：沒有辦法]□[鞋帶～了：鞋帶鬆開了]
fᴀ	2	排牌懷[～肚：懷孕]淮
fᴀ	4	稗湴□[～n̩45⑤A：爛泥]□[～進去：陷進去]□[～崽：肚臍眼]
fᴀ	5a	法=[辦～]
fᴀ	5b	發[～票]罰敗[～家子]壞襪[～子]□[坡]
lᴀ	1	拉奈[～何]臘蠟□[～子：上肢活動不便的人]㸊[用物體表面的高溫烘烤]
lᴀ	3	哪乃奶=[～～]
lᴀ	5a	耐=[～火廠]賴辣癩納[出～]㸊[燙]□[pʰɔ33①：髒]
lᴀ	5b	捺奶-[喫～]納=
tsᴀ	1	齋眨砸[頭部撞擊]紮-[～袖子：把袖子挽起來]
tsᴀ	5a	紮=[結～]債□[手指彎曲敲擊的動作]□[啄]
tsᴀ	5b	雜札紮=[～過：結紮了]
tsʰᴀ	1	猜釵差[出～]插擦
