来源：	邢红文 2019《古县（尧店）方言音系及其与周边方言声调的比较研究》；Hynuza, Skanda 整理录入
tʂ	［1］张={姓：姓～}章樟漳［3］长={生长}涨=掌丈仗杖［5］帐胀账障
tʂʰ	［1］昌［2］常偿嫦尝=长={～处}场=肠=［3］厂氅敞［5］唱倡畅
ʂ	［1］商伤［3］赏晌尚上={～学}
ʐ	［2］瓤={瓜～}穰=弱-{虚}［3］壤嚷攘让
k	［1］冈岗刚钢纲缸肛［3］港［5］杠
kʰ	［1］康糠=［3］慷［5］抗炕=
x	［1］夯［2］行航杭
#iaŋ
n	［2］娘=［5］酿
l	［2］良量{动词}梁粱粮=凉=［3］亮谅晾辆量{名词}两={斤～}
tɕ	［1］将{～来}疆僵缰姜江豇浆=［3］桨蒋奖讲匠=犟=［5］酱将{大～}降{下～}
tɕʰ	［1］枪羌腔呛=［2］强={～势}墙=［3］抢
ɕ	［1］相{互～}箱厢湘襄镶香乡［2］详祥降{～服}翔［3］想像橡象响项巷享［5］相{～貌}向
Ø	［1］央秧殃［2］羊=洋杨阳扬疡仰［3］养=样=氧痒
#uaŋ
n	［1］桩庄状妆装［5］壮
l	［2］床窗=疮=［3］闯撞［5］创
tɕ	［1］双=霜=孀［3］爽
tɕʰ	［1］光［3］广［5］逛
ɕ	［1］桄匡筐眶诓框［2］狂［5］况矿旷
Ø	［1］荒慌［2］黄=簧皇蝗璜潢凰磺［3］谎晃幌㨪
#əŋ
p	［1］崩繃［5］蹦泵
pʰ	［2］朋膨彭棚篷蓬［3］捧［5］碰
m	［1］懵［2］萌蒙盟［3］猛孟梦=
f	［1］丰枫封峰锋蜂风=疯=［2］冯逢缝{动词}［3］奉缝{名词}凤俸
v	［1］翁［5］瓮=
t	［1］登灯=蹬=［3］邓等=［5］瞪镫凳澄{使液体里的杂质沉淀下去：～一～}
tʰ	［1］熥{把凉了的食物蒸热或烤热}［2］腾藤滕誊=疼=
n	［2］能农-{～民}
l	［2］龙-［3］楞弄-冷=
ts	［1］曾{姓}增［3］赠锃{～光}［5］挣
tsʰ	［1］撑［2］曾{～经}层［5］蹭牚{桌椅等腿中间的横木：椅子～}
s	［1］僧牲笙甥=生={出～}［3］省={节～}
tʂ	［1］征筝争=挣=蒸=正={～月}［3］整拯郑［5］证症正{～反}政
tʂʰ	［1］称{～呼}［2］惩橙澄乘丞承程呈成城诚盛{～饭}［3］逞［5］秤=
ʂ	［1］声=升牲［2］绳［3］盛{兴～}剩=［5］圣胜{～败}
ʐ	［2］仍扔
k	［1］更{～换}庚粳羹耕=［3］埂梗耿［5］更{～加}
kʰ	［1］坑吭［5］□{碰}
x	［1］哼［2］恒衡横={～竖}
#iŋ
p	［1］兵冰={名词，如～块}［3］丙并饼柄病
pʰ	［2］凭坪评瓶屏萍平=
m	［2］鸣铭名=明=［3］命=
t	［1］丁盯钉={名词}［3］顶鼎锭定［5］订钉{动词}
tʰ	［1］厅=听=［2］蜓亭停廷庭［3］挺艇
n	［2］凝宁{安～}拧［3］硬=［5］宁{～可}
l	［1］拎［2］绫陵凌菱灵零=铃=［3］令领=另={～外}
tɕ	［1］京睛荆惊鲸晶茎经精=［3］警景境静靖颈竞婧井=净=［5］竟敬镜
tɕʰ	［1］轻倾蜻青=清=［2］情䞍晴=［3］顷请=［5］庆
ɕ	［1］星腥猩兴{～旺}［2］形型刑行{～为}邢［3］幸倖省{反～}醒=擤=杏=［5］性行{品～}兴{高～}姓
Ø	［1］鹰英婴缨鹦樱应{～用}莺［2］营迎盈蝇=赢=萤=［3］颖影=［5］应{～对}映
#uŋ
t	［1］东=冬=［3］董懂洞［5］栋冻=动=
tʰ	［1］通［2］同筒童瞳洞-{洪～：地名}铜=桐=［3］捅桶=［5］统
n	［2］浓脓=农={～民}［3］弄=
l	［2］隆龙=垅=笼=聋=［3］拢陇
ts	［1］棕鬃宗综终踪中{～间}忠钟盅［3］总种{～类}重{体～}［5］粽众纵{放～}中{射～}
tsʰ	［1］聪匆囱充冲葱=［2］丛从崇重{～复}宠
s	［1］嵩松=［2］㞞{软弱}［3］怂{～恿}［5］宋诵颂讼送=
tʂ	［3］肿=［5］种=
tʂʰ	［2］虫=
ʐ	［2］绒茸冗融容蓉镕
k	［1］蚣攻弓躬宫恭供{～给}工=功=公={～家}［3］拱{～手}汞巩［5］共贡供{～养}
kʰ	［1］空={～虚}［3］恐孔［5］控空={～缺}
x	［1］烘轰［2］鸿虹弘宏红=洪={～水}［3］哄=
#yŋ
tɕ	［3］窘
tɕʰ	［2］穷=琼
ɕ	［1］兄胸凶匈［2］熊雄
Ø	［1］雍［2］庸［3］拥勇甬涌蛹永咏泳用佣
