来源：	邢红文 2019《古县（尧店）方言音系及其与周边方言声调的比较研究》；Hynuza, Skanda 整理录入
tʂʰ	［1］车-{～子：自行车}［3］扯-{割；剪：～布}
ʂ	［1］赊-［2］蛇-［3］傻舍{～不得}啥［5］廈{旁屋}舍{居～}
ʐ	［3］惹-{动词}
k	［3］尬{尴～}
kʰ	［3］卡
x	［1］瞎-哈害{～怕}［2］匣{～子：箱子}还-{副词：～有}［3］夏-下-［5］吓{使害怕：～一跳}
Ø	［1］阿{～姨}啊{感叹词}［2］啊{应答声}
#ia
pʰ	［3］□{掰：～玉米}
t	［1］夹家-痂裌{～衣}［3］贾-假-{虚伪的：作～}［5］架-{架子：造～}驾-{驾驶：～车}价-{价值}稼
tʰ	［1］掐-挟{抱：～娃}［3］卡{～住}［5］卡{～子}
n	［1］押-压鸭-轧{～棉花}［2］牙□{看}芽崖-［3］哑砑讶{惊～}
l	［2］俩
tɕ	［1］加嘉甲佳枷家=［2］姐-{～夫}［3］假={真～}贾=［5］借驾={～车}假{放～}嫁价={～钱}架{吵～}
tɕʰ	［1］恰掐=［2］茄-去{～吧}洽［3］卡={关～}［5］笡{外泄}
ɕ	［1］虾瞎=［2］霞斜瑕遐峡狭侠辖［3］写-夏=下=［5］卸-吓=
Ø	［1］鸦丫押=呀鸭=［2］衙崖=爷-［3］也-讶{惊～}野-夜-雅□{丢失}［5］亚{～洲}
#ua
ts	［1］抓［2］□{大声的喊叫}［3］爪{～子}
s	［1］刷［3］耍
k	［1］瓜刮［3］剐寡［5］卦挂褂
kʰ	［1］夸［3］垮［5］跨胯
ŋ	［3］□{我们}
x	［1］花［2］划华{中～}滑猾铧［3］华{～山}画话［5］化
#ya
n	［3］□{你们}
l	［1］□{拽；揪：～了一把}
tɕ	［1］㔃{用手使劲拽断：～菜}
tɕʰ	［2］瘸-
#ɛ
p	［1］掰伯{大～子；～伯}百柏□{～裂子：裂缝儿}［2］别{否定副词}
pʰ	［1］拍迫-□{～住：大雨使土地变得过于瓷实}［2］白
m	［1］麦脉{号～}［2］蓦{突然}
f	［1］说-
v	［1］握-
t	［1］得-德-
tʰ	［2］特-
l	［3］冷-
ts	［1］争-睁-泽摘窄则责［2］仄{不～：不错}怎{～里：怎么}择-{选～}
tsʰ	［1］拆策册测侧搀-{扶}［2］择{摘：～菜}
s	［1］虱塞生-{～气}色涩［3］省-{节省}□{“四个”的合音}
tʂ	［1］蒸-正-{～月}折褶遮=哲蛰浙［3］这-{～里}［5］蔗
tʂʰ	［1］车-称-{动词：～东西}彻［2］着{～火；睡～}［3］撤［5］秤-{名词}
ʂ	［1］□{～脸:生气}声-{声音发生的次数：一～}裳-{衣～}摄［2］涉□{十个的合音}佘舌折勺-［3］麝社剩-设舍{宿～}射-{发～}［5］赦
ʐ	［1］热
x	［2］□{～面：醒面}
#uɛ
t	［1］□{贴}
s	［1］摔
k	［1］国掴
x	［1］劐-{～开}［2］横-{～着搁}或-获-
#iᴇ
p	［1］鳖憋冰-{形容词：很凉的意思}瘪［2］别{否定副词}
pʰ	［1］撇{～开}瞥□{很能说}［2］别{～针}平
m	［1］灭{～火}篾［2］名-明-［5］命-
t	［1］跌掉钉-{名词}咥{大吃}耕-{～地}［2］□{不～：不如}叠=［5］钉-{动词}
tʰ	［1］贴铁厅-帖{请～}听-［2］叠-碟谍蝶牒
n	［1］捏镊聂孽业［2］□{～～：悄悄}［3］硬-影-{挡：～住}［5］□{～头：额头}
l	［1］烈猎裂列劣咧{～嘴}［2］趔零-{小数目的：～头儿}铃-{～儿}［3］□{摘；拽：～了一把}领{～子}［5］另{分；分开：～家}
tɕ	［1］接阶揭结节{～日}皆精-{～明}街=［2］捷杰劫=截=洁［3］姐解井-［5］界介届芥戒=镜-借=
tɕʰ	［1］切劫-妾怯清-青-［2］截-{～断}晴-茄=［3］净-□{七个的合音}请-{吃～}
ɕ	［1］楔{～子}歇血-蝎泄屑些=［2］协谐邪=斜=鞋=［3］械谢醒-写=［5］泻卸=懈
Ø	［1］噎页叶液腋掖［2］蝇-赢-爷=□{一个的合音}［3］也=野=夜=
#yᴇ
n	［1］虐
l	［1］掠［3］□{六个的合音}
tɕ	［1］蹶噘决诀［2］绝掘倔崛
tɕʰ	［1］缺雀=鹊=确=［2］瘸=橛{～子：短的木桩或铁桩}
ɕ	［1］雪靴薛削血=［2］穴踅{串门}
Ø	［1］越粤月乐=约=跃哕{干～：干呕}阅岳曰悦［2］□{脱；散：线～了}
#o
p	［1］菠波玻拨钵博驳剥搏［2］勃脖=渤［3］簸{～一～}跛树薄{～荷}［5］簸{～箕}播□{～馍馍：烙饼}
pʰ	［1］坡泼魄迫=颇□{沏：～茶}［2］婆泊薄脖-［5］破
m	［1］摸末沫陌{～生}墨默没{沉～}寞莫漠［2］魔摩馍模摹磨{～刀}膜［3］磨{石～}抹□{拉、拽}
f	［2］佛{～像}房-{～子}［3］纺-{～线}［5］放-{～羊}
v	［1］倭窝蜗握=踒{跌：～倒}莴{～苣}［2］芒{小麦壳外的针尖物：麦～}□{折：把纸～一个角}［3］忘=卧
#uo
t	［1］多掇{拾～}□{～头：低头}［2］夺=［3］惰躲垛朵舵堕踱［5］剁跺
tʰ	［1］拖托脱汤-掇{拉手：～起来}□{～气：冒气}［2］驼夺-驮陀坨［3］妥椭大-［5］唾
n	［1］诺□{用手挤水：～干}［2］挪［3］糯□{往里塞}
l	［1］洛骆络{～腮胡}落烙［2］锣箩罗啰骡螺狼-［3］裸摞
ts	［1］装-{～上}作桌庄-［3］左坐=座=［5］做=
tsʰ	［1］搓撮{聚起：～成一堆儿}窗-疮-［2］矬藏-{躲藏：～起来}［3］座-坐-厝［5］锉错措
s	［1］梭唆缩桑-双-索霜-［3］所锁琐
tʂʰ	［1］张-{裂开：～开}卓啄拙捉琢酌［2］镯浊［3］长-{成长：～大}涨-
tʂʰ	［1］绰{宽～}戳［2］长-{～短}场-{农收时所用专门场地}肠-［5］丈-{～人}
ʂ	［1］说={小～}裳-［2］尝-［3］上-{～山、～面}
ʐ	［1］弱=若［2］瓤-{瓜～}穰-□{～蹋，糟蹋的意思}
k	［1］锅郭国=［3］果裹［5］过
kʰ	［1］括扩廓阔{～气}［3］颗-
x	［1］豁{～口}霍藿劐={用尖锐武器划开}惶-{凄～}［2］惑活或=获=黄-{鸡蛋～}［3］火伙祸和{～面}□{量词，次：面煮了一～了}［5］货
#yo
t	［1］角□{粘：～上}饺-{煮～}椒-{辣～}
n	［1］约-{～摸}疟□{培育：～苗}［2］娘-{～舍：娘家}
l	［1］略［2］凉-粮-［3］两-{重量单位}
