音标	调类	字汇							
tɕia	2	甲夹							
tɕia	3	假							
tɕia	5	架嫁							
tɕʰia	2	恰䠍（表示跨）							
ɕia	1	虾							
ɕia	2	霞斜峡瞎下（白，地∽）							
ɕia	3	下（白，∽下来，拆货）							
ɕia	5	下夏厦（∽门）							
ia	1	鸦							
ia	2	牙鸭							
ia	3	哑（文）雅							
ia	5	亚压（∽力）							
pia	3	扁（白读，一说本字为瘪）							
nia	1	黏（白）		一↗					
ua	1	挖							
ua	2	娃袜							
ua	3	瓦							
sua	2	刷							
sua	3	耍厦							
tsua	1	抓							
tsua	2	啄							
tsua	3	爪							
zua	2	挼							
kua	1	瓜							
kua	2	刮							
kua	3	寡							
kua	5	挂							
kʰua	1	夸							
kʰua	3	垮							
kʰua	5	褂（口语）							
xua	1	花							
xua	2	华滑划（∽船）							
xua	5	话画化划（计∽）							
o	1	窝							
o	2	鹅							
o	5	饿卧							
ŋo	2	恶							
ŋo	3	我							
ko	1	哥歌锅							
ko	2	角（三∽）割各阁葛							
ko	3	果裹							
ko	5	个过							
kʰo	1	科							
kʰo	2	渴壳磕瞌							
kʰo	3	可颗棵							
kʰo	5	课							
xo	1	喝							
xo	2	河何和合活荷盒鹤							
xo	3	火伙							
xo	5	货贺荷（～兰）							
to	1	多朵（耳∽）							
to	2	夺							
to	3	朵躲							
to	5	剁垛							
tʰo	1	拖							
tʰo	2	陀坨驼驮脱托							
tʰo	3	妥 □（∽舌条，伸）							
no	1	啰							
no	2	罗烙乐落							
no	3	裸							
no	5	糯							
po	1	波							
po	2	博薄拨							
po	5	播							
pʰo	1	坡							
pʰo	2	婆							
pʰo	5	破							
mo	1	摸							
mo	2	磨莫末模							
mo	3	抹							
mo	5	磨							
tso	2	昨卓桌							
tso	3	左							
tso	5	坐座住（在xx∽，白）							
tsʰo	1	蹉							
tsʰo	2	撮促							
tsʰo	5	错							
so	1	梭							
so	2	说索							
so	3	锁							
zo	2	若弱							
io	2	药约乐（音∽）岳钥							
tɕio	2	脚角（一∽线）觉（感∽）							
tɕʰio	2	雀鹊确却							
ɕio	2	学							
nio	2	虐略							
pə	2	不							
fə	2	服							
mə	2	木							
tsə	2	直							
ie	2	一叶越（∽来∽）							
ie	3	也							
tɕie	2	接节结洁揭急集圾级激吸							
tɕʰie	2	切七							
ɕie	2	歇媳习息吸							
nie	2	力捏							
pie	2	别壁必鼻							
pʰie	2	撇							
mie	2	觅							
tie	2	滴							
tʰie	2	铁贴踢							
ye	2	月越育浴							
tɕye	2	决绝噘（表骂人之语）							
tɕʰye	2	缺							
ɕye	2	血削雪							
pæ	2	白百伯北							
pʰæ	2	拍							
mæ	2	麦默墨脉							
tæ	2	得德							
tʰæ	2	特							
næ	2	勒							
kæ	2	格隔革							
kʰæ	2	刻咳客克							
xæ	2	黑核赫吓							
ŋæ	2	额							
tsæ	2	责折摘							
tsʰæ	2	厕测拆策择泽							
sæ	2	舌色设塞涩							
zæ	2	热							
kuæ	2	国							
kʰuæ	2	扩							
xuæ	2	或惑							
ɚ	2	儿而							
ɚ	3	耳尔							
ɚ	5	二							
pai	1	跛							
pai	3	摆							
pai	5	败							
pʰai	2	牌排							
pʰai	3	㧳（张开距离，脚∽开）							
pʰai	5	派							
mai	2	埋							
mai	3	买							
mai	5	卖							
tai	1	呆							
tai	3	逮							
tai	5	代带戴							
tʰai	1	胎							
tʰai	2	台抬							
tʰai	5	太态泰							
nai	1	奶							
nai	2	来							
nai	3	奶							
nai	5	赖耐							
tsai	1	灾栽							
tsai	3	仔宰崽者							
tsai	5	在再寨							
tsʰai	1	猜							
tsʰai	2	才财							
tsʰai	3	采彩							
tsʰai	5	菜蔡							
sai	1	腮							
sai	5	赛							
kai	1	该街阶							
kai	3	改解							
kai	5	盖介届界（白）							
kʰai	1	开揩							
kʰai	3	凯个（白读，一∽，本字存疑）							
kʰai	5	概（∽率）							
xai	1	嗨							
xai	2	还鞋							
xai	3	海蟹							
xai	5	害							
ŋai	1	挨							
ŋai	2	挨岩崖癌呆（∽板）							
ŋai	3	矮							
ŋai	5	爱							
suai	1	摔							
suai	3	甩							
suai	5	帅							
tsʰuai	1	猜（白）揣							
tsʰuai	3	喘							
tsuai	1	跩（表示摔倒）							
tsuai	5	拽							
kuai	1	乖							
kuai	3	拐							
kuai	5	怪							
kʰuai	3	块							
kʰuai	5	快							
xuai	1	欢（白读，∽喜）							
xuai	2	淮							
xuai	5	坏							
uai	1	歪							
uai	3	崴							
uai	5	外							
tɕiai	1	皆阶（文，台∽）							
tɕiai	3	解							
tɕiai	5	界介（文，中∽）届（文）							
iai	3	也（存疑）							
ɕiai	2	谐							
ɕiai	5	懈解（姓）蟹（文）							
pei	1	背杯							
pei	5	背秘（∽密）被（∽条）							
pʰei	1	批披							
pʰei	2	陪赔培							
pʰei	5	配							
fei	1	飞非妃							
fei	2	肥							
fei	3	匪							
fei	5	废肺							
tei	1	在（白读）都（白读，∽不行）							
tei	2	得							
nei	1	的（少用）							
nei	10	的							
mei	1	没							
mei	2	梅煤媒							
mei	3	每美							
mei	5	妹							
tsʰei	1	车							
tsʰei	3	扯							
sei	1	赊奢							
sei	2	蛇							
sei	3	舍							
sei	5	射社舍（宿∽）							
tsei	1	遮							
tsei	5	这（文读）							
zei	3	惹							
kei	1	给（动词读法）							
tuei	1	堆							
tuei	5	对							
tʰuei	1	推							
tʰuei	3	腿							
tʰuei	5	退							
nuei	1	追（白）							
nuei	2	雷							
nuei	3	累垒吕铝旅							
nuei	5	内累虑滤							
tsuei	1	追							
tsuei	3	嘴							
tsuei	5	最罪醉							
tsʰuei	1	吹							
tsʰuei	2	锤垂							
tsʰuei	5	脆							
suei	2	随							
suei	3	水							
suei	5	岁睡瑞䋈（棉∽）							
kuei	1	规龟							
kuei	3	鬼							
kuei	5	贵桂柜							
kʰuei	1	亏							
kʰuei	2	葵							
