jiᶽan tiᶽ	trad	detail	调类	
榉	櫸		tʂʯ1	
榉	𣟱		tʂʯ1	
榉	欅		tʂʯ1	
拄	拄		tʂʯ1	
主	主		tʂʯ1	
著	著	～名	tʂʯ5	
据	据	拮～	tʂʯ1	
据	據		tʂʯ5	
锯	鋸	（白）～子	kei5	
锯	鋸	（文）	tʂʯ5	
踞	踞		tʂʯ5	
倨	倨		tʂʯ5	
驻	駐		tʂʯ5	
注	注	～射，～意	tʂʯ5	
注	註	批～，～釋	tʂʯ5	
蛀	蛀		tʂʯ5	
铸	鑄		tʂʯ5	
句	句		tʂʯ5	
鳜	鱖		tʂʯ5	
枢	樞		ʂʯ1	
岖	嶇		tʂʰʯ1	
区	區	～域	tʂʰʯ1	
驱	驅		tʂʰʯ1	
吹	吹		tʂʰʯ1	
处	處	相～	tʂʰʯ1	
鼠	鼠		tʂʰʯ1	
龋	齲		tʂʰʯ1	
处	處	到～	tʂʰʯ5	
去	去	（文）除～	tʂʰʯ5	
磲	磲		dʐʯ2	
蕖	蕖		dʐʯ2	
渠	渠		dʐʯ2	
渠	渠	（白）第三人稱	ɡei2	
佢	佢	（白）第三人稱	ɡei2	
𠍲	𠍲	（白）第三人稱	ɡei2	
橱	櫥		dʐʯ2	
厨	廚		dʐʯ2	
瞿	瞿		dʐʯ2	
衢	衢		dʐʯ2	
踟	踟		dʐʯ2	
蹰	蹰		dʐʯ2	
蹰	躕		dʐʯ2	
除	除		dʐʯ2	
躇	躇		dʐʯ2	
蜍	蜍		dʐʯ2	
滁	滁		dʐʯ2	
储	儲		dʐʯ2	
椎	椎	脊～	dʐʯ2	
飓	颶		dʐʯ6	
苣	苣	萵～	dʑiᶽ6	
巨	巨		dʐʯ6	
巨	鉅	河北鉅鹿縣、山東鉅野縣	dʐʯ6	
炬	炬		dʐʯ6	
拒	拒		dʐʯ6	
距	距		dʐʯ6	
柱	柱		dʐʯ6	
住	住		dʐʯ6	
俱	俱		dʐʯ6	
惧	懼		dʐʯ6	
具	具		dʐʯ6	
苎	苧		dʐʯ6	
伫	佇		dʐʯ6	
伫	竚		dʐʯ6	
贮	貯		dʐʯ6	
纻	紵		dʐʯ6	
宁	宁	同貯；古代宮室門屏之間	dʐʯ6	
女	女		ȵiᶽ1	
书	書		ʂʯ1	
抒	抒		ʂʯ1	
纾	紓		ʂʯ1	
舒	舒		ʂʯ1	
嘘	噓		ʂʯ1	
盱	盱	～眙（地名）	ʂʯ1	
吁	吁	長～短嘆	ʂʯ1	
虚	虛		ʂʯ1	
墟	墟		ʂʯ1	
输	輸	～贏	ʂʯ1	
戍	戍		ʂʯ1	
输	輸	運～	ʂʯ1	
暑	暑		ʂʯ1	
庶	庶		ʂʯ5	
汝	汝		ʐʯ6	
许	許		ɕiᶽ1	
水	水		ʂʯ1	
黍	黍		ʂʯ1	
恕	恕		ʂʯ5	
署	署		ʐʯ6	
薯	薯		ʐʯ6	
殳	殳		ʐʯ2	
如	如		ʐʯ2	
茹	茹		ʐʯ2	
儒	儒		ʐʯ2	
濡	濡		ʐʯ2	
孺	孺		ʐʯ2	
蠕	蠕		ʐʯ2	
襦	襦		ʐʯ2	
嬬	嬬		ʐʯ2	
竖	豎		ʐʯ6	
竖	竪		ʐʯ6	
树	樹		ʐʯ6	
澍	澍		ʐʯ6	
乳	乳		dʐʯ6	
鱼	魚	（白）喫～，一條～，鯨～	ŋei2	
鱼	魚	（文）木～，～香肉絲	ɦiᶽ2	
渔	漁		ɦiᶽ2	
于	于	鳳凰～飛，單～	ɦiᶽ2	
于	亏		ɦiᶽ2	
于	於		ɦiᶽ2	
俞	俞		ɦiᶽ2	
俞	兪		ɦiᶽ2	
余	余	姓	ɦiᶽ2	
余	餘		ɦiᶽ2	
狳	狳		ɦiᶽ2	
愚	愚		ȵiᶽ2	
虞	虞		ȵiᶽ2	
娱	娛		ȵiᶽ2	
迂	迂		iᶽ1	
瘀	瘀		iᶽ1	
觎	覦		ɦiᶽ2	
盂	盂		ɦiᶽ2	
瑜	瑜		ɦiᶽ2	
榆	榆		ɦiᶽ2	
逾	逾		ɦiᶽ2	
踰	踰		ɦiᶽ2	
愉	愉		ɦiᶽ2	
渝	渝		ɦiᶽ2	
隅	隅		ȵiᶽ2	
禺	禺		ȵiᶽ2	
腴	腴		ɦiᶽ2	
萸	萸		ɦiᶽ2	
臾	臾		ɦiᶽ2	
欤	歟		ɦiᶽ2	
庾	庾		ɦiᶽ6	
窳	窳		ɦiᶽ6	
雩	雩		ɦiᶽ2	
予	予		ɦiᶽ2	
妤	妤		ɦiᶽ2	
伃	伃		ɦiᶽ2	
竽	竽		ɦiᶽ2	
舆	輿		ɦiᶽ2	
圩	圩		ɦiᶽ2	
御	御	～麥：玉米	ɦiᶽ6	
御	禦	防～	ȵiᶽ6	
驭	馭		ȵiᶽ6	
与	與		ɦiᶽ6	
豫	豫		ɦiᶽ6	
预	預		ɦiᶽ6	
誉	譽		ɦiᶽ6	
遇	遇		ȵiᶽ6	
寓	寓		ȵiᶽ6	
芋	芋		ɦiᶽ6	
吁	籲	呼～	ɦiᶽ6	
愈	愈		ɦiᶽ6	
愈	癒		ɦiᶽ6	
喻	喻		ɦiᶽ6	
喻	喩		ɦiᶽ6	
谕	諭		ɦiᶽ6	
裕	裕		ɦiᶽ6	
喂	餵	～媽媽：餵奶	iᶽ5	
喂	餧	同餵	iᶽ5	
喂	喂	同餵	iᶽ5	
於	於	姓	iᶽ1	
淤	淤		iᶽ1	
龉	齬		ȵiᶽ1	
语	語		ȵiᶽ1	
敔	敔	～山灣（江陰地名）	ȵiᶽ1	
雨	雨		ɦiᶽ1	
宇	宇		ɦiᶽ1	
禹	禹		ɦiᶽ1	
羽	羽		ɦiᶽ1	
瑀	瑀		ɦiᶽ1	
蓖	蓖	～麻	piɪ1	
篦	篦	～几：梳頭用的篦子	piɪ1	
鞭	鞭		piɪ1	
煸	煸		piɪ1	
编	編		piɪ1	
鳊	鯿		piɪ1	
边	邊		piɪ1	
边	邉		piɪ1	
蝙	蝙		piɪ1	
贬	貶		piɪ1	
扁	扁		piɪ1	
匾	匾		piɪ1	
变	變		piɪ5	
翩	翩		pʰiɪ1	
篇	篇		pʰiɪ1	
偏	偏		pʰiɪ1	
骗	騙		pʰiɪ5	
遍	遍		piɪ5	
片	片		pʰiɪ5	
便	便	～宜	biɪ2	
蹁	蹁		biɪ2	
骿	骿		biɪ2	
跰	跰		biɪ2	
胼	胼		biɪ2	
骈	騈		biɪ2	
骈	駢	俗騈字	biɪ2	
骈	䮁	俗騈字	biɪ2	
辨	辨		biɪ6	
辩	辯		biɪ6	
拚	拚	抃本字	biɪ6	
抃	抃		biɪ6	
汴	汴		biɪ6	
卞	卞		biɪ6	
弁	弁		biɪ6	
便	便	方～	biɪ6	
辫	辮		biɪ6	
棉	棉		miɪ2	
绵	綿	同緜	miɪ2	
绵	緜		miɪ2	
宀	宀		miɪ2	
眠	眠		miɪ2	
冕	冕		miɪ1	
免	免		miɪ1	
免	免		miɪ1	
勉	勉		miɪ1	
娩	娩		miɪ1	
腼	腼	～腆	miɪ1	
䩄	靦	～覥	miɪ1	
面	靣	俗面字	miɪ6	
面	面	～子，揩～	miɪ6	
面	麪	～條	miɪ6	
面	麵	俗麪字	miɪ6	
面	麫	俗麪字	miɪ6	
缅	緬		miɪ6	
㴐	㴐		miɪ6	
渑	澠	通作沔	miɪ6	
沔	沔		miɪ6	
滇	滇	～池	tiɪ1	
掂	掂		tiɪ1	
巔	巔		tiɪ1	
巔	巓		tiɪ1	
颠	顛		tiɪ1	
颠	顚		tiɪ1	
癫	癲		tiɪ1	
敁	敁	以手稱物	tiɪ1	
点	點		tiɪ1	
典	典		tiɪ1	
碘	碘		tiɪ1	
店	店		tiɪ5	
添	添		tʰiɪ1	
天	天		tʰiɪ1	
觍	覥	靦～	tʰiɪ1	
腆	腆	腼～	tʰiɪ1	
舔	舔		tʰiɪ1	
掭	掭	～毛筆	tʰiɪ5	
滇	滇	～㴐	tʰiɪ5	
瑱	瑱		tʰiɪ5	
甜	甜		diɪ2	
田	田		diɪ2	
钿	鈿	銅～：錢	diɪ2	
佃	佃		diɪ2	
填	填		diɪ2	
填	塡		diɪ2	
磌	磌		diɪ2	
窴	窴		diɪ2	
滇	滇	～污	diɪ2	
电	電		diɪ6	
殿	殿		diɪ6	
奠	奠		diɪ6	
甸	甸		diɪ6	
殄	殄		diɪ6	
垫	墊		diɪ6	
淀	淀		diɪ6	
淀	澱		diɪ6	
淀	澱	（又）～粉	diŋ6	
靛	靛		diɪ6	
廉	廉		liɪ2	
镰	鐮		liɪ2	
镰	鎌		liɪ2	
濂	濂		liɪ2	
帘	帘		liɪ2	
帘	簾		liɪ2	
连	連		liɪ2	
涟	漣		liɪ2	
联	聯		liɪ2	
鲢	鰱		liɪ2	
怜	憐		liɪ2	
怜	怜		liɪ2	
莲	蓮		liɪ2	
奁	奩		liɪ2	
殓	殮		liɪ6	
脸	臉		liɪ1	
潋	瀲		liɪ6	
敛	斂		liɪ6	
练	練		liɪ6	
炼	煉		liɪ6	
炼	鍊		liɪ6	
链	鍊		liɪ6	
链	鏈		liɪ6	
楝	楝		liɪ6	
恋	戀		liɪ6	
镌	鐫		tsiɪ1	
镌	鎸		tsiɪ1	
镌	鋑	古文鐫字	tsiɪ1	
笺	箋		tsiɪ1	
笺	牋		tsiɪ1	
椾	椾		tsiɪ1	
㮍	㮍		tsiɪ1	
湔	湔		tsiɪ1	
䔐	䔐		tsiɪ1	
尖	尖		tsiɪ1	
煎	煎		tsiɪ1	
剪	剪		tsiɪ1	
戬	戩		tsiɪ1	
翦	翦		tsiɪ1	
隽	隽	同雋	tsiɪ5	
隽	雋		tsiɪ5	
箭	箭		tsiɪ5	
荐	荐		tsiɪ5	
荐	薦		tsiɪ5	
溅	濺		tsiɪ5	
僭	僭		tsiɪ5	
歼	殲		tsʰiɪ1	
佥	僉		tsʰiɪ1	
签	簽	～名	tsʰiɪ1	
签	籤	書～	tsʰiɪ1	
纤	纖	～維	tsʰiɪ1	
千	千		tsʰiɪ1	
千	韆	鞦～	tsʰiɪ1	
芊	芊		tsʰiɪ1	
阡	阡		tsʰiɪ1	
仟	仟		tsʰiɪ1	
迁	迁	俗遷字	tsʰiɪ1	
迁	遷		tsʰiɪ1	
浅	淺		tsʰiɪ1	
倩	倩		tsʰiɪ5	
茜	茜		tsʰiɪ5	
潜	潛		dziɪ2	
钱	錢		dziɪ2	
全	全		dziɪ2	
泉	泉		dziɪ2	
渐	漸		dziɪ6	
践	踐		dziɪ6	
饯	餞		dziɪ6	
屳	屳	卽仙字	siɪ1	
仙	仙		siɪ1	
仙	僊		siɪ1	
跹	躚	翩～	siɪ1	
暹	暹		siɪ1	
鲜	鱻		siɪ1	
鲜	鮮		siɪ1	
尟	尟	少	siɪ1	
赻	赻	尟字之譌	siɪ1	
藓	蘚		siɪ1	
先	先		siɪ1	
宣	宣		siɪ1	
喧	喧		ʂyø1	
喧	諠		ʂyø1	
暄	暄		ʂyø1	
萱	萱		ʂyø1	
瑄	瑄		siɪ1	
渲	渲		siɪ5	
譞	譞		ʂyø1	
嬛	嬛	輕盈貌	ʂyø1	
翾	翾		ʂyø1	
癣	癬		siɪ1	
选	選		siɪ1	
冼	冼		siɪ1	
线	線		siɪ5	
线	綫		siɪ5	
腺	腺		siɪ5	
前	前		ziɪ2	
旋	旋	～鑿：螺絲刀	dziɪ2	
璇	璇		ziɪ2	
璇	璿		ziɪ2	
贱	賤		ziɪ6	
羡	羨		ziɪ6	
羡	羡		ziɪ6	
幵	幵		tɕiɪ1	
兼	兼		tɕiɪ1	
蒹	蒹		tɕiɪ1	
搛	搛	～菜：用筷子夾菜	tɕiɪ1	
间	間	中～	tɕiɪ1	
间	閒	中～	tɕiɪ1	
菅	菅		tɕiɪ1	
缄	緘		tɕiɪ1	
艰	艱		tɕiɪ1	
奸	奸		tɕiɪ1	
奸	姦		tɕiɪ1	
涧	澗		tɕiɪ5	
涧	㵎		tɕiɪ5	
肩	肩		tɕiɪ1	
坚	堅		tɕiɪ1	
鉴	鑒		tɕiɪ1	
鉴	鑑		tɕiɪ1	
检	檢		tɕiɪ1	
睑	瞼		tɕiɪ1	
捡	撿		tɕiɪ1	
简	簡		tɕiɪ1	
简	𥳑		tɕiɪ1	
謇	謇		tɕiɪ1	
蹇	蹇		tɕiɪ1	
柬	柬		tɕiɪ1	
茧	繭		tɕiɪ1	
趼	趼	足底硬皮	tɕiɪ1	
间	間		tɕiɪ5	
间	閒		tɕiɪ5	
剑	劍		tɕiɪ5	
剑	劎		tɕiɪ5	
剑	劒		tɕiɪ5	
剑	劔		tɕiɪ5	
谏	諫		tɕiɪ5	
锏	鐧	殺手～	tɕiɪ5	
锏	鐗	殺手～	tɕiɪ5	
建	建		tɕiɪ5	
见	見		tɕiɪ5	
骞	騫		tɕʰiɪ1	
谦	謙		tɕʰiɪ1	
牵	牽		tɕʰiɪ1	
遣	遣		tɕʰiɪ1	
纤	縴	～繩	tɕʰiɪ5	
芡	芡		tɕʰiɪ5	
欠	欠		tɕʰiɪ5	
堑	塹		tɕʰiɪ5	
舰	艦		tɕʰiɪ5	
歉	歉		tɕʰiɪ5	
黔	黔		dʑiɪ2	
钳	鉗		dʑiɪ2	
揵	揵	舉	dʑiɪ2	
乾	乾		dʑiɪ2	
虔	虔		dʑiɪ2	
掮	掮		dʑiɪ2	
俭	儉		dʑiɪ6	
件	件		dʑiɪ6	
犍	犍		dʑiɪ6	
键	鍵		dʑiɪ6	
健	健		dʑiɪ6	
拈	拈		ȵiɪ1	
黏	黏		ȵiɪ2	
粘	粘	俗黏字	ȵiɪ2	
严	嚴		ȵiɪ2	
鲇	鮎		ȵiɪ2	
鲇	鯰		ȵiɪ2	
年	年		ȵiɪ2	
年	秊	年本字	ȵiɪ2	
妍	妍		ȵiɪ2	
妍	姸		ȵiɪ2	
研	研		ȵiɪ2	
研	硏		ȵiɪ2	
岩	巖	《夢遊天姥吟留別》千巖萬轉路不定	ȵiɪ2	
岩	岩		ȵiɪ2	
碾	碾		ȵiɪ1	
撚	撚	《琵琶行》輕攏慢撚撥復挑	ȵiɪ1	
捻	捻		ȵiɪ1	
撵	攆		ȵiɪ1	
辇	輦		ȵiɪ1	
染	染		ȵiɪ1	
验	驗		ȵiɪ6	
俨	儼		ȵiɪ6	
广	广	因广爲屋，象對剌高屋之形	ȵiɪ6	
廿	廿	二十	ȵiɪ6	
念	念		ȵiɪ6	
念	唸	～書	ȵiɪ6	
砚	硯		ȵiɪ6	
仚	仚	與屳字不同	ɕiɪ1	
轩	軒		ɕiɪ1	
掀	掀		ɕiɪ1	
忺	忺	得意（含貶義）	ɕiɪ1	
妗	妗	～格格	ɕiɪ1	
险	險		ɕiɪ1	
显	顯		ɕiɪ1	
㬎	㬎		ɕiɪ1	
蚬	蜆		ɕiɪ1	
宪	憲		ɕiɪ5	
献	獻		ɕiɪ5	
炎	炎		ɦiɪ2	
盐	鹽		ɦiɪ2	
檐	檐		ɦiɪ2	
檐	簷		ɦiɪ2	
闫	閆		ɦiɪ2	
阎	閻	～羅王	ȵiɪ2	
嫌	嫌		ɦiɪ2	
涎	涎		ɦiɪ2	
延	延		ɦiɪ2	
筵	筵		ɦiɪ2	
衍	衍		ɦiɪ6	
娴	嫻	同嫺	ɦiɪ2	
娴	嫺		ɦiɪ2	
言	言		ɦiɪ2	
贤	賢		ɦiɪ2	
弦	弦		ɦiɪ2	
弦	絃		ɦiɪ2	
舷	舷		ɦiɪ2	
沿	沿		ɦiɪ2	
咸	咸	～陽	ɦiɪ2	
兖	兗		ɦiɪ6	
兖	兖	俗兗字	ɦiɪ6	
陷	陷	（文）	ɦiɪ6	
衔	銜		ɦiɪ2	
颜	顏		ɦiɪ2	
颜	顔		ɦiɪ2	
艳	艷	與豔同	ɦiɪ6	
艳	豔	同豓	ɦiɪ6	
艳	豓		ɦiɪ6	
艳	艶	俗豔字	ɦiɪ6	
滟	灧	俗灩字	ɦiɪ6	
滟	灎	俗灩字	ɦiɪ6	
滟	灩	灎本字	ɦiɪ6	
焰	焰		ɦiɪ6	
彦	彥		ɦiɪ6	
谚	諺		ɦiɪ6	
唁	唁		ɦiɪ6	
邂	邂		ɦiɪ6	
现	現		ɦiɪ6	
琰	琰		ɦiɪ6	
咽	咽	～喉	iɪ1	
淹	淹	～城	iɪ1	
腌	腌		iɪ1	
腌	醃		iɪ1	
烟	烟		iɪ1	
烟	煙		iɪ1	
烟	菸	香～	iɪ1	
阉	閹		iɪ1	
胭	胭		iɪ1	
蔫	蔫		iɪ1	
嫣	嫣		iɪ1	
焉	焉		iɪ1	
演	演		ɦiɪ1	
鼹	鼹		ɦiɪ1	
鼹	鼴		ɦiɪ1	
偃	偃		ɦiɪ1	
魇	魘	夢～	ɦiɪ1	
掩	掩		ɦiɪ1	
俺	俺		ɦiɪ1	
晏	晏	（文）	iɪ5	
厌	厭		iɪ5	
堰	堰		iɪ5	
䞁	䞁		iɪ5	
燕	燕	～京	iɪ1	
燕	燕	～子	iɪ5	
咽	咽		iɪ5	
咽	嚥		iɪ5	
宴	宴		iɪ5	
宴	讌		iɪ5	
宴	醼	同宴	iɪ5	
雁	雁		iɪ5	
赝	贗		iɪ5	
赝	贋		iɪ5	
贝	貝		pei5	
呗	唄		pei5	
狈	狽		pei5	
杯	杯		pei1	
杯	盃		pei1	
杯	桮		pei1	
背	背	～書包（動詞）	pei1	
背	揹	～書包（動詞）	pei1	
碑	碑		pei1	
卑	卑		pei1	
悲	悲		pei1	
辈	輩		pei5	
背	背	後～（名詞）	pei5	
臂	臂		piᶽ5	
呸	呸		pʰei1	
胚	胚		pʰei1	
坯	坯		pʰiᶽ1	
坏	坏	坏者，凡土器未燒之緫名也	pʰiᶽ1	
丕	丕	曹～	pʰiᶽ1	
剖	剖		pʰei1	
配	配		pʰei5	
沛	沛		pʰei5	
培	培		bei2	
陪	陪		bei2	
赔	賠		bei2	
裴	裴		bei2	
裴	裵		bei2	
倍	倍		bei6	
邶	邶		bei6	
珮	珮		bei6	
佩	佩		bei6	
背	背	～誦（動詞）	bei6	
焙	焙		bei6	
痱	痱		bei6	
琲	琲		bai6	
悖	誖		bei6	
悖	悖		bei6	
眉	眉	（文）	mei2	
郿	郿	陝西郿縣，今作眉縣	mei2	
梅	梅		mei2	
槑	槑	古文梅字	mei2	
枚	枚		mei2	
玫	玫		mei2	
媒	媒		mei2	
煤	煤		mei2	
莓	莓		mei2	
楣	楣	倒～，門～	mei2	
霉	霉	～雨	mei2	
霉	黴	發～	mei2	
谋	謀		mei2	
每	每		mei1	
美	美		mei1	
某	某		mei1	
妹	妹		mei6	
沬	沬		mei6	
袂	袂		mei6	
魅	魅		mei6	
昧	昧		mei6	
媚	媚		mei6	
寐	寐		mei6	
谜	謎	猜～～子：猜謎語	mei6	
茂	茂		mei6	
懋	懋		mei6	
楙	楙		mei6	
贸	貿		mei6	
否	否		fei1	
缶	缶		fei1	
浮	浮	形容詞，浮躁：～尸（指辦事不穩重的人）	vei2	
芣	芣		vei2	
阜	阜		vei6	
堆	堆		tei1	
兜	兜		tei1	
丢	丟		tei1	
抖	抖		tei1	
蚪	蚪		tei1	
陡	陡		tei1	
对	對		tei5	
斗	斗	抽～	tei1	
斗	鬥	爭～	tei5	
斗	鬦	俗鬭字	tei5	
斗	鬭	爭～	tei5	
斗	鬬	爭～	tei5	
斗	鬪	爭～	tei5	
推	推		tʰei1	
偷	偷		tʰei1	
腿	腿		tʰei1	
退	退		tʰei5	
颓	頹		dei2	
颓	頽		dei2	
蜕	蛻		tʰei5	
蜕	蜕		tʰei5	
透	透		tʰei5	
头	頭		dei2	
投	投		dei2	
骰	骰	～子	dei2	
队	隊		dei6	
兑	兌		dei6	
兑	兑		dei6	
豆	豆		dei6	
逗	逗		dei6	
痘	痘		dei6	
内	內		nei6	
芮	芮		zei6	
留	留	～親眷	lei2	
留	畱	～親眷	lei2	
雷	雷		lei2	
蕾	蕾		lei2	
擂	擂		lei2	
楼	樓		lei2	
髅	髏		lei2	
儡	儡		lei1	
垒	垒		lei1	
垒	壘		lei1	
搂	摟		lei1	
累	累	積～	lei1	
耒	耒		lei1	
磊	磊		lei1	
磥	磥	同磊	lei1	
累	纍		lei2	
羸	羸		lei2	
累	累	勞～	lei6	
类	類		lei6	
漏	漏	～脫落（不小心遺失了，弄丟了）	lei6	
陋	陋		lei6	
椎	椎		tsei1	
追	追		tsei1	
隹	隹		tsei1	
锥	錐		tsei1	
昼	晝		tʂei1	
邹	鄒		tsei1	
周	周		tʂei1	
周	週		tʂei1	
辀	輈		tʂei1	
盩	盩	陝西盩厔縣，今作周至縣	tʂei1	
舟	舟		tʂei1	
州	州		tʂei1	
洲	洲		tʂei1	
诹	諏		tsei1	
陬	陬		tsei1	
緅	緅		tsei1	
鄹	鄹		tsei1	
鲰	鯫		tsei1	
郰	郰		tsei1	
棷	棷		tsei1	
掫	掫		tsei1	
驺	騶		tsei1	
棸	棸		tsei1	
诌	謅		tsəɯ1	
嘴	嘴		tʂʯ1	
走	走		tsei1	
走	赱	俗走字	tsei1	
肘	肘		tʂei1	
惴	惴		tsei5	
缀	綴		tsei5	
赘	贅		tsei5	
醉	醉		tsei5	
奏	奏		tsei5	
揍	揍		tsei5	
皱	皺		tsəɯ5	
绉	縐	～巴巴	tsəɯ5	
咒	咒		tʂei5	
咒	呪		tʂei5	
帚	帚	苕～	tʂei1	
最	最		tsei5	
催	催		tsʰei1	
崔	崔		tsʰei1	
摧	摧		tsʰei1	
炊	炊	（文）	tsʰei1	
抽	抽		tʂʰei1	
惆	惆		tʂʰei1	
璀	璀		tsʰei1	
丑	丑	小～	tʂʰei1	
丑	醜	～八怪	tʂʰei1	
脆	脆		tsʰei5	
翠	翠		tsʰei5	
啐	啐		tsʰei5	
焠	焠		tsʰei5	
倅	倅		tsʰei5	
毳	毳		tsʰei5	
凑	湊		tsʰei5	
臭	臭		tʂʰei5	
垂	垂		dzei2	
槌	槌		dʐʯ2	
锤	錘		dzei2	
锤	鎚	與錘同	dzei2	
搥	搥		dzei2	
箠	箠		dzei2	
陲	陲		dzei2	
谁	誰		zei2	
蕤	蕤		zei2	
甤	甤		zei2	
绸	綢		dʐei2	
稠	稠		dʐei2	
筹	籌		dʐei2	
踌	躊		dʐei2	
酬	酬		dʐei2	
柔	柔		dʐei2	
揉	揉		ʐei2	
蹂	蹂		ʐei2	
糅	糅		ʐei2	
罪	罪	犯～	dzei6	
罪	辠	犯～	dzei6	
罪	罪	～過人：可憐	zᴇ6	
罪	辠	～過人：可憐	zᴇ6	
萃	萃		zei6	
膵	膵		zei6	
悴	悴		zei6	
瘁	瘁		zei6	
睡	睡		zei6	
瑞	瑞		dzei6	
睿	睿		zei6	
叡	叡		zei6	
蕊	蕊		zei6	
遂	遂		zei6	
隧	隧		zei6	
穗	穗		zei6	
坠	墜		dzei6	
纣	紂		dʐei6	
宙	宙		dʐei6	
籀	籀		dʐei6	
籀	籒		dʐei6	
冑	冑	甲～（從“冃”，與“胄”不同）	dʐei6	
胄	胄	～裔，貴～（從“肉”，與“冑”不同）	dʐei6	
伷	伷	貴～（同“胄”，多用於人名）	dʐei6	
酎	酎		dʐei6	
骤	驟	步～	dziᶽ6	
荽	荽		sei1	
虽	雖		sei1	
尿	尿		ʂʯ1	
溲	溲	排泄小便	sei1	
搜	搜	～查，～集	sei1	
搜	蒐	～集	sei1	
蒐	蒐	茜草	sei1	
飕	颼		sei1	
馊	餿		sei1	
收	收		ʂei1	
叟	叟		sei1	
叟	叜	古文叟字	sei1	
傁	傁		sei1	
手	手		ʂei1	
首	首		ʂei1	
守	守		ʂei1	
碎	碎		sᴇ5	
岁	歲		sei5	
岁	歳		sei5	
税	稅		sei5	
锐	銳	～角	sei5	
锐	鋭	～角	sei5	
锐	銳	～氣	zei6	
锐	鋭	～氣	zei6	
秽	穢		huei5	
秽	穢		ɦuei6	
艘	艘		sei5	
粹	粹		zei6	
嗽	嗽		sei5	
瘦	瘦		sei5	
漱	漱	咳～	sei5	
兽	獸		ʂei5	
随	隨		zei2	
隋	隋		zei2	
愁	愁		zei2	
受	受		ʐei6	
寿	壽		ʐei6	
授	授		ʐei6	
售	售		ʐei6	
沟	溝		kei1	
篝	篝		kei1	
鞲	鞲		kei1	
韝	韝		kei1	
褠	褠		kei1	
勾	勾	～當，～銷	kei1	
句	句	高～麗	kei1	
钩	鉤		kei1	
钩	鈎		kei1	
佝	佝		kei1	
偻	僂		lei2	
狗	狗		kei1	
苟	苟		kei1	
枸	枸	～杞頭	kei1	
诟	詬		kei5	
媾	媾		kei5	
遘	遘		kei5	
搆	搆		kei5	
冓	冓		kei5	
煹	煹		kei5	
觏	覯		kei5	
彀	彀		kei5	
够	够		kei5	
够	夠	同够	kei5	
构	構		kei5	
购	購		kei5	
垢	垢		kei5	
抠	摳		kʰei1	
口	口		kʰei1	
去	去	（白）	kʰei5	
扣	扣		kʰei5	
寇	寇		kʰei5	
寇	冦		kʰei5	
㓂	㓂		kʰei5	
宼	宼		kʰei5	
窛	窛	鈔也，暴也。	kʰei5	
蔻	蔻		kʰei5	
蔻	䓻		kʰei5	
蔻	蔲		kʰei5	
簆	簆		kʰei5	
厚	厚		ɡei6	
耦	耦		ŋei1	
蕅	蕅		ŋei1	
藕	藕		ŋei1	
偶	偶	配～，～然	ŋei1	
齁	齁		hei1	
呴	呴	氣喘	hei1	
吼	吼		hei1	
吼	吼		hei5	
鲎	鱟	彩虹	hei5	
侯	侯		ɦei2	
喉	喉		ɦei2	
猴	猴		ɦei2	
瘊	瘊		ɦei2	
逅	逅		ɦei6	
后	后	皇～	ɦei6	
后	後	～底：後面	ɦei6	
候	候		ɦei6	
区	區	姓	ei1	
瓯	甌		ei1	
讴	謳		ei1	
沤	漚		ei1	
欧	歐		ei1	
鸥	鷗		ei1	
殴	毆		ei1	
呕	嘔		ɦei1	
怄	慪		ɦei1	
妫	嬀		kuei1	
皈	皈		kuei1	
妫	媯	俗嬀字	kuei1	
沩	潙		kuei1	
沩	溈	俗潙字	kuei1	
圭	圭		kuei1	
闺	閨		kuei1	
规	規		kuei1	
槻	槻		kuei1	
龟	龜		kuei1	
归	歸	（文）	kuei1	
归	歸	（白）～去	tɕiəɯ1	
诡	詭		kuei1	
轨	軌		kuei1	
氿	氿		kuei1	
晷	晷		kuei1	
簋	簋		kuei1	
鬼	鬼	（白）老～：熟練	tʂʯ1	
鬼	鬼	（文）	kuei1	
会	會	～計	kuei5	
刽	劊		kuei5	
狯	獪		kuei5	
脍	膾		kuei5	
鱠	鱠		kuei5	
浍	澮		kuei5	
侩	儈		kuei5	
郐	鄶		kuei5	
刿	劌		kuei5	
桧	檜		kuei5	
桂	桂		kuei5	
贵	貴		kuei5	
窥	窺		kʰuei1	
盔	盔		kʰuei1	
魁	魁		kʰuei1	
傀	傀		kʰuei1	
奎	奎		kʰuei1	
亏	虧		kʰuei1	
块	塊		kʰuei5	
喟	喟	～嘆	kʰuei5	
哙	噲		kʰuei5	
癸	癸		kuei1	
夔	夔		ɡuei2	
逵	逵		ɡuei2	
葵	葵		ɡuei2	
揆	揆		ɡuei6	
溃	潰		ɡuei6	
馈	餽		ɡuei6	
馈	饋		ɡuei6	
聩	聵		ɡuei6	
愧	愧		ɡuei6	
跪	跪		dʑiᶽ6	
柜	櫃	（白）	dʐʯ6	
柜	櫃	（文）	ɡuei6	
匮	匱		ɡuei6	
𠯠	噅		huei1	
𠯠	噕	同噅	huei1	
㧑	撝		huei1	
翚	翬		huei1	
恢	恢		huei1	
灰	灰		huei1	
麾	麾		huei1	
挥	揮		huei1	
珲	琿	璦～（黑龍江地名）	huei1	
辉	輝		huei1	
